term,count_a,count_b,log_odds,z_score,winner,feature_type,comparison,corpus_a,corpus_b,category,winner_corpus
billions,53,236,-0.9334779712408761,-6.474850180770435,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
integrating,190,538,-0.5193368328407182,-6.384560303203855,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
doers,96,51,1.0678116593797062,6.339121503227305,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
iterative,152,112,0.7575124719228734,6.23498907274727,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
aem,56,14,1.7681296791338,6.2104356323398235,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
comfortable,163,473,-0.5420154074368924,-6.195566503117259,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
accessibility,79,288,-0.7520536140865328,-6.1927190893121065,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
gcp,367,886,-0.3707895984019114,-6.172715125351328,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,tech_stack,senior_2026
polygraph,14,130,-1.567232245242324,-6.161860907599122,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
bias,31,171,-1.1240231133417566,-6.136441608395337,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
opt,18,138,-1.4080374280118164,-6.117160868185243,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
produced,52,11,1.9186972195838283,6.112487540623666,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
augmented,16,132,-1.4695453616295202,-6.078440924715711,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
varies,132,93,0.8001103597966113,6.05968694180378,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
stakeholder,20,141,-1.3368573933046077,-6.054567764744958,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,org_scope,senior_2026
judgment,47,206,-0.9191695098372001,-5.990904958621336,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
experienceexperience,85,0,4.212326083533881,5.9695663793805345,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
worked,175,144,0.6523698216043332,5.939404944161552,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
xml,104,65,0.9138776284224246,5.932995203273155,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
thrives,40,187,-0.9770774920464405,-5.926816564411838,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
ambiguous,32,167,-1.0750592277865723,-5.919384987237271,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
adhering,85,46,1.0502634441505183,5.900706944031933,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
effectively,647,766,0.3059858798991941,5.869406867165702,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
existing,692,831,0.2924744640681034,5.821213446344369,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
laravel,56,19,1.4877974098361069,5.820346730927657,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
experimentation,50,208,-0.8720156017392986,-5.820085205551779,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
nosql,324,333,0.4405124789346955,5.780047673428003,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
discrimination,9,107,-1.7645611764584155,-5.761098152826309,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
ee,129,95,0.7579636265011356,5.746451693665659,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
scripting,464,520,0.3581249099844932,5.742735791511989,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
calling,10,108,-1.688981863801997,-5.732177544864899,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
involves,62,232,-0.7757803612198382,-5.680404777812928,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
completed,81,45,1.0254377634346916,5.669745169148918,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
transparency,59,224,-0.7889985606719483,-5.647356120178363,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
profitable,56,21,1.3947594752561843,5.64617303128349,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
desirable,108,74,0.8265336797965395,5.617161728695183,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
powershell,169,144,0.6190797454802395,5.590907020624353,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
install,51,17,1.5041734158758846,5.58135663294707,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
participating,192,172,0.5713613124683903,5.573035887677745,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
facilitate,121,89,0.7590974638109182,5.571832270165665,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
happens,18,122,-1.3030810413044973,-5.569794106108604,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
liable,111,78,0.8025301155974125,5.569439779543819,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
scala,222,209,0.5240470202939163,5.567454414479216,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,tech_stack,senior_2024
solves,59,25,1.28057121873886,5.542679497328496,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
hundreds,57,216,-0.7872658508854231,-5.537139967447967,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
improves,16,116,-1.3606300509189717,-5.532048109573774,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
stipend,16,115,-1.3532574757884266,-5.495786899344311,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
looks,12,105,-1.518313372342135,-5.482097743540405,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
occasional,38,169,-0.9322162528020792,-5.474233860318655,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
charge,22,129,-1.1775286094349084,-5.4593805675433815,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
anticipated,29,146,-1.043098812573283,-5.441420705048741,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
depend,38,168,-0.9268717850926738,-5.438434016254509,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
scribd's,0,116,-3.2803975874564335,-5.430837623522152,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
nurture,11,101,-1.5579340637868206,-5.421132456315197,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
referrals,5,91,-2.0795781322757794,-5.418554790790182,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
frequent,42,10,1.812264570444782,5.416488892454262,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
tangible,13,105,-1.4517490362752463,-5.397332599988176,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
reproducible,1,102,-2.933325973331555,-5.391465591106832,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
verbal,360,393,0.38298852557286445,5.375650934821532,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
willing,194,179,0.5431871784386582,5.366755072800081,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
pcf,41,10,1.7904480300301913,5.333403438096169,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
robustness,21,123,-1.1765435449630433,-5.3286213235878686,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
layers,45,181,-0.8414255270927846,-5.302772542541816,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
enabled,57,209,-0.7571685551401188,-5.300412696105691,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
modes,14,104,-1.3812577469487257,-5.270135245227181,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
gpt,4,86,-2.192928156746895,-5.268673801464514,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,ai_tool,senior_2026
involved,93,63,0.8373200769051516,5.2631895671068945,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
sending,44,14,1.547161817867547,5.246924073099299,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
powering,24,128,-1.0941787924510384,-5.232582299109923,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
strengthening,6,86,-1.9070622923348104,-5.230939130648148,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
contexts,8,89,-1.7124120223475057,-5.220308568072623,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
safely,23,125,-1.1108090705418174,-5.213268747969868,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
fundamentals,112,326,-0.5446113072822945,-5.162715860622831,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
thoughtful,23,123,-1.0965641640274555,-5.1354257858316625,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
ambiguity,54,197,-0.7525139479256762,-5.123593813086133,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
ingestion,73,240,-0.6570913999076025,-5.123092348428524,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
regularly,136,114,0.634597091875511,5.118707011950989,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
certain,70,233,-0.6684638278968924,-5.112938872845193,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
inefficiencies,10,90,-1.5414852684957765,-5.1003180111531226,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
springboot,60,31,1.093962330718301,5.0897605634141785,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
tasks,505,602,0.29919194760080003,5.0784248782703,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
typical,93,282,-0.5824674787972546,-5.063434805849957,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
circumstances,14,98,-1.3306535114005262,-5.037380329925082,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
utilizing,211,208,0.4800861907637888,5.030876947624668,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
analyze,353,395,0.35937218809580784,5.024571887939563,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
developerlocation,60,0,4.212175090195441,5.015259165400283,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
laws,70,230,-0.6565241928415171,-5.01194359184135,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
execution,244,588,-0.3687453993813916,-5.003865400309589,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
anduril's,8,83,-1.6568725627727225,-5.000946176951244,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
reinforcement,8,83,-1.6568725627727225,-5.000946176951244,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
differential,5,78,-1.9694866181364237,-4.999199230181682,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
passionate,432,504,0.3196548615699939,4.993150043162372,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
reinforce,4,77,-2.1183577936129687,-4.986415276612421,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
golang,139,120,0.6064953310138508,4.984700731322948,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
validating,23,119,-1.0672893144506492,-4.976414944640726,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
slos,13,94,-1.3583071198142962,-4.976261817852802,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
tracing,13,94,-1.3583071198142962,-4.976261817852802,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
improve,717,1474,-0.21988568960145383,-4.974841129337444,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
exciting,244,252,0.4356912881937056,4.967020001759705,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
thorough,95,283,-0.5660352924660224,-4.959644548229542,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
removed,4,76,-2.1093650490728884,-4.9535916826563975,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
audiences,61,208,-0.6906010826048945,-4.948621803486555,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
estimate,80,250,-0.610283160653216,-4.943176194839196,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
collect,71,44,0.9218094816422351,4.932242219240092,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
algorithmic,14,95,-1.3040098943204796,-4.916354839153361,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
thanks,53,26,1.1428446811483717,4.916200687215976,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
cicd,58,31,1.0619222569690647,4.909366005234291,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
tradeoffs,29,132,-0.9529783998220589,-4.9042229743066645,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
communicate,423,495,0.3167404622562424,4.89929640266159,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
