rank,source_key,company_name_canonical,postings,known_seniority_n,yoe_known_n,j1_entry_n,j2_entry_associate_n,j3_yoe_le2_n,j4_yoe_le3_n,j1_share_all,j2_share_all,j1_share_known_seniority,j2_share_known_seniority,j3_share_yoe_known,j4_share_yoe_known,max_junior_share,max_junior_variant,any_aggregator,aggregator_posting_share,manual_category,top20_manual_reviewed
28,kaggle_asaniczka,Anyscale,7,0,4,0,0,4,4,0.0,0.0,,,1.0,1.0,1.0,J3,false,0.0,direct employer,false
29,scraped_linkedin,Donatech Corporation,7,0,1,0,0,0,1,0.0,0.0,,,0.0,1.0,1.0,J4,false,0.0,direct employer,false
30,kaggle_arshkon,Franklin Fitch,7,4,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,J4,false,0.0,direct employer,false
31,scraped_linkedin,Inspira Financial,7,3,4,0,0,2,4,0.0,0.0,0.0,0.0,0.5,1.0,1.0,J4,false,0.0,direct employer,false
32,kaggle_asaniczka,Prime Video & Amazon MGM Studios,7,0,7,0,0,0,7,0.0,0.0,,,0.0,1.0,1.0,J4,false,0.0,tech-giant intern pipeline,false
33,scraped_indeed,RELX Group,7,3,3,0,0,1,3,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,J4,false,0.0,direct employer,false
34,scraped_linkedin,"Redolent, Inc",7,1,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,J3,false,0.0,direct employer,false
35,scraped_linkedin,Retell AI,7,7,5,0,0,4,5,0.0,0.0,0.0,0.0,0.8,1.0,1.0,J4,false,0.0,direct employer,false
36,scraped_linkedin,SeatGeek,7,6,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,J3,false,0.0,direct employer,false
37,scraped_linkedin,Xylem,7,2,5,0,0,2,5,0.0,0.0,0.0,0.0,0.4,1.0,1.0,J4,false,0.0,direct employer,false
38,kaggle_asaniczka,Bosch México,6,2,3,1,1,1,3,0.16666666666666666,0.16666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,J4,false,0.0,direct employer,false
39,scraped_indeed,CNH Industrial,6,0,5,0,0,2,5,0.0,0.0,,,0.4,1.0,1.0,J4,false,0.0,direct employer,false
40,scraped_linkedin,Client Server Technology Solutions LLC,6,0,5,0,0,0,5,0.0,0.0,,,0.0,1.0,1.0,J4,false,0.0,bulk-posting consulting,false
41,kaggle_arshkon,Cogent Communications,6,0,5,0,0,5,5,0.0,0.0,,,1.0,1.0,1.0,J3,false,0.0,direct employer,false
42,scraped_linkedin,Eightfold AI,6,3,5,0,0,4,5,0.0,0.0,0.0,0.0,0.8,1.0,1.0,J4,false,0.0,direct employer,false
43,scraped_linkedin,Elsevier,6,3,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,J4,false,0.0,direct employer,false
44,scraped_linkedin,HackerRank,6,1,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,J4,false,0.0,direct employer,false
45,scraped_linkedin,Illumio,6,4,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,J3,false,0.0,direct employer,false
46,scraped_linkedin,Integrity Technology Consultants,6,5,2,1,1,2,2,0.16666666666666666,0.16666666666666666,0.2,0.2,1.0,1.0,1.0,J3,false,0.0,bulk-posting consulting,false
47,scraped_linkedin,Pariveda,6,4,4,0,0,0,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,J4,false,0.0,direct employer,false
48,kaggle_asaniczka,Phoenix Operations Group,6,0,3,0,0,2,3,0.0,0.0,,,0.6666666666666666,1.0,1.0,J4,false,0.0,direct employer,false
49,scraped_linkedin,Pismo,6,6,6,0,0,6,6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,J3,false,0.0,direct employer,false
50,kaggle_arshkon,Radley James,6,4,2,2,2,1,2,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,1.0,1.0,J4,false,0.0,staffing firm,false
