uid,source_bucket,period_bucket,title_lc,requirement_breadth,tech_count,soft_skill_count,org_scope_count,management_STRICT_count,ai_count,desc_len_chars,snippet
asaniczka_be89666c60802c1e,asaniczka,2024,sr principal software engineer,42,31,6,3,0,0,5758,"as a senior principal software engineer at you are a full-stack engineer and a role in the of and maintainable systems. you will projects end-to-end, collaborating on product definitions with product architecting and implementing with teams, and ensuring after deployment. this position closely with to facilitate platform and when necessary participate in a of the applications using tools and methodologies. you will lead and participate in design discussions and other activities. you’re comfortable working independently as as other team members. you’re pragmatic, and comfortable with ambiguity. you’ll be to and with strong business judgment to make the about technology choices. you’ll for while bringing into how to refine and improve the system, ultimately ensuring and an user experience. s"
linkedin_li-4393283956,scraped,2026,software engineer [multiple positions available],41,33,0,1,0,6,2974,"duties: participate in application and with a on kubernetes and microservices architecture. develop, debug, and maintain code in a using including python, pyspark, java, and querying including sql and graphql. create frameworks in python using libraries such as pandas for data and pytest for testing. create front-end frameworks and libraries such as react and node.js for user for azure openai llms with docker on aws ecs. develop, debug, and maintain code with a on restful api and server-side on aws ecs. build data with aws services using ec2, s3, stepfunctions, api and cloud architecture. utilize terraform and cloudformation for as code. and maintain airflow for and ci/cd with jenkins, liquibase, and spinnaker. agile methodologies such as ci/cd, application and security, with a on maintain"
linkedin_li-4388262868,scraped,2026,lead software engineer - full stack-generative ai,41,25,2,3,1,9,2499,"as a lead software engineer specializing in full stack engineering and generative ai at the and you deep engineering expertise and work agile teams to build, and deliver market-leading technology products in a and way. you skills in full stack and to consistently the for business contribute to the and existing products and technology and at the of best and advances. this role focuses on establishing and capabilities, best and reusable frameworks, a for ai that accelerates and consistency business functions. **job responsibilities** | * lead the design and of ai-driven to optimize and business processes. * develop using proficiency in (llms), frameworks, and integrating these with backend (java, python) and frontend (react) systems. * build and maintain high-quality software using java, spr"
linkedin_li-4389538335,scraped,2026,r&t software engineer 3 (h/f) - safran cabin inc.,41,24,2,2,2,9,3796,"in the role of r&t software engineer 3 you'll a part on our engineering team. the r&t software engineer 3 as the lead in and design of airworthiness software for the business. this position requires full-stack engineering knowledge and skills to to develop and technologies such as ai/ml cloud and mobile/web applications deployment. the position requires of the business and in-depth to evaluate design, technology, time and to architect a pragmatic that will satisfy business objectives. the position also requires the to a of and mentor more junior software engineers. the responsibility of this position is to develop end-to-end for / customers and for use. the r&t software engineer 3 will and/or engineering teams and projects to engineering and r&t products/systems and components. using engin"
linkedin_li-4376424499,scraped,2026,principal software engineer,41,28,1,2,1,7,3543,"**principal engineer – ai/ml** **the role** you will a team on and re‑architecting platforms where needed. this work will on simplification, modernizing technology, increasing and utilizing ai tools. as more of our products ai capabilities, you will teams in selecting the and integrating them effectively. you will also a role in and maintaining our ai infrastructure. tiger-team will work alongside the existing teams the before handing over the to them. **what you’ll do** | **build systems that into our products** ai | **tools** like copilot and platforms to product capabilities and engineering efficiency. design a | , multi-tenant of ingesting billions of from disparate (web, mobile, in real-time. implement ai/ml the data to automate , , and **data labeling** . develop probabilistic and de"
linkedin_li-4382532401,scraped,2026,sme ai/ml engineer,40,21,3,3,1,10,3918,"this of data and mission-critical capabilities that the to make better-informed using data at scale. modernization is an ai/ml engineer** to the and of data and products used organizations. in this role, you will work alongside partners, and other to translate and requirements into production-ready solutions. you will contribute to product execution, and improvement—helping capabilities are to and positioned for sustained success. this position offers the opportunity to work on a high-visibility, at the of data, and ai technologies. are motivated by comfortable in stakeholder and interested in deep expertise while delivering capabilities with real-world security outcomes. responsibilities** * design, develop, and optimize ai and ml to and capabilities a larger data and ai platform. * build"
linkedin_li-4388555220,scraped,2026,senior ai full stack engineer,39,23,3,3,1,7,3201,"**job senior ai fullstack engineer **duration: project** genentech’s is a and motivated software developer to the director of software engineering at the data & team (cdi&a). the cdi&a team collaborates with a broad of stakeholders involved in the (e.g., medical quality, regulatory). it develops for business problems. to manage the design and of these software products, they a high degree of and while maintaining a on the pulses of the and landscapes. the software engineer will primarily be for designing, and software which with cutting-edge generative ai and applications in with ai full stack and others. their work will our ability to create and deliver that ai to solve problems and user experiences. **the opportunity:** | * and develop software applications to * identify and ai/llm capab"
linkedin_li-4274340488,scraped,2026,machine learning engineer,39,23,2,3,2,7,3037,"we’re a engineer to help design, build, and maintain production-grade ml systems cloud platforms. this role software engineering and ml expertise to translate prototypes into solutions. you’ll own the full ml from and to and using tools like databricks, ai, and other cloud-native platforms. strong skills, and a passion for delivering ai at scale are essential. for this role, we expect the to demonstrate a track of: * collaborating with data teams to deploy ml into production. * hands-on mlops experience, including and management. * designing data and orchestrating data to ml operations. **responsibilities** | **ml system & * design, build, and maintain ml using cloud services (e.g., ai, databricks, sagemaker, azure ml) * develop and microservices, rest and webhooks for ml * implement ci/cd"
linkedin_li-4369697970,scraped,2026,"sr. engineer, software engineering",39,27,3,1,1,7,1969,"**what you'll do** | * architect and ship cloud on aws, azure, or gcp kubernetes) with event-driven microservices and serverless architectures * build ai/ml using frameworks while best for engineering, rag and agent * lead code and and roadmaps * own the full stack—from pixel-perfect, ui to robust django rest and graphql * build real-time features using webrtc, websockets, and server-sent * create and engineering through agent-based, e2e), documentation, and * devops security and ci/cd while establishing observability with tools * lead and mentor teams through agile establishing engineering through and knowledge * collaborate with data engineering teams on and consumption * lead post-mortems, and evaluate ai/ml tools and frameworks * product, design, and engineering to deliver fit-for-purp"
linkedin_li-4377860613,scraped,2026,principal ai - software engineer,39,25,3,3,1,5,3302,"we are a principal software engineer to in the of customer service assistants. you’ll tasks, from design to frontend and backend in a fast-paced and setting. your expertise will be in our product and the customer experience, ensuring and efficient interactions with our assistant. as a team you will be part of a work where each has clear and the to exciting projects. your contributions will help ai-driven and customer by leveraging the ai framework like adk to intent-less, ai agent-driven keeping you abreast of the and technologies in the field. collaborating with cross-functional team you will facilitate and in our offerings, ultimately customer service and boosting user satisfaction. **what you’ll do:** | * design, develop, and maintain and high-performance full-stack ai applications usin"
