uid,source,title,is_swe,is_swe_adjacent,is_control,swe_confidence,swe_classification_tier,swe_classification_llm,desc_preview
asaniczka_b3290a2773ec5a33,kaggle_asaniczka,Senior PeopleSoft HCM Analyst/Developer,False,False,False,0.5207031965255737,unresolved,,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, VISION INFOTECH INC., is seeking the following. Apply via Dice today!
Hello,
Hope you're doing well!!
Please find the requirement below. If you find yourself comfortable with the requirement please r"
asaniczka_09f9143204795c60,kaggle_asaniczka,Senior Quality Engineer,False,True,False,0.7733015418052673,embedding_adjacent,NOT_SWE,"Title:
Senior Quality Engineer
Location:
Onsite, Allentown, PA 18109
Schedule:
M-F 8am-5pm
Type:
Direct/Permanent
Compensation:
Competitive salary with an excellent benefits package
Start date:
Immediate
Overview
Our client is a reputable combination medical device company. They are seeking a Senior"
asaniczka_dfcdf85d004b6dae,kaggle_asaniczka,Process Engineer,False,False,False,0.5203577280044556,unresolved,,"The successful Process Engineer candidate will have responsibilities that can range within all areas of process engineering including: process improvement, new product introduction, technology transfer, process design, capital project support, productivity improvements, equipment commissioning and s"
asaniczka_fe3dfe5a5d4ba729,kaggle_asaniczka,Principal Process Engineer,False,False,False,0.5203577280044556,unresolved,,"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 115,000 co"
asaniczka_95e014365e9cc8c8,kaggle_asaniczka,Cheese Process Engineer I (Capital Projects),False,False,False,0.3177201449871063,unresolved,,"Within our corporate headquarters in Denver – Leprino is seeking a
Cheese Engineer I
(possibility for
Engineer II
or
Senior-
level
varies based on individual experience)
on our
Capital Projects
team to push the boundaries of innovation, increase efficiency, and optimize our production processes. By "
asaniczka_c1549a92c900e324,kaggle_asaniczka,Senior Process Engineer - CHEMICAL MANUFACTURING ONLY,False,False,False,0.3296109437942505,unresolved,,"• Chemical or Mechanical Engineering degree (Bachelor’s/University)
• Experience in a demanding specialty chemical industry.
• Technical Excellence. Basic knowledge of chemistry and combustion. Understanding of Statistical Process Control (SPC) tools and principals. Experience with Analytical proble"
asaniczka_9136200c1f9a2f1f,kaggle_asaniczka,Project Engineer,False,False,False,0.5814323425292969,unresolved,,"Dover Precision Components (DPC) is hiring a
Project Engineer
. We offer competitive pay and benefits, skill set advancement opportunities, and the ability to be a key contributor on the magnetic and fluid film bearings Engineering Team. This role allows for some remote work, but must be local to Pa"
asaniczka_f24d3a51639a9fed,kaggle_asaniczka,Senior Electrical Engineering Technician_R&D (On-site),False,False,False,0.0,unresolved,,"Insulet started in 2000 with an idea and a mission to enable our customers to enjoy simplicity, freedom and healthier lives through the use of our Omnipod® product platform. In the last two decades we have improved the lives of hundreds of thousands of patients by using innovative technology that is"
asaniczka_c92fd93b8bd46433,kaggle_asaniczka,Civil Engineer,False,False,True,1.0,regex,NOT_SWE,"Civil Engineer - Fort Lauderdale
Calvin Giordano & Associates, a SAFEbuilt company, is currently seeking top talent for a Civil Engineer to join their operations in Fort Lauderdale, Florida.
This is professional engineering work in the design and/or review of a variety of engineering projects. The e"
asaniczka_00b8a8426583669f,kaggle_asaniczka,Senior Geotechnical Project Engineer - TDOT,False,False,False,0.2815203070640564,unresolved,,"Senior Geotechnical Project Engineer - TDOT
Requisition Number: 2023-1470-21
S&ME is a reputable and thriving, 100% employee-owned, multi-disciplined civil engineering firm, offering civil, geotechnical, environmental, and construction materials testing and inspection services since 1973. We are pro"
asaniczka_379589ee08d3b3cb,kaggle_asaniczka,PROJECT MANAGER/ENGINEER: HVAC/MEP/MECHANICAL PIPING!,False,False,False,0.2652106285095215,unresolved,,"To Apply for this Job Click Here
An established and growing Mechanical Contractor is seeking a
PROJECT ENGINEER/MANAGER
to join their team and make an immediate impact by providing experienced oversight across projects and providing positive collaboration with clients, vendors, crews, subcontractors"
asaniczka_106439bfff439c9a,kaggle_asaniczka,"Civil Engineer, PE for Iron River, MI, $120k DOE",False,False,True,1.0,regex,,"To Apply for this Job Click Here
Are you a dynamic Civil Engineer ready to take your career to the next level? We have an incredible opportunity for you to showcase your expertise and be a key player in our innovative projects.
Civil Engineer Responsibilities
Project Management: Lead and oversee pro"
asaniczka_04791846257615d4,kaggle_asaniczka,Airframe Design Engineer,False,False,False,0.2839919328689575,unresolved,,"Position: Airframe Design Engineer
Location: Fort Worth, TX, 76118
Duration: 12 Months
Job Type: Contract
Work Type: Onsite
Shift: 1st shift
Pay Rate: 40.00-65.00/Hourly/W2
Overview:
Tekwissen Group is a workforce management provider throughout the USA and many other countries in the world. This cli"
asaniczka_e835b69d006f962e,kaggle_asaniczka,"Lead Controls Engineer -Relocation to Niles, Michigan provided",False,False,False,0.4648681879043579,unresolved,,"If you are a Lead Controls Engineer with experience, please read on! - Relocation to Niles, MI can be provided!
Senior/Lead Controls Engineer
Niles, Michigan (relocation can be provided)
$90k-125k+
Allen Bradley, Siemens, Building From Scratch
Stable company! Looking for a lead controls engineer wit"
asaniczka_1641c1149b0dc15e,kaggle_asaniczka,Senior Project Engineer,False,False,False,0.5814323425292969,unresolved,,"At Company, we recognize that people are our most valuable resource. We nurture that resource by fostering a work environment that encourages communication, respect and recognition. In this environment, Company employees flourish, taking their careers to new levels. In addition to offering a 120 yea"
asaniczka_3a61e892327f377e,kaggle_asaniczka,Engineering Support Specialist,False,False,False,0.0,unresolved,,"OVERVIEW
Longenecker & Associates (L&A) seeks a motivated
Engineering Support Specialist/Technologist
to contribute to our mission supporting our work at a premier national laboratory in Albuquerque, New Mexico.
L&A is a woman-owned small business and trusted partner enabling critical missions acros"
asaniczka_087400cc43d0a7a4,kaggle_asaniczka,Cyber Security Engineer III,False,True,False,0.82,regex,NOT_SWE,"Job Description
Cyber Security Engineer III
***This position requires an active
Secret
clearance. ***
The
Cyber Security Engineer III
will provide critical engineering and documentation support. As an integral part of the team, you'll play a key role in ensuring the implementation and maintenance of"
asaniczka_9a04d7e8c4bc0add,kaggle_asaniczka,SR. MECHANICAL ENGINEER - INDUSTRIAL,False,False,True,0.359489381313324,unresolved,,"Sr. Mechanical Engineer - Industrial
Department:
Industrial
FLSA Designation:
Exempt
PURPOSE
The Senior Mechanical Engineer-Industrial will develop strategies for Industrial growth in new and existing markets and collaborate with the team on implementation of strategy and delivery of projects. This "
asaniczka_2bf1dd0da04edee3,kaggle_asaniczka,Manufacturing Engineer,False,False,False,0.506581723690033,unresolved,,"Seeking an Engineer with experience in a fast paced medical device manufacturing company. Must have a minimum of 5 years of experience. Competitive benefits and excellent benefit packages available.
Description:
· Improve manufacturing efficiency, production yields, product quality, and consistency "
asaniczka_36db454eb29ad085,kaggle_asaniczka,Lead Field Engineer – Rail & Transit Facilities and Structures,False,False,False,0.36970219016075134,unresolved,,"Ardmore Roderick is seeking a Lead Field Engineer to join our team who will report directly to a Project Resident Engineer. As the first assignment, the Lead Field Engineer will undertake responsibility for project construction inspection and documentation of a major transit station and substation c"
asaniczka_f0aa64e0f8cdf57f,kaggle_asaniczka,Electrical Field Engineer,False,False,False,0.44573208689689636,unresolved,,"Position Title: Electrical Field Engineer
Location: San Antonio
Duration: 12 Months
Job Type: Contract
Work Type: Onsite
Shift:
Travel: Yes, 5%
Pay Rate: 45-48/Hourly/W2
Overview:
TekWissen Group is a workforce management provider throughout the USA and many other countries in the world. Our client "
asaniczka_a249151f770a4260,kaggle_asaniczka,Senior Engineer I – Electrical Engineer,False,False,True,0.5766596794128418,unresolved,NOT_SWE,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment "
asaniczka_bc6e8a6232044826,kaggle_asaniczka,Engineering Technician,False,False,False,0.0,unresolved,,"Come be a part of something big! Smart Minds, Cool Jobs and Awesome Rewards! Fueled by innovation, talent and ambition, the Air Force Civilian Service (AFCS) is seeking civilian professionals prepared to deploy war-winning capabilities for the United States Air Force.
The Air Force Civilian Service "
asaniczka_c506569a4d44f943,kaggle_asaniczka,Field Service Engineer - 80% Travel,False,False,False,0.42540574073791504,unresolved,,"Title:
Field Service Engineer
Location:
Dallas - 80% Travel - Out of state travel
Salary:
$60,000 - $95,000 + OTE
Requirements:
Pneumatic, Hydraulic, PLC
This is a FULL-TIME position, with 80% travel across the country. We have been in business for over 20 years and have over 1000 employees! We are "
asaniczka_e91546729b6ace85,kaggle_asaniczka,Process Engineer,False,False,False,0.5203577280044556,unresolved,,"Position:
Process Engineer
Salary:
Up to $90,000
Location
: Castle Hayne, N.C.
Department
: Production/Operations
Education/Experience:
Bachelor’s degree in engineering required, Chemical Engineering preferred.
Two years of experience in Manufacturing and engineering required; in the chemical indust"
asaniczka_f7e513172136f3d5,kaggle_asaniczka,Assistant Project Engineer,False,False,False,0.41581055521965027,unresolved,,"Construction Project Engineer, Houston, TX
Exciting Opportunity for a Assistant Project Engineer with a Respected General Contractor in Houston, TX
We are currently seeking a highly qualified Project Engineer to join our esteemed General Contractor based in Houston, TX. The ideal candidate will poss"
asaniczka_c2a866e3e43adafe,kaggle_asaniczka,Process Engineering Leader,False,False,False,0.0,unresolved,,"Would you like to be a part of a company that's experiencing explosive growth?
How about working for a company that's solved a long-standing problem of how to get rid of and what to do about organic waste?
As a
Senior
Process Engineer
you will be designing and commissioning industrial equipment for "
asaniczka_949e374c92af2e32,kaggle_asaniczka,Teamcenter Admin / Implementation Consultant / Developer / Solution Architect,False,False,False,0.48654988408088684,unresolved,,"Greetings from Intelizign !!!
Technically, Intelizign is a PLM / CAD / CAE Services and Solutions organization with a strong passion for Product Lifecycle Management applications like Siemens Teamcenter, NX Customization and Dassault Systèmes 3DEXPERIENCE along with allied technologies. In addition "
asaniczka_8b2448f5ac8f4658,kaggle_asaniczka,Manufacturing Engineer,False,False,False,0.506581723690033,unresolved,,"Our client operates a number of shops at its facility in Albany, Georgia. From fabricating and machining raw materials into parts, molding fiberglass components, welding subassemblies, and fuselages, assembly of components, small items, and large component paint, all the way up to the wing and aircr"
asaniczka_5a5202d2a672a279,kaggle_asaniczka,Azure Active Directory Engineer - Contract,False,False,False,0.47495728731155396,unresolved,,"Azure Active Directory Engineer
Remote (Eastern Time Zone)
6+Months
Phone+Skype
Job Description And Duties
The Senior Active Directory Engineer provides support, implementation, and design services for Microsoft Active Directory and Windows-based systems across the enterprise, including directory an"
asaniczka_ce4c911ba2928a37,kaggle_asaniczka,Industrial Engineer,False,False,False,0.463242769241333,unresolved,,"TAT Limco Airepair, a subsidiary of TAT Technologies, is looking for a qualified Industrial Engineer. The company is an MRO services (Maintenance, Repair and Overhaul) provider for heat exchangers and other thermal aircrafts parts. The company employs 180 employees and work with various airlines aro"
asaniczka_9c0d7131a5ed4296,kaggle_asaniczka,AEM Developer at Austin/TX or SFO/CA,False,False,False,0.48413071036338806,unresolved,,"Need
AEM Developer (Java/Sping Boot)
in
Austin/TX or SFO/CA
. 100% onsite job. Please send an email (aamna.anwar@xcutives.com) to know more about this position.
Job Title: AEM Developer
Location:
Austin/TX or SFO/CA
Type: C2C
Job Description
Must Skills: Akamai CDN, Basic Java Coding, AEM 6.5 versio"
asaniczka_59e68154083e6060,kaggle_asaniczka,Electrical Controls Maintenance Engineer,False,False,False,0.3702252507209778,unresolved,,"Job Details:
Electrical Maintenance Engineer
My client has an immediate need for a hands-on Electrical Engineer to join their team. This person will be responsible for managing the maintenance activities of the electrical Dept within the plant,
NEEDED!
BS - Electrical Engineering + 4 years of experi"
asaniczka_79e10c9f767b00f0,kaggle_asaniczka,Controls Engineer,False,False,False,0.5162924528121948,unresolved,,"CONTROLS ENGINEER
Job Description:
Responsible for the designing, engineering, and procuring mechanical and electrical equipment and systems for the assembly area.
Programs the assembly equipment, and supports manufacturing needs.
Assist and repair engineering related electrical breakdowns on the as"
asaniczka_d337b88dd4d253a2,kaggle_asaniczka,Network Engineer (NY/NJ/CT/PA),False,True,False,0.82,regex,NOT_SWE,"Honest Networks is hiring a Network Engineer to join our rapidly expanding team. The hours for this full-time position would be 8am-4pm from Tuesday-Saturday.
Primary Responsibilities
Responding quickly and thoughtfully to incoming support inquiries and issues
Communicating directly with existing an"
asaniczka_d0cbf96f1ef46a55,kaggle_asaniczka,Senior Mechanical Engineer (HVAC),False,False,True,0.3365384340286255,unresolved,NOT_SWE,"Job Description
Senior Mechanical Engineer (HVAC)
Help us build the future and we’ll help you build a rewarding and purposeful career.
Our global network is made up of architects, designers, planners, engineers, and environmental scientists all working towards the same goal.
Join a team that brings "
asaniczka_dc75c118a2562f08,kaggle_asaniczka,"Manager, Process Quality Engineering (Harry's & Flamingo)",False,False,False,0.0,unresolved,,"About Harry's
Harry's Inc. started in 2013 with a specific goal: disrupt the shaving industry by creating an innovative, everyday product at a fair price. Since then, Harry's has expanded to Canada and Europe, developed relationships with retailers such as Target and Walmart, expanded our grooming b"
asaniczka_9a188a9c36cd60b1,kaggle_asaniczka,Java Mulesoft Lead Developer,False,False,False,0.5011739134788513,unresolved,,"Hi,
Please let me know if you are available and looking for a project. I have an urgent req for Mulesoft Lead Developer req with my client in NYC NY. Currently its remote working until covid. The req is given below. IF you are interested please send me your profile in word document, minimum expected"
asaniczka_18946acd58736ade,kaggle_asaniczka,Sr. Flight Control Systems Engineer,False,False,False,0.576147198677063,unresolved,,"Job Description
Supernal is leading the way in creating innovative transportation solutions that prioritize the needs of all people. We are designing a brand-new electric aircraft that can take off and land vertically, and it is specifically tailored to the transportation needs of future cities. Thi"
asaniczka_cf36a7f419fbcda6,kaggle_asaniczka,Senior Project Engineer,False,False,False,0.5814323425292969,unresolved,,"Qualifications
Academic:
Minimum - Associates Degree in Information Systems or 2 years related experience Preferred - Bachelors in Information Systems or 5 years related experience
Experience:
Minimum - 5 years related experience/Preferred - 5 years’ experience with Azure Cloud/Microsoft 365. 5 year"
