uid,source,title,swe_confidence,swe_classification_tier,swe_classification_llm,desc_preview
linkedin_li-4389560892,scraped,Lead DevSecOps Engineer,0.9,title_lookup_llm,SWE,"**Senior DevSecOps Engineer.** 

**Salary Range: 165-170K** 

**Hybrid. 3 days onsite / 2 days remote.** 

**US PERSONS ONLY. NO VISA SPONSORSHIP.** 

  

 Our client is a high tech provider of cutting edge scientific monitoring equipment utilized in the semiconductor and pharmaceutical industries. "
linkedin_li-4390038070,scraped,AI Automation Engineer,0.9,title_lookup_llm,,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Complete Staffing Solutions, is seeking the following. Apply via Dice today!
   

  

 The Automation Engineer is responsible for leading the design, implementation, and maintenance of automated and "
linkedin_li-4390148684,scraped,Senior Test Engineer,0.9,title_lookup_llm,SWE,"**Here are the Job details for your review.**

**Job Role: Sr. Test Engineer** 

**Job Location:** 

**8200 Coral Sea Street NE, Mounds View, Minnesota, 55112** 

**Job Duration: 24 months(Contract)** 

  

**JOB DESCRIPTION**

**Additional position details from the manager:** 

**Can you please con"
linkedin_li-4390331280,scraped,Automation Test Engineer,0.9,title_lookup_llm,,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmploy"
linkedin_li-4391530308,scraped,Test Engineer,0.9,title_lookup_llm,NOT_SWE,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmploy"
linkedin_li-4392687097,scraped,Artificial Intelligence Engineer,0.9,title_lookup_llm,,"**About the Role** 
 We are seeking an exceptional AI Engineer to join our growing team and take a leading role in building and evolving our internal AI-powered agent platform used across the organization.
 

 In this role, you will design, build, and improve AI-powered applications that integrate l"
linkedin_li-4392949942,scraped,Big Data Developer,0.9,title_lookup_llm,,"**RQ00111 -Senior Big Data Engineer-Location: Rockville, MD or Tysons, VA** 

**F2F IS A MUST after prescreening** 

**Requirements:** 

 Sr. Big Data Engineer – AWS, Hadoop, Athena, Glue (Catalog), Lake Formation, Trino, EKS, AI, CI/CD \& MCP Server
 

  

 We are looking for a Senior Big Data Engi"
linkedin_li-4393800814,scraped,AI Developer,0.9,title_lookup_llm,,"**AI Developer / Consultant**
 DC /VA - Onsite
   

  

**Required Skills \& Experience**
* 5–8 years of experience in AI/ML development, orchestration, or ITSM automation.
* Prior work in regulated enterprise environments (banking, government, or multilateral organizations).
* Exposure to AI govern"
linkedin_li-4394423819,scraped,Senior Test Engineer,0.9,title_lookup_llm,NOT_SWE,"**Senior Test Engineer - Relocation to Tulsa, OK provided!**
 This Jobot Job is hosted by: David DeCristofaro
   

  

 Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume.
   

  

 Salary: $100,000 - $135,000 per year
   

  

**A bit about us:**
 We are a l"
linkedin_li-4395260182,scraped,Test Engineer II,0.9,title_lookup_llm,NOT_SWE,"**Turning Space into a Transportation Layer for Earth**
**Who We Are**
 Eras of humanity can often be defined by a dominant transportation mode - horse-drawn chariots, ocean-going boats, or aircraft. These were spurred by a small group of people rigorously focused on building technology to achieve f"
linkedin_li-4396351838,scraped,Lead Test Engineer,0.9,title_lookup_llm,SWE_ADJACENT,"**Position Summary:** 

 We are looking for a Test Engineering Lead in the greater Nasvhille area. The Test Engineering Lead will perform the following functions:
 

  

 • Work with the TE Manager to establish priorities for work done by the Test Engineers.
 

 • Act as the SME for test development"
linkedin_li-4397297225,scraped,Artificial Intelligence Engineer,0.9,title_lookup_llm,SWE,"AI Solution Architect \| Hybrid
 

  

 This employer is a globally recognized leader in technology and engineering, dedicated to solving complex national security and civil government challenges. They are known for their commitment to innovation, client success, and fostering a culture of growth an"
linkedin_li-4397620721,scraped,"Senior Associate, Data Engineering",0.9,title_lookup_llm,SWE,"Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today's most important industries. Our growth is driven by delivering real results for our clients. It's also enabled by our culture, which encourages individual development,"
linkedin_li-4398130500,scraped,Big Data Developer,0.9,title_lookup_llm,,"We are looking to Hire on:
 

  

**Job Title : Hadoop Data Engineer** 

**Location : Scottsdale, AZ (100% Onsite)** 

**Job Type : Contract** 

  

**Required Qualifications:** 

 • Strong Experience in Scala, Spark, Hive SQL, Hadoop and Kafka
 

 • Proficiency in Hive and SQL optimization.
 

 • U"
linkedin_li-4400237351,scraped,Test Engineer,0.9,title_lookup_llm,SWE_ADJACENT,"**Job#: 3030021**
**Job Description:**
 ETL \& Database Automation Test Engineer
   

  

**Location:** 
 Jersey City, New Jersey (Onsite)
   

  

**Employment Type:** 
 Contract
   

  

 Role Overview
   

  

 We are seeking a Test Engineer for a contract position. The ideal candidate will have "
linkedin_li-4400602843,scraped,Senior Software Test Engineer,0.9,title_lookup_llm,SWE_ADJACENT,"**Syms Strategic Group (SSG)** 
 is seeking a talented
 **Senior Software Test Engineer**
**Location:** 
 Remote
   

  

**Department:** 
 Veterans Affairs (VA)
   

  

**Type:** 
 Full Time
   

  

**Min. Experience:** 
 Experienced
   

  

**Security Clearance Level:** 
 Public Trust (MBI)
   "
linkedin_li-4402234774,scraped,Test Development Engineer,0.9,title_lookup_llm,NOT_SWE,"**Job Title: Test Development Engineer**
**Job Description**
 This role focuses on designing and developing mechanical test fixtures, test stands, and specialized test equipment to support rigorous mechanical testing of high-reliability, high-safety products. The Test Development Engineer will own t"
