title_norm,n_2024,n_2026,n_ai_2024,n_ai_2026,share_2024,share_2026,share_delta_pp
ui developer,11.0,2.0,0.0,0.0,0.0012356773758705909,0.00026136957658128593,-0.09743077992893048
enterprise technology - senior system engineer,8.0,0.0,0.0,0.0,0.0008986744551786115,0.0,-0.08986744551786115
lead product engineer,8.0,0.0,0.0,0.0,0.0008986744551786115,0.0,-0.08986744551786115
software engineering lead,8.0,0.0,0.0,0.0,0.0008986744551786115,0.0,-0.08986744551786115
sr. qa automation engineer,9.0,1.0,0.0,0.0,0.001011008762075938,0.00013068478829064296,-0.0880323973785295
associate data engineer,9.0,1.0,0.0,0.0,0.001011008762075938,0.00013068478829064296,-0.0880323973785295
senior frontend software engineer,9.0,1.0,3.0,1.0,0.001011008762075938,0.00013068478829064296,-0.0880323973785295
software developer 4,9.0,1.0,0.0,0.0,0.001011008762075938,0.00013068478829064296,-0.0880323973785295
sr software developer,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
senior ui developer,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
software engineer level 3,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
"software development engineer, amazon stores",7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
application engineer (multiple openings) - ihm,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
application engineer (full stack),7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
mobile architect,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
application development manager,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
sr. infrastructure engineer,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
senior c# developer,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
sr. product engineer,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
sr .net developer,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
sr automation engineer,7.0,0.0,0.0,0.0,0.0007863401482812851,0.0,-0.07863401482812851
programmer analyst,8.0,1.0,0.0,1.0,0.0008986744551786115,0.00013068478829064296,-0.07679896668879685
principal product engineer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
sr python developer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
"lead, software engineer",6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
sr. embedded software engineer lead,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
sr reliability engineer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
sr. principal systems engineer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
senior front-end developer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
programmer analyst 4,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
senior programmer analyst,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
senior linux systems engineer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
senior software systems engineer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
senior systems engineer (onsite),6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
junior java developer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
senior mobile developer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
sr principal engineer software,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
senior java developer (consultant),6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
systems engineer - strategics,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
scala developer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
senior lead engineer- generative ai engineering (remote-eligible),6.0,0.0,6.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
sr. systems engineer - soc,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
principal engineer software,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
systems engineer lead,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
senior .net software engineer,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
lead software architect,6.0,0.0,0.0,0.0,0.0006740058413839587,0.0,-0.06740058413839586
senior embedded engineer,7.0,1.0,0.0,0.0,0.0007863401482812851,0.00013068478829064296,-0.06556553599906421
information technology infrastructure engineer,7.0,1.0,0.0,0.0,0.0007863401482812851,0.00013068478829064296,-0.06556553599906421
principal application engineer,7.0,1.0,0.0,0.0,0.0007863401482812851,0.00013068478829064296,-0.06556553599906421
principal firmware engineer,7.0,1.0,1.0,0.0,0.0007863401482812851,0.00013068478829064296,-0.06556553599906421
software engineer - senior,7.0,1.0,0.0,0.0,0.0007863401482812851,0.00013068478829064296,-0.06556553599906421
systems engineer iv,7.0,1.0,0.0,0.0,0.0007863401482812851,0.00013068478829064296,-0.06556553599906421
software engineer (e),7.0,1.0,0.0,0.0,0.0007863401482812851,0.00013068478829064296,-0.06556553599906421
senior front end / full stack developer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
principal automation engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
java application developer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
mbse systems engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
senior front-end engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
web architect,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
mid software engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
ansible platform engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
qa automation lead engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
senior software full stack engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
sr. application developer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
product engineer lead (hard goods),5.0,0.0,5.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
"senior software engineer, back end",5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
systems engineer ii or iii,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
sr qa engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
sr. azure cloud engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
software developer senior,5.0,0.0,1.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
"software development engineer, aws marketplace",5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
sr developer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
software solutions architect,5.0,0.0,1.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
lead front end developer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
senior azure data engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
"senior software development engineer, amazon stores",5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
senior software development engineer in test (sdet),5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
radar systems engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
linux systems engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
sr. system test engineer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
sr. net developer,5.0,0.0,0.0,0.0,0.0005616715344866322,0.0,-0.056167153448663215
chief systems engineer,6.0,1.0,0.0,0.0,0.0006740058413839587,0.00013068478829064296,-0.05433210530933157
senior backend developer,6.0,1.0,0.0,1.0,0.0006740058413839587,0.00013068478829064296,-0.05433210530933157
senior system test engineer,6.0,1.0,1.0,0.0,0.0006740058413839587,0.00013068478829064296,-0.05433210530933157
it infrastructure engineer,6.0,1.0,0.0,0.0,0.0006740058413839587,0.00013068478829064296,-0.05433210530933157
windows systems engineer,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
lead android developer,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
"lead software engineer, front end",5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
senior software engineer (golang),5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
sr cloud engineer,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
product engineer i,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
"senior software engineer, full-stack",5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
devops manager,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
senior front end developer,5.0,1.0,0.0,1.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
sr. qa engineer,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
systems engineering lead,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
quality assurance automation lead,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
senior principal systems engineer,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
linux system engineer,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
applications developer,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
quality systems engineer,5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
software engineer (c++),5.0,1.0,0.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
application engineer iii,5.0,1.0,0.0,1.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
senior golang developer,5.0,1.0,1.0,0.0,0.0005616715344866322,0.00013068478829064296,-0.04309867461959892
