company,y2024,y2026,pivoted
Innova Solutions,Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
Insight Global,DevOps / SRE / platform,Defense & cleared regulated work,True
IntePros,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
Intel,Java enterprise (Spring/microservices),Embedded / firmware,True
Intellectt Inc,Defense & cleared regulated work,Data engineering (Spark/ETL),True
JPMorgan Chase & Co.,Defense & cleared regulated work,Java enterprise (Spring/microservices),True
Jobot,JS frontend (React/TypeScript),JS frontend (React/TypeScript),False
Jobs via eFinancialCareers,Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
KPG99 INC,Defense & cleared regulated work,.NET / ASP.NET full-stack,True
KTek Resourcing,Java enterprise (Spring/microservices),,True
Kavaliro,Java enterprise (Spring/microservices),.NET / ASP.NET full-stack,True
"LanceSoft, Inc.",AWS cloud SDE (Amazon template),DevOps / SRE / platform,True
Ledgent Technology,DevOps / SRE / platform,Agile/Scrum generalist,True
Leidos,Defense & cleared regulated work,DevOps / SRE / platform,True
Leonardo DRS,Defense & cleared regulated work,Embedded / firmware,True
LinkedIn,LLM / GenAI / ML engineering,LLM / GenAI / ML engineering,False
Lorven Technologies Inc.,Amazon program boilerplate,Java enterprise (Spring/microservices),True
MITRE,Defense & cleared regulated work,Defense & cleared regulated work,False
Macquarie Group,JS frontend (React/TypeScript),LLM / GenAI / ML engineering,True
Mastech Digital,Python web backend (Django/Flask),Data engineering (Spark/ETL),True
Matlen Silver,.NET / ASP.NET full-stack,.NET / ASP.NET full-stack,False
Meta,Embedded / firmware,LLM / GenAI / ML engineering,True
"Metasys Technologies, Inc.",DevOps / SRE / platform,,True
Microsoft,Generic JS/Python boilerplate,LLM / GenAI / ML engineering,True
Mindlance,Defense & cleared regulated work,DevOps / SRE / platform,True
"Miracle Software Systems, Inc",.NET / ASP.NET full-stack,JS frontend (React/TypeScript),True
"Mission Technologies, a division of HII",Defense & cleared regulated work,US gov SCI-cleared SWE,True
Motion Recruitment,DevOps / SRE / platform,DevOps / SRE / platform,False
Mphasis,.NET / ASP.NET full-stack,Data engineering (Spark/ETL),True
NBCUniversal,Data engineering (Spark/ETL),DevOps / SRE / platform,True
NLB Services,DevOps / SRE / platform,LLM / GenAI / ML engineering,True
Navy Federal Credit Union,Azure data platform,,True
Netflix,LLM / GenAI / ML engineering,JS frontend (React/TypeScript),True
Netsmart,DevOps / SRE / platform,,True
New York Technology Partners,Data engineering (Spark/ETL),Data engineering (Spark/ETL),False
Nityo Infotech,DevOps / SRE / platform,DevOps / SRE / platform,False
Northrop Grumman,Defense & cleared regulated work,Defense & cleared regulated work,False
OKAYA INFOCOM,DevOps / SRE / platform,,True
OSI Engineering,DevOps / SRE / platform,Embedded / firmware,True
Open Systems Technologies,Defense & cleared regulated work,GPU / CUDA / systems perf,True
Optomi,Defense & cleared regulated work,Java enterprise (Spring/microservices),True
Oracle,DevOps / SRE / platform,DevOps / SRE / platform,False
Palo Alto Networks,Defense & cleared regulated work,LLM / GenAI / ML engineering,True
Parsons Corporation,DevOps / SRE / platform,Agile/Scrum generalist,True
Photon,Java enterprise (Spring/microservices),JS frontend (React/TypeScript),True
Pinterest,LLM / GenAI / ML engineering,LLM / GenAI / ML engineering,False
Piper Companies,DevOps / SRE / platform,DevOps / SRE / platform,False
Precision Technologies,iOS / Swift mobile,LLM / GenAI / ML engineering,True
PriceSenz,Embedded / firmware,,True
Procore Technologies,JS frontend (React/TypeScript),LLM / GenAI / ML engineering,True
Pronix Inc,DevOps / SRE / platform,,True
Publicis Sapient,Data engineering (Spark/ETL),JS frontend (React/TypeScript),True
"Pyramid Consulting, Inc",Java enterprise (Spring/microservices),Data engineering (Spark/ETL),True
"Q1 Technologies, Inc.",LLM / GenAI / ML engineering,Android / Kotlin mobile,True
Qualcomm,GPU / CUDA / systems perf,Defense & cleared regulated work,True
Quantum World Technologies Inc.,Java enterprise (Spring/microservices),Data engineering (Spark/ETL),True
Raas Infotek,.NET / ASP.NET full-stack,Java enterprise (Spring/microservices),True
Radley James,DevOps / SRE / platform,JS frontend (React/TypeScript),True
Randstad Digital Americas,Defense & cleared regulated work,Java enterprise (Spring/microservices),True
Raytheon,Defense & cleared regulated work,Defense & cleared regulated work,False
Revature,JS frontend (React/TypeScript),,True
"Reveille Technologies,Inc",DevOps / SRE / platform,.NET / ASP.NET full-stack,True
Robert Half,DevOps / SRE / platform,JS frontend (React/TypeScript),True
Robinhood,DevOps / SRE / platform,Android / Kotlin mobile,True
Rocket Lab,Defense & cleared regulated work,Defense & cleared regulated work,False
Rockstar Games,.NET / ASP.NET full-stack,DevOps / SRE / platform,True
Rose International,Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
Russell Tobin,Defense & cleared regulated work,Defense & cleared regulated work,False
SAIC,Defense & cleared regulated work,Defense & cleared regulated work,False
SSi People,.NET / ASP.NET full-stack,.NET / ASP.NET full-stack,False
Selby Jennings,LLM / GenAI / ML engineering,Java enterprise (Spring/microservices),True
ServiceNow,Defense & cleared regulated work,LLM / GenAI / ML engineering,True
Sibitalent Corp,JS frontend (React/TypeScript),Python web backend (Django/Flask),True
"Sira Consulting, an Inc 5000 company",Embedded / firmware,.NET / ASP.NET full-stack,True
Siri InfoSolutions Inc,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
Smart IT Frame LLC,Azure data platform,Defense & cleared regulated work,True
Snap Inc.,iOS / Swift mobile,Embedded / firmware,True
Software Technology Inc.,.NET / ASP.NET full-stack,JS frontend (React/TypeScript),True
"Softworld, a Kelly Company",Embedded / firmware,Embedded / firmware,False
Solomon Page,Agile/Scrum generalist,Agile/Scrum generalist,False
Soni,.NET / ASP.NET full-stack,,True
State Farm,AWS cloud SDE (Amazon template),DevOps / SRE / platform,True
State Street,Agile/Scrum generalist,Agile/Scrum generalist,False
Stealth Startup,Defense & cleared regulated work,LLM / GenAI / ML engineering,True
"Stellar Consulting Solutions, LLC",Java enterprise (Spring/microservices),,True
Strava,iOS / Swift mobile,LLM / GenAI / ML engineering,True
Synechron,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
SynergisticIT,Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
System One,Defense & cleared regulated work,Java enterprise (Spring/microservices),True
System Soft Technologies,Defense & cleared regulated work,Java enterprise (Spring/microservices),True
TEKsystems,Python web backend (Django/Flask),DevOps / SRE / platform,True
"TSR Consulting Services, Inc.",Data engineering (Spark/ETL),Data engineering (Spark/ETL),False
Talener,DevOps / SRE / platform,LLM / GenAI / ML engineering,True
Talent Groups,Azure data platform,.NET / ASP.NET full-stack,True
"Tanisha Systems, Inc",Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
Tata Consultancy Services,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
Tech Consulting,DevOps / SRE / platform,Amazon program boilerplate,True
TechDoQuest,Java enterprise (Spring/microservices),,True
TekWissen ®,Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
Tesla,JS frontend (React/TypeScript),LLM / GenAI / ML engineering,True
The Intersect Group,DevOps / SRE / platform,LLM / GenAI / ML engineering,True
The Judge Group,Data engineering (Spark/ETL),LLM / GenAI / ML engineering,True
The Walt Disney Company,Java enterprise (Spring/microservices),Data engineering (Spark/ETL),True
Themesoft Inc.,Defense & cleared regulated work,Java enterprise (Spring/microservices),True
Thermo Fisher Scientific,Defense & cleared regulated work,Defense & cleared regulated work,False
TikTok,LLM / GenAI / ML engineering,LLM / GenAI / ML engineering,False
U.S. Bank,Agile/Scrum generalist,Agile/Scrum generalist,False
USAA,Java enterprise (Spring/microservices),DevOps / SRE / platform,True
UST,DevOps / SRE / platform,LLM / GenAI / ML engineering,True
Uber,LLM / GenAI / ML engineering,LLM / GenAI / ML engineering,False
Unisys,DevOps / SRE / platform,LLM / GenAI / ML engineering,True
United Software Group Inc,Java enterprise (Spring/microservices),,True
"V-Soft Consulting Group, Inc.",Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
VDart,DevOps / SRE / platform,DevOps / SRE / platform,False
"VMC Soft Technologies, Inc",JS frontend (React/TypeScript),DevOps / SRE / platform,True
VT Group (VTG),Defense & cleared regulated work,Java enterprise (Spring/microservices),True
Venmo,Data engineering (Spark/ETL),Defense & cleared regulated work,True
"Veridian Tech Solutions, Inc.",Java enterprise (Spring/microservices),Agile/Scrum generalist,True
Verizon,DevOps / SRE / platform,Java enterprise (Spring/microservices),True
Viasat,DevOps / SRE / platform,Embedded / firmware,True
Virtusa,Defense & cleared regulated work,DevOps / SRE / platform,True
Visa,DevOps / SRE / platform,Agile/Scrum generalist,True
VySystems,Java enterprise (Spring/microservices),DevOps / SRE / platform,True
WEX,DevOps / SRE / platform,Data engineering (Spark/ETL),True
WHOOP,Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
Wells Fargo,Java enterprise (Spring/microservices),DevOps / SRE / platform,True
Western Union,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
Westinghouse Electric Company,Defense & cleared regulated work,Defense & cleared regulated work,False
Wipro,DevOps / SRE / platform,Java enterprise (Spring/microservices),True
Workday,Java enterprise (Spring/microservices),DevOps / SRE / platform,True
World Wide Technology,DevOps / SRE / platform,Agile/Scrum generalist,True
"Yoh, A Day & Zimmermann Company",DevOps / SRE / platform,DevOps / SRE / platform,False
"Zillion Technologies, Inc.",Defense & cleared regulated work,,True
"Zodiac Solutions, Inc",JS frontend (React/TypeScript),LLM / GenAI / ML engineering,True
eBay,Data engineering (Spark/ETL),DevOps / SRE / platform,True
eTeam,Agile/Scrum generalist,LLM / GenAI / ML engineering,True
hackajob,Java enterprise (Spring/microservices),DevOps / SRE / platform,True
myGwork - LGBTQ+ Business Community,Agile/Scrum generalist,LLM / GenAI / ML engineering,True
