uid,title,desc_snippet,swe_confidence,swe_classification_tier,source
asaniczka_c5b189c849a581d0,Principal Firmware Engineer,"This role is for a client of Recruiting from Scratch.
Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and",0.9,title_lookup_llm,kaggle_asaniczka
asaniczka_719b73b1826be388,Senior MLOps Engineer,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is ",0.9,title_lookup_llm,kaggle_asaniczka
arshkon_3905662741,Quality Assurance Engineer,"Company Description
 
Quick Silver Systems, Inc. is a leading provider of a state-of-the-art 100% web-based Policy and Claims Processing System for the insurance industry. Our customizable system offe",0.9,title_lookup_llm,kaggle_arshkon
asaniczka_327a2cc9672998af,Senior Software Quality Engineer,"Follow procedures to guide software and systems development and ensure best engineering practice compliance with relevant regulatory requirements
Lead in the effective application, compliance, and con",0.9,title_lookup_llm,kaggle_asaniczka
arshkon_3904719398,Junior Developer,"Title: Junior Software Developer

Location: Pasadena, TX 77505 (Hybrid: 3 days onsite / 2 days remote)

Duration: Direct Hire

Work Requirements: US Citizen, GC Holders or Authorized to Work in the U.",0.9,title_lookup_llm,kaggle_arshkon
linkedin_li-4397801195,Artificial Intelligence Engineer,"**Job Title: AI Engineer** 

**Location: McLean, VA** 

**Type: Full time** 

  

 Our client is looking for a highly skilled AI Engineer to help build next‑generation AI systems and large‑scale machi",0.9,title_lookup_llm,scraped
linkedin_li-4393034994,Automation Engineer,"Title: AI Automation Engineer (QA/Test Automation)
 

**Location:** 
 Charlotte, NC – Hybrid 2x a week (Tu/Wed)
 

**Duration:** 
 18-month contract
 

**Pay Rate:** 
 $50-54/hr
 

  

**About the Rol",0.9,title_lookup_llm,scraped
linkedin_li-4390784215,Lead Quality Assurance Engineer,"We are looking for an exceptional and self-motivated Lead QA Engineer to support several exciting projects in Austin, TX. You will own the quality and testing efforts of the team to ensure completion ",0.9,title_lookup_llm,scraped
linkedin_li-4391610238,Quality Assurance Engineer 2,"Are you passionate about ensuring the safety and reliability of life-saving medical devices? At Hologic, we are seeking a
 **Quality Assurance Engineer – Product Quality** 
 to play a critical role in",0.9,title_lookup_llm,scraped
linkedin_li-4390381729,Data Science Engineer,"**Role: Data Science Engineer / Data Scientist (1099 Only)** 

**Job Type:** 
 Contract
 

**Location:** 
 Easton, Pennsylvania
 

**Duration:** 
 12 Months (Extension Possible)
 

**Work Model:** 
 H",0.9,title_lookup_llm,scraped
linkedin_li-4388398326,Automation Engineer,"**🚀 Automation Engineer (DeltaV → 800xA) \| Long-Term Project \| Onsite – NC** 

 We’re partnering with a specialized automation consulting group supporting a
 **large-scale system modernization initi",0.9,title_lookup_llm,scraped
linkedin_li-4390541779,Software Test Engineer,"**MANTECH** 
 seeks a motivated, mission-focused
 **Software Test Engineer** 
 to join our team in
 **Hanover, MD.** 
 As part of a dynamic team, you will support software development initiatives for ",0.9,title_lookup_llm,scraped
asaniczka_8d81a0d0ead01ab7,QA Engineer,"As a QA Engineer at Kixie, you will be responsible for:
Collaborating with cross-functional teams, including developers, product managers, and designers, to understand software requirements and design",0.9,title_lookup_llm,kaggle_asaniczka
asaniczka_f15510fb17229113,Automation Engineer,"An Automation Engineer is responsible for automation and control systems design, specifications, programming and simulation of production equipment. The position collects task data, creates project sc",0.9,title_lookup_llm,kaggle_asaniczka
arshkon_3904955100,Senior QA Engineer,"Overview

Job Purpose

The ICE MT AIQ Analyzer team is seeking a Senior Quality Assurance Engineer who has experience in the software testing, test automation using java-based test frameworks. This ro",0.9,title_lookup_llm,kaggle_arshkon
linkedin_li-4397433355,Sr Test Engineer,"**Role Overview**
**Senior Test Engineer Job Description**
 A Senior Test Engineer is responsible for designing, developing, and executing test strategies to ensure high-quality software delivery. Thi",0.9,title_lookup_llm,scraped
linkedin_li-4397074183,Test Automation Engineer,"**What are “must-have” skills for this role:** 
 User Acceptance Testing, Order to Cash, Test Management, eCommerce
 

  

**Job duties/responsibilities :** 

  

 Responsibilities: As a Test Automati",0.9,title_lookup_llm,scraped
linkedin_li-4394976321,QA Engineer,"Anduril Industries is a defense technology company with a mission to transform U.S. and allied military capabilities with advanced technology. By bringing the expertise, technology, and business model",0.9,title_lookup_llm,scraped
linkedin_li-4393990019,Software Test Engineer,"**Stefanini Group is hiring!** 

**Stefanini is looking for a Software Test Engineer, Dearborn, MI (Onsite)** 

**For quick apply, please reach out to Saurabh Kapoor at 248-582-6559/saurabh.kapoor@ste",0.9,title_lookup_llm,scraped
linkedin_li-4279675352,QUALITY ASSURANCE ENGINEER,"**Overview**
 Magnera's purpose is to better the world with new possibilities made real. For more than 160 years, the originating companies have delivered the material solutions their partners need to",0.9,title_lookup_llm,scraped
asaniczka_728f486055f75776,Automation Engineer,"Position Summary
In this role you will be responsible for writing playbooks and modules to implement hardening controls and manage configuration tools in a variety of environments at different accredi",0.9,title_lookup_llm,kaggle_asaniczka
arshkon_3904361394,Software Engineering Lead,"About The Business

LexisNexis® Risk Solutions provides customers with solutions and decision tools that combine public and industry specific content with advanced technology and analytics to assist t",0.9,title_lookup_llm,kaggle_arshkon
asaniczka_55cb4c7d42f1e107,Test Engineer,"Company Description
MUST be authorized to work in the United States for any employer.
MUST be available to start working within 3 weeks of offer acceptance date.
SEGULA TECHNOLOGIES is hiring a
Test E",0.9,title_lookup_llm,kaggle_asaniczka
linkedin_li-4394584846,Software Test Engineer,"**POSITION OVERVIEW** 

 Are you passionate about delivering high-quality software that makes a real impact in healthcare? We’re seeking a driven Software Test Engineer to help shape the future of med",0.9,title_lookup_llm,scraped
linkedin_li-4392032902,Programmer,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of i",0.9,title_lookup_llm,scraped
asaniczka_bf6aa51388fd7837,Developer III with Security Clearance,"Job Title:Developer III Locations:Multiple Locations (Rock Island IL ; Fort Huachuca, AZ ; Fort Detrick, MD ; Fort Stewart, GA ; Carlisle Barracks, PA ; Fort Dix, NJ; Ft Rucker, AL; Ft. Eisenhower, GA",0.9,title_lookup_llm,kaggle_asaniczka
