title,desc_snippet,yoe_min_years_llm,seniority_final,op,period
Junior Fullstack Java Programmer,"Responsibilities:
Develop and maintain server-side applications using Java and Spring Boot.
Design and implement scalable and responsive front-end solutions.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the",,entry,OP_A_junior_title,2024-01
Junior Data Engineer,"We are a technology-based firm that utilizes our proprietary platform to develop and implement quantitative strategy overlays for our clients. We deploy our strategies across equities, futures, and foreign exchange instruments. Our clients include in",,entry,OP_A_junior_title,2024-01
Full Stack Java Developer Junior Level,"PLC
: Junior Developer
Posting Title
: Full Stack Java Developer
Required Experience
: 2+ years software development
Preferred Experience:
Healthcare, Medicaid or Health Exchange
Required Technical Skills:
2+ years Core Java/J2EE, Spring Framework, O",2,entry,OP_A_junior_title,2024-01
"Full Stack Developers, Junior and Mid","Responsibilities
Kforce has a client that is seeking Full Stack Developers, Junior and Mid in McLean, VA. In this role, you will generate payload (flat file or xml/Json), Microservices/ APIs, Spring Boot, Container, Oracle Database, YAML file creatio",,entry,OP_A_junior_title,2024-01
Junior Software Engineer,"Brooksource API Layer Team – Junior Software Engineer (Java)
Pay Rates:
$35-38/hr. BOE
Location:
On-site in Littleton, CO
Business Objective:
Brooksource was recently awarded a new consulting engagement with one of our biggest Denver based clients. W",1,entry,OP_A_junior_title,2024-01
Full Stack Engineer - Junior/Mid-level,"Who We Are
We are a small team of passionate problem solvers with a commitment to excellence in software development. We care deeply about teamwork and are committed to producing real value for our customers. We believe in taking initiative and follo",2,entry,OP_A_junior_title,2024-01
Junior Cloud Developer,"Hiebing is a full-service marketing agency focused on driving momentum for the brands and clients we serve. We are a curious crew who live by a We Before Me credo, knowing that teams outperform individuals and that we always have each other’s backs. ",2,entry,OP_A_junior_title,2024-01
Junior Test Engineer,"Title Junior Test Engineer
Location Irvine, California (onsite only)
Experience 2 to 5 years
Job Description
Mandatory Skills:
2 to 5 years experience
Assist in TestStand and document the activities for Aircaft In-Flight Entertainment systems
Analyze",2,entry,OP_A_junior_title,2024-01
Junior Testing Engineer,"Adree is currently seeking a Junior Testing Engineer to join our team. As a Junior Testing Engineer at Adree, you will be responsible for assisting in the testing of our software applications to ensure their quality and reliability.
Key responsibilit",,entry,OP_A_junior_title,2024-01
Junior Product Engineer,"*Firearms experience is required.
This role executes the product vision during the development phase, ensuring the features and goals set by the company are met. This role also works with the Canik R&D team to consolidate quality control data and add",5,entry,OP_A_junior_title,2024-01
Junior Test Automation Engineer,"Must have at least 3+ years of work Experience as Test Automation Engineer/Application Engineer
100% Onsite role.
Job responsibilities:
•
o Analyze customer requirements, technical documentation, BOM setup and verify First Article orders are accurate",3,entry,OP_A_junior_title,2024-01
Junior Data Engineer,"Position Summary
The Space Systems Command (SSC) Space Systems Integration Office (SSIO) Science & Engineering Technical Support team is looking for an energetic and innovative Data Engineer to assist in data mining information from multiple DoD repo",2,entry,OP_A_junior_title,2024-01
Junior DevOps Engineer,"Description
Sigma Defense is seeking a
Junior-level
DevOps Engineer
to provide on-site support in Patuxent River, MD USA with experience modernizing large, legacy applications to help us build and run a full DevSecOps environment and workflow for the",2,entry,OP_A_junior_title,2024-01
Junior Systems Engineer,"We are seeking a highly motivated and technically skilled Junior Systems Engineer to join our dynamic team. As a Junior Systems Engineer, you will play a vital role in supporting our infrastructure, assisting with system maintenance, troubleshooting,",,entry,OP_A_junior_title,2024-01
Junior DevOps Engineer with Security Clearance,"Description Sigma Defense is seeking a Junior-level DevOps Engineer to provide on-site support in Patuxent River, MD USA with experience modernizing large, legacy applications to help us build and run a full DevSecOps environment and workflow for the",2,entry,OP_A_junior_title,2024-01
Junior Data Engineer with Security Clearance,"COMPANY OVERVIEW: ANSER enhances national and homeland security by strengthening public institutions. We provide thought leadership for complex issues through independent analysis, and we deliver practical, useful solutions. ANSER values collaboratio",3,entry,OP_A_junior_title,2024-01
Junior Software Engineer,"Medpace's Information Technology team is looking for a full-time, office-based Jr. Software Engineer.
   

  

 Join us in building the digital capabilities that accelerate the global development of safe and effective medical therapeutics through cli",,entry,OP_A_junior_title,2026-04
Junior Developer,"We are seeking a Junior Developer to help design, build, and maintain backend services within a layered, well-architected system. This role is intended for developers who are comfortable navigating existing architectures, contributing meaningful impr",2,entry,OP_A_junior_title,2026-04
Junior AI Solutions Engineer,"**The Role**
 Kana is an agentic AI platform for marketers. We help enterprise brands find better audiences, optimize campaigns, and stay visible in an AI-driven world - using synthetic data enrichment, AI-powered analytics, and answer engine optimiz",,entry,OP_A_junior_title,2026-04
Junior Full Stack Software Developer / Top Secret,"**About Peraton**
 Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world's leading mission capability integrator and transformat",1,entry,OP_A_junior_title,2026-04
junior java programmer/ AI engineer,"**Applied Everywhere? Still No Offers? Let’s Provide the solution.”** 

  

 If you’ve sent out hundreds—maybe thousands—of applications and your inbox is still silent, it doesn’t mean you’re not capable. It usually means your profile isn’t lining up",,entry,OP_A_junior_title,2026-04
Junior Software Engineer with Security Clearance,"Description Active Top Secret (TS/SCI) clearance with polygraph is required. Visionist has an exciting new, fully FUNDED opportunity for a Junior Software Engineer on our largest PRIME contract. Our team of Analysts and Engineers is motivated by the ",3,entry,OP_A_junior_title,2026-04
Junior QA Engineer,"**About Us** 

  

 We are a thriving game development studio based in the heart of Dallas, TX. Our diverse team is passionate about creating games that push the boundaries of creativity and technology. Join an incredible community that thrives on co",1,entry,OP_A_junior_title,2026-04
Junior Full Stack Developer,"**Get to Know Us Better**
 Realtime technologies offers the most flexible cutting-edge Retail Management Solutions that encompass sales, inventory management, frontline employee management and engagement, payments, business intelligence, and digital ",0,entry,OP_A_junior_title,2026-04
Junior Software Engineer (Python),"**Active Top Secret (TS/SCI) Clearance With Polygraph Is Required.**
**Visionist has an exciting new, fully FUNDED opportunity for a Junior Software Engineer on our largest PRIME contract.** 
 Our team of Analysts and Engineers is motivated by the di",3,entry,OP_A_junior_title,2026-04
Junior Software Engineer,"Junior Software Developer \| Remote
 

  

 We're hiring for a leading technology solutions provider serving government and commercial customers with innovative digital and mission-critical services. This employer is renowned for their commitment to ",0,entry,OP_A_junior_title,2026-04
Junior Test Engineer,"**Title – Jr. Test Engineer** 

**Location - Austin, TX (Onsite)** 

**Employment Type – Fulltime Only** 

**Job Description:** 

**Primary Skills** 

 Triage \& Testing Skills, Technology / Product Awareness, Quality / Process Experience
 

**Second",,entry,OP_A_junior_title,2026-04
Junior AI/ML Engineer (Data & Cloud Platforms),"**About Mod Op** 

 Mod Op is a full-service advertising agency able to offer clients a full suite of solutions. Mod Op can offer you access to low-cost, high-quality health care options and a team of enthusiastic, collaborative and motivated coworke",1,entry,OP_A_junior_title,2026-04
Junior Quality Assurance Automation Engineer,"**About Fora**
 Fora is the
 **modern travel agency** 
 , empowering anyone with a passion for travel to build a thriving advisory business. We're modernizing the $100B\+ travel agency industry by combining powerful technology, data, and community to",2,entry,OP_A_junior_title,2026-04
Junior Embedded Software Engineer (cleared),"**Basic Qualifications**
 Bachelor’s degree in Software Engineering, or a related Science, Engineering or Mathematics field. Agile experience preferred.
   

  

**CLEARANCE REQUIREMENTS:**
 Department of Defense SECRET security clearance is required",,entry,OP_A_junior_title,2026-04
Junior Software Developer,"Job Title: Junior Software Developer
   

  

 Job Category: Information Technology
   

  

 Time Type: Full time
   

  

 Minimum Clearance Required to Start: Secret
   

  

 Employee Type: Regular
   

  

 Percentage of Travel Required: None
  ",3,entry,OP_A_junior_title,2026-04
Full Stack Junior,"Vantor is forging the new frontier of spatial intelligence, helping decision makers and operators navigate what’s happening now and shape what’s coming next. Vantor is a place for problem solvers, changemakers, and go-getters—where people are working",2,entry,OP_A_junior_title,2026-04
Junior Software Development Engineer in Test (SDET),"Dice is the leading career destination for tech experts at every stage of their careers. Our client, HTD Resources, LLC, is seeking the following. Apply via Dice today!
   

  

**Job Description:**
**🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨
   

  

 ⚠️🚨 Importa",3,entry,OP_A_junior_title,2026-04
Junior Software Engineer (Web Developer/Programmer),"**Description**
 We are seeking a
 **Junior Software Engineer (Web Developer/Programmer)** 
 to support the design, development, and maintenance of high‑quality websites and web applications. This role works closely with designers, developers, and co",1,entry,OP_A_junior_title,2026-04
Junior Software Engineer (QA/ DevOps Focus),"Upstream Impact is a small, mission-driven software team building products that have real human impact. We care deeply about quality, reliability, and building software that generally helps the people who use it. Because we are a 10-person team, comm",0,entry,OP_A_junior_title,2026-04
Junior Software QA Engineer,"**Title**
 Junior Software QA Engineer
   

  

***Belong. Connect. Grow. with KBR!***
 KBR’s National Security Solutions team provides high-end engineering and advanced technology solutions to our customers in the intelligence and national security ",1,entry,OP_A_junior_title,2026-04
Junior Software Developer,"This position will take part in building and supporting software solutions in Smith’s Learning \& Development architecture with a solid understanding of web frameworks, APIs, databases, and multiple programming languages.
   

  

**Essential Job Dut",,entry,OP_A_junior_title,2026-04
Junior Developer,"w2 or 1099 independent only
   

  

**1-3 Years Experience**
 Hybrid in Quincy, MA
   

  

**Qualifications**
 Minimum experience/skills:
   

  

* Some hands-on coding experience through internships, academic projects, research, technical analyst",,entry,OP_A_junior_title,2026-04
Junior Data Engineer,"Junior Data Engineer \| Hybrid \| $50,700 - $101,300
 

  

 We're hiring for a global healthcare leader dedicated to improving lives through innovative technologies in diagnostics, medical devices, nutrition, and pharmaceuticals. This employer is re",0,entry,OP_A_junior_title,2026-04
Junior Software Engineer,"**Position Summary** 

 We are seeking a hands‑on
 **Software Developer II** 
 with 2\+ years of experience to support the development, maintenance, and enhancement of critical business applications. The ideal candidate is strong in
 **Python scripti",2,entry,OP_A_junior_title,2026-04
Junior AI/ML Engineer (Data & Cloud Platforms),"******About Mod Op******
 Mod Op is a full-service advertising agency able to offer clients a full suite of solutions. Mod Op can offer you access to low-cost, high-quality health care options and a team of enthusiastic, collaborative and motivated c",1,entry,OP_A_junior_title,2026-04
Junior Systems Engineer,"**Who We Are** 
 (video)
   

  

 At JRC, we tackle some of the toughest challenges faced by the Department of Defense (DoD) and other government agencies. Our expertise in engineering innovation and semiconductor technologies allows us to deliver m",2,entry,OP_A_junior_title,2026-04
Junior Software Engineer (Hybrid) - 28171,"Enlighten, honored as a Top Workplace from USA Today, is a leader in big data solution development and deployment, with expertise in cloud-based services, software and systems engineering, cyber capabilities, and data science. Enlighten provides cont",0,entry,OP_A_junior_title,2026-04
Junior Software Developer,"***hackajob** 
 is collaborating with
 **Nightwing** 
 to connect them with exceptional professionals for this role.*
 Nightwing provides technically advanced full-spectrum cyber, data operations, systems integration and intelligence mission support ",1,entry,OP_A_junior_title,2026-04
"Software Engineer ? Autonomy Software, Junior","**Who We Are:** 
 AM Pierce \& Associates and Applied Technologies Group (ATG), a wholly owned subsidiary of AM Pierce and Associates, is a woman-owned small business providing Engineering \& Research, Cyber, C5ISR, Program \& Acquisition Management ",,entry,OP_A_junior_title,2026-04
Junior Data Engineer - Intern,"**Job Description**
*ECS is seeking a
 **Junior Data Engineering Intern** 
 to work in our
 **Fairfax, VA** 
 office for the summer of 2026\.*
 This internship offers a unique opportunity to move beyond the classroom and gain firsthand experience wit",,entry,OP_A_junior_title,2026-04
Junior Software Engineer,"IERUS specializes in electromagnetics phenomenology, computational analytics (algorithm acceleration and machine learning), and weapon systems engineering. These competencies introduce exciting opportunities for a driven software engineer. With proje",1,entry,OP_A2_junior_jr_title,2024-01
Junior Software Engineer,"Apply today for a full time, direct hire position with a large client of ours in Exton, PA, a leading provider of aircraft parts, instruments, and aviation products.
Job Title:
Junior Software Engineer
Location:
Exton, PA
Salary:
$60-75k with 10% bon",,entry,OP_A2_junior_jr_title,2024-01
Junior Data Engineer,"Company Overview
ANSER enhances national and homeland security by strengthening public institutions. We provide thought leadership for complex issues through independent analysis, and we deliver practical, useful solutions. ANSER values collaboration",3,entry,OP_A2_junior_jr_title,2024-01
Junior Full Stack Developer,"HCLTech is looking for a highly talented and self- motivated Junior Full Stack Developer to join it in advancing the technological world through innovation and creativity.
Job Title:
Junior Full Stack Developer
Position Type:
Full-time
Location:
Fort",,entry,OP_A2_junior_jr_title,2024-01
Jr. Software Development Engineer,"Description
Amazon is looking for a highly-motivated Jr. Software Development Engineer (SDE)! Jr. SDEs write real software and collaborate with experienced software engineers who provide guidance and opportunities for ownership on projects that matte",,entry,OP_A2_junior_jr_title,2024-01
Junior AWS DevOps Engineer,"AWS DevOps Engineer
Are you seeking to grow and enhance your technical career to new heights, in a full-time, W-2 opportunity?
What if an organization existed solely for the purpose of investing in YOU, being of service to YOU, showing you how, and s",3,entry,OP_A2_junior_jr_title,2024-01
Junior Data Engineer,"Open Systems Technologies Corporation is a leader in the government contracting marketplace, providing Enterprise Security and Cloud Computing solutions to support large organizations. Our capabilities include supplying federal government entities an",4,entry,OP_A2_junior_jr_title,2024-01
Junior Test Engineer,"Introduction
Visium Resources has been asked to identify qualified candidates for this Junior Test Engineer position. This position is a contract opportunity which is expected to be on-site with extensive travel, for a duration of greater than one ye",5,entry,OP_A2_junior_jr_title,2024-01
Junior Software Engineer,"Junior Software Engineer (Java/ JavaScript)
$50,000 - $55,000 + 401k + Medical + Dental + Vision + PTO + Progression + Training
Fairfax, VA – On-Site
Are you a junior Software Engineer with some commercial experience in software development, looking ",,entry,OP_A2_junior_jr_title,2024-01
Junior Software Developer,"Are you ready to join a team that is on the cutting edge of financial technology? If so, this opportunity may be a great fit for you!
Our client, a successful financial technology and services company, is currently seeking a Junior Software Developer",3,entry,OP_A2_junior_jr_title,2024-01
Junior Data Engineer,"Position Information
The Junior Data Engineer position is part of the Information Technology Solutions (ITS) Data and Analytics Team. Tasked with imperative responsibilities, this role encompasses meticulous data management processes, which include t",0,entry,OP_A2_junior_jr_title,2024-01
Junior Dotnet Developer,"UK based MNC Capita
is
hiring Junior Dot net Developer
as following
,
Job Information
Notice Period: * only Immediate to 30days joiners
Company: Capita
Location: Permanent WFH/Pune
Experience required: 2+yrs
Job type: Permanent/Full time
Job Descript",2,entry,OP_A2_junior_jr_title,2024-01
Junior Data Engineer II,"Job Description Summary
Responsible for the design, development, and maintenance of ETL processes that extract data from SAP systems and load it into BW and other data warehouses. The ideal candidate will have experience with in SAP ERP and BW system",3,entry,OP_A2_junior_jr_title,2024-01
Junior Software Developer,"This position is looking to find a Junior Software Developer who is able to work onsite in Dayton, OH. This is a 6-month contract to hire position that is looking to pay between $28-$37/hr. This is a full stack position that is looking for 1-3 years ",1,entry,OP_A2_junior_jr_title,2024-01
Junior Software Engineer,"Software Engineer (1-3 years)
Remote
Wayne, PA
We are looking for a Software Engineer to be responsible for the architecture and implementation of new software and Big Data applications utilizing both AWS and local data centers. You will analyze, tes",1,entry,OP_A2_junior_jr_title,2024-01
Junior Windows Systems Engineer/Philadelphia Suburbs,"Join a dynamic SaaS team as a Junior Systems Engineer, a full-time position based at the cutting-edge company headquarters in King of Prussia, PA.
As a leader in innovation and efficiency, this company specializes in delivering top-notch software sol",3,entry,OP_A2_junior_jr_title,2024-01
Azure Data Engineer (Junior to Mid level),"BLN24 is an award-winning digital agency that supports the U.S. Federal Government in successfully achieving their mission and goals. Our service and solutions delivery start with understanding each client’s end-state, and then seamlessly integrating",3,entry,OP_A2_junior_jr_title,2024-01
Junior Java Developer,"Role : Java Full Stack Developer
Location : Phoenix, AZ(Onsite) F2F
Full Time
ready to Oniste face to face interview
Required Qualifications
• Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three y",3,entry,OP_A2_junior_jr_title,2024-01
jr Data Engineer,"Position
: Jr Data Engineer
Location
: Raleigh, NC or Boston, MA
Job Length
: Long term
Position Type
: C2C/W2
Qualifications
4 years of Experience in Java , Python , Spark
4 years Experience in Snowflake, Data Pipelines , SQL
Stays current with tech",4,entry,OP_A2_junior_jr_title,2024-01
Junior Software Engineer,"Brooksource API Layer Team – Junior Software Engineer (Java)
Pay Rates:
$35-38/hr. BOE
Location:
On-site in Littleton, CO
Business Objective:
Brooksource was recently awarded a new consulting engagement with one of our biggest Denver based clients. W",1,entry,OP_A2_junior_jr_title,2024-01
Jr. Software Developer & Engineer/Analyst,"Under the direction of senior systems and software engineers, the Engineer / Analyst will perform software development and integration of models into the distributed execution environment of IAMD M&S capabilities to include IAMDSIM and ETESIM. In add",,entry,OP_A2_junior_jr_title,2024-01
Junior Cloud Developer,"Hiebing is a full-service marketing agency focused on driving momentum for the brands and clients we serve. We are a curious crew who live by a We Before Me credo, knowing that teams outperform individuals and that we always have each other’s backs. ",2,entry,OP_A2_junior_jr_title,2024-01
Junior Java Developer,"Essential Duties and Responsibilities
Ability to develop efficient technical solutions in a diverse application environment consisting of corporate and custom-made software systems.
Communicate very effectively with process owners and management, int",3,entry,OP_A2_junior_jr_title,2024-01
Junior Testing Engineer,"Adree is currently seeking a Junior Testing Engineer to join our team. As a Junior Testing Engineer at Adree, you will be responsible for assisting in the testing of our software applications to ensure their quality and reliability.
Key responsibilit",,entry,OP_A2_junior_jr_title,2024-01
Jr Manufacturing Application Engineer,"TITLE:
Application Engineer (Entry Level)
TYPE
: Direct Hire
LOCATION
: Fishers, IN
ONSITE/REMOTE/HYBRID:
Onsite
START DATE
: Q1 2024
SHIFT
: Day
MAIN RESPONSIBILITIES
Setup demo machines with program, tooling, workpiece, and fixtures
Work with fixtu",,entry,OP_A2_junior_jr_title,2024-01
Jr. Java Developer,"Salary: $80,000 - 90,000/year
Principal Activities:
Proven track record of successful cross-team/group collaboration to drive necessary processes and ensure product reliability/stability
Experience with the full software lifecycle covering requiremen",1,entry,OP_A2_junior_jr_title,2024-01
Junior Data Engineer,"Junior Data Engineer - Healthcare
Start: Latest Beginning of March
Salary: £up to £55k
Location: Fully remote but UK based
Our client is a solution driven consultancy to the Life Sciences Sector.
Overview: We are seeking a skilled Junior Data Enginee",2,entry,OP_A2_junior_jr_title,2024-01
Junior DevOps Engineer,"Job Description
Omitron is looking for a talented Junior DevOps Engineer to join our team. We are a company rooted in ensuring mission success across flight operations, trajectory design and analysis, software tools for Space Domain Awareness, and On",2,entry,OP_A2_junior_jr_title,2024-01
Junior DevOps Engineer with Security Clearance,"Description Sigma Defense is seeking a Junior-level DevOps Engineer to provide on-site support in Patuxent River, MD USA with experience modernizing large, legacy applications to help us build and run a full DevSecOps environment and workflow for the",2,entry,OP_A2_junior_jr_title,2024-01
Junior Data Engineer with Security Clearance,"COMPANY OVERVIEW: ANSER enhances national and homeland security by strengthening public institutions. We provide thought leadership for complex issues through independent analysis, and we deliver practical, useful solutions. ANSER values collaboratio",3,entry,OP_A2_junior_jr_title,2024-01
"Jr. Software Development Engineer - Sunnyvale, CA, Jr. Developer Program","**Description**
 Ready to build the foundation of your software engineering career in a growth-focused program? Amazon is looking for highly motivated students to join the Jr. Developer Program (JDP). As a Jr. Software Development Engineer (Jr. SDE),",,entry,OP_A2_junior_jr_title,2026-04
Junior Software Engineer,"CoAspire (https://www.coaspire.com) is a cutting-edge defense manufacturing leader in Northern Virginia, specializing in the precision assembly of advanced weapons systems. With over twelve years of a legacy of innovation, we're at the forefront of b",0,entry,OP_A2_junior_jr_title,2026-04
Jr. Software Developer (Full Stack),"Dice is the leading career destination for tech experts at every stage of their careers. Our client, eSolutionsFirst, LLC, is seeking the following. Apply via Dice today!
   

  

**Qualifications**
 3\+ years experience in Information Technology.
  ",3,entry,OP_A2_junior_jr_title,2026-04
Junior Full Stack Software Engineer (DevSecOps),"**About Peraton**
 Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world's leading mission capability integrator and transformat",2,entry,OP_A2_junior_jr_title,2026-04
Junior Full Stack Software Developer / Top Secret,"**About Peraton**
 Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world's leading mission capability integrator and transformat",1,entry,OP_A2_junior_jr_title,2026-04
Junior Data Engineer,"Data Engineer Intern \| Hybrid
 

  

 We're hiring for a leading, award-winning provider of cloud-based HR and payroll software solutions, recognized for its innovative platform. This company is a fast-growing HCM software provider dedicated to help",,entry,OP_A2_junior_jr_title,2026-04
Student Frontend Developer (Undergrad Sophomore/Junior ),"**What you'll do:** 

* Build and refine core frontend features
* Develop clean, responsive, and intuitive user interfaces
* Improve UX flows to make the platform simple and engaging
* Optimize performance and ensure a smooth user experience across d",,entry,OP_A2_junior_jr_title,2026-04
entry level AI engineer/Junior java developer,"**“Failing Tech Interviews? Or No Interviews ? Lets get you offers with a plan”** 

  

  

 Getting interviews but not converting them into offers is one of the most frustrating stages of a tech job search. It’s also one of the most fixable—because ",,entry,OP_A2_junior_jr_title,2026-04
Junior Software Developer,"This position will take part in building and supporting software solutions in Smith’s Learning \& Development architecture with a solid understanding of web frameworks, APIs, databases, and multiple programming languages.
   

  

**Essential Job Dut",,entry,OP_A2_junior_jr_title,2026-04
"Junior Software Developer (Virtual, Full Time)","WealthCounsel brings together the best - the best drafting software and legal tools, the best educators, the best support staff, and the best collegial community - to cultivate the growth and success of its member attorneys and their clients. We rece",1,entry,OP_A2_junior_jr_title,2026-04
Junior Cyber Software Engineer,"**About Peraton**
 Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world's leading mission capability integrator and transformat",0,entry,OP_A2_junior_jr_title,2026-04
Junior Test Engineer,"**Title – Jr. Test Engineer** 

**Location - Austin, TX (Onsite)** 

**Employment Type – Fulltime Only** 

**Job Description:** 

**Primary Skills** 

 Triage \& Testing Skills, Technology / Product Awareness, Quality / Process Experience
 

**Second",,entry,OP_A2_junior_jr_title,2026-04
Junior Software Engineer,"Sonalysts, Inc. is seeking a junior software engineer to support software development functions for defense system projects. The successful candidate will have experience with Kubernetes and containerized software applications and be a fast learner w",,entry,OP_A2_junior_jr_title,2026-04
Junior Quality Assurance Automation Engineer,"**About Fora**
 Fora is the
 **modern travel agency** 
 , empowering anyone with a passion for travel to build a thriving advisory business. We're modernizing the $100B\+ travel agency industry by combining powerful technology, data, and community to",2,entry,OP_A2_junior_jr_title,2026-04
Jr. Software Developer,"**Junior Software Developer**
**Job Number: 26-00527**
 Want to be part of the Energy Industry? ECLARO is looking for a
 **Junior Software Developer** 
 for our client in
 **Brooklyn, NY.**
 ECLARO's client operates one of the world's largest energy ",5,entry,OP_A2_junior_jr_title,2026-04
"Cloud Engineer, Junior","**Job Number: R0237114**
 Cloud Engineer, Junior
   

  

**The Opportunity** 
**:**
 Everyone is trying to “harness the cloud,” but not everyone knows how. As a cloud computing application architect, you know how to create a cloud-based technical ar",,entry,OP_A2_junior_jr_title,2026-04
Junior Software Development Engineer in Test (SDET),"Dice is the leading career destination for tech experts at every stage of their careers. Our client, HTD Resources, LLC, is seeking the following. Apply via Dice today!
   

  

**Job Description:**
**🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨
   

  

 ⚠️🚨 Importa",3,entry,OP_A2_junior_jr_title,2026-04
Junior Software QA Engineer,"**Title**
 Junior Software QA Engineer
   

  

***Belong. Connect. Grow. with KBR!***
 KBR’s National Security Solutions team provides high-end engineering and advanced technology solutions to our customers in the intelligence and national security ",1,entry,OP_A2_junior_jr_title,2026-04
Junior Software Engineer (SharePoint),"**Location:** 
 Charlotte, NC (Hybrid – three days onsite, two days remote)
 

**Team:** 
 SharePoint Engineer Team
 

**Title:** 
 Junior Software Engineer
 

**Compensation:** 
 $66,560 - $70,720 (depends on experience) for first year salary
 

***",,entry,OP_A2_junior_jr_title,2026-04
Junior RUST Embedded Software Engineer (cleared),"**Basic Qualifications**
 Requires a Bachelor’s degree in Software Engineering, or a related Science, Engineering, Technology or Mathematics field. Also requires 2\+ years of job-related experience, or a Master's degree and 6 months of job-related ex",0,entry,OP_A2_junior_jr_title,2026-04
Junior Test Engineer,"**About Peraton**
 Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world's leading mission capability integrator and transformat",3,entry,OP_A2_junior_jr_title,2026-04
