regex,uid,company,title,first_match,excerpt
strict_v9like,linkedin_li-4380179411,Ascensus,Software Engineer,GitHub Copilot,"in modern JavaScript framework like angular or react. **Preferred Qualifications** * Experience using AI tools such as GitHub Copilot, Cursor IDE, or similar. * Familiarity with CI/CD pipelines and DevOps practices. * Experience working with NoSQL datab"
strict_v9like,linkedin_li-4368822762,JPMorgan Chase & Co.,Software Engineer III - AI/ML,GenAI,"iness functions in support of the firm's business objectives. **Job Responsibilities** * Develop and implement GenAI and Agentic AI solutions using Java and Python to enhance automation and decision-making processes * Design, deploy, an"
strict_v9like,linkedin_li-4375579769,Fisher Investments,Senior AI Engineer – Data and AI,Generative AI,"**Overview** It is an exciting time to join Fisher Investments! We are expanding our Generative AI capabilities to support our international growth. We are looking for a Senior AI Engineer who will design, build, advan"
strict_v9like,linkedin_li-4375158165,American Express,AI Engineer II - Agentic AI,agentic,"tomers and card members expect. Within Amex Technology, we are building platforms, products, and governance that enable agentic AI systems to operate responsibly and at scale across the enterprise. Our focus is on agentic AI development:"
strict_v9like,linkedin_li-4388522733,Capital One,"Lead AI Engineer (Gen AI Platform, Agentic AI & LLM Infrastructure & Orchestration)",foundation model,"our customers interact with Capital One. * Design, develop, test, deploy, and support AI software components including foundation model training, large language model inference, similarity search, guardrails, model evaluation, experimentation, governance,"
strict_v9like,linkedin_li-4397746894,Bilt,Senior Full Stack Engineer,Claude,"lity, testing, and building things that last * Embrace an AI-augmented development workflow—you actively use tools like Claude Code, Cursor, and/or Devin as part of how you build, debug, and ship software **Benefits** * Compensation - We offer a"
strict_v9like,linkedin_li-4382789774,Northern Trust,Principal Software Engineer,GitHub Copilot,"testing and API test automation **AI Tools Enablement (Developer Productivity \& Governance)** * Champion adoption of GitHub Copilot as an AI‑assisted development capability (pair programming, refactoring, debugging, test generation) while ensuring SDL"
strict_v9like,linkedin_li-4399354287,Charles Schwab,Front End .NET Engineer,GitHub Copilot,"s (TDD/BDD) and methodologies, leveraging karma/jasmine and other frameworks. * Leverage AI-assisted development tools (GitHub Copilot etc.) to accelerate coding velocity, including leveraging custom Model Context Protocol (MCP) servers to extend AI cont"
strict_v9like,linkedin_li-4374622506,GM Financial,Software Development Engineer III - GenAI,generative AI,"Why GM Financial Technology Innovation isn’t just a talking point at GM Financial, it’s how we operate. From generative AI and cloud-native technologies to peer-led learning and hackathons, our tech teams are building real solutions that make"
strict_v9like,linkedin_li-4347539928,Avant,"Senior Platform Engineer, Data & Analytics",Generative AI,"will tackle the dual challenge of scaling our core systems for the future while pioneering the practical application of Generative AI to create real business differentiation. You will join a focused, agile team with significant autonomy and a"
strict_v9like,linkedin_li-4398133946,Goldman Sachs,Asset & Wealth Management - Software Engineer - Associate - Dallas,Copilot,"end applications (Angular/React/TypeScript) to deliver seamless user experiences. * Utilize AI coding assistants (e.g., Copilot, Devin, Claude Code) to accelerate boilerplate generation, refactoring, and automated unit test creation (Jest/JUnit)."
strict_v9like,linkedin_li-4398334136,JPMorgan Chase & Co.,Software Engineer [Multiple Positions Available],generative AI,"evelopment and deployment processes; integrating advanced Salesforce features such as Einstein Bots, Prompt Builder, or generative AI; implementing advanced security with Shield Encryption, Event Monitoring, and Field Audit Trail; working in Agile and S"
tooling_only,linkedin_li-4393034994,Insight Global,Automation Engineer,Claude,"rience in test automation (web and API). * Professional AI experience or training, cannot be personal side work (CodeX, Claude code, Copilot, Chatgpt) * Experience with AI prompting * Hands-on experience with Playwright, preferrable TypeScript) *"
tooling_only,linkedin_li-4400249749,Capital One,Lead Software Engineer,LLM,"review and publish marketing content across email, mobile app, site placement and push notifications. You will work on LLM-integrated content generation pipelines, channel-specific content builds, and AI-assisted compliance workflows that ens"
tooling_only,linkedin_li-4335620620,Andersen Corporation,Senior Associate - AI Data Engineer,GenAI,"very. **In This Role, You Will** * Build data pipelines and workflows to prepare data for machine learning and GenAI workloads on Palantir's Foundry and AIP platforms. * Deploy modern tools to support machine learning and LLM operations"
tooling_only,linkedin_li-4396019432,BNY,"Vice President, Full-Stack Engineer",LLM,"pline; mentor teammates and foster a culture of continuous improvement. * Integrate AI and emerging technologies (e.g., LLM APIs, prompt engineering, agentic frameworks) to enhance client and employee experiences and accelerate delivery. * Con"
tooling_only,linkedin_li-4390756498,The Intersect Group,Artificial Intelligence Engineer,generative AI,"learning frameworks such as PyTorch, TensorFlow, or similar * Proven experience applying large language models (LLMs), generative AI, or agent-based frameworks to real business problems * Demonstrated success delivering at least one large-scale ML or A"
tooling_only,linkedin_li-4397746894,Bilt,Senior Full Stack Engineer,Claude,"lity, testing, and building things that last * Embrace an AI-augmented development workflow—you actively use tools like Claude Code, Cursor, and/or Devin as part of how you build, debug, and ship software **Benefits** * Compensation - We offer a"
tooling_only,linkedin_li-4397333645,BNY,"Director, Full-Stack Engineer",GenAI,"roservices architecture. * Knowledge of NoSQL database technologies. * Experience with emerging technologies, including GenAI integration. At BNY, our culture speaks for itself, check out the latest BNY news at: BNY Newsroom"
tooling_only,linkedin_li-4400470631,Akkodis,Machine Learning Engineer,LLM,"e hiring a **Senior Machine Learning Engineer** with deep experience building and deploying **Large Language Model (LLM) solutions at production scale** . This role is for someone who can **design, code, and ship real systems** — not"
tooling_only,linkedin_li-4401797516,"Yoh, A Day & Zimmermann Company",Machine Learning Engineer- Python and Java - W2 only no corps- locals only no relocation,Gen AI,Engineering Chapter team is seeking a Machine Learning Engineer to design implement and improve technical solutions for Gen AI solutions including RAG Prompt Engineering Fine Tuning ML model deployment data pipelines hosting and API Application P
tooling_only,linkedin_li-4393047607,Fitch Ratings,"Senior Software Engineer, Full Stack - AI",LLM,"able, high-impact software. **What We Offer** * Opportunity to work on AI-first product development, embedding LLM capabilities into real-world applications * Ownership of full-stack delivery in a modern, cloud-native engineering envi"
tooling_only,linkedin_li-4384275954,KPMG US,"Manager, Cloud Engineer - Terraform",GenAI,"ledge), Unified Communications, Collaboration, Database/application server architecture, network, information security, GenAI, RAG * Ability to travel as needed * Must be authorized to work in the U.S. without the need for employment-based visa"
tooling_only,linkedin_li-4398355029,Greenlight,Staff Automation Engineer,Agentic,"oving efficiency through automation and best practices using AI technologies. **Your day-to-day:** * Implement Agentic AI and LLM-powered workflows using tools like Tines, AWS Agentcore, AWS Bedrock, Claude Code, etc. * Deploy systems wit"
tooling_only,linkedin_li-4398023516,Motion Recruitment,DevOps Engineer,LLM,"**🚀 Job Opportunity: Redis Engineer 5 with AI \& LLM** **📍 Location: Chandler, AZ 85286 (Hybrid – 3 days on-site)** **⏳ Duration: 12\+ Months (possibility of extension)"
tooling_only,linkedin_li-4313095732,Fisher Investments,AI Engineer – Data and AI,Generative AI,"**Overview** It is an exciting time to join Fisher Investments! We are expanding our Generative AI capabilities to support our international growth. We are looking for an AI Engineer who will design, build, and optimiz"
tooling_only,linkedin_li-4379286870,JPMorgan Chase & Co.,AI/LLM SRE Software Engineer III,OpenAI,"experience with AWS (ECS, Lambda, API Gateway, Bedrock, CloudWatch, RDS, EKS). * Hands-on experience with AWS Bedrock, OpenAI, or LLM APIs. * Expertise in observability tools: OpenTelemetry, Grafana, Prometheus, ELK, CloudWatch. * Experience wit"
tooling_only,linkedin_li-4369606115,JPMorgan Chase & Co.,Applied AI Engineer-Associate,RAG,"rmation) * Proficient in building AI Agents (e.g., LangChain, LangGraph, AutoGen), integration of tools (e.g., API) and RAG based solutions (e.g., open search) * Hands-on experience with software development pipeline and orchestration tools (e"
tooling_only,linkedin_li-4390267232,Wells Fargo,Software Engineer - AI Solutioning (contract),LLM,"security, cost) and deliver them as production systems in Python / Java on OCP / Kubernetes. * AI solutioning: Deliver LLM powered features with Gemini and GPT (prompting, function / tool calling, RAG); design evaluation frameworks (golden se"
tooling_only,linkedin_li-4386874199,Capital One,"Senior Lead Software Engineer (AgenticAI, Python, AWS)",Agentic,"gile practices * 2\+ years of experience with AI/ML operations and deployment experience, * 1\+ year of experience with Agentic AI * 1\+ year of experience with LangChain or LangGraph *Capital One will consider sponsoring a new qualified applican"
tooling_only,linkedin_li-4277241332,ICE,Senior Full Stack Developer,GitHub copilot,"are, and experience with software testing tools, regression testing etc * Working knowledge and use of AI tools such as GitHub copilot, Cursor, or Claude is a plus * Proven success working in a team environment Intercontinental Exchange, Inc. is an Equ"
tooling_only,linkedin_li-4340535829,Bloomberg,Senior Software Engineer - Fixed Income and Derivatives Data Technologies,LLM,cale distributed systems * Experience working with Microservice architectural style * Familiarity with data science and LLM/ML/NLP techniques to help with automation of data processing pipelines * Familiarity with NoSQL Databases Salary Rang
