uid,title,company_name_canonical,period,seniority_3level,yoe_min_years_llm,metro_area,desc_excerpt,thread,ai_match
linkedin_li-4394960985,Software Engineer AI,Trimble Inc.,2026-04,unknown,2,Portland Metro,"**Build the Future: Software Engineer (AI Agentic \& Full Stack)**
 Are you ready to grow your career by blending solid engineering with cutting-edge AI? We are looking for a Software Engineer to join our team as we transition into an AI-augmented development model. In this role, you will contribute to our mission of implementing agentic AI workflows to modernize our core Vista ERP platform and delivering next-generation features that empower the global construction industry.
   

  

**About Us",1b_v9_T34_cluster_models_systems_llm_2026,
linkedin_li-4380645089,Senior Software Engineer - AI Products - Healthtech Leader,Andiamo,2026-03,senior,5,Salt Lake City Metro,"Senior Software Engineer — AI Products
   

  

**About The Role**
 Ship AI-powered product features end-to-end. You’ll integrate LLMs and ML services into user workflows, build evaluation and safety guardrails, and deliver reliable experiences at scale.
   

  

**Responsibilities**
* Design backend services that orchestrate LLMs, retrieval (RAG), and structured business logic.
* Implement evaluation harnesses (offline and online) with quality, cost, and latency KPIs.
* Optimize prompts, fine-t",1b_v9_T34_cluster_models_systems_llm_2026,
linkedin_li-4402141844,Senior Machine Learning Engineer- Credit Karma,Intuit,2026-04,senior,7,San Francisco Bay Area,"**Overview**
 Intuit Credit Karma is looking for a results-oriented and skilled Machine Learning Engineer to join
   

  

 our team, focusing on building and deploying the infrastructure, services, and SDKs enabling
   

  

 Credit Karma’s Data Science teams to prototype, deploy, score, and monitor predictive models
   

  

 at scale. The ideal candidate will have expertise in MLOps, big data technologies, software
   

  

 development, data engineering, deep learning ML frameworks, and is d",1b_v9_T34_cluster_models_systems_llm_2026,
linkedin_li-4401026402,"Machine Learning Engineer, Recommendations - USDS E-commerce Alliance",TikTok USDS Joint Venture,2026-04,junior,,Seattle Metro,"**Responsibilities**
 The e-commerce alliance team aims to serve merchants and creators in the e-commerce platform to meet merchants' business indicators and improve creators' creative efficiency. By cooperating with merchants and creators, we aim to provide high-quality content and a personalized shopping experience for TikTok users, create efficient shopping tools at seller centers, and promote cooperation between merchants and creators.
   

  

 •Build and design large-scale machine learning",1b_v9_T34_cluster_models_systems_llm_2026,
linkedin_li-4367031428,Principal Software Development Engineer,Expedia Group,2026-04,senior,10,Seattle Metro,"Expedia Group brands power global travel for everyone, everywhere. We design cutting-edge tech to make travel smoother and more memorable, and we create groundbreaking solutions for our partners. Our diverse, vibrant, and welcoming community is essential in driving our success.
   

  

**Why Join Us?**
 To shape the future of travel, people must come first. Guided by our Values and Leadership Agreements, we foster an open culture where everyone belongs, differences are celebrated and know that ",1b_v9_T34_cluster_models_systems_llm_2026,
linkedin_li-4393282778,Junior AI/ML Engineer (Data & Cloud Platforms),Mod Op,2026-03,junior,1,,"******About Mod Op******
 Mod Op is a full-service advertising agency able to offer clients a full suite of solutions. Mod Op can offer you access to low-cost, high-quality health care options and a team of enthusiastic, collaborative and motivated coworkers who see career development and personal development as intertwined.
   

  

 At Mod Op, we’re more than just an agency—we’re a team of forward-thinking professionals who are passionate about driving client success. We believe in fostering m",1b_v9_T34_cluster_models_systems_llm_2026,
linkedin_li-4401352366,Machine Learning Engineer,"Syndesus, Inc.",2026-04,senior,3,Austin Metro,"**About the Company** 

  

  

 Our client is revolutionizing healthcare by streamlining knowledge workflows with AI. They reduce administrative burdens and elevate outcomes, empowering professionals to focus on what truly matters — improving lives. They’re growing fast and looking for bold, driven teammates to join them.
 

  

  

**About the Role** 

  

  

 Our client is seeking a hands-on ML/LLM Engineer who’s excited to ship real-world applications — not just benchmarks. You’ll help buil",1b_v9_T34_cluster_models_systems_llm_2026,
linkedin_li-4369728474,"Software Engineer- AI/ML, AWS Neuron Distributed Training - Performance Optimization",Amazon Web Services (AWS),2026-03,unknown,3,Seattle Metro,"**Description**
 Annapurna Labs designs silicon and software that accelerates innovation. Customers choose us to create cloud solutions that solve challenges that were unimaginable a short time ago—even yesterday. Our custom chips, accelerators, and software stacks enable us to take on technical challenges that have never been seen before, and deliver results that help our customers change the world.
   

  

 AWS Neuron is the complete software stack for the AWS Trainium and Inferentia cloud-sc",1b_v9_T34_cluster_models_systems_llm_2026,
linkedin_li-4394730070,"Associate Director, AI Engineer",Dentsu,2026-04,senior,5,,"**Job Description:**
**Reports To:** 
 VP, AI Agents \& Automation
   

  

**Team:** 
 AI Agents \& Automation
   

  

**Role Summary**
 We are seeking an Associate Director, AI Engineer to help build the next generation of AI agents at dentsu. This role is a senior technical individual contributor position focused on designing and delivering multi‑agent systems that transform data intelligence into automated, client‑facing workflows.
   

  

 You will partner closely with the VP of AI Agents",1b_v9_T34_cluster_models_systems_llm_2026,
linkedin_li-4393033569,Artificial Intelligence Engineer,OfferUp,2026-04,unknown,2,Seattle Metro,"**Team Charter:** 

 The Data team is the engine of intelligence at OfferUp. Our mission is to transform massive amounts of marketplace data into seamless, safe, and personalized experiences that empower millions of people to connect and prosper. We bridge the gap between complex algorithms and real-world customer impact across search, trust \& safety, and personalization.
 

  

**About the role:** 

 AI is transforming how millions of people buy, sell, and connect on OfferUp - and this role is",1b_v9_T34_cluster_models_systems_llm_2026,
linkedin_li-4401327876,Forward Deployed Software Engineer,eranova,2026-04,unknown,,Charlotte Metro,"**Role:**
 Forward Deployed Software Engineer, Agentic AI
 

  

**Work Authorization**
 : Eranova is unable to sponsor employment visas for this role. Candidates must already be authorized to work in the U.S.
 

  

**Salary Range**
 : $80,000 – $165,000 (
 *final offers within this range will depend on experience and qualifications* 
 )
 

**Location**
 : Charlotte, NC (Onsite)
 

**Employment Type**
 : Full-Time
 

  

**Role Note**
 :
 

 This role is designed for an exceptional
 **software ",2_fde_title_2026,
linkedin_li-4369840231,"Senior Manager, Forward Deployed AI Engineer",Adobe,2026-03,unknown,5,San Francisco Bay Area,"**The Opportunity**
 Join our “DevOps for Content” revolution, where we partner with global brands and agencies to transform their end-to-end creative workflows—from ideation through activation—to unlock the GenAI-powered Content Supply Chain.
   

  

 As a Manager, Forward Deployed AI Engineering, you will lead, mentor, and inspire a team of Forward Deployed AI Engineers (FDEs)—creative technologists who prototype, build, and launch GenAI-powered solutions and products directly with customers.",2_fde_title_2026,
linkedin_li-4281730145,Lead Forward Deployed Software Engineer,AMD,2026-04,senior,5,Seattle Metro,"**WHAT YOU DO AT AMD CHANGES EVERYTHING**
 At AMD, our mission is to build great products that accelerate next-generation computing experiences—from AI and data centers, to PCs, gaming and embedded systems. Grounded in a culture of innovation and collaboration, we believe real progress comes from bold ideas, human ingenuity and a shared passion to create something extraordinary. When you join AMD, you’ll discover the real differentiator is our culture. We push the limits of innovation to solve t",2_fde_title_2026,
linkedin_li-4381492288,Forward Deployed Data Engineer (TS/SCI),TRM Labs,2026-03,unknown,4,,"Build a Safer World.
   

  

 TRM Labs provides blockchain analytics and AI solutions to help law enforcement and national security agencies, financial institutions, and cryptocurrency businesses detect, investigate, and disrupt crypto-related fraud and financial crime. TRM’s blockchain intelligence and AI platforms include solutions to trace the source and destination of funds, identify illicit activity, build cases, and construct an operating picture of threats. TRM is trusted by leading agen",2_fde_title_2026,
linkedin_li-4338974556,Lead Forward Deployed Software Engineer,PhysicsX,2026-04,senior,,,"**About Us**
 PhysicsX is a deep-tech company with roots in numerical physics and Formula One, dedicated to accelerating hardware innovation at the speed of software.
   

  

 We are building an AI-driven simulation software stack for engineering and manufacturing across advanced industries. By enabling high-fidelity, multi-physics simulation through AI inference across the entire engineering lifecycle, PhysicsX unlocks new levels of optimization and automation in design, manufacturing, and ope",2_fde_title_2026,
linkedin_li-4315924044,"Staff Software Engineer, Forward Deployed",Invisible Technologies,2026-03,senior,8,,"**About Invisible**
 Invisible Technologies makes AI work. Our end-to-end AI platform structures messy data, automates digital workflows, deploys agentic solutions, measures outcomes, and integrates human expertise where it matters most.
   

  

 Our platform cleans, labels, and structures company data so it is ready for AI. It adapts models to each business and adds human expertise when needed, the same approach we have used to improve models for more than 80% of the world’s top AI companies, ",2_fde_title_2026,
linkedin_li-4390485596,"Forward Deployed Software Engineer, Internship - Poland",Palantir Technologies,2026-03,junior,,,"**A World-Changing Company**
 Palantir builds the world’s leading software for data-driven decisions and operations. By bringing the right data to the people who need it, our platforms empower our partners to develop lifesaving drugs, forecast supply chain disruptions, locate missing children, and more.
   

  

**The Role**
 Forward Deployed Software Engineers (FDSEs) work directly with customers to quickly understand their greatest problems and design and implement solutions to use data agains",2_fde_title_2026,
linkedin_li-4349516535,Forward Deployed Software Engineer - NYC,OpenAI,2026-04,unknown,7,Salt Lake City Metro,"**About The Team**
 OpenAI’s Forward Deployed Engineering team partners with customers to turn research breakthroughs into production systems. We operate at the intersection of customer delivery and core platform development.
   

  

**About The Role**
 We are looking for customer-focused software engineers to build effective custom software that leverages OpenAI’s APIs to solve real customer problems. As an FDSWE, you will work with our customers and OpenAI Forward Deployed Engineers to design",2_fde_title_2026,
linkedin_li-4328109330,Forward Deployed Software Engineer- Palantir Foundry- Senior Manager,PricewaterhouseCoopers,2026-04,unknown,8,,"**Specialty/Competency:** 
 Data, Analytics \& AI
   

  

**Industry/Sector:** 
 Not Applicable
   

  

**Time Type:** 
 Full time
   

  

**Travel Requirements:** 
 Up to 80%
   

  

 At PwC, our people in data and analytics engineering focus on leveraging advanced technologies and techniques to design and develop robust data solutions for clients. They play a crucial role in transforming raw data into actionable insights, enabling informed decision-making and driving business growth. In da",2_fde_title_2026,
linkedin_li-4330889781,Forward Deployed Software Engineer-Palantir Foundry-Director,PricewaterhouseCoopers,2026-04,senior,8,,"**Specialty/Competency:** 
 Data, Analytics \& AI
   

  

**Industry/Sector:** 
 Not Applicable
   

  

**Time Type:** 
 Full time
   

  

**Travel Requirements:** 
 Up to 80%
   

  

 At PwC, our people in data and analytics engineering focus on leveraging advanced technologies and techniques to design and develop robust data solutions for clients. They play a crucial role in transforming raw data into actionable insights, enabling informed decision-making and driving business growth. In da",2_fde_title_2026,
linkedin_li-4380010695,Staff AI Engineer,SpotOn,2026-03,senior,5,Raleigh-Durham-Chapel Hill,"**About SpotOn**
 We’re not just building restaurant tech, we’re giving independent restaurants the tools to compete and win. From our award-winning point-of-sale to AI-powered profit tools, everything we do helps operators boost profit, work smarter, and keep their best people. And every solution is backed by real humans who actually give a sh*t about helping restaurants succeed.
   

  

* Named the #1 Restaurant POS by G2 (Fall 2025\), based on ratings from real users
* Rated the top-rated po",3_v9_systems_agent_workflows_2026,
linkedin_li-4388873257,Staff Software Engineer,PayPal,2026-03,senior,8,San Francisco Bay Area,"**The Company**
 PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.
   

  

 We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete ",3_v9_systems_agent_workflows_2026,
linkedin_li-4367047994,Senior Software Engineer - Compute,Aurora,2026-03,senior,5,Pittsburgh Metro,"**Who We Are**
 Aurora’s mission is to deliver the benefits of self-driving technology safely, quickly, and broadly.
   

  

 The Aurora Driver will create a new era in mobility and logistics, one that will bring a safer, more efficient, and more accessible future to everyone.
   

  

 At Aurora, you will tackle massively complex problems alongside other passionate, intelligent individuals, growing as an expert while expanding your knowledge. For the latest news from Aurora, visit aurora.tech ",3_v9_systems_agent_workflows_2026,
linkedin_li-4400488384,"Data Engineer, Data Platform - Distribution",KKR,2026-04,senior,10,Boston Metro,"**Company Overview**
 KKR is a leading global investment firm that offers alternative asset management as well as capital markets and insurance solutions. KKR aims to generate attractive investment returns by following a patient and disciplined investment approach, employing world-class people, and supporting growth in its portfolio companies and communities. KKR sponsors investment funds that invest in private equity, credit and real assets and has strategic partners that manage hedge funds. KK",3_v9_systems_agent_workflows_2026,
linkedin_li-4392394547,Sr Staff Engineer - Applied AI,GEICO,2026-03,senior,8,Washington DC Metro,"**At GEICO, we offer a rewarding career where your ambitions are met with endless possibilities.**
**Every day we honor our iconic brand by offering quality coverage to millions of customers and being there when they need us most. We thrive through relentless innovation to exceed our customers’ expectations while making a real impact for our company through our shared purpose.**
**When you join our company, we want you to feel valued, supported and proud to work here. That’s why we offer The GEI",3_v9_systems_agent_workflows_2026,
linkedin_li-4392950424,C++ Developer - Murex Flex / Front Office Quant Model Integration,Extend Information Systems Inc.,2026-03,unknown,,Salt Lake City Metro,"**Job Title: C\+\+ Developer with Murex Flex / Front Office Quant Model Integration** 

**Location: Midtown NYC, NY (Hybrid)** 

**Duration: Long Term Contract** 

  

  

**Job Description** 

 We are seeking a strong C\+\+ Developer with deep Murex Flex experience to join the Front Office Equities Derivatives (EQD) Technology team. This role sits at the core of Front Office delivery, working at the intersection of Trading, Quantitative Modeling, and Technology.
 

  

 The primary responsibili",3_v9_systems_agent_workflows_2026,
linkedin_li-4372012940,Staff Full-Stack Engineer — Customer Value + Performance Intelligence (Tech Lead),BetterUp,2026-04,senior,7,,"**Let’s face it, a company whose mission is human transformation better have some fresh thinking about the employer/employee relationship.**
 We do. We can’t cram it all in here, but you’ll start noticing it from the first interview.
   

  

 Even our candidate experience is different. And when you get an offer from us (and accept it), you get way more than a paycheck. You get a personal BetterUp Coach, a development plan, a trained and coached manager, the most amazing team you’ve ever met (ye",3_v9_systems_agent_workflows_2026,
linkedin_li-4361433062,Lead Software Engineer,Cars Commerce,2026-03,senior,8,,"**Be Essential At Cars Commerce**
 At Cars Commerce, we’re fanatical about simplifying everything about car buying and selling. We do right by our customers and consumers to better connect the industry with simplified and tierless technology to enhance, measure and drive local automotive retail. Whether through our No.1 most recognized marketplace, Cars.com, our industry-leading digital experience, Dealer Inspire, our trade and appraisal technology, AccuTrade, our reputation-based digital wholes",3_v9_systems_agent_workflows_2026,
linkedin_li-4401333662,Senior AI Agent Engineer,Primary Talent Partners,2026-04,senior,5,Charlotte Metro,"Primary Talent Partners has a new contract opening for a
 **Senior AI Agent Engineer** 
 with our large power and utilities client in Charlotte, NC. This is a 12-month contract with a potential for extension.
   

  

  

**Pay:** 
**$89\.00 - $99\.00/hr** 
 ; W2 contract, no PTO, no Benefits. ACA-compliant supplemental package available for enrollment. Candidates must be legally authorized to work in the United States and must be able to sit on Primary Talent Partners W2 without sponsorship.
  ",3_v9_systems_agent_workflows_2026,
linkedin_li-4391915976,Software Engineer III,Jobs via Dice,2026-03,unknown,8,Raleigh-Durham-Chapel Hill,"**About AgentOps**
 AgentOps is the enterprise engineering foundation for building, operating, and governing
 **AI agents and digital workers** 
 as production-grade systems. We are enabling the shift from simple chat-based experiences to agentic systems that can reason, plan, use tools, and execute complex workflows reliably across the enterprise.
   

  

 Our mission is to provide the platform capabilities, reusable
 **skills** 
 , and operational controls required to scale intelligent digita",3_v9_systems_agent_workflows_2026,
linkedin_li-4400264721,Full Stack Java Developer,MPower Plus,2026-04,unknown,,Austin Metro,"Title: Full Stack Java Developer
 

 Location: Austin, TX, Sunnyvale, CA.
 

 Duration: 6 months (with possible extension)
 

  

 Technical Skills:
 

 Java, Angular, Spring Boot / Microservices, SQL (PL/SQL, MySQL)
 

  

 Domain Expertise:
 

 Experience in Learning Management Systems (LMS) preferred
 

  

 Nice to Have:
 

 Experience with IMC Learning Suite (ILS)
 

 Prior exposure to Saba LMS (not mandatory, as it is being sunset)",4_legacy_neighbors_2026,False
linkedin_li-4401191808,DevOps Engineer,Jobs via Dice,2026-04,unknown,3,,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Robert Half, is seeking the following. Apply via Dice today!
   

  

**Description**
 Position: DevOps Engineer (Mobile-First)
   

  

 Location: Remote - Full Time \| Direct Hire
   

  

 Salary: $140,000 - 160,000 base annual salary \+ bonus \+ excellent benefits
   

  

 *** For immediate and confidential consideration, please send a message to MEREDITH CARLE on LinkedIn or send an email t",4_legacy_neighbors_2026,False
linkedin_li-4399631928,DevOps Engineer,CodeplixAI,2026-04,senior,,New York City Metro,"**W2 Position NO C2C and Third Party ( USC - H4EAD - OPT )** 

  

**Job Title: Senior DevOps Engineer (with AI/GenAI Skills)** 

**Location:** 
 Roseland, NJ (Hybrid – 3 days onsite)
 

  

**Job Description:** 

 We are looking for a
 **Senior DevOps Engineer with AI/GenAI exposure** 
 to help accelerate AI capabilities within DevOps processes. This role requires a hands-on engineer who can work on
 **CI/CD, cloud infrastructure, and Kubernetes** 
 , while also exploring and integrating
 **AI-",4_legacy_neighbors_2026,True
linkedin_li-4398790041,DevOps Engineer,"Shield Consulting Solutions, Inc.",2026-04,unknown,8,Washington DC Metro,"* Active TS/SCI w/Polygraph REQUIRED** Please do not apply if you do not currently possess this level of clearance.

 Telework: None
   

  

**Basic Requirements**
* Bachelor’s degree in a technical field.
* 8 years of applicable professional experience.

**Job Description**
* As part of the Secure the Enterprise initiative, develop capabilities to shift from the current manual system security evaluation and authorization process to a new model that emphasizes automation, streamlined processes ",4_legacy_neighbors_2026,False
linkedin_li-4399165237,DevOps Engineer,Haystack,2026-04,unknown,5,Raleigh-Durham-Chapel Hill,"**AI Cloud Engineer \| Hybrid** 

  

 This employer is a prominent leader in the mortgage insurance sector, dedicated to facilitating homeownership. They are looking for an experienced professional to help operationalize AI at scale and contribute to their mission through innovative cloud solutions.
 

  

**The Role** 

  

 • Design, build, and operate enterprise-grade GenAI platforms on AWS.
 

 • Engineer robust, secure, and reusable GenAI capabilities using DevOps best practices.
 

 • Dev",4_legacy_neighbors_2026,True
linkedin_li-4388227876,Web Developer,Grover Gaming,2026-03,unknown,3,Raleigh-Durham-Chapel Hill,"Position Summary
   

  

 Now part of Light \& Wonder, Grover Gaming brings a legacy of innovation, integrity, and game design excellence to our growing team. Known for its award-winning electronic gaming experiences and vibrant culture, Grover Gaming has built a reputation as a top workplace and a trusted name in the industry. Together, we’re expanding our impact and shaping the future of charitable gaming with even greater creativity, purpose, and reach.
   

  

 As we scale, we are investin",4_legacy_neighbors_2026,False
linkedin_li-4395940379,Web Developer,Jobs via Dice,2026-04,unknown,2,Raleigh-Durham-Chapel Hill,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Robert Half, is seeking the following. Apply via Dice today!
   

  

**Description**
 We are looking for a skilled Web Developer to join our innovative team in Morrisville, North Carolina. In this role, you will design and build high-quality web solutions, leveraging your technical expertise to deliver exceptional user experiences. This is an exciting opportunity to contribute to cutting-edge pr",4_legacy_neighbors_2026,False
linkedin_li-4391303012,Java Developer,Capco,2026-03,unknown,,Dallas-Fort Worth Metro,"**Design and build robust backend systems that power scalable, high-performance applications**
**The Role**
 As a Back End Developer, you will design, develop, and optimize server-side applications that support complex business processes. Working within collaborative engineering pods, you will contribute across the software development lifecycle—analyzing requirements, solving technical challenges, and delivering reliable, scalable backend solutions.
   

  

**What You’ll Do**
* Develop backend",4_legacy_neighbors_2026,False
linkedin_li-4388610369,DevOps Engineer,Haystack,2026-03,senior,5,Atlanta Metro,"**Senior Platform Engineer** 

  

 We're working with a global leader in sustainable agriculture and food supply chain innovation on this exciting opportunity.
 

  

 Help nourish the world by building high-scale B2B integration infrastructure that connects global farmers to vital markets. You will own the architecture and automation of mission-critical platforms using Boomi EDI, SAP BTP, and modern CI/CD patterns to ensure billions of lives stay connected to essential products.
 

  

**The R",4_legacy_neighbors_2026,False
linkedin_li-4399264295,DevOps Engineer,The American Board of Anesthesiology,2026-04,unknown,,,"**DevOps Engineer** 

**Reports to: Sr. Manager, IS Infrastructure** 

  

**Our Organization** 

 We are a medical specialty certifying board serving anesthesiologists. Since 1938, we have been administering certification exams and today we take an innovative approach to certification and continuous learning. We foster practice standards that instill confidence and trust that board-certified anesthesiologists have the knowledge and skills to provide high-quality patient care. We are dedicated t",4_legacy_neighbors_2026,False
