uid,company,company_industry,title,excerpt
linkedin_li-4401092542,Elsdon Group,"Technology, Information and Media and Software Development",Software Engineer,"atbots. We are building **Autonomous Employees.** We’re a high-density, post-Series A team of ex-Founders and Tier-1 AI researchers (ex-OpenAI, Google) who are sick of ""chat"" interfaces. We are building the orchestration layer that allows AI to reason, use tools, and execute 100-step workflows without human hand-holding. We need two ""Fo"
linkedin_li-4318534977,Mercor,Software Development,"Software Engineer, Backend","global hiring with seamless contracts and payments. * Applied AI/human data side – partnering with top AI researchers from the AI labs like OpenAI, Anthropic, and Google to create post training datasets to improve foundational model capabilities. **What You’ll Do** * Design and build scalable backend APIs, services, and infrastructure. * Colla"
linkedin_li-4305856555,Cadence,Software Development,AI Senior Staff Systems Engineer,"liability for all our AI workloads. * Cloud AI Service Integration: Support and secure the use of public cloud AI services, including Azure OpenAI services and Google Cloud Platform (GCP) services like Gemini. This includes managing secure access, monitoring usage, and tracking billing to ensure cost-effectiveness. You will also have hands-on e"
linkedin_li-4395954907,Galileo,Software Development,Senior Software Engineer - ML Backend,"ke PyTorch, Tensorflow, Keras, etc) * Experience building agentic applications (like LLMs, rags, agents, etc.) with common frameworks (like OpenAI, langChain, crewAI, etc.) ****Why Galileo**** - Join a seasoned founding team that has previously led product and engineering teams from 0 to $100M\+ in revenue and from 0 to 1B\+ users globally -"
linkedin_li-3978048690,Speak,Software Development,Senior Backend Engineer,"across many markets and 15\+ languages. Speak is one of the world’s leading AI companies, with over $150m raised in venture investment from OpenAI, Accel, Founders Fund, Khosla Ventures, and more, with a distributed team across San Francisco, Seoul, Tokyo, Taipei, and Ljubljana. **About This Role** We are looking for a senior backend"
linkedin_li-4400028398,Klarity,Business Consulting and Services,AI Backend Engineer,"red 3,800\+ finance operations in 14 weeks, replacing a 2-year engagement. That's not a project. That's compounding intelligence. OpenAI, Google, DoorDash, and Stripe use Klarity to transform how they transform. We shipped GPT-4 document chat within 12 hours of OpenAI's API launch. Speed and quality aren't a tradeoff here –"
linkedin_li-4390751055,Asteroid (YC W25),Software Development,Founding Product Engineer,"tly. Tech Stack We don't prescribe your tools. Our core platform is built on: * Core: Go, TypeScript, Playwright * AI: OpenAI, Anthropic, Computer Use * Infra: GCP, Docker, Kubernetes, Terraform"
linkedin_li-4393496298,Envoy AI,"Technology, Information and Internet",Founding Engineer,"**Our Stack** **Backend** * Python 3\.12, FastAPI * PostgreSQL * Redis **AI/LLM** * LangChain \& LangGraph for agentic workflows * OpenAI, Anthropic, and open-source models * Real-time voice AI (LiveKit) **Frontend** * SvelteKit with TypeScript * Tailwind CSS, TanStack Query * Cloudflare Workers **Infrastructure** * Microsoft Azu"
linkedin_li-4389749599,Roseberry Recruiting,IT Services and IT Consulting,Software Engineer (AI/ML),"* Knowledge of RAG systems including vector databases, embeddings, and retrieval strategies * Familiarity with major LLM providers such as OpenAI, Anthropic, Google, or Meta * Understanding of transformer architectures and attention mechanisms * Experience integrating AI capabilities into applications or strong interest in doing so **Pref"
linkedin_li-4340178336,Tubi,Entertainment Providers,"Senior Software Engineer, Content Platforms","e operational efficiency, or support developer productivity. * Familiarity with frameworks or APIs for LLM-based agents, such as LangChain, OpenAI Assistants API, or custom automation agents. * Interest in leveraging AI for content operations, metadata enrichment, or developer tooling within the content platform ecosystem. **Infrastructure** *"
linkedin_li-4318556053,Mercor,Software Development,"Software Engineer, Frontend","roles, and power global hiring with seamless contracts and payments. * Applied AI/human data side – partnering with top AI researchers from OpenAI, Anthropic, Google, and others to create post-training datasets that improve foundational model capabilities. What You’ll Do * Design and build intuitive, performant user interfaces that s"
linkedin_li-4383527449,TrueFoundry,Software Development,Principal Software Engineer,"**The Problem We're Solving** Companies are moving beyond simple chatbots to production agentic systems. These systems route between OpenAI, Anthropic, Google, and self-hosted models. They integrate dozens of tools via protocols like MCP. They orchestrate multi-agent workflows where agents coordinate with other agents. The infrastruc"
linkedin_li-4398285507,HydroX AI,Security Systems Services,"Software Engineer, AI","Strong programming skills in **Python** (and ideally one of Go / Rust / C\+\+) 2. Experience with **LLMs or generative AI systems** (OpenAI, open-source models, etc.) 3. Solid understanding of **software engineering fundamentals** (systems design, APIs, scalability) 4. Experience building production systems (not just research prototyp"
linkedin_li-4382744215,Flow Engineering,Software Development,"Staff Software Engineer, AI – San Francisco","igning, testing, and operating services at scale in a cloud environment. * Hands-on experience with modern LLM providers and tooling (e.g., OpenAI, Anthropic, Hugging Face, vector stores, RAG patterns). * Familiarity with prompt design, retrieval-augmented systems, evaluation methods, and safety/guardrail approaches. * Ability to reason about t"
linkedin_li-4398490354,Evolve Group,Engineering Services and Design Services,Founding Backend Engineer,"e across **APIs, services, and core platform systems** * Work with **Puppeteer / Chromium for automation workflows** * Integrate **LLMs (OpenAI, Anthropic, Gemini)** into production systems * Ship end-to-end features with **high ownership and speed** **Who You Are** * **6\+ years backend engineering experience** (Senior II /"
linkedin_li-4391797033,Box,"Construction, Software Development, and IT Services and IT Consulting","Software Engineer III, Partner Integrations","iences for millions of users. **What You’ll Do** * Collaborate with partner engineering teams (e.g., Google, Microsoft, Anthropic, OpenAI) and internal stakeholders to scope, implement, and launch features. * Work with the Product Managers to understand and execute on the strategic roadmap for Partner Integrations. * Design, build, and"
linkedin_li-4332210733,Sprig,"Technology, Information and Media","Senior Software Engineer, AI Team","stomer experiences. * **Applied AI integration experience:** Hands-on experience integrating third-party inference services (such as OpenAI or Anthropic) into real product workflows; model training is not required. * **Distributed systems expertise** : Comfortable designing event-driven, data-intensive architectures that operate r"
linkedin_li-4383041987,HireArt,"Technology, Information and Internet",Software Engineer,"f RAG system components: vector databases, embeddings, retrieval strategies, and prompt engineering * Familiarity with major LLM providers (OpenAI, Anthropic, Google, Meta, etc.) and understanding of their trade-offs in terms of performance, cost, latency, and capabilities * Understanding of transformer neural network architecture and attention"
linkedin_li-4334560516,Guidewire Software,Software Development,Software Engineer III (AI/ML),"ng and action orchestration. * Collaborate with ML engineers and data scientists to integrate and operationalize models from providers like OpenAI and Anthropic. * Design and deploy ML models that drive predictive insights, anomaly detection, and automated decision-making. * Design and extend MCP servers to define, expose, and manage tools acce"
linkedin_li-3907138810,Speak,Software Development,Senior Full-stack Engineer,"across many markets and 15\+ languages. Speak is one of the world’s leading AI companies, with over $150m raised in venture investment from OpenAI, Accel, Founders Fund, Khosla Ventures, and more, with a distributed team across San Francisco, Seoul, Tokyo, Taipei, and Ljubljana. **About This Role** We are seeking a true **full-stack"
