period2,sen_combined,n,rate,hits,indicator
2024,mid-senior,7707,0.03321655637731932,256,aspiration_ratio_gt2
2024,other,20200,0.03866336633663366,781,aspiration_ratio_gt2
2026,associate,30,0.23333333333333334,7,aspiration_ratio_gt2
2026,entry,390,0.13333333333333333,52,aspiration_ratio_gt2
2026,mid-senior,3639,0.08601264083539434,313,aspiration_ratio_gt2
2026,other,31003,0.1060865077573138,3289,aspiration_ratio_gt2
2024,associate,84,0.0,0,yoe_scope_mismatch_combined
2024,entry,241,0.03319502074688797,8,yoe_scope_mismatch_combined
2024,mid-senior,7707,0.0,0,yoe_scope_mismatch_combined
2024,other,20200,0.0,0,yoe_scope_mismatch_combined
2026,associate,30,0.0,0,yoe_scope_mismatch_combined
2026,entry,390,0.023076923076923078,9,yoe_scope_mismatch_combined
2026,mid-senior,3639,0.0,0,yoe_scope_mismatch_combined
2026,other,31003,0.0,0,yoe_scope_mismatch_combined
2024,associate,84,0.0,0,yoe_scope_mismatch_yoe
2024,entry,241,0.004149377593360996,1,yoe_scope_mismatch_yoe
2024,mid-senior,7707,0.002854547813675879,22,yoe_scope_mismatch_yoe
2024,other,20200,0.002277227722772277,46,yoe_scope_mismatch_yoe
2026,associate,30,0.0,0,yoe_scope_mismatch_yoe
2026,entry,390,0.01282051282051282,5,yoe_scope_mismatch_yoe
2026,mid-senior,3639,0.011266831547128332,41,yoe_scope_mismatch_yoe
2026,other,31003,0.01206334870818953,374,yoe_scope_mismatch_yoe
2024,associate,84,0.0,0,credential_contradiction
2024,entry,241,0.0,0,credential_contradiction
2024,mid-senior,7707,0.0,0,credential_contradiction
2024,other,20200,0.0,0,credential_contradiction
2026,associate,30,0.0,0,credential_contradiction
2026,entry,390,0.0,0,credential_contradiction
2026,mid-senior,3639,0.0,0,credential_contradiction
2026,other,31003,0.0,0,credential_contradiction
2024,associate,84,0.7738095238095238,65,ai_count_ge1
2024,entry,241,0.17012448132780084,41,ai_count_ge1
2024,mid-senior,7707,0.1441546645906319,1111,ai_count_ge1
2024,other,20200,0.13910891089108912,2810,ai_count_ge1
2026,associate,30,0.23333333333333334,7,ai_count_ge1
2026,entry,390,0.4358974358974359,170,ai_count_ge1
2026,mid-senior,3639,0.4336356141797197,1578,ai_count_ge1
2026,other,31003,0.5226268425636229,16203,ai_count_ge1
2024,associate,84,0.75,63,ai_count_ge2
2024,entry,241,0.058091286307053944,14,ai_count_ge2
2024,mid-senior,7707,0.04424549111197613,341,ai_count_ge2
2024,other,20200,0.055495049504950496,1121,ai_count_ge2
2026,associate,30,0.1,3,ai_count_ge2
2026,entry,390,0.2692307692307692,105,ai_count_ge2
2026,mid-senior,3639,0.25309150865622426,921,ai_count_ge2
2026,other,31003,0.30261587588297906,9382,ai_count_ge2
2024,associate,84,0.011904761904761904,1,ai_tool
2024,entry,241,0.024896265560165973,6,ai_tool
2024,mid-senior,7707,0.015700012975217333,121,ai_tool
2024,other,20200,0.015792079207920792,319,ai_tool
2026,associate,30,0.1,3,ai_tool
2026,entry,390,0.13076923076923078,51,ai_tool
2026,mid-senior,3639,0.16982687551525144,618,ai_tool
2026,other,31003,0.17882140438022126,5544,ai_tool
2024,associate,84,0.7738095238095238,65,ai_domain
2024,entry,241,0.12448132780082988,30,ai_domain
2024,mid-senior,7707,0.11547943428052419,890,ai_domain
2024,other,20200,0.10331683168316831,2087,ai_domain
2026,associate,30,0.1,3,ai_domain
2026,entry,390,0.29743589743589743,116,ai_domain
2026,mid-senior,3639,0.18494091783456992,673,ai_domain
2026,other,31003,0.2320420604457633,7194,ai_domain
2024,associate,84,0.75,63,ai_general
2024,entry,241,0.08713692946058091,21,ai_general
2024,mid-senior,7707,0.06786038666147658,523,ai_general
2024,other,20200,0.08103960396039604,1637,ai_general
2026,associate,30,0.16666666666666666,5,ai_general
2026,entry,390,0.31025641025641026,121,ai_general
2026,mid-senior,3639,0.37675185490519375,1371,ai_general
2026,other,31003,0.4709866787085121,14602,ai_general
2024,associate,84,0.0,0,agentic
2024,entry,241,0.0,0,agentic
2024,mid-senior,7707,0.0001297521733489036,1,agentic
2024,other,20200,0.00019801980198019803,4,agentic
2026,associate,30,0.0,0,agentic
2026,entry,390,0.028205128205128206,11,agentic
2026,mid-senior,3639,0.07254740313272877,264,agentic
2026,other,31003,0.08160500596716447,2530,agentic
2024,associate,84,0.0,0,ai_agent_phrase
2024,entry,241,0.0,0,ai_agent_phrase
2024,mid-senior,7707,0.0011677695601401323,9,ai_agent_phrase
2024,other,20200,0.0009405940594059406,19,ai_agent_phrase
2026,associate,30,0.03333333333333333,1,ai_agent_phrase
2026,entry,390,0.04871794871794872,19,ai_agent_phrase
2026,mid-senior,3639,0.08738664468260511,318,ai_agent_phrase
2026,other,31003,0.09273296132632326,2875,ai_agent_phrase
2024,associate,84,0.0,0,rag_phrase
2024,entry,241,0.004149377593360996,1,rag_phrase
2024,mid-senior,7707,0.001557026080186843,12,rag_phrase
2024,other,20200,0.0006435643564356436,13,rag_phrase
2026,associate,30,0.0,0,rag_phrase
2026,entry,390,0.041025641025641026,16,rag_phrase
2026,mid-senior,3639,0.05138774388568288,187,rag_phrase
2026,other,31003,0.05728477889236525,1776,rag_phrase
