uid,source,period,title,company_name_canonical,seniority_final,yoe_extracted,text_source,text_len,tech_count,ai_count,soft_skill_count,scope_count,management_strong_count,management_broad_count,education_level,requirement_breadth,credential_stack_depth,tech_density,scope_density,excerpt
asaniczka_91501595b204b859,kaggle_asaniczka,2024-01,"Principal Engineer, Full Stack",Allegiant,mid-senior,10.0,llm,2532,13,0,3,2,1,1,none,20,5,5.134281200631912,0.7898894154818326,"summary , necessities; participate , ; establish maintain facilitating workshops. closely facilitate necessary participate methodologies. minimum requirements | combination considered. 1986. check. : bachelor’ : , mis. ' preferred. minimum "
asaniczka_78f686c2dfcb6814,kaggle_asaniczka,2024-01,"Principal Engineer, Full Stack",Allegiant,mid-senior,10.0,llm,2445,13,0,3,2,1,1,none,20,5,5.316973415132924,0.8179959100204499,", necessities; participate , ; establish maintain facilitating workshops. closely facilitate necessary participate methodologies. minimum requirements | combination considered. 1986. check. : bachelor’ : , mis. ' preferred. minimum ( ) ' ; "
linkedin_li-4383871829,scraped,2026-04,"Principal, Software Engineer",CBS Sports,mid-senior,1.0,llm,2431,15,3,0,1,0,2,none,20,4,6.170300287947347,0.41135335252982314,": , : sports.com cbssports cutting-edge ai-powered deeply , , platforms. team. , , , , , groundbreaking ai scale. * ai : generative ai retrieval-augmented ( ) recommendations user personalization. * : prototyping full-cycle production-grade"
linkedin_li-4377860613,scraped,2026-03,Principal AI - Software Engineer,AT&T,mid-senior,10.0,llm,1687,11,4,1,3,0,1,none,20,5,6.520450503852993,1.7783046828689981,"assistants. ’ tasks, backend , fast-paced setting. expertise , ensuring interactions assistant. , , exciting projects. contributions ai-driven leveraging ai adk intent-less, ai agent-driven , keeping abreast field. collaborating cross-funct"
linkedin_li-4388555220,scraped,2026-03,Senior AI Full stack Engineer,Rivago Infotech Inc,mid-senior,4.0,llm,1630,10,6,2,1,0,2,none,20,5,6.134969325153374,0.6134969325153374,"** : ai **duration: ** ’ ( ) motivated \& ( \& ) \& collaborates involved (e.g., , , , , ) develops industry- problems. , maintaining pulses landscapes. primarily designing, , cutting-edge generative ai ai , , others. ai problems user exper"
linkedin_li-4385756705,scraped,2026-03,AI Python Fullstack Engineer,Rivago Infotech Inc,unknown,4.0,llm,1373,10,6,2,1,0,1,none,20,5,7.283321194464676,0.7283321194464676,"● ● identify ai/llm capabilities workflows. ● , user-centric interfaces. ● documentation: , maintainable, well- documented code. participate contribute development. ● : up-to-date generative ai learning. evaluate methodologies continuously "
arshkon_3902923533,kaggle_arshkon,2024-04,Staff Data Engineer,Splash,mid-senior,6.0,llm,1283,15,1,1,2,0,1,none,20,5,11.691348402182385,1.558846453624318,": ' , , learning. fundamentals marketing. , cross-functional ’ , , , , , , , , business. ' : closely , , , deeply understand problems , prioritize goals.collaborate , , understand identify, , scientists.enable execution roadmap , self-serve"
arshkon_3901953535,kaggle_arshkon,2024-04,"000198 - W2 Only - Data Engineer (Python, React, Hadoop & Cloud)",New Millenium Consulting,unknown,5.0,llm,1199,18,0,0,0,1,0,none,20,3,15.012510425354462,0.0,": / developerlocation: , ( – )hourly: $ ( )duration: (contract-to-hire) :minimum expertise following stacks comfortable othersmern : javascript reactjs node.js ( ) : javascript angularjs node.jslamp : javascript mysql – phplemp : javascript"
arshkon_3904423079,kaggle_arshkon,2024-04,Senior Software Engineer,Equifax,mid-senior,7.0,llm,1144,17,0,1,0,1,0,none,20,4,14.86013986013986,0.0,"’ demonstrate , architectures problems including , demonstrate problems deeper needed include , , , scrum troubleshooting gcp aws , , data/metrics maniacal optimizing efx maintaining , devsec, kpis , maintain , slo, slis efx , , , , up-to-d"
linkedin_li-4393045107,scraped,2026-04,Principle Software Engineer (Java),Sky Solutions,mid-senior,7.0,llm,2715,16,0,0,1,0,0,phd,19,4,5.893186003683241,0.3683241252302026,"** : ( )** : , ( – ) : fulltime ** :** | , openshift/ (aws), , angular/react, javascript, kafka, , , services. ** :** | * twelve-factor requirements. * ui , , achieved dialogue field. continually assess recommend improve software. * graphic"
linkedin_li-4389794138,scraped,2026-03,Principal Software Engineer,"Global CI (Global Commerce & Information, Inc.)",mid-senior,7.0,llm,2625,16,0,0,1,0,0,phd,19,4,6.095238095238095,0.38095238095238093,"** :** | , openshift/ (aws), , angular/react, javascript, kafka, , , services. * twelve-factor requirements. * ui , , achieved dialogue field. continually assess recommend improve software. * graphical user ( ) angularjs, reactjs, node js, "
linkedin_li-4342872297,scraped,2026-03,Staff Software Engineer (AI) - Full Stack,"Tailored Brands, Inc.",mid-senior,8.0,llm,1700,14,1,1,1,1,2,none,19,6,8.235294117647058,0.5882352941176471,", ' architecting high-performance, front-end back-end systems. * , , full-stack , front-end (react/next.js) back-end (java/node.js) components. * back-end ( ): java-based back-end , including microservices, , databases. , , maintainable. * "
linkedin_li-4388288721,scraped,2026-03,Full Stack Developer (Node.js & React),Optimize Search Group,unknown,5.0,llm,1493,16,0,1,1,0,2,none,19,4,10.71667782987274,0.6697923643670463,"expertise node.js team. , , , maintain cloud-based (bems) (paas), thousands devices. | **front-end ( )** maintain , high-performance user react. reusable , ( , api, similar), seamlessly back-end real-time streams. **back-end (node.js)** res"
linkedin_li-4391226467,scraped,2026-03,Full Stack Developer - AI-assisted Development,Experis,unknown,5.0,llm,1321,13,2,1,2,0,0,none,19,5,9.841029523088569,1.514004542013626,"| ** w/ ai-assisted ** , , maintain end-to-end spanning front-end , robust middle-tier , cloud-native emphasizes ai-assisted hands-on (llms) ** ** * , , maintain ui * , front-end angular vue.js * restful microservices ( ) python-based (fast"
linkedin_li-4393258704,scraped,2026-03,Advanced Software Engineer- Full Stack Cloud Developer,Honeywell,unknown,8.0,llm,1308,15,0,1,2,0,0,none,19,4,11.46788990825688,1.529051987767584,"engineer- , , maintain end-to-end cloud-based architectures. cross-functional robust, , needs. requires expertise front-end back-end , proficiency , leveraging problems. ** ** | ** ** * : | , user-friendly front-end (mainly reactjs) back-en"
asaniczka_65da6d6f608bbfd1,kaggle_asaniczka,2024-01,Senior Software Engineer,Wingbrace,mid-senior,5.0,llm,1301,14,0,2,1,1,0,none,19,5,10.760953112990007,0.7686395080707148,"| high-impact solvers. client-facing, fast-paced, wide-ranging, challenging. requires mixture , , hands-on , problem-solving, skills. , requirements , capabilities ’ wingbrace. , implementing , front-end user calling back-end restful implem"
asaniczka_9c6b3ea1fa0b086e,kaggle_asaniczka,2024-01,Sr. Full Stack Engineer - Intelligent Process Automation,Columbia Sportswear Company,mid-senior,3.0,llm,1288,15,1,1,1,0,1,none,19,5,11.645962732919255,0.7763975155279503,"' , do. ’ develops manages ( ) enables manner. ensures ’ brands. , , , , , , area. ensures , , , , , maintainability, , compatibility throughout. advances ' , , , squad. adopts improve delivery. , , refine , mind. ’ analyze, , microservice-"
linkedin_li-4374332298,scraped,2026-04,Principal Software Engineer,"Solera Holdings, LLC.",mid-senior,15.0,llm,1286,15,1,0,1,1,1,none,19,5,11.66407465007776,0.7776049766718507,"' pragmatic, hands-on done. ' spend broader team. thrives modernizing , ai-assisted , ' afraid sleeves ' contribution mentorship, review. real-time on-premises migrate cloud-based paas ai-powered ( , , claude, ) workflows end-to-end consump"
linkedin_li-4223779562,scraped,2026-04,Lead Software Engineer,GTN Technical Staffing,mid-senior,7.0,llm,1282,15,0,1,2,0,2,none,19,4,11.700468018720748,1.5600624024960998,", understand user , , high-quality demands. thrives background. * , , high-quality, maintainable, full-stack node.js, , javascript/typescript. * translate wireframes , , reusable javascript/typescript, html \& css. * restful node.js, javasc"
arshkon_3901953549,kaggle_arshkon,2024-04,"NMC_000198 - W2 - Data Engineer (React, Python, Hadoop, Cloud))",New Millenium Consulting,unknown,5.0,llm,1218,17,0,0,0,1,0,none,19,3,13.957307060755337,0.0,": / developerlocation: , ( – )hourly: $ ( )duration: (contract-to-hire) must-to-have: ( )minimum worked structured/unstructured datasets beforebig (hadoop, , , kafka, airflow/oozie, bigquery/presto/impala )minimum expertise inone following "
linkedin_li-4384845865,scraped,2026-04,Senior Software Engineer,ZoomInfo,mid-senior,,llm,1137,19,0,0,0,0,0,none,19,1,16.710642040457344,0.0,"| *** *** , , high-scale , , supplying customers. possess robust proficiency **node.js** , **typescript** , html, , coupled hands-on jest frameworks. ** ' ** | * , , microservices rest/ graph-ql node.js/typescript (nest-js ) * translate req"
arshkon_3905335078,kaggle_arshkon,2024-04,Sr. Software Engineer,General Motors,mid-senior,5.0,llm,1038,15,0,1,2,0,1,none,19,4,14.45086705202312,1.9267822736030829,", user customers. designing appealing user user satisfaction. user , feedback, user-friendly implementations. expertise user-centered ui , , usability , user experience. : end-to-end combination front-end back-end : , , sql , db, , applicat"
linkedin_li-4393483075,scraped,2026-04,full stack java developer,Excelon Solutions,unknown,10.0,llm,953,14,1,1,2,0,0,none,19,5,14.690451206715634,2.0986358866736623,"** : ( \ )** ** :** | \ ** summary:** | ** ** \ designing, , maintaining applications. expertise ** backend ** | ** ** , **cloud-based microservices architectures** ** :** | * , , maintain end-to-end ** ( )** * high-performance **restful **"
arshkon_3885844769,kaggle_arshkon,2024-04,Frontend Software Engineer (Contract) (Hybrid) – 4315,HIRECLOUT,unknown,3.0,llm,948,13,1,2,1,1,0,none,19,6,13.713080168776372,1.0548523206751055,"utilize requirements , , user-friendly reusable controls. translating intricate requirements detailed design. proposed existing improved reusability scalability. facilitate participate discussions regarding existing goals. documents, , unit"
asaniczka_1772d911512002cd,kaggle_asaniczka,2024-01,"Lead Application Developer - NodeJS, React and API's",CLA (CliftonLarsonAllen),unknown,10.0,llm,890,16,0,0,0,2,1,none,19,3,17.97752808988764,0.0,"currently , , web-based frameworks. goals. microservices, azure/aws. c#.net, , react.js, angularjs, node.js, html, , xml, sql, webapi, javascript. ' : existing , , , debugs, documents, maintains, modifies complexity, risk. investigate, anal"
linkedin_li-4387527933,scraped,2026-03,Java Full Stack Developer with AWS/F2F Mandatory,Key Business Solutions,mid-senior,10.0,llm,2490,14,1,1,1,0,0,none,18,5,5.622489959839357,0.40160642570281124,"aws/f2f mandatory ; duration: ** ** ’ hands-on , cloud-native applications. ’ , , \ , \ , angular , aws \ , emphasis (postgresql/aurora) ’ closely , , , qa high-quality environment. genai ( , claude sonnet) graph ( neptune/graph ) plus. ’ |"
linkedin_li-4388334955,scraped,2026-03,AI Data Engineer - Senior Consultant,Deloitte,mid-senior,4.0,llm,2432,10,5,0,1,0,2,phd,18,5,4.1118421052631575,0.41118421052631576,"ai operate , , genai ai analytics. ai ( ingestion, curation, governance, ) ai (end-to-end , , non-functional requirements), closely , science/ml, , , , ai hands-on delivery-oriented: , real-time inference, llm claude-, gpt/codex-, gemini-cl"
linkedin_li-4392370783,scraped,2026-03,AI Engineer - (Remote - US),ICF,unknown,3.0,llm,2020,10,4,1,2,0,1,none,18,5,4.9504950495049505,0.9900990099009901,"** ** ai ai real-world workflows. sits ai ' end-to-end problems, back-end polished, user-facing front-end experiences. , comfortable picking needed ' javascript , dashboard, low-code apps. ' , , interpersonal effectively non-technical stake"
linkedin_li-4375829390,scraped,2026-04,"Senior AI Engineer - GenAI/ML, Aladdin Engineering - Vice President",BlackRock,director,8.0,llm,2004,8,5,1,2,0,1,ms,18,6,3.992015968063872,0.998003992015968,"ai (genai/ml), ’ example — architecting, , generative ai improve , user , post-trade operations. ’ enterprise-scale ai-enabled , governance, practices. enjoys staying , , (tool-using ai ) ml — fostering improvement. ** ( )** * ’ largest inv"
linkedin_li-4358764091,scraped,2026-04,"AI-Augmented Full Stack Engineer, Aladdin Engineering, Post Trade Accounting - Vice President",BlackRock,director,7.0,llm,2002,10,4,1,1,0,2,bs,18,6,4.995004995004995,0.4995004995004995,", problems. \& provides ' including \& operates. including calculation , , , reconciliation, management. ** ** **ai-accelerated \& :** , , , maintain backend, leveraging ai-powered (e.g., , , refactoring) dramatically solutioning maintainin"
asaniczka_b8c663521db79573,kaggle_asaniczka,2024-01,DotNet Developer Sr.,"Medline Industries, LP",mid-senior,10.0,llm,1849,13,0,1,2,1,2,none,18,5,7.030827474310438,1.0816657652785289,"– angular/ / c# /.net full-stack team. designing implementing , angular, typescript, c#, management. , designing , evaluating applications. defining, implementing, , functionality, ’ needs. self-motivated, problems, , constantly improve ski"
linkedin_li-4389275077,scraped,2026-03,Senior Software Developer,PTR Global,mid-senior,10.0,llm,1616,14,1,1,1,0,0,none,18,5,8.663366336633663,0.6188118811881188,"**duration:** | \ hands-on contribute , cloud-native applications. designing, , optimizing \ , \ , angular , aws \ , (postgresql/aurora) involves , , , qa environment. genai ( , claude sonnet) graph ( neptune/graph ) plus. ** :** | * micros"
linkedin_li-4321183200,scraped,2026-04,MarTech Senior Software Engineer,Realtor.com,mid-senior,5.0,llm,1609,15,0,1,1,0,1,none,18,4,9.322560596643878,0.6215040397762586,"** ’ :** | ’ , , operate backend channels ’ — , measure, campaigns. , observability, millions users messages time. * , , operate backend , observable, cost-efficient, aws. * kafka ( ) , , real-time cases. * contribute (e.g., kafka/msk) work"
linkedin_li-4390743629,scraped,2026-03,Software Engineer – Azure Databricks & Agentic AI,Frame Data & AI,unknown,3.0,llm,1451,10,7,0,0,0,0,none,18,3,6.891798759476223,0.0,"** ** ' "" "" — ’ , , loops ai useful. ’ questions execute tasks ecosystems. ** ’ ** * ** :** | multi-agent **langgraph, crewai, autogen** automate , multi-step processes. * ** execution:** | , ai-integrated (react/next.js) robust microservic"
asaniczka_4120290019af2896,kaggle_asaniczka,2024-01,Sr. Software Developer,Jobot,mid-senior,8.0,llm,1308,17,0,0,0,0,1,none,18,2,12.996941896024465,0.0,", full-stack php/react experience. , best-in-class team. restful , implementing , modules, postgresql. ( ) postgresql. , high-load client-side , requirements, maintain modules, ones. javascript/typescript, reactjs, preprocessors sass/scss l"
arshkon_3904952118,kaggle_arshkon,2024-04,Cloud Software Engineer,Dice,unknown,1.0,llm,1207,14,0,2,0,1,1,none,18,4,11.5990057995029,0.0,", next services. ' : clients.write craftsmanship.debug troubleshoot process.product rotation basis.opportunity following stacks: , spring/springboot, microservices, , ci/cd, , , , ( platform/azure/aws), , nextjs, sql, , json, swagger/openap"
asaniczka_4c1f01a9d93fead0,kaggle_asaniczka,2024-01,Sr. Front end Developer,Ekodus,mid-senior,10.0,llm,1192,16,0,0,0,0,0,phd,18,3,13.422818791946309,0.0,": duration: ; extensions : | stencil js, storybook, sass, typescript, , , , : | requirements, front-end stencil js, sass, typescript, components. pocs templates storybook isolation, speed. microservices adapting twelve-factor , restful bach"
arshkon_3904391473,kaggle_arshkon,2024-04,Cloud Software Engineer,Ford Motor Company,unknown,1.0,llm,1087,15,0,2,0,0,1,none,18,3,13.799448022079117,0.0,", next services. clients.write craftsmanship.debug troubleshoot process.product rotation basis.opportunity following stacks: , spring/springboot, microservices, , ci/cd, , , , (gcp/azure/aws), , nextjs, sql, , json, swagger/openapi, cucumbe"
linkedin_li-4388658640,scraped,2026-03,Full-Stack AI Engineer (React / Python),Tata Consultancy Services,unknown,,llm,808,11,6,0,1,0,1,none,18,3,13.613861386138614,1.2376237623762376,"summary full-stack ai team. end-to-end state-of-the-art ai/ml models. thrives ui/ux underlying complexity pipelines. | * : , user ( \ ) typescript. * ai : ai-driven llm-powered chatbots, (retrieval-augmented ) , recommendation engines. * ba"
asaniczka_90b0dc3209143d91,kaggle_asaniczka,2024-01,Python Developer,Matlen Silver,unknown,5.0,llm,773,13,2,1,1,0,1,none,18,5,16.81759379042691,1.2936610608020698,"| , team. , , maintaining applications. cross-functional , , data-driven requirements. : | - , , maintain data-driven language. - cross-functional data-driven - , , well-documented code. - debug functionality. - participate feedback. - etl "
asaniczka_d0aafdb4246a9f61,kaggle_asaniczka,2024-01,Python Developer,Vantage Point Consulting Inc.,unknown,5.0,llm,769,13,2,1,1,0,1,none,18,5,16.90507152145644,1.3003901170351104,"team. , , maintaining applications. cross-functional , , data-driven requirements. : | - , , maintain data-driven language. - cross-functional data-driven - , , well-documented code. - debug functionality. - participate feedback. - etl work"
asaniczka_db9b422339811769,kaggle_asaniczka,2024-01,Software Development Engineer,TALENT Software Services,unknown,5.0,llm,751,13,2,1,1,0,1,none,18,5,17.310252996005325,1.3315579227696406,"summary: team. , , maintaining applications. cross-functional , , data-driven requirements. responsibilities/accountabilities: | , , maintain data-driven language. cross-functional data-driven , , well-documented code. debug functionality. "
asaniczka_91ac0bf3c503e2b3,kaggle_asaniczka,2024-01,Senior Data Engineer,AllianceBernstein,mid-senior,,llm,2308,14,0,2,1,0,3,none,17,3,6.065857885615252,0.43327556325823224,"(“fiit”) , , , , backoffice operations. understand providing re-engineer conditions. ingests egresses up-stream down-stream systems. ( ), allowing processes. constantly needs. – designing, implementing, maintaining, tuning etl elt , airflow"
linkedin_li-4374638683,scraped,2026-04,"Lead Data Engineer, Associate Director",Fitch Ratings,director,,llm,1831,10,3,2,2,0,1,none,17,4,5.461496450027307,1.0922992900054616,"** currently director/lead ** * end-to-end cloud-based , including , , aws. * robust, workflows airflow squads. * postgresql relational nosql requirements, ensuring scalability. * containerized , kubernetes, aws , incorporating actions depl"
linkedin_li-4394418856,scraped,2026-04,Senior AI Engineer Google AI & Generative Intelligence,Sincera Technologies,mid-senior,15.0,llm,1532,7,7,1,1,0,1,none,17,5,4.569190600522194,0.6527415143603134,"ai expertise ai , generative ai. brings , \ exclusively generative , including designing, , , production-grade ai systems. demands including , (adk), ai alongside llm/slm , cloud-native , mlops practices. ** :** | * ai , , leveraging llms ("
arshkon_3906229057,kaggle_arshkon,2024-04,Principal Software Engineer,BigRio,mid-senior,5.0,llm,1510,14,0,1,1,0,3,none,17,4,9.271523178807946,0.6622516556291391,"title- : remoteduration: (.net/core) / back-end / db sql front-end angular react. back-end full-stack inclined. willing, , enjoying having uplifting team.in , portions , , services. backlogs capabilities platforms. closely user needs. demon"
linkedin_li-4334560516,scraped,2026-04,Software Engineer III (AI/ML),Guidewire Software,unknown,5.0,llm,1296,7,7,0,1,0,0,ms,17,5,5.401234567901234,0.7716049382716049,"**summary** large-scale, next-generation generative ai (genai) capabilities? cross-functional tackling mission-critical ? designing workflows integrating state-of-the-art llm, ml, ( ) ? , next-generation cutting-edge ai innovation. ** ’ ** "
linkedin_li-4397887675,scraped,2026-04,Senior AI/ML Engineer Associate,"SANS Consulting Services, Inc.",mid-senior,5.0,llm,1251,7,8,1,0,0,1,none,17,4,5.595523581135092,0.0,"| * full-time $170k - $200k deepending * mlops mlflow, \& , , ' alongside ml , , value. ml , ' gain hands-on production-grade , , ml mission-critical functions. high-growth ( grounding) , eager deepen expertise mlops ai ml. ** :** | * contr"
asaniczka_900a2a97bdadaea9,kaggle_asaniczka,2024-01,Lead Software Engineer,Industrial Data Labs,mid-senior,5.0,llm,1180,14,1,0,1,0,0,none,17,4,11.864406779661017,0.847457627118644,"unprecedented , vast. – deliver. , , ai-driven intricacies worldwide. relentlessly: cutting-edge ai , ambitious reality. , iterate, game-changing benchmarks. : end-to-end api layers. mandate spans conceptualization , , , more. : high-perfor"
linkedin_li-4342196132,scraped,2026-03,Senior Software Engineer,CSC,mid-senior,,llm,1165,15,0,2,0,0,1,none,17,2,12.875536480686696,0.0,"** ** | ** (angular/.net)** angular customer-facing applications. , hands-on ai-assisted (e.g., ), worked extensively scrum , , ci/cd , tuning front-end back-end systems. ** ' :** | * , , maintain , high-quality angular (v14\ ), typescript,"
asaniczka_028d2eaa287b3834,kaggle_asaniczka,2024-01,Senior Cloud Engineer - DevOps,SNIPEBRIDGE,mid-senior,2.0,llm,1065,16,0,0,0,0,0,none,17,2,15.023474178403756,0.0,"installing, configuring, customizing, integrating, debugging/problem , cloud-based third-party products. / – , , sites. , expect % potentially travel. hands-on cloud-native , , adaptable quickly accomplish fast-paced environment. combinatio"
asaniczka_dc93ae9ccadf3bf4,kaggle_asaniczka,2024-01,Senior Data Engineer,What If Media Group,mid-senior,7.0,llm,1000,14,0,1,1,0,1,none,17,4,14.0,1.0,"’ team. , including , , , , , , marketing. maintain ’ , , , cross-channel decision-making innovations. used teams. , , , , , combine channels cross-channel decision-making , including , , , , data-related contribute data/process providing p"
arshkon_3885847461,kaggle_arshkon,2024-04,Senior Back-end Software Engineer (Contract) (Hybrid) – 4314,HIRECLOUT,mid-senior,3.0,llm,979,13,0,2,1,0,0,none,17,4,13.27885597548519,1.0214504596527068,", , , , testing. assume end-to-end applications. requirements detailed design. terms , modules, algorithms. proposed existing reusability scalability. discussions applying existing needs. documents, , unit/functional , , modifications, fixe"
linkedin_li-4365559548,scraped,2026-03,Lead Full Stack Engineer,CGI,mid-senior,14.0,llm,929,13,0,2,1,0,0,none,17,4,13.993541442411194,1.0764262648008611,"' , cloud-native high-impact domain. hands-on ' , , , , enterprise-grade workflows duties | * angular, typescript, (spring/spring ) * restful microservices * scrum high-quality * ci/cd , , bitbucket, * containerize orchestrate , kubernetes,"
