uid,source,period,title,company_name,seniority_final,seniority_native,yoe_extracted,seniority_final_source,sample_reason,title_has_level_code
asaniczka_010eec77cee8e6e5,kaggle_asaniczka,2024-01,Lead Web Developer (Full-Stack),ViaBot,mid-senior,mid-senior,,llm,broader_llm_routed_spot_check,False
asaniczka_011e8504105cad81,kaggle_asaniczka,2024-01,"Software Development Engineer, Amazon Software Builder Experience (ASBX)",Amazon Web Services (AWS),unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
asaniczka_014f3d093b680ec4,kaggle_asaniczka,2024-01,Performance System Engineer,Fox Factory,unknown,mid-senior,7.0,llm,broader_llm_routed_spot_check,False
asaniczka_0174e5175179b21a,kaggle_asaniczka,2024-01,Software Engineer Consultant,Apexon,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
asaniczka_0190eea8624b5c38,kaggle_asaniczka,2024-01,Software Engineer,Public Storage,unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
asaniczka_01a0eb99cf9fb5cb,kaggle_asaniczka,2024-01,Fullstack Angular Developer,Zencon Group,unknown,associate,5.0,llm,broader_llm_routed_spot_check,False
asaniczka_01b6dedf395fa8e2,kaggle_asaniczka,2024-01,ETL Software Engineer III,Excellus BCBS,unknown,mid-senior,8.0,llm,broader_llm_routed_spot_check,True
asaniczka_023329ce4bc02847,kaggle_asaniczka,2024-01,"Software Development Engineer, AWS Global Services Security",Amazon Web Services (AWS),unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
asaniczka_026b5df8eae721a7,kaggle_asaniczka,2024-01,Lead Android Developer,GlobalLogic,mid-senior,mid-senior,8.0,llm,broader_llm_routed_spot_check,False
asaniczka_02806d35025a23a2,kaggle_asaniczka,2024-01,Application Engineer,Randstad USA,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
asaniczka_0281033da2d89be2,kaggle_asaniczka,2024-01,Medical Device Software Engineer,Latitude Inc,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
asaniczka_0293ea4603073142,kaggle_asaniczka,2024-01,Data Engineer IV,Dice,unknown,mid-senior,,llm,broader_llm_routed_spot_check,True
asaniczka_029865f25e87fd80,kaggle_asaniczka,2024-01,Founding ML Engineer,PromptArmor (YC W24),unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
asaniczka_02aafbe3c3e31b8e,kaggle_asaniczka,2024-01,SLD Thermal Systems Engineer II - Lunar Permanence (R34999),BLUE ORIGIN,unknown,mid-senior,2.0,llm,broader_llm_routed_spot_check,True
arshkon_133130219,kaggle_arshkon,2024-04,Software Engineer,,unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_175485704,kaggle_arshkon,2024-04,Software Engineer,GOYT,unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_2234533717,kaggle_arshkon,2024-04,Full Stack Engineer,Ideando Inc,unknown,,3.0,llm,broader_llm_routed_spot_check,False
arshkon_2269442456,kaggle_arshkon,2024-04,Computer Scientist,navXcom,unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_3583960568,kaggle_arshkon,2024-04,Sales and Application Engineer,Böning Ship Automation USA,unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_3699309082,kaggle_arshkon,2024-04,Web Developer,"KTA Advising Group, LLC",unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_3722423668,kaggle_arshkon,2024-04,Founding Front-End Engineer (Web),Wanderboat AI,unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_3795134838,kaggle_arshkon,2024-04,backend Java developer,TekisHub Consulting Services,unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_3797449314,kaggle_arshkon,2024-04,Cloud Platform/ Big Data Engineer,"Subaru Research and Development, Inc",unknown,entry,1.0,llm,broader_llm_routed_spot_check,False
arshkon_3800272386,kaggle_arshkon,2024-04,Data Science Software Engineer,Sovrinti,unknown,,2.0,llm,broader_llm_routed_spot_check,False
arshkon_3800989742,kaggle_arshkon,2024-04,Data Engineer/ETL,SilverSpace Technologies Inc,entry,,,llm,broader_llm_routed_spot_check,False
arshkon_3802602037,kaggle_arshkon,2024-04,Mobile Application Developer,"Subaru Research and Development, Inc",unknown,entry,,llm,broader_llm_routed_spot_check,False
arshkon_3803052628,kaggle_arshkon,2024-04,Flight Software Engineer,Insight Global,unknown,mid-senior,10.0,llm,broader_llm_routed_spot_check,False
arshkon_3819416106,kaggle_arshkon,2024-04,Full Stack Engineer,HQ,unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_3827923756,kaggle_arshkon,2024-04,Lead Dotnet Developer,000,mid-senior,,10.0,llm,broader_llm_routed_spot_check,False
arshkon_3827945924,kaggle_arshkon,2024-04,Software Engineer,TRG,unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_3835965860,kaggle_arshkon,2024-04,Full Stack Engineer,,unknown,,3.0,llm,broader_llm_routed_spot_check,False
arshkon_3841963841,kaggle_arshkon,2024-04,Frontend Engineer,Prepto,unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_3844032378,kaggle_arshkon,2024-04,Cloud / .NET Developer,Redifcard Technologies LLC,unknown,,,llm,broader_llm_routed_spot_check,False
arshkon_3855427832,kaggle_arshkon,2024-04,Dotnet Developer,"Binary Tech Consulting Corp.,",mid-senior,,,llm,broader_llm_routed_spot_check,False
arshkon_3857386463,kaggle_arshkon,2024-04,Java full Stack Engineer,NInfo Systems INC,unknown,,,llm,broader_llm_routed_spot_check,False
linkedin_li-2148452356,scraped,2026-03,Cloud System Engineer - Level 2,CACI International Inc,unknown,,3.0,llm,broader_llm_routed_spot_check,True
linkedin_li-2148452721,scraped,2026-03,Specialist - Data Engineering,LTM,unknown,mid-senior,7.0,llm,broader_llm_routed_spot_check,False
linkedin_li-2540512445,scraped,2026-03,Software Engineer - Data Infrastructure,Canonical,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
linkedin_li-3837837788,scraped,2026-03,"Software Engineer, Connected Warfare (Active Clearance)",Anduril Industries,unknown,mid-senior,4.0,llm,broader_llm_routed_spot_check,False
linkedin_li-3981020696,scraped,2026-03,"Machine Learning Engineer, Monetization Engineering",Pinterest,unknown,mid-senior,2.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4011711822,scraped,2026-03,"Ground Software Engineer, Space",Anduril Industries,mid-senior,mid-senior,,llm,broader_llm_routed_spot_check,False
linkedin_li-4016406224,scraped,2026-03,Software Engineer - Environment Platform,Palantir Technologies,unknown,,3.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4043202910,scraped,2026-03,Robotics Software Engineer,Skild AI,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
linkedin_li-4064914721,scraped,2026-03,Systems Software Engineer,Saronic Technologies,unknown,entry,1.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4120900989,scraped,2026-03,Software Engineer - Data (Python & Scala),SMBC Group,unknown,,7.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4121827989,scraped,2026-03,Test Engineer,Frequentis,unknown,mid-senior,5.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4121963772,scraped,2026-03,"Machine Learning Engineer, Core Engineering",Pinterest,unknown,mid-senior,2.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4128986253,scraped,2026-03,Applied AI Engineer,New Resilience,unknown,entry,2.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4178258920,scraped,2026-03,Software Engineer - Language (Technical Leadership),Meta,unknown,,,llm,broader_llm_routed_spot_check,False
linkedin_li-4194392816,scraped,2026-03,"Software Engineer, Systems ML - Compilers",Meta,unknown,,2.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4195739714,scraped,2026-03,Scientific Software Developer,Viridien,unknown,entry,5.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4196118958,scraped,2026-03,"Applied AI Engineer, Enterprise GenAI",Scale AI,unknown,entry,,llm,broader_llm_routed_spot_check,False
linkedin_li-4204878729,scraped,2026-03,"Software Engineer, Safety",Character.AI,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
linkedin_li-4218766635,scraped,2026-03,"Software Engineer, Infrastructure",Sift,unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4239978845,scraped,2026-03,"Software Engineer, AI Product",Figma,unknown,mid-senior,5.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4239979658,scraped,2026-03,"Software Engineer, Graphics & Media",Figma,unknown,mid-senior,5.0,llm,broader_llm_routed_spot_check,False
linkedin_li-3686157975,scraped,2026-04,Embedded Software Engineer - Firmware,Applied Intuition,mid-senior,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
linkedin_li-3765972153,scraped,2026-04,Backend Engineer - Alerts and Operations,Verkada,unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
linkedin_li-3765974062,scraped,2026-04,Software Engineer - Computer Vision,Verkada,unknown,entry,2.0,llm,broader_llm_routed_spot_check,False
linkedin_li-3793265878,scraped,2026-04,Defense Software Engineer,Applied Intuition,unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
linkedin_li-3864679370,scraped,2026-04,Software Engineer,TALENT Software Services,unknown,mid-senior,5.0,llm,broader_llm_routed_spot_check,False
linkedin_li-3999823821,scraped,2026-04,"Software Engineer, Android (All Teams)",DoorDash,unknown,entry,,llm,broader_llm_routed_spot_check,False
linkedin_li-3999823822,scraped,2026-04,"Software Engineer, Backend (All Teams)",DoorDash,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
linkedin_li-4019926250,scraped,2026-04,ML Perception Software Engineer,Applied Intuition,unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4087006081,scraped,2026-04,Android Engineer,Speak,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
linkedin_li-4092899847,scraped,2026-04,"Software Engineer II, Data Engineering",DoorDash,unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,True
linkedin_li-4097040290,scraped,2026-04,Machine Learning Engineer,Neuralink,unknown,entry,,llm,broader_llm_routed_spot_check,False
linkedin_li-4098165303,scraped,2026-04,"Software Engineer, Backend (All Levels)",Zip,unknown,mid-senior,5.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4154598602,scraped,2026-04,Systems Engineer 6,Metrea,unknown,mid-senior,20.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4175380774,scraped,2026-04,Robotics Software Engineer - Labs,DoorDash,unknown,mid-senior,5.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4185014857,scraped,2026-04,"Mission Software Engineer, Vehicle Software, C++",Anduril Industries,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
linkedin_li-4185019529,scraped,2026-04,"Robotics Software Engineer, Vehicle Software",Anduril Industries,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
linkedin_li-4193022993,scraped,2026-04,Software Engineer - Back End,Distyl,unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4195260019,scraped,2026-04,"Software Engineer, Product Backend",Glean,unknown,entry,,llm,broader_llm_routed_spot_check,False
linkedin_li-4195750203,scraped,2026-04,"Software Engineer, AI Inference",Skild AI,unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
linkedin_li-4222873675,scraped,2026-04,Application Engineer - Postsales,Applied Intuition,unknown,entry,,llm,broader_llm_routed_spot_check,False
linkedin_li-4240281588,scraped,2026-04,"Software Engineer, BCI Applications",Neuralink,unknown,entry,,llm,broader_llm_routed_spot_check,False
