uid,seniority_final,window
linkedin_li-4390025690,mid-senior,"gn, construction, test, and deployment).
* Architect, implement, and optimize scalable databases.
* Mentor junior level developers and direct others while promoting a spirit of partnership and collegiality "
linkedin_li-4397632575,mid-senior,".
* Contributions to open-source compiler projects (MLIR, LLVM, XLA, TVM, OAI Triton).
* History of mentoring engineers and raising the technical bar on a team.
If you're a creative and autonomous program mana"
linkedin_li-4334303316,mid-senior,"ovative organization.
The ideal candidate will be a thought leader in the Developer Tooling domain, mentor, and team player who is hands-on in driving solutions from inception to implementation, and enablin"
linkedin_li-4380633522,mid-senior,"ital asset infrastructure.
* Embed compliance, security, and trust into every layer of the stack.
* Mentor engineers across teams, setting the standard for technical excellence.
* Influence product directio"
linkedin_li-4385910783,mid-senior,"ing of software updates and enhancements
* Documenting software functionality and system behavior
* Mentoring junior engineers and providing technical guidance
* Supporting the development of best practices, c"
linkedin_li-4378867263,mid-senior,"echnical project estimations for small to medium-scale projects involving one or more developers.
* Mentor and coach automation engineers at all levels, fostering a culture of continuous improvement and tec"
linkedin_li-4342208567,mid-senior,"ure OpenAI Service, or Microsoft security platforms (Azure AD, Defender, Purview)
* Track record of mentoring less experienced engineers, driving adoption of standards and best practices across teams, and infl"
linkedin_li-4382420389,mid-senior,"ed per existing standards.
You are expected to play a key role in design activities and scoping and mentor juniors in execution.
You’ll enjoy the flexibility to work remotely* from anywhere within the U.S. "
linkedin_li-4400942104,mid-senior,")**
.
* Establish and manage
**CI/CD pipelines**
for seamless build, test, and deployment cycles.
* Mentor and lead a team of developers, conduct code reviews, and enforce best practices.
* Collaborate with"
linkedin_li-4313079958,mid-senior,"dividuals with evolved soft skills in addition to technical acumen.
As a technical leader, you will mentor other engineers, collaborate with leads in other teams, and must be capable of driving complex tech"
linkedin_li-4400663783,mid-senior,"oss-functional partners in Data Science, Engineering, and Product to deliver high-impact solutions, mentor others on the data team, and drive technical excellence across the organization.
You will | * Desig"
linkedin_li-4395296068,mid-senior,"nts, collaborating with Data Science and Product teams to iterate on delightful user experiences.
* Coach and mentor junior engineers or new engineers joining the team. Provide technical leadership to your"
linkedin_li-4378309434,mid-senior,"oduct Management, Design, Data Science, Compliance, Operations, and other cross-functional teams.
* Mentor and grow fellow engineers working to create holistic and scalable solutions.
* Drive the product de"
linkedin_li-4389317008,mid-senior," of customer projects.
Take a leadership position in technical engagements with customers.
Lead and mentor solution delivery team.
Articulate technology and product positioning to both business and technica"
linkedin_li-4367939251,mid-senior,"g with and learning new technologies, participating in internal \& external technology communities, mentoring other members of the engineering community
* Collaborate with digital product managers, and deliver"
linkedin_li-4388112519,director,"m design
* Collaborate closely with founders on product direction and roadmap
* Gradually build and mentor the engineering team as the company scales
**Required Experience \& Profile**
* 3–5\+ years of expe"
linkedin_li-4401739100,mid-senior,"ticipate in a scheduled on-call rotation to handle production incidents outside of business hours
* Mentor other team members and contribute to the growth of the team
* Be available to work in a hybrid mode"
linkedin_li-4383254835,mid-senior,"o ensure architectural consistency, scalability, and technical differentiation.
* Provide technical mentorship and leadership across multiple engineering teams, ensuring alignment with long-term development goa"
linkedin_li-4387258938,director," adoption by ensuring AI solutions deliver measurable value to teams.
* Serve as a senior technical mentor, leading through technical credibility, collaboration, and influence rather than formal authority.
"
linkedin_li-4394769377,mid-senior,"nd Technology stakeholders to deliver technical solutions aligning with Future state architecture
* Mentor team members and encourage a collaborative team environment.
* Participate in cross-functional plan"
linkedin_li-4284636927,mid-senior,"-own the short and long-term technical vision of your squad with your teammates
* Provide technical mentorship and guidance to engineers within your team and others
* Help improve the technical quality of our w"
linkedin_li-4360967569,mid-senior,"and Typescript
* Familiarity with Adobe Creative Cloud applications and extensibility.
* Experience mentoring or influencing best practices across multidisciplinary teams."
linkedin_li-4342719455,mid-senior,"ce technical solutions.
* Elevate the team's technical standards, lead code and design reviews, and mentor engineers on backend best practices.
**What You Will Need**
* 5\+ years of experience in a producti"
linkedin_li-4394433341,mid-senior,"cations by identifying bottlenecks and implementing scalable improvements.
* Support team growth by mentoring developers and fostering a culture of learning and improvement.
* Conduct code reviews and enforce "
linkedin_li-4399228757,mid-senior,"CP and Azure foundations.
In this role, you will provide technical leadership to engineering teams, mentor developers, define and champion best-in-class cloud engineering practices, and influence cloud stra"
linkedin_li-4268615313,mid-senior,"ironments
* Lead architectural strategy for future-state scalability and performance optimization
* Mentor and guide junior engineers, promoting best practices and technical excellence
* Collaborate cross-f"
linkedin_li-4391782600,mid-senior,"tional partners to support safe adoption and communicate model risks, behaviors, and performance.
* Mentor junior team members and contribute to best practices, review standards, and reproducible ML workflo"
linkedin_li-4390023761,mid-senior,"gn, construction, test, and deployment).
* Architect, implement, and optimize scalable databases.
* Mentor junior level developers and direct others while promoting a spirit of partnership and collegiality "
linkedin_li-4400927761,mid-senior,"th and learning new technologies, participating in internal \& external technology communities, and mentoring other members of the engineering community
* Collaborate with digital product managers, and deliver"
linkedin_li-4392307756,mid-senior,"erational excellence for Restaurant365’s SaaS platform.
**How you'll add value:** | * Leadership \& Mentorship
* Lead design and implementation of automation frameworks and provisioning standards.
* Mentor engi"
linkedin_li-4398762093,mid-senior," and work instructions**
* Support customer audits and ensure compliance with aerospace standards
* Mentor junior quality engineers and inspectors
**What We’re Looking For**
* 5\+ years of experience in
**a"
linkedin_li-4395553027,mid-senior,"h-quality code reviews and technical discussions
* Influence team velocity and architecture through mentorship and planning contributions
* Drive continual improvement in team delivery, reliability, and system "
linkedin_li-4397752216,mid-senior,"-functional teams to define API requirements and deliver high-quality features.
* Grow the team via mentorship and leadership, reviewing technical documents and code changes
* 10\+ years of professional hands-o"
linkedin_li-4389418554,mid-senior,"eering practices, and by championing thoughtful adoption of AI and LLM-powered development tools.
* Mentor senior and mid-level engineers through design feedback, deep technical reviews, and example-driven "
linkedin_li-4359411929,mid-senior,"ng hardware, firmware, and systems engineering to deliver integrated solutions.
* Provide technical mentorship to junior and mid-level engineers.
* Work with internal and external partner resources to develop a"
linkedin_li-4354644216,mid-senior,"s of development experience to grow the engineering acumen of the squad by partnering, pairing, and mentoring.
* Collaborate closely with product owners and business stakeholders to overcome complex challenges"
linkedin_li-4395168328,mid-senior,"closely with cross-functional teams including product, architecture, and infrastructure, while also mentoring engineers and driving best practices across the team.
**Key Responsibilities**
* Lead and mentor en"
