technology,period,rate_ai_posts,rate_non_ai_posts,diff_pp,n_ai,n_non_ai
lang_haskell,2024,0.0,0.03,-0.03,935,27297
lang_haskell,2026,0.05,0.1,-0.05,6318,17777
lang_clojure,2024,0.0,0.05,-0.05,935,27297
lang_clojure,2026,0.0,0.07,-0.07,6318,17777
lang_matlab,2024,0.21,2.34,-2.13,935,27297
lang_matlab,2026,0.16,1.83,-1.67,6318,17777
fe_react,2024,9.41,14.05,-4.63,935,27297
fe_react,2026,25.93,16.47,9.46,6318,17777
fe_angular,2024,3.1,9.76,-6.66,935,27297
fe_angular,2026,9.73,8.15,1.59,6318,17777
fe_vue,2024,1.07,2.51,-1.44,935,27297
fe_vue,2026,4.21,2.77,1.44,6318,17777
fe_nextjs,2024,1.5,0.7,0.79,935,27297
fe_nextjs,2026,5.18,2.06,3.12,6318,17777
fe_svelte,2024,0.0,0.1,-0.1,935,27297
fe_svelte,2026,0.21,0.15,0.05,6318,17777
fe_html_css,2024,3.85,12.12,-8.27,935,27297
fe_html_css,2026,8.64,8.11,0.54,6318,17777
fe_sass_scss,2024,0.11,0.92,-0.81,935,27297
fe_sass_scss,2026,0.78,0.71,0.07,6318,17777
fe_tailwind,2024,0.75,0.15,0.6,935,27297
fe_tailwind,2026,1.61,0.54,1.07,6318,17777
fe_bootstrap,2024,0.32,1.55,-1.23,935,27297
fe_bootstrap,2026,0.47,1.02,-0.54,6318,17777
fe_webpack,2024,0.32,1.09,-0.77,935,27297
fe_webpack,2026,0.43,0.73,-0.3,6318,17777
fe_vite,2024,0.0,0.37,-0.37,935,27297
fe_vite,2026,0.47,0.43,0.04,6318,17777
fe_redux,2024,0.75,1.16,-0.41,935,27297
fe_redux,2026,0.76,1.41,-0.65,6318,17777
fe_graphql,2024,1.28,2.3,-1.02,935,27297
fe_graphql,2026,5.81,4.04,1.77,6318,17777
fe_flutter,2024,0.0,0.26,-0.26,935,27297
fe_flutter,2026,0.55,0.57,-0.02,6318,17777
fe_react_native,2024,0.32,0.94,-0.62,935,27297
fe_react_native,2026,1.3,1.34,-0.04,6318,17777
fe_electron,2024,0.0,0.15,-0.15,935,27297
fe_electron,2026,0.19,0.41,-0.22,6318,17777
be_nodejs,2024,4.92,7.93,-3.02,935,27297
be_nodejs,2026,10.32,6.29,4.03,6318,17777
be_django,2024,1.28,1.03,0.26,935,27297
be_django,2026,2.01,1.65,0.36,6318,17777
be_flask,2024,1.28,0.77,0.52,935,27297
be_flask,2026,2.07,0.88,1.19,6318,17777
be_fastapi,2024,1.6,0.13,1.48,935,27297
be_fastapi,2026,5.43,1.07,4.35,6318,17777
be_spring,2024,2.03,6.43,-4.4,935,27297
be_spring,2026,6.08,8.71,-2.63,6318,17777
be_dotnet,2024,4.06,8.82,-4.76,935,27297
be_dotnet,2026,8.37,6.31,2.07,6318,17777
be_rails,2024,0.43,0.75,-0.33,935,27297
be_rails,2026,2.44,1.08,1.36,6318,17777
be_express,2024,0.21,0.23,-0.02,935,27297
be_express,2026,0.13,0.23,-0.1,6318,17777
be_grpc,2024,0.64,0.64,0.0,935,27297
be_grpc,2026,2.85,1.73,1.12,6318,17777
be_rest_api,2024,1.18,2.77,-1.6,935,27297
be_rest_api,2026,2.53,2.93,-0.4,6318,17777
be_microservices,2024,5.35,10.91,-5.57,935,27297
be_microservices,2026,17.47,13.32,4.15,6318,17777
cloud_aws,2024,29.63,29.55,0.08,935,27297
cloud_aws,2026,44.87,33.34,11.53,6318,17777
cloud_azure,2024,25.13,20.97,4.17,935,27297
cloud_azure,2026,33.06,21.86,11.2,6318,17777
cloud_gcp,2024,15.83,12.92,2.9,935,27297
cloud_gcp,2026,25.51,14.46,11.05,6318,17777
devops_kubernetes,2024,12.09,16.76,-4.67,935,27297
devops_kubernetes,2026,23.46,21.56,1.9,6318,17777
devops_docker,2024,9.52,15.62,-6.1,935,27297
devops_docker,2026,20.26,17.55,2.71,6318,17777
devops_terraform,2024,4.6,7.25,-2.65,935,27297
devops_terraform,2026,13.25,12.37,0.88,6318,17777
devops_cicd,2024,16.9,18.56,-1.66,935,27297
devops_cicd,2026,37.26,33.92,3.34,6318,17777
devops_jenkins,2024,3.32,8.17,-4.85,935,27297
devops_jenkins,2026,6.93,10.36,-3.43,6318,17777
devops_github_actions,2024,1.28,1.55,-0.27,935,27297
devops_github_actions,2026,5.54,4.85,0.69,6318,17777
devops_argocd,2024,0.32,0.31,0.01,935,27297
devops_argocd,2026,1.46,1.59,-0.14,6318,17777
devops_ansible,2024,1.71,4.96,-3.25,935,27297
devops_ansible,2026,1.68,5.63,-3.95,6318,17777
devops_helm,2024,0.64,0.99,-0.35,935,27297
devops_helm,2026,2.11,2.22,-0.12,6318,17777
devops_prometheus,2024,0.86,1.22,-0.37,935,27297
devops_prometheus,2026,3.31,3.66,-0.35,6318,17777
devops_grafana,2024,0.96,1.26,-0.3,935,27297
devops_grafana,2026,3.69,4.37,-0.68,6318,17777
devops_datadog,2024,0.0,0.97,-0.97,935,27297
devops_datadog,2026,3.89,2.35,1.55,6318,17777
devops_splunk,2024,0.86,2.07,-1.21,935,27297
devops_splunk,2026,1.69,2.69,-1.0,6318,17777
devops_nginx,2024,0.43,0.4,0.02,935,27297
devops_nginx,2026,0.19,0.44,-0.25,6318,17777
devops_linux,2024,4.06,17.06,-12.99,935,27297
devops_linux,2026,5.43,17.82,-12.39,6318,17777
devops_git,2024,12.51,19.19,-6.68,935,27297
devops_git,2026,26.26,25.13,1.13,6318,17777
devops_cloudformation,2024,0.75,1.61,-0.86,935,27297
devops_cloudformation,2026,4.02,3.44,0.58,6318,17777
data_postgresql,2024,4.49,6.1,-1.61,935,27297
data_postgresql,2026,11.06,9.42,1.65,6318,17777
data_mysql,2024,1.5,5.83,-4.33,935,27297
data_mysql,2026,4.42,5.08,-0.66,6318,17777
data_mongodb,2024,1.28,4.81,-3.53,935,27297
data_mongodb,2026,4.91,4.71,0.19,6318,17777
data_redis,2024,1.39,2.69,-1.3,935,27297
data_redis,2026,4.46,3.08,1.38,6318,17777
data_kafka,2024,4.49,6.83,-2.34,935,27297
data_kafka,2026,8.36,9.35,-0.99,6318,17777
data_spark,2024,7.38,5.45,1.92,935,27297
data_spark,2026,10.41,8.06,2.35,6318,17777
data_snowflake,2024,2.35,3.05,-0.7,935,27297
data_snowflake,2026,6.51,5.24,1.27,6318,17777
data_databricks,2024,4.28,1.66,2.62,935,27297
data_databricks,2026,5.92,4.43,1.49,6318,17777
data_dbt,2024,0.32,0.54,-0.22,935,27297
data_dbt,2026,1.57,1.45,0.12,6318,17777
data_elasticsearch,2024,0.96,1.77,-0.81,935,27297
data_elasticsearch,2026,1.8,1.98,-0.18,6318,17777
data_dynamodb,2024,1.07,1.77,-0.7,935,27297
data_dynamodb,2026,4.29,2.31,1.98,6318,17777
data_cassandra,2024,1.07,2.78,-1.71,935,27297
data_cassandra,2026,1.31,1.58,-0.27,6318,17777
data_bigquery,2024,0.75,0.66,0.09,935,27297
data_bigquery,2026,2.3,1.63,0.67,6318,17777
data_airflow,2024,3.53,1.77,1.76,935,27297
data_airflow,2026,5.08,3.23,1.85,6318,17777
data_rabbitmq,2024,0.21,0.73,-0.52,935,27297
data_rabbitmq,2026,1.27,1.56,-0.3,6318,17777
data_etl,2024,17.86,4.12,13.74,935,27297
data_etl,2026,6.11,7.39,-1.28,6318,17777
data_hadoop,2024,2.67,3.42,-0.75,935,27297
data_hadoop,2026,1.63,2.72,-1.09,6318,17777
data_nosql,2024,4.28,10.2,-5.92,935,27297
data_nosql,2026,11.21,7.73,3.47,6318,17777
data_oracle_db,2024,1.82,6.12,-4.3,935,27297
data_oracle_db,2026,3.39,5.83,-2.44,6318,17777
data_sql_server,2024,2.78,6.1,-3.32,935,27297
data_sql_server,2026,3.34,4.87,-1.53,6318,17777
ml_tensorflow,2024,15.4,1.78,13.62,935,27297
ml_tensorflow,2026,9.89,2.06,7.83,6318,17777
ml_pytorch,2024,17.01,1.3,15.7,935,27297
ml_pytorch,2026,13.07,2.27,10.8,6318,17777
ml_scikit_learn,2024,5.56,0.52,5.04,935,27297
ml_scikit_learn,2026,3.7,0.83,2.88,6318,17777
ml_pandas,2024,2.35,0.92,1.43,935,27297
ml_pandas,2026,2.34,1.04,1.3,6318,17777
ml_numpy,2024,2.25,0.8,1.45,935,27297
ml_numpy,2026,1.66,0.68,0.98,6318,17777
ml_jupyter,2024,0.53,0.52,0.01,935,27297
ml_jupyter,2026,0.55,0.3,0.26,6318,17777
ml_keras,2024,2.46,0.1,2.36,935,27297
ml_keras,2026,1.19,0.11,1.07,6318,17777
ml_mlops,2024,7.91,0.66,7.26,935,27297
ml_mlops,2026,9.31,1.26,8.05,6318,17777
ml_computer_vision,2024,7.38,1.78,5.6,935,27297
ml_computer_vision,2026,3.94,1.86,2.08,6318,17777
ml_nlp,2024,30.37,0.59,29.78,935,27297
ml_nlp,2026,9.53,2.77,6.76,6318,17777
ml_deep_learning,2024,25.03,1.26,23.76,935,27297
ml_deep_learning,2026,6.87,1.51,5.36,6318,17777
ml_machine_learning,2024,46.2,6.99,39.21,935,27297
ml_machine_learning,2026,28.74,12.33,16.41,6318,17777
test_jest,2024,0.75,0.79,-0.05,935,27297
test_jest,2026,0.87,1.25,-0.38,6318,17777
test_pytest,2024,0.21,0.2,0.01,935,27297
test_pytest,2026,1.01,0.79,0.23,6318,17777
test_selenium,2024,0.43,1.9,-1.47,935,27297
test_selenium,2026,1.36,2.14,-0.78,6318,17777
test_cypress,2024,0.21,0.56,-0.34,935,27297
test_cypress,2026,1.04,1.51,-0.47,6318,17777
test_junit,2024,0.53,1.84,-1.31,935,27297
test_junit,2026,1.76,2.26,-0.5,6318,17777
test_mocha,2024,0.11,0.3,-0.19,935,27297
test_mocha,2026,0.24,0.24,0.0,6318,17777
test_playwright,2024,0.21,0.21,0.01,935,27297
test_playwright,2026,1.73,1.31,0.42,6318,17777
test_unit_testing,2024,3.64,9.1,-5.47,935,27297
test_unit_testing,2026,6.93,7.52,-0.59,6318,17777
test_integration,2024,0.96,4.95,-3.99,935,27297
test_integration,2026,3.17,5.06,-1.9,6318,17777
practice_agile,2024,15.08,32.78,-17.7,935,27297
practice_agile,2026,24.3,28.47,-4.18,6318,17777
practice_scrum,2024,3.74,8.11,-4.36,935,27297
practice_scrum,2026,5.0,8.6,-3.6,6318,17777
practice_tdd,2024,1.6,3.9,-2.29,935,27297
practice_tdd,2026,3.26,3.68,-0.42,6318,17777
practice_kanban,2024,0.96,1.07,-0.1,935,27297
practice_kanban,2026,0.55,1.2,-0.64,6318,17777
practice_devops,2024,14.22,14.98,-0.76,935,27297
practice_devops,2026,20.01,20.05,-0.05,6318,17777
practice_sre,2024,3.96,2.79,1.17,935,27297
practice_sre,2026,5.52,4.72,0.8,6318,17777
mobile_ios,2024,0.75,2.96,-2.22,935,27297
mobile_ios,2026,1.85,3.52,-1.67,6318,17777
mobile_android,2024,0.86,3.48,-2.62,935,27297
mobile_android,2026,2.17,4.66,-2.49,6318,17777
security_oauth,2024,0.32,0.93,-0.61,935,27297
security_oauth,2026,1.23,1.37,-0.14,6318,17777
security_sso,2024,0.21,0.68,-0.47,935,27297
security_sso,2026,0.78,0.7,0.07,6318,17777
security_devsecops,2024,1.5,2.23,-0.73,935,27297
security_devsecops,2026,5.16,3.42,1.74,6318,17777
security_owasp,2024,0.32,0.26,0.06,935,27297
security_owasp,2026,0.44,0.37,0.08,6318,17777
