pattern,uid,period,match,context,auto_label
firm_requirement_v2,asaniczka_9a20c64ade31e932,2024-01,requirements," cortex-m4/7, stm32 or similar microcontroller architectures. evaluating cpu vs requirements and trade-offs for cost-effective designs. ability to troubleshoot firmware sys",TP
firm_requirement_v2,asaniczka_c20dae871aa56c31,2024-01,minimum of,"tion : 12months contract job | bachelor’s degree in engineering, \ preferred. a minimum of 3-5 years in automation/technical role in a high volume environment. a working ",TP
firm_requirement_v2,asaniczka_ab15528e9ec8ec7d,2024-01,requirement,"des for plane services, to including enabling toolsand definition/refinement of requirement to and regulations, must be a u.s. or u.s. permanent (i.e., or lawfully admitte",TP
firm_requirement_v2,arshkon_3884437415,2024-04,requirements," design, and high complexity testing.participate in and evaluating product test requirements and strategies.promote and implement in engineering procedures. requirements:ba",TP
firm_requirement_v2,arshkon_3903845232,2024-04,requirements,"ions. the data engineer determines methods and approaches to projects, business requirements specifications into instructions, designing, and programs. in the role plays a ",TP
firm_requirement_v2,asaniczka_09a9e3b4c989e209,2024-01,requirements," position will with stakeholders and your proficiency of the software including requirements elicitation, application and design; an important role in the high design artif",TP
firm_requirement_v2,asaniczka_8cd5673e897b0cae,2024-01,must be,job senior software developer duration: 1 year with | must be to indiana. the desired would be a full stack developer with several years of c,TP
firm_requirement_v2,asaniczka_4e7914db08d65c57,2024-01,requirements,job | this system engineer will the and of labeling requirements and the of a for requirements and traceability. 1. experience in requirements a,TP
firm_requirement_v2,asaniczka_a27f332327f097d7,2024-01,minimum years,ubernetes as for devops and as as colleagues on the devops team qualifications: minimum years of recent experience with and github actions experience with security scanning ,TP
firm_requirement_v2,arshkon_3905869090,2024-04,requirements,"lating problems out of the scale of our and the stringent quality, and security requirements of our product. excellent skills, with experience very high-quality and low-com",TP
firm_requirement_v2,asaniczka_04793b8491446a20,2024-01,requirements," or ai display. react or angular experience (preferably react) | ability to and requirements for projects and tasks, of which are experience a product and splitting feature",TP
firm_requirement_v2,asaniczka_f8c06b4e5e773c0b,2024-01,requirements," the manager and the rest of the team to the design, and in the software stack. requirements: | 10+ years of experience. strong abilities using php, laravel, angular & mysq",TP
firm_requirement_v2,asaniczka_7d39a67a598c0e17,2024-01,requirements," technologies and and participate in all of the software and conceptual design, requirements high design, detailed design, test, and system, user, and test.) what you will ",TP
firm_requirement_v2,asaniczka_cac6f667b114d104,2024-01,requirements,. engineer will will work with systems / design engineering to that engineering requirements are adequately during the test process. must be willing to work shifts and rota,TP
firm_requirement_v2,linkedin_li-4390339014,2026-03,requirement,a role in system-level software a environment. this position involves executing requirement-driven manual and software and and troubleshooting software components and pub/,TP
firm_requirement_v2,linkedin_li-4355206334,2026-04,minimum of,"alifications & experience:** | * bachelor’s degree in engineering or experience minimum of 2-3 years of experience in an engineering, role in a regulated * strong and ski",TP
firm_requirement_v2,linkedin_li-4345175469,2026-04,requirements,"e of those who need them most. as a devops engineer at you’ll the software from requirements to in production. you’ll incorporate open-source tools, and cloud to systems, d",TP
firm_requirement_v2,linkedin_li-4355951353,2026-04,requirements,"ols and workflows that automate business the company. * own systems end-to-end: requirements, and iteration. hr & * build ingestion and including extracting and attributes ",TP
firm_requirement_v2,linkedin_li-4391698491,2026-03,required,ts/sci w/ | (20) years' experience as a swe in and of similar and complexity is required. strong java experiience is jira and gitlab aws experieince a,TP
firm_requirement_v2,linkedin_li-4393201813,2026-03,must be,plications from to and are for and releasing and maintaining our products. team must be and willing to on responsibilities are needed to regularly ship all of the comp,AMB
firm_requirement_v2,linkedin_li-4398600677,2026-04,requirements," for tradeoffs and definitions constraints including data latency, microdisplay requirements, system latency, budgets, manufacturability, and customer integration. the role",TP
firm_requirement_v2,linkedin_li-4396165502,2026-04,requirements,"role, you will with stakeholders and your proficiency of the software including requirements elicitation, application knowledge and design. you will an important role in th",TP
firm_requirement_v2,linkedin_li-4365195310,2026-03,requirement,"nd databricks * experience with data quality, frameworks, and * ba or bs degree requirement** * must be us with an ability to obtain and maintain us suitability",TP
firm_requirement_v2,linkedin_li-4391654981,2026-03,requirements,"grams. our team is for automating and increasing for for and quality checks, to requirements earlier in the software process. what you will be doing as a software test engi",TP
firm_requirement_v2,linkedin_li-4367622067,2026-04,must be,"ursework, projects, or work experience. * experience in qa, and/or debugging. * must be a u.s. with to work in the u.s., with no need for sponsorship qualifications** ",TP
firm_requirement_v2,linkedin_li-4388554343,2026-03,requirements,"e maintaining and user-support documenting problems and actions, analyzing user requirements to improve existing manuals, conducting and as part of a project team. in the a",TP
firm_requirement_v2,linkedin_li-4388762046,2026-03,requirements,"pen-source data frameworks and hadoop technologies. - analyze data and business requirements to formulate effective design and parameters. - build and manage tools, databas",TP
firm_requirement_v2,linkedin_li-4398008996,2026-04,requirements, high-performance team tasked with finding to the most data customers face. job requirements | 12 years of lustre experience recognized expertise the lustre | proven track ,TP
firm_requirement_v2,linkedin_li-4396361933,2026-04,requirements,"to & plans. * in design, documentation, etc. * develop specifications including requirements, detailed design, code, and test procedures as part of agile/iterative sdp team",TP
firm_requirement_v2,linkedin_li-4384055395,2026-04,requirements,"nce capabilities that the of workloads. we work at the of systems, and customer requirements to improve throughput, latency, and quality our stack. **about the role** we ar",TP
firm_requirement_v2,linkedin_li-4394719483,2026-04,requirements,r work as a may be expected to handle unclassified and must to safeguarding and requirements. **responsibilities** | * develop and execute test system components * validate,TP
firm_requirement_v2,linkedin_li-4391677006,2026-03,requirements,"d standards. work closely with cross-functional teams, including systems and to requirements and the of software modules into broader systems. documentation: | maintain tho",TP
firm_requirement_v2,linkedin_li-4301978771,2026-04,must be,**must be a us this position requires to customer data.** must be a commutable to tx with,AMB
firm_requirement_v2,linkedin_li-4388660530,2026-03,requirements,". **the role** | - lead the design and of software for high-speed systems, from requirements to orbit-ready deployment. - develop low-level abstraction layers, and system b",TP
firm_requirement_v2,linkedin_li-4376291062,2026-03,requirements,"ent. additionally, you will be for designing and implementing cloud services on requirements. we expect you to have excellent skills and a lead role in designing and implem",TP
firm_requirement_v2,linkedin_li-4392028942,2026-03,requirements,"that low-level and begins to functions such as estimation, and discernment. and requirements:** | * premera’s internship is – 2026. * to be eligible for the you must curren",TP
firm_requirement_v2,linkedin_li-4389308298,2026-03,requirements,"propose, implement and deploy software on products and technologies to customer requirements. develop documents and customer training. for the of customer projects. a posit",TP
firm_requirement_v2,linkedin_li-4394482307,2026-04,requirements,"velop and execute of and of security technologies. * assists with the of system requirements, requirements, and of the same to software, and components * participates in de",TP
firm_requirement_v2,linkedin_li-4331527344,2026-03,must be, build knowledge of and of and equipment. qualifications/experience:** **degree must be from a that is by an accrediting recognized by the of of the u.s. of or from an,TP
org_scope_v2,asaniczka_29fb82e5040314c3,2024-01,cross-functional,"d optimize applications that the company’s objectives. collaborate closely with cross-functional teams, including product and other to with business and user requirements. code",TP
org_scope_v2,asaniczka_7120e95dcdb740d7,2024-01,organization,"b we're a web developer to our team. you'll be for designing, and modifying our organization's website to its functionality, and of use. maintaining and our website | colla",TP
org_scope_v2,arshkon_3906201020,2024-04,vision,"ct and aws to create a and platform, working closely with our team to bring our vision to life. responsibilities: architect and develop a web application using java (",TP
org_scope_v2,asaniczka_f6e33d937f565dd8,2024-01,partner with,"existing code and scheduled to data - as of and lead on data file/structure and partner with to feasibility and - master data through data cleansing, data quality deduplica",TP
org_scope_v2,asaniczka_6f29da4be9ae03dc,2024-01,mentor,"e, monitor, and manage data systems data platforms. additionally, you will as a mentor to junior team and them on best and engineering standards. the team the team is",TP
org_scope_v2,asaniczka_15f9aa109b4d6e66,2024-01,vision,m both a and programmatic ability to convert vague customer requirements into a vision and detailed tasking for a team ability to 10% skills: | experience plugins usi,TP
org_scope_v2,asaniczka_b36031c0799cc0e0,2024-01,mentor,"h and best this includes cloud, service cloud, cpq, and services performs as an mentor, and agent understand and consistently application attributes and collaborate, ",TP
org_scope_v2,asaniczka_96e1cac7f5414623,2024-01,cross-functional,"ake a on moloco’s and up the for moloco’s mobile development. your work will be cross-functional, and might require you to work with customers. the opportunity: | design, archi",TP
org_scope_v2,asaniczka_faac9a8815e6ef63,2024-01,vision,"king of resulting to maintain system performance. maintain of & scale and to of vision and through benchmarking. participate in the of & scale and o&m, and other budg",TP
org_scope_v2,asaniczka_dc11ad56898a055a,2024-01,mentor,"ld high-quality solutions. be about technology and constantly of technology and mentor junior team to their and skills. be and from more senior team qualifications, c",TP
org_scope_v2,asaniczka_29983565287e340e,2024-01,stakeholders," the and determine the resolution. this position communicates with of other and stakeholders and to and of the job function at an regarding policies, procedures and practic",TP
org_scope_v2,arshkon_3904424006,2024-04,stakeholders," involved in the qa, and of ai on our platform. your job will also involve with stakeholders, their requirements, and them into effective ai-based solutions. working closel",TP
org_scope_v2,asaniczka_aba2a566ee846426,2024-01,mentor,ly reflecting on and failures to improve and decision-making to effectively and mentor in skills demonstrates a passion and for self-improvement of skillsets proactiv,TP
org_scope_v2,arshkon_3902348874,2024-04,mentor,"ectations. you will your experience to solve problems, projects through and and mentor team members. skills required:design, build, deploy, operate and monitor availa",TP
org_scope_v2,asaniczka_f79184b6c0d026b5,2024-01,roadmap,"d of the pmo’s cloud systems, applications, network policies, and strategy. and roadmap for cloud migrations. manage the plan, including and adaption of the cloud proc",TP
org_scope_v2,asaniczka_21aced8635457401,2024-01,stakeholders," python excellent and interpersonal skills, with the ability to with all of and stakeholders previous participation on an agile scrum team or familiarity with the agile fam",TP
org_scope_v2,asaniczka_0876a2fdc200f858,2024-01,mentor,system. we our own food”. we want to experience our system as our customers do. mentor other a in the | are constantly challenged to of and solutions. the quality is ,TP
org_scope_v2,asaniczka_068656bc7a9c0e82,2024-01,stakeholders," and well-documented code work closely with other and collaborate with business stakeholders to understand and translate into requirements work in an agile with sprints, re",TP
org_scope_v2,asaniczka_783b5330874c7cc3,2024-01,cross-functional,t java-based applications and software components for systems. collaborate with cross-functional teams to software requirements and specifications. work with previously written,TP
org_scope_v2,asaniczka_42d1c1aafca84924,2024-01,stakeholder,onfiguration between affected and the derive from the system requirements an of stakeholder functions that may be and implied as to system derive lower-level requirements ,TP
org_scope_v2,asaniczka_6c211ff154ca131f,2024-01,organization, data and space. this position will report to sr. director of data & under data organization. this is an performer role. job functions | demonstrate ability in implementing,AMB
org_scope_v2,asaniczka_7eb60a93b1c51ed3,2024-01,stakeholders,"– design, and of technology initiatives. work closely with product and business stakeholders to lead feature on multi-sprint initiatives. work with engineering including mi",TP
org_scope_v2,asaniczka_2502fb5b7bb98b80,2024-01,cross-functional," of mobile and cloud applications. position responsibilities | collaborate with cross-functional teams to design, develop, and deploy c# .net applications for both mobile and c",TP
org_scope_v2,asaniczka_912d3af4a67c2121,2024-01,partner with,ork autonomously with or to deliver business value. position responsibilities | partner with business stakeholders to requirements and translate them into specifications an,TP
org_scope_v2,asaniczka_53de3ce6d99833ac,2024-01,mentor,"and data technologies (sqlserver, react, nosql, kafka, elasticsearch). be a and mentor for well-architected, well-tested and to understand services using software eng",TP
org_scope_v2,linkedin_li-4087006081,2026-04,mentor,"ng and skills, and the ability to work independently or as part of a team * and mentor other * strong product ability to broadly/cross-functionally about product",TP
org_scope_v2,linkedin_li-4379279678,2026-03,mentor," discipline or * 3+ years as an application engineer for or more tools such as (mentor xpedition, designer). * 3+ years with frontend (design tools), and the backend ",TP
org_scope_v2,linkedin_li-4385185867,2026-03,organization,". * strong verbal and written with ability to effectively communicate at in the organization. * multitasks, prioritizes and deadlines in manner. * strong and follow-up skil",AMB
org_scope_v2,linkedin_li-4386612695,2026-03,cross-functional,"the security, recoverability, and to systems and information. * participates in cross-functional on the and of enterprise-wide upgrades and changes. * facilitates knowledge by ",TP
org_scope_v2,linkedin_li-4322330178,2026-03,cross-functional,e an systems engineer to our encodings and tokenization team at anthropic. this cross-functional role will be in and optimizing the encodings and tokenization systems used our ,TP
org_scope_v2,linkedin_li-4382130012,2026-04,vision,* 5+ years in vision and deep on research or r&d * must have vision-language (vlms) * hands-on with ,TP
org_scope_v2,linkedin_li-4321721237,2026-03,vision,as an ai software engineer at you’ll the architect’s vision and it into and delivering the code and that our customer and next-gen ai deplo,TP
org_scope_v2,linkedin_li-4385842190,2026-03,cross-functional,". * as a the software team, requirements through completion. * collaborate with cross-functional engineering teams to architect features and capabilities. * software is robust,",TP
org_scope_v2,linkedin_li-4394491087,2026-04,mentor,reviews. * understand and articulate data to and non-technical professionals. * mentor and lead more junior of the team with methodologies. * high in and software lan,TP
org_scope_v2,linkedin_li-4395555845,2026-03,organization,'ll do: is a and fast-growing business so you'll get experience on projects the organization. that here are some you'll do: * measure and the frontend platform that the sit,AMB
org_scope_v2,linkedin_li-4400990105,2026-04,stakeholders,"nd workflows frameworks like pydanticai, langgraph, and deepagents. * work with stakeholders and to understand workflows and identify high-impact opportunities. * design an",TP
org_scope_v2,linkedin_li-4378065615,2026-04,partner with,"dtm, * implement frameworks for data quality, and data reconciliation, and qc * partner with platform, cloud, and devops teams to the data platform; own ci/cd as code, obse",TP
org_scope_v2,linkedin_li-4389774074,2026-03,mentor,"kflows, ensuring and code and delivery. * review code quality, troubleshoot and mentor to help them grow. * and ai tools to workflows. **what you’ll bring** | * a bac",TP
org_scope_v2,linkedin_li-4324573763,2026-04,roadmap,"a role on and maturity, not feature integration. **what you’ll do** | * own the roadmap for & the ml — from through production-grade maturity. * research, design, and ",TP
org_scope_v2,linkedin_li-4375565617,2026-03,stakeholders,**summary** **responsibilities** | * work with stakeholders to capabilities and best * work individually and collaboratively to deliver fea,TP
org_scope_v2,linkedin_li-4340442217,2026-03,stakeholders,"h a in both prototyping and systems that can threats, amounts of and deliver to stakeholders. we with skills, a to and who are to promoting the use of ai. **in this role, y",TP
org_scope_v2,linkedin_li-4386546018,2026-04,organization," are a hands-on full-stack **software engineer ) to as a senior our engineering organization. this role is for designing, and delivering robust, software while providing da",TP
org_scope_v2,linkedin_li-4392088915,2026-03,partner with,"ties dashboards, and alerting) to \>99.95% for business-critical applications * partner with software the to hands-on by establishing for engineering (zero-downtime deploym",TP
org_scope_v2,linkedin_li-4401544437,2026-04,partner with,"ntime such as role/permission boundaries, and traceability for and readiness. * partner with product and engineering teams to embed ai security into design test and from th",TP
org_scope_v2,linkedin_li-4397062549,2026-04,mentorship,"ata migrations, and and in environments. the role also emphasizes and requiring mentorship of junior team contribution to cloud and of reusable frameworks and data engine",TP
org_scope_v2,linkedin_li-4394486447,2026-04,roadmap,f technologies. & work closely with product and other to deliver on the product roadmap. mentor junior and contribute to a of excellence. communicate effectively with ,TP
org_scope_v2,linkedin_li-4229413859,2026-04,cross-functional," technologies, a strong on user experience, and the ability to collaborate with cross-functional teams. * implement and maintain frontend features using react and typescript, d",TP
org_scope_v2,linkedin_li-4391207746,2026-03,mentor,"ing synonyms, and customizing * monitor and optimize * high and fault of * code mentor junior and contribute to * work closely with product and ux to translate busine",TP
org_scope_v2,linkedin_li-4393025999,2026-04,stakeholder,"ave engineered-to-order expertise, experience in test and execution, defect and stakeholder coordination. additionally, to test including tosca, is preferred. & responsibi",TP
org_scope_v2,linkedin_li-4388695636,2026-03,cross-functional,ce systems. this role involves ensuring software and collaborating closely with cross-functional teams to deliver cutting-edge solutions. responsibilities:** | and maintain exi,TP
mgmt_strict_v1,asaniczka_9351f186877e2aea,2024-01,mentor,acing qualifications | ability to communicate between engineering and customers mentor younger and existing knowledge ability to customers/projects willing to tech/in,TP
mgmt_strict_v1,asaniczka_007fb0741a868960,2024-01,mentor,"o deliver effective presentations | ability to supervise team and to advise and mentor in of expertise ability and willingness to (domestic/international, approximate",TP
mgmt_strict_v1,asaniczka_8fc09d911825797a,2024-01,mentor,"ars of design or (design and of and existing systems experience experience as a mentor, lead or an engineering team qualifications | 5+ years of full software includi",TP
mgmt_strict_v1,arshkon_3901941545,2024-04,mentor,", and web services.advise on to the functionality and of applications.train and mentor team on best and techniques.manage user track code and maintain a for and gover",TP
mgmt_strict_v1,arshkon_3901664804,2024-04,mentor,"cellent and skills are with strong verbal and proficienciesability to lead test mentor, and staff.functional knowledge of githubfunctional knowledge of jenkins desire",TP
mgmt_strict_v1,asaniczka_a4f4458ff2b5f1df,2024-01,mentor,"eams to develop customer contribute to code and documentation, and on fixes and mentor junior qualifications | 5+ years of experience large-scale frontend application",TP
mgmt_strict_v1,arshkon_3895494145,2024-04,mentor,"ing, and problems deliver and operate and systems consumed by teams and clients mentor junior of the team in engineering craftsmanship and propose and that uber's fun",TP
mgmt_strict_v1,asaniczka_8388557f0f628ae0,2024-01,mentor,"oject on track. ability to work on projects with complexities at the same time. mentor junior team and when needed. best-in-class (user prototypes, etc.) in a fast-pa",TP
