uid,source,period,title,desc_200,swe_confidence,swe_classification_tier,seniority_final,seniority_final_source
asaniczka_95d4d2481872fd99,kaggle_asaniczka,2024-01,Reliability Engineer,"Job Details:
A
Reliability Engineer
with a Mechanical Engineering degree and a minimum of 5 years of experience as a reliability engineer is needed for a
Permanent Career Opportunity
in the South East",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_71ba922790df6891,kaggle_asaniczka,2024-01,Senior Angular Developer,"Position Description
CGI is seeking a hands-on Senior Angular Developer with a proven technical expertise to join our dynamic team.
You will be involved in a mission critical project, working with a t",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_e79faa5a4190dc77,kaggle_asaniczka,2024-01,Senior Developer,"17119BR
Massachusetts
Job Description
Senior Developer (4 – 7 Years Max)
Job Description
Handle Tier 2 analysis, Analyze Job logs, Application logs or any other environment logs.
Have good understandi",0.9,embedding_llm,mid-senior,title_keyword
linkedin_li-4387951725,scraped,2026-03,Lead Developer,"**Description - 100% Remote**
 Sony Music Publishing's SCORE application provides clients with the most convenient way to stay up to date with
   

  

 their current balance. The app provides a strea",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_f66c35ad936caa52,kaggle_asaniczka,2024-01,Firmware Engineer,We are seeking a highly talented and passionate firmware engineer to participate in developing pioneering cell purification instruments. This position will involve research and development activities ,0.9,embedding_llm,mid-senior,native_backfill
arshkon_3902807952,kaggle_arshkon,2024-04,Build Engineer,A Renewed Vision Build Engineer will create and maintain the infrastructure needed to support our desktop development. You are someone who finds joy in observing the improvements in performance and ef,0.9,embedding_llm,unknown,unknown
asaniczka_38a802ed93210d4f,kaggle_asaniczka,2024-01,Software QA Engineer,"About The Job
We are looking for a Software QA Engineer with a passion for quality who will be responsible for holding the high-quality bar by owning test automation and shaping Bractlet’s testing str",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_37db2744ba1aea1e,kaggle_asaniczka,2024-01,Systems Design Engineer,"Systems Design Engineer - w2 candidates only
Rolling Meadows, IL - 5 Days Onsite - Local Candidates with in 40 Miles Distance
Must have - Active Top Secret Clearance with SCI & polygraph - We will che",0.9,embedding_llm,mid-senior,native_backfill
arshkon_3884830855,kaggle_arshkon,2024-04,Azure Engineer,Piper Companies is seeking a Azure DevOps Engineer will work on transformative cloud and on-prem solutions in collaboration with your system engineering and cross-functional team members to improve th,0.9,embedding_llm,entry,native_backfill
asaniczka_5722bf08141758d1,kaggle_asaniczka,2024-01,Test Engineer,"Akkodis is seeking a Test Engineer for a position with in the Aerospace industry. The primary responsibilities will be the preparation, coordination and execution of MSC Mechanical testing on actuatio",0.9,embedding_llm,associate,native_backfill
asaniczka_58b60df284481d2d,kaggle_asaniczka,2024-01,Lead Developer,This position is responsible for managing multiple software development teams by providing technical direction and helping to ensure that the project is completed on time and on/under budget. This pos,0.9,embedding_llm,mid-senior,native_backfill
arshkon_3904424060,kaggle_arshkon,2024-04,Senior Systems Test Engineer,"Lear For You

We work hard for the people who work for us. We champion our teams. We foster collaboration, inclusion, respect and excellence. What we are trying to say is we want to be more for you.

",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_9a3dd19da666b077,kaggle_asaniczka,2024-01,Senior Programmer Analyst,"Pay Range $52.80 to $70.90 per hour
The Senior Programmer Analyst role is to define, design, envision, develop, test, analyze, implement, support, and maintain new and existing software applications a",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_b5bf7e668800fe29,kaggle_asaniczka,2024-01,System Design Engineer,"The System Design Engineer's duties include the development of system/subsystem design and requirements, software requirements, integration, and verification tests. They shall ensure the design has be",0.9,embedding_llm,mid-senior,native_backfill
arshkon_3887478013,kaggle_arshkon,2024-04,DevSecOps Engineer,The Opportunity: We are seeking a DevSecOps Specialist who is not only proficient in Python and has a deep understanding of Machine Learning but also possesses the unique capability to seamlessly blen,0.9,embedding_llm,associate,native_backfill
asaniczka_18d38b001fb617f8,kaggle_asaniczka,2024-01,Senior MLOps Engineer,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is ",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_04b1b97a970e6b00,kaggle_asaniczka,2024-01,Mobile Application Developer,"About Us
At HDR, we specialize in engineering, architecture, environmental and construction services. While we are most well-known for adding beauty and structure to communities through high-performan",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_ec5d688ee4872c5d,kaggle_asaniczka,2024-01,Senior Cloud Developer,"About The Job
Develop solid and supportable modular designs for data streaming, Cloud transformation/migration, and API product development in support of critical applications
Develop data APIs and da",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_4f124959d5d41be5,kaggle_asaniczka,2024-01,Java Application Architect,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Quantum Vision LLC, is seeking the following. Apply via Dice today!
Hello
Job Description: Applicat",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_2180e02f9978dff8,kaggle_asaniczka,2024-01,Lead Software Architect,"As a Lead Architect, you will lead the architectural design and development of cutting-edge software solutions. You will collaborate with cross-functional teams to ensure the scalability, security, an",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_69b9674c6e9c9e3a,kaggle_asaniczka,2024-01,QA Engineer,"Position: Quality Engineer
Location: Royal Oak, Michigan (Hybrid)
Only for Full-Time + Benefits + 5% or 10% Bonus
Green Card, H4 EAD, US Citizen, H1 Transfer also fine.
Your Role
The Senior Software Q",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_56bca11eb22879dc,kaggle_asaniczka,2024-01,Reliability Engineer,"Title
: Reliability Engineer
Supervisor
: Maintenance Reliability Manager
Industry
: Manufacturing
Job
Purpose
: As a Reliability Engineer, you play a pivotal role in championing reliability best prac",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_5bce9e48749367ae,kaggle_asaniczka,2024-01,Software Architect,"Job Summary
Job Duties, Responsibilities, Qualifications, and Requirements
Responsibilities
As a Software Architect, you will hold a pivotal role in shaping the technological landscape for Global View",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_b534f53226e4cbe3,kaggle_asaniczka,2024-01,Sr. QA Automation Engineer,"Ability to work in a group with fast paced development teams and transitional project priorities
Design and execute test plans (Automated and Manual) on Web and Windows based applications
Develop Regr",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_b05245e58ba5f90e,kaggle_asaniczka,2024-01,Senior MLOps Engineer,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is ",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_0aa1a4813ad6d1f1,kaggle_asaniczka,2024-01,Lead I - Software Engineering,"Overview:
TekWissen Group is a workforce management provider throughout the USA and many other countries in the world. Our client provider of digital technology and transformation, information technol",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_7ec8de237bcb3825,kaggle_asaniczka,2024-01,Reliability Engineer,"Hovione is an independent family owned international group of companies. From the beginning, we have set ourselves above and apart through our innovative technological and productive capabilities, rea",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_3a1262bbc68f6688,kaggle_asaniczka,2024-01,Senior MLOps Engineer,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is ",0.9,embedding_llm,mid-senior,title_keyword
asaniczka_d920680a20bd9826,kaggle_asaniczka,2024-01,Lead Quality Assurance Engineer,"Examples of Typical Activities:
Manage the achievement of Brand expectations by providing support, guidance, leadership and expertise to support functions (e.g. AQT, MFG, ENG, Purchasing, Project Mana",0.9,embedding_llm,mid-senior,native_backfill
asaniczka_8ce4cebe44de6027,kaggle_asaniczka,2024-01,Senior Developer,"MedSchoolCoach is a rapidly growing EdTech company that serves the needs of future physicians by providing the highest quality content, software, and one-to-one tutoring, and advising services. Physic",0.9,embedding_llm,mid-senior,title_keyword
arshkon_3905827779,kaggle_arshkon,2024-04,Web Application Developer,"CNA Search is seeking a REMOTE Senior Web Application Developer for a Direct hire position (Must live in United States and Proof of Residency). Only GC or USC not able to sponsor nor H4, L2 etc.... On",0.9,embedding_llm,mid-senior,native_backfill
