metro_area,j3_share_labeled_delta,rank,metric,ai_strict_delta,scope_term_count_delta,desc_length_median_delta,tech_count_median_delta
Boston Metro,,16,scope_term_count_delta,,0.5522134836885672,,
Columbus Metro,,17,scope_term_count_delta,,0.5344575532187741,,
Raleigh-Durham-Chapel Hill,,18,scope_term_count_delta,,0.5288632771074695,,
Phoenix Metro,,19,scope_term_count_delta,,0.49320360263741847,,
Denver Metro,,20,scope_term_count_delta,,0.4723686474135308,,
Los Angeles Metro,,21,scope_term_count_delta,,0.46697705484834184,,
Nashville Metro,,22,scope_term_count_delta,,0.4666015783906924,,
Philadelphia Metro,,23,scope_term_count_delta,,0.4533942080903071,,
Dallas-Fort Worth Metro,,24,scope_term_count_delta,,0.4347316440036909,,
Washington DC Metro,,25,scope_term_count_delta,,0.40675953511836205,,
Minneapolis-Saint Paul,,26,scope_term_count_delta,,0.3551941627504329,,
Phoenix Metro,,1,desc_length_median_delta,,,1478.0,
Seattle Metro,,2,desc_length_median_delta,,,1471.5,
Philadelphia Metro,,3,desc_length_median_delta,,,1422.0,
San Diego Metro,,4,desc_length_median_delta,,,1403.0,
Detroit Metro,,5,desc_length_median_delta,,,1325.5,
Portland Metro,,6,desc_length_median_delta,,,1321.0,
Minneapolis-Saint Paul,,7,desc_length_median_delta,,,1320.0,
Nashville Metro,,8,desc_length_median_delta,,,1264.0,
Washington DC Metro,,9,desc_length_median_delta,,,1056.5,
Houston Metro,,10,desc_length_median_delta,,,1043.0,
Atlanta Metro,,11,desc_length_median_delta,,,1021.0,
Los Angeles Metro,,12,desc_length_median_delta,,,960.0,
San Francisco Bay Area,,13,desc_length_median_delta,,,950.5,
Austin Metro,,14,desc_length_median_delta,,,945.0,
Columbus Metro,,15,desc_length_median_delta,,,940.0,
Boston Metro,,16,desc_length_median_delta,,,930.5,
Dallas-Fort Worth Metro,,17,desc_length_median_delta,,,927.5,
Charlotte Metro,,18,desc_length_median_delta,,,893.0,
New York City Metro,,19,desc_length_median_delta,,,883.5,
Tampa Bay Metro,,20,desc_length_median_delta,,,834.0,
Chicago Metro,,21,desc_length_median_delta,,,636.5,
Denver Metro,,22,desc_length_median_delta,,,440.0,
Pittsburgh Metro,,23,desc_length_median_delta,,,376.5,
Miami Metro,,24,desc_length_median_delta,,,312.5,
Raleigh-Durham-Chapel Hill,,25,desc_length_median_delta,,,140.0,
Salt Lake City Metro,,26,desc_length_median_delta,,,-99.5,
Detroit Metro,,1,tech_count_median_delta,,,,4.0
Washington DC Metro,,2,tech_count_median_delta,,,,3.0
Salt Lake City Metro,,3,tech_count_median_delta,,,,3.0
New York City Metro,,4,tech_count_median_delta,,,,3.0
Charlotte Metro,,5,tech_count_median_delta,,,,3.0
Tampa Bay Metro,,6,tech_count_median_delta,,,,3.0
Houston Metro,,7,tech_count_median_delta,,,,3.0
Phoenix Metro,,8,tech_count_median_delta,,,,3.0
Atlanta Metro,,9,tech_count_median_delta,,,,3.0
Seattle Metro,,10,tech_count_median_delta,,,,3.0
Dallas-Fort Worth Metro,,11,tech_count_median_delta,,,,2.0
Nashville Metro,,12,tech_count_median_delta,,,,2.0
Boston Metro,,13,tech_count_median_delta,,,,2.0
Austin Metro,,14,tech_count_median_delta,,,,2.0
Columbus Metro,,15,tech_count_median_delta,,,,2.0
Denver Metro,,16,tech_count_median_delta,,,,2.0
Los Angeles Metro,,17,tech_count_median_delta,,,,1.0
San Francisco Bay Area,,18,tech_count_median_delta,,,,1.0
Raleigh-Durham-Chapel Hill,,19,tech_count_median_delta,,,,1.0
Minneapolis-Saint Paul,,20,tech_count_median_delta,,,,1.0
Chicago Metro,,21,tech_count_median_delta,,,,1.0
Philadelphia Metro,,22,tech_count_median_delta,,,,1.0
Pittsburgh Metro,,23,tech_count_median_delta,,,,1.0
San Diego Metro,,24,tech_count_median_delta,,,,1.0
Miami Metro,,25,tech_count_median_delta,,,,1.0
Portland Metro,,26,tech_count_median_delta,,,,0.0
