variable,period_year,period,source_group,category,rows,share,rank_in_group
seniority_3level,2024,2024-01,pooled_2024,senior,11518,0.6353356500634343,1
seniority_3level,2024,2024-01,pooled_2024,unknown,6383,0.35208781510287385,2
seniority_3level,2024,2024-01,pooled_2024,junior,204,0.01125268906172431,3
seniority_3level,2024,2024-01,pooled_2024,mid,24,0.0013238457719675658,4
seniority_3level,2024,2024-04,pooled_2024,unknown,2424,0.5167341718183757,1
seniority_3level,2024,2024-04,pooled_2024,senior,2077,0.44276273715625664,2
seniority_3level,2024,2024-04,pooled_2024,junior,175,0.03730547857599659,3
seniority_3level,2024,2024-04,pooled_2024,mid,15,0.003197612449371136,4
seniority_3level,2026,2026-03,scraped_2026,unknown,10425,0.5271274713050513,1
seniority_3level,2026,2026-03,scraped_2026,senior,8604,0.4350508166051474,2
seniority_3level,2026,2026-03,scraped_2026,junior,721,0.036456489861960865,3
seniority_3level,2026,2026-03,scraped_2026,mid,27,0.0013652222278404207,4
seniority_3level,2026,2026-04,scraped_2026,unknown,11416,0.540940106141016,1
seniority_3level,2026,2026-04,scraped_2026,senior,9109,0.4316243366186505,2
seniority_3level,2026,2026-04,scraped_2026,junior,554,0.02625094768764215,3
seniority_3level,2026,2026-04,scraped_2026,mid,25,0.0011846095526914329,4
is_aggregator,2024,2024-04,arshkon_2024,false,4261,0.9083351097846941,1
is_aggregator,2024,2024-04,arshkon_2024,true,430,0.09166489021530591,2
is_aggregator,2024,2024-01,asaniczka_2024,false,15186,0.8376634122124772,1
is_aggregator,2024,2024-01,asaniczka_2024,true,2943,0.16233658778752275,2
is_aggregator,2024,2024-01,pooled_2024,false,15186,0.8376634122124772,1
is_aggregator,2024,2024-01,pooled_2024,true,2943,0.16233658778752275,2
is_aggregator,2024,2024-04,pooled_2024,false,4261,0.9083351097846941,1
is_aggregator,2024,2024-04,pooled_2024,true,430,0.09166489021530591,2
is_aggregator,2026,2026-03,scraped_2026,false,16461,0.8323304849067098,1
is_aggregator,2026,2026-03,scraped_2026,true,3316,0.16766951509329017,2
is_aggregator,2026,2026-04,scraped_2026,false,17620,0.8349128127369219,1
is_aggregator,2026,2026-04,scraped_2026,true,3484,0.16508718726307808,2
metro_area,2024,2024-04,arshkon_2024,[NULL],1917,0.4086548710296312,1
metro_area,2024,2024-04,arshkon_2024,San Francisco Bay Area,359,0.07652952462161586,2
metro_area,2024,2024-04,arshkon_2024,Washington DC Metro,250,0.05329354082285227,3
metro_area,2024,2024-04,arshkon_2024,Dallas-Fort Worth Metro,245,0.05222767000639522,4
metro_area,2024,2024-04,arshkon_2024,Seattle Metro,173,0.03687913024941377,5
metro_area,2024,2024-04,arshkon_2024,Chicago Metro,152,0.03240247282029418,6
metro_area,2024,2024-04,arshkon_2024,Atlanta Metro,139,0.02963120869750586,7
metro_area,2024,2024-04,arshkon_2024,Boston Metro,132,0.028138989554465997,8
metro_area,2024,2024-04,arshkon_2024,Los Angeles Metro,121,0.0257940737582605,9
metro_area,2024,2024-04,arshkon_2024,Austin Metro,95,0.020251545512683863,10
metro_area,2024,2024-04,arshkon_2024,Denver Metro,80,0.017053933063312727,11
metro_area,2024,2024-04,arshkon_2024,Philadelphia Metro,80,0.017053933063312727,12
metro_area,2024,2024-04,arshkon_2024,Charlotte Metro,75,0.015988062246855683,13
metro_area,2024,2024-04,arshkon_2024,Phoenix Metro,75,0.015988062246855683,14
metro_area,2024,2024-04,arshkon_2024,Detroit Metro,67,0.014282668940524408,15
metro_area,2024,2024-01,asaniczka_2024,[NULL],5245,0.28931546141541176,1
metro_area,2024,2024-01,asaniczka_2024,Washington DC Metro,1858,0.10248772684648905,2
metro_area,2024,2024-01,asaniczka_2024,San Francisco Bay Area,1371,0.07562468972364719,3
metro_area,2024,2024-01,asaniczka_2024,Los Angeles Metro,887,0.04892713332230129,4
metro_area,2024,2024-01,asaniczka_2024,Boston Metro,727,0.040101494842517516,5
metro_area,2024,2024-01,asaniczka_2024,Dallas-Fort Worth Metro,606,0.03342710574218104,6
metro_area,2024,2024-01,asaniczka_2024,Seattle Metro,589,0.03248938165370401,7
metro_area,2024,2024-01,asaniczka_2024,Chicago Metro,576,0.031772298527221576,8
metro_area,2024,2024-01,asaniczka_2024,Denver Metro,477,0.02631143471785537,9
metro_area,2024,2024-01,asaniczka_2024,Atlanta Metro,442,0.02438082630040267,10
metro_area,2024,2024-01,asaniczka_2024,Philadelphia Metro,417,0.023001820287936455,11
metro_area,2024,2024-01,asaniczka_2024,Salt Lake City Metro,296,0.016327431187599977,12
metro_area,2024,2024-01,asaniczka_2024,Detroit Metro,293,0.01616195046610403,13
metro_area,2024,2024-01,asaniczka_2024,Phoenix Metro,278,0.015334546858624303,14
metro_area,2024,2024-01,asaniczka_2024,Austin Metro,263,0.014507143251144576,15
metro_area,2024,2024-01,pooled_2024,[NULL],5245,0.28931546141541176,1
metro_area,2024,2024-01,pooled_2024,Washington DC Metro,1858,0.10248772684648905,2
metro_area,2024,2024-01,pooled_2024,San Francisco Bay Area,1371,0.07562468972364719,3
metro_area,2024,2024-01,pooled_2024,Los Angeles Metro,887,0.04892713332230129,4
metro_area,2024,2024-01,pooled_2024,Boston Metro,727,0.040101494842517516,5
metro_area,2024,2024-01,pooled_2024,Dallas-Fort Worth Metro,606,0.03342710574218104,6
metro_area,2024,2024-01,pooled_2024,Seattle Metro,589,0.03248938165370401,7
metro_area,2024,2024-01,pooled_2024,Chicago Metro,576,0.031772298527221576,8
metro_area,2024,2024-01,pooled_2024,Denver Metro,477,0.02631143471785537,9
metro_area,2024,2024-01,pooled_2024,Atlanta Metro,442,0.02438082630040267,10
metro_area,2024,2024-01,pooled_2024,Philadelphia Metro,417,0.023001820287936455,11
metro_area,2024,2024-01,pooled_2024,Salt Lake City Metro,296,0.016327431187599977,12
metro_area,2024,2024-01,pooled_2024,Detroit Metro,293,0.01616195046610403,13
metro_area,2024,2024-01,pooled_2024,Phoenix Metro,278,0.015334546858624303,14
metro_area,2024,2024-01,pooled_2024,Austin Metro,263,0.014507143251144576,15
metro_area,2024,2024-04,pooled_2024,[NULL],1917,0.4086548710296312,1
metro_area,2024,2024-04,pooled_2024,San Francisco Bay Area,359,0.07652952462161586,2
metro_area,2024,2024-04,pooled_2024,Washington DC Metro,250,0.05329354082285227,3
metro_area,2024,2024-04,pooled_2024,Dallas-Fort Worth Metro,245,0.05222767000639522,4
metro_area,2024,2024-04,pooled_2024,Seattle Metro,173,0.03687913024941377,5
metro_area,2024,2024-04,pooled_2024,Chicago Metro,152,0.03240247282029418,6
metro_area,2024,2024-04,pooled_2024,Atlanta Metro,139,0.02963120869750586,7
metro_area,2024,2024-04,pooled_2024,Boston Metro,132,0.028138989554465997,8
metro_area,2024,2024-04,pooled_2024,Los Angeles Metro,121,0.0257940737582605,9
metro_area,2024,2024-04,pooled_2024,Austin Metro,95,0.020251545512683863,10
metro_area,2024,2024-04,pooled_2024,Denver Metro,80,0.017053933063312727,11
metro_area,2024,2024-04,pooled_2024,Philadelphia Metro,80,0.017053933063312727,12
metro_area,2024,2024-04,pooled_2024,Charlotte Metro,75,0.015988062246855683,13
metro_area,2024,2024-04,pooled_2024,Phoenix Metro,75,0.015988062246855683,14
metro_area,2024,2024-04,pooled_2024,Detroit Metro,67,0.014282668940524408,15
metro_area,2026,2026-03,scraped_2026,[NULL],5138,0.2597967335794104,1
metro_area,2026,2026-03,scraped_2026,San Francisco Bay Area,2439,0.12332507458158466,2
metro_area,2026,2026-03,scraped_2026,Washington DC Metro,1316,0.06654194266066643,3
metro_area,2026,2026-03,scraped_2026,Seattle Metro,1059,0.05354704960307428,4
metro_area,2026,2026-03,scraped_2026,New York City Metro,978,0.04945138291955302,5
metro_area,2026,2026-03,scraped_2026,Dallas-Fort Worth Metro,948,0.04793446933306366,6
metro_area,2026,2026-03,scraped_2026,Salt Lake City Metro,849,0.04292865449764879,7
metro_area,2026,2026-03,scraped_2026,Los Angeles Metro,771,0.038984679172776454,8
metro_area,2026,2026-03,scraped_2026,Boston Metro,746,0.03772058451736866,9
metro_area,2026,2026-03,scraped_2026,Atlanta Metro,559,0.02826515649491834,10
metro_area,2026,2026-03,scraped_2026,Charlotte Metro,527,0.026647115335996358,11
metro_area,2026,2026-03,scraped_2026,Chicago Metro,513,0.025939222328967993,12
metro_area,2026,2026-03,scraped_2026,Austin Metro,505,0.0255347120392375,13
metro_area,2026,2026-03,scraped_2026,Philadelphia Metro,417,0.021085098852202052,14
metro_area,2026,2026-03,scraped_2026,Denver Metro,362,0.0183040906103049,15
metro_area,2026,2026-04,scraped_2026,[NULL],5183,0.24559325246398786,1
metro_area,2026,2026-04,scraped_2026,San Francisco Bay Area,2573,0.12192001516300227,2
metro_area,2026,2026-04,scraped_2026,Washington DC Metro,1720,0.08150113722517058,3
metro_area,2026,2026-04,scraped_2026,Seattle Metro,1142,0.054112964366944655,4
metro_area,2026,2026-04,scraped_2026,Dallas-Fort Worth Metro,1110,0.05259666413949962,5
metro_area,2026,2026-04,scraped_2026,New York City Metro,1065,0.05046436694465504,6
metro_area,2026,2026-04,scraped_2026,Los Angeles Metro,889,0.042124715693707356,7
metro_area,2026,2026-04,scraped_2026,Salt Lake City Metro,875,0.04146133434420015,8
metro_area,2026,2026-04,scraped_2026,Boston Metro,795,0.03767058377558757,9
metro_area,2026,2026-04,scraped_2026,Austin Metro,624,0.029567854435178165,10
metro_area,2026,2026-04,scraped_2026,Charlotte Metro,534,0.025303260045489006,11
metro_area,2026,2026-04,scraped_2026,Atlanta Metro,528,0.025018953752843062,12
metro_area,2026,2026-04,scraped_2026,Chicago Metro,519,0.02459249431387415,13
metro_area,2026,2026-04,scraped_2026,Phoenix Metro,421,0.01994882486732373,14
metro_area,2026,2026-04,scraped_2026,Philadelphia Metro,414,0.019617134192570128,15
company_industry,2024,2024-04,arshkon_2024,IT Services and IT Consulting,1202,0.2562353442762737,1
company_industry,2024,2024-04,arshkon_2024,Software Development,611,0.13024941377105095,2
company_industry,2024,2024-04,arshkon_2024,Financial Services,391,0.08335109784694095,3
company_industry,2024,2024-04,arshkon_2024,Staffing and Recruiting,271,0.05777019825197186,4
company_industry,2024,2024-04,arshkon_2024,Information Services,150,0.031976124493711365,5
company_industry,2024,2024-04,arshkon_2024,Information Technology & Services,126,0.026859944574717545,6
company_industry,2024,2024-04,arshkon_2024,Defense and Space Manufacturing,122,0.02600724792155191,7
company_industry,2024,2024-04,arshkon_2024,"Technology, Information and Internet",106,0.022596461308889364,8
company_industry,2024,2024-04,arshkon_2024,Banking,92,0.019612023022809635,9
company_industry,2024,2024-04,arshkon_2024,"Technology, Information and Media",84,0.017906629716478363,10
company_industry,2024,2024-04,arshkon_2024,Hospitals and Health Care,80,0.017053933063312727,11
company_industry,2024,2024-04,arshkon_2024,Retail,69,0.014709017267107227,12
company_industry,2024,2024-04,arshkon_2024,Business Consulting and Services,63,0.013429972287358772,13
company_industry,2024,2024-04,arshkon_2024,Insurance,63,0.013429972287358772,14
company_industry,2024,2024-04,arshkon_2024,Motor Vehicle Manufacturing,63,0.013429972287358772,15
company_industry,2024,2024-01,asaniczka_2024,[NULL],18129,1.0,1
company_industry,2024,2024-01,pooled_2024,[NULL],18129,1.0,1
company_industry,2024,2024-04,pooled_2024,IT Services and IT Consulting,1202,0.2562353442762737,1
company_industry,2024,2024-04,pooled_2024,Software Development,611,0.13024941377105095,2
company_industry,2024,2024-04,pooled_2024,Financial Services,391,0.08335109784694095,3
company_industry,2024,2024-04,pooled_2024,Staffing and Recruiting,271,0.05777019825197186,4
company_industry,2024,2024-04,pooled_2024,Information Services,150,0.031976124493711365,5
company_industry,2024,2024-04,pooled_2024,Information Technology & Services,126,0.026859944574717545,6
company_industry,2024,2024-04,pooled_2024,Defense and Space Manufacturing,122,0.02600724792155191,7
company_industry,2024,2024-04,pooled_2024,"Technology, Information and Internet",106,0.022596461308889364,8
company_industry,2024,2024-04,pooled_2024,Banking,92,0.019612023022809635,9
company_industry,2024,2024-04,pooled_2024,"Technology, Information and Media",84,0.017906629716478363,10
company_industry,2024,2024-04,pooled_2024,Hospitals and Health Care,80,0.017053933063312727,11
company_industry,2024,2024-04,pooled_2024,Retail,69,0.014709017267107227,12
company_industry,2024,2024-04,pooled_2024,Business Consulting and Services,63,0.013429972287358772,13
company_industry,2024,2024-04,pooled_2024,Insurance,63,0.013429972287358772,14
company_industry,2024,2024-04,pooled_2024,Motor Vehicle Manufacturing,63,0.013429972287358772,15
company_industry,2026,2026-03,scraped_2026,Software Development,5058,0.2557516306821055,1
company_industry,2026,2026-03,scraped_2026,IT Services and IT Consulting,2470,0.12489255195429033,2
company_industry,2026,2026-03,scraped_2026,Financial Services,1511,0.07640188097284725,3
company_industry,2026,2026-03,scraped_2026,"Technology, Information and Internet",929,0.046973757394953734,4
company_industry,2026,2026-03,scraped_2026,Defense and Space Manufacturing,764,0.03863073266926227,5
company_industry,2026,2026-03,scraped_2026,Staffing and Recruiting,537,0.027152753198159477,6
company_industry,2026,2026-03,scraped_2026,"Information Services and Technology, Information and Internet",384,0.01941649390706376,7
company_industry,2026,2026-03,scraped_2026,Business Consulting and Services,355,0.017950144106790716,8
company_industry,2026,2026-03,scraped_2026,Hospitals and Health Care,281,0.014208423926783637,9
company_industry,2026,2026-03,scraped_2026,Semiconductor Manufacturing,276,0.013955604995702078,10
company_industry,2026,2026-03,scraped_2026,Entertainment Providers,237,0.011983617333265915,11
company_industry,2026,2026-03,scraped_2026,Aviation and Aerospace Component Manufacturing,219,0.011073469181372302,12
company_industry,2026,2026-03,scraped_2026,Internet Publishing,188,0.009505991808666634,13
company_industry,2026,2026-03,scraped_2026,Retail,185,0.009354300450017698,14
company_industry,2026,2026-03,scraped_2026,Insurance,182,0.009202609091368762,15
company_industry,2026,2026-04,scraped_2026,Software Development,5560,0.2634571645185747,1
company_industry,2026,2026-04,scraped_2026,IT Services and IT Consulting,2638,0.125,2
company_industry,2026,2026-04,scraped_2026,Financial Services,1418,0.06719105382865807,3
company_industry,2026,2026-04,scraped_2026,"Technology, Information and Internet",1071,0.050748673237300986,4
company_industry,2026,2026-04,scraped_2026,Defense and Space Manufacturing,829,0.03928165276724792,5
company_industry,2026,2026-04,scraped_2026,Staffing and Recruiting,542,0.025682335102350264,6
company_industry,2026,2026-04,scraped_2026,Business Consulting and Services,370,0.017532221379833207,7
company_industry,2026,2026-04,scraped_2026,"Information Services and Technology, Information and Internet",370,0.017532221379833207,8
company_industry,2026,2026-04,scraped_2026,Hospitals and Health Care,308,0.014594389689158454,9
company_industry,2026,2026-04,scraped_2026,Retail,288,0.013646702047005308,10
company_industry,2026,2026-04,scraped_2026,Semiconductor Manufacturing,284,0.013457164518574679,11
company_industry,2026,2026-04,scraped_2026,Aviation and Aerospace Component Manufacturing,274,0.012983320697498104,12
company_industry,2026,2026-04,scraped_2026,Information Technology & Services,180,0.008529188779378317,13
company_industry,2026,2026-04,scraped_2026,Insurance,178,0.008434420015163003,14
company_industry,2026,2026-04,scraped_2026,"Technology, Information and Media",177,0.008387035633055345,15
