category,uid,source,period,company_name_canonical,matched_terms,excerpt
ai,arshkon_3904060936,kaggle_arshkon,2024-04,QBE Insurance,fine_tuning,"expertise ' , including , , leveraging ai , , leadership. additionally, demands problem-solving, mentorship, organization. , , , ensuring ' tech-driven closely specifications, actionable , , performance. , , , adherence practices. deploymen"
ai,asaniczka_50ca8838aef189e8,kaggle_asaniczka,2024-01,City of New York,,"asks, including mandates, requirements, , maintaining , , promote , accessibility citizens. provides necessary productivity-enhancing ( ), ’ interdisciplinary boroughs, including , , , management. comprised , , , , , , , management. maintai"
ai,asaniczka_631c5b8e2af28bdd,kaggle_asaniczka,2024-01,ExamRoom.AI®,,": , , ensuring compatibility harnessing scratch. recommendation text. webcam understand emotions. ml psychometric scratch. ai/ml identify datasets required. efficiently communicate understand ai/ml , timeline. minimal guidance/training. upd"
ai,linkedin_li-4382987680,scraped,2026-03,Evolv Technology,,"ai/machine ai technology. ai/ml , state-of-the-art involve leveraging , including , , multi-sensor operate real-time constrained platforms. hands-on requires expertise ml, , , , mlops. , robustness, real-world environments. measurably — the"
ai,linkedin_li-4392374886,scraped,2026-03,TrendAI,"llm, claude","** summary** | ** backend ** high-impact next-generation customers. , ’ operate —designing , backend , cloud-native real-world cases. ’ closely , , , high-quality —ranging implementations. hands-on influences adopted, , field. ’ full-stack "
ai,linkedin_li-4355935647,scraped,2026-04,Internet Brands,"llm, agent, claude",": generative ai, ai, engineering. ai , designing prompt-driven workflows, integrating llms, ai : | \& * ai-powered llms (e.g., , claude, , ) engineering. * customize ai , adk, claude * utilize observability , langfuse. * translate requireme"
ai,linkedin_li-4371949658,scraped,2026-03,AMD,llm,"fellow/sr. team. excited gpus, innovating generating , you. * gpus scale. * improve end-to-end gpu cluster. * improve end-to-end debuggability gpu cluster. * out. * contribute source. * up-to-date algorithms/frameworks. * ai platform. * sta"
ai,linkedin_li-4391652565,scraped,2026-03,Veridic Solutions,llm,"* \ * backend c# * proficiency javascript typescript * ‑ ai , llm‑ , * integrating , * , , ** qualifications** | * ‑ * familiarity , guardrails, ai observability * ai regulated ‑sensitive domains"
ai,linkedin_li-4388599860,scraped,2026-03,BJAK,llm,"ai carries , , time. backend , ai, inference ai product. sits users, latency, correctness, , real-world experience. operate capability , , observable used clients. * operate backend ai-powered production. * inference , layers, boundaries mo"
ai,linkedin_li-4394633902,scraped,2026-04,Dover Networks LLC,claude,"requires secret/sci : $256k-$280k additional $64k-$70k immediately vested ( ) contributions : fast-moving microservice ecosystem. development. , encouraged design. closely interacting ui development. * maintain microservices. * closely road"
ai,linkedin_li-4387988026,scraped,2026-03,Jobright.ai,"langchain, langgraph",": | ** ** * maintain ai — runtime * bring ai-driven * , ensuring , , compatibility * real-time inference, , human-ai * contribute , sdks, **qualifications** | * 5-10 backend ai-related * go, async , microservices, api * : , kafka, grpc, web"
ai,linkedin_li-4381904866,scraped,2026-03,Skechers,llm,"\& genai gain hands-on genai learning-first , ai, eager real-world environment. alongside , contribute , cloud-native ai-powered developed scale. ** ' ** | * , including user backend services. * backend engineers. * contribute genai , chatb"
ai,linkedin_li-4390299009,scraped,2026-03,Programmers.io,"llm, llamaindex","** ai ** ** : ai ** **requirements :** | * \ experience. * , oop, * proficiency (fastapi, pydantic, pytorch, huggingface) * microservices, event-driven , cloud-native (rest/graphql) * hands-on ai/llm-based , ( , llamaindex), databases. * fa"
ai,linkedin_li-4395861590,scraped,2026-04,The Phoenix Group,"llm, agent, claude","** ** \& * cloud-based / architectures (e.g., ) * ingestion ( , , , databases) * unstructured ingestion workflows , , etl , serverless (e.g., aws ) * establish governance, cataloging, , generative ai \& llm * retrieval-augmented ( ) dataset"
ai,linkedin_li-4389588977,scraped,2026-03,PANDESCO,llm,", hands-on , mentor. managerial — designing setting , onshore , client-facing utility-knife : confidently , , (c#) , sql, ai capabilities applications. end-to-end, cleanly , cross-functional onshore , , ** ** ** \& ** - , multi-tenant on-pr"
ai,linkedin_li-4393922661,scraped,2026-04,Themesoft Inc.,"llm, agent, langgraph","hands-on , ai/ml , generative ai including , langgraph, retrieval-augmented ( ), designing implementing ai workflows multi-agent * architecting production-grade ai (gpt-4o), , serverless paradigms * designing , fastapi, , langgraph, (gpt-4o"
ai,linkedin_li-4388989494,scraped,2026-03,Aristle AI,llm,"**founding ** **designing v1 ( )** execution : | * backend ( , , , tracking, ) * , governance * (backend, , ) * ** → ** * \ shipped code/services/sdk. * ( , fastapi, node.js, javascript, postgres, db similar) * * llms, , ai ( , , ) * early-"
ai,linkedin_li-4391170279,scraped,2026-03,Talent Groups,,"ai ** summary** ai ai ml , systems. sits , enabling ai workflows, , consistency teams. tuning role. ai improve ai operated. ** ** * ai ml * maintain workflows * ai * establish including templates * ai including , , * workflows temporal.io *"
ai,linkedin_li-4308513056,scraped,2026-03,Adobe,fine_tuning,"** ** * generative ai , , , , , , quickly reliably customers. * prototypes capabilities invented teams. * , , maintain backend , , pipelines. * , , applications. * improve prototypes empathetically listening feedback colleagues. * prototype"
ai,linkedin_li-4393031854,scraped,2026-04,Cynet Systems,claude,| **backend ** ** : backend ** ** : ** ** :** | * maintain backend boot. * maintain restful angularjs. * querying * contribute cicd deployments. * following practices. * troubleshoot * crossfunctional including qa managers. * participate ad
ai,linkedin_li-4383800059,scraped,2026-04,Connecticut Innovations,"llm, agent","** \| ** volume, , underlying , requires , , queries scattered pipelines. , — end-to-end designing, documenting, implementing next-generation arccos. near-greenfield , rethinking ingestion, , , governance, entire , , enabling , , dramatical"
ai,linkedin_li-4377894010,scraped,2026-03,Baseten,llm,"** ** ? ml team. thrives fast-paced eager contributions exciting llm inference. backend thrives excited open-source ml , application. **example ** | ' types : * embeddings inference: embeddings available * inference * ** ** * , refine, prod"
ai,linkedin_li-4355630091,scraped,2026-03,The RealReal,claude,"' , personalization, initiatives. , decides implements them. etl streaming/event pipelines. , , personalization website. , adding , , ensuring correctly. * services. * , requirements * , establishing * , considering , maintainability * , * "
ai,linkedin_li-4388541859,scraped,2026-03,Carlin Shayn Inc,,"** :** | full-stack \</\>\<\> ** :** | (pay-as-you-go)\</\>\<\> ** :** | , :00 – :00 \</\>\<\> \</\>\<\> full-stack high-visibility projects. requires hands-on expertise , , platforms. contribute designing, , delivering , high-quality exper"
ai,linkedin_li-4377024305,scraped,2026-03,athenahealth,llm,", , microservices systems. teams. , , , microservices event-driven hexagonal architectures. , detailed specifications cross-functional —including , , — cycles. ensuring , , maintain , minimal maintenance. organizations. taking deliverables,"
ai,linkedin_li-4394677388,scraped,2026-04,Optum,,"| ** ** hands-on expertise , , angular, cloud-native architectures, , azure. high-performing , contribute , , including ai/ml-driven capabilities ** ** * object-oriented industry-recommended robust * large-scale enterprise-wide * cloud-nati"
ai,linkedin_li-4394399817,scraped,2026-04,Wells Fargo,"llm, agent, langgraph","( ) fundamentals ai focuses designing next-generation leveraging capabilities, including , , agent-based architectures. hands-on , ai/ml , , prototypes, delivering systems. requires , , contribute initiatives. **** , :**** | * agile/scrum *"
ai,linkedin_li-4394960985,scraped,2026-04,Trimble Inc.,llm,"** : (ai \& )** ai-augmented model. , contribute implementing ai workflows delivering next-generation industry. , ai-augmented , gaining hands-on ai workflows automate reduce , ensuring continues sector. ** exciting ** * implementing ai wor"
scope,asaniczka_efb74321d9f5cff5,kaggle_asaniczka,2024-01,Aumni,cross_functional,"| senior-level javascript utilizing node express. , expected well-architected maintainable, consistent, readable developers. , linters, , reviews. | 5+ javascript (preferably node.js express.js) methodologies ( 2-week sprints) object-orient"
scope,asaniczka_f7619b7e9a840db8,kaggle_asaniczka,2024-01,"TalentBurst, an Inc 5000 company",end_to_end,"| duration: 6+ summary: | , , (e.g. - ) requirements. : analyze requirements; specifications applications. , , efforts. , , solution. assure , requirements area. evolving environment. quickly adjust accordingly manner. : | needed ( ) sql sq"
scope,arshkon_3901903057,kaggle_arshkon,2024-04,TechNumen,cross_functional,"10+ experience. : % remotetop havesazure , hosting, databases, , ais10 , sre/devopsneed skills. :- , maintain available, , azure-based systems- , , , , , ai services- , maintain ci/cd applications- azure-based , including iam, , protection-"
scope,arshkon_3905240305,kaggle_arshkon,2024-04,SHEIN Technology LLC,cross_functional,": ireports : engineeringjob : , , usajob : exempt, summarywe - ( : ) , ca-based hub. software/systems , overarching "" on."" planet. sres closely cross-functional , collect, analyze, visualize , exactly happens problems occur address quickly "
scope,asaniczka_ad87c562339cbf85,kaggle_asaniczka,2024-01,Grifols,cross_functional,"r& team. , systems. r& shall , cross-functional nucleic acid in-vitro (ivd) systems. cross-functional involving , , reagents, disposables. subsystem sub-systems , robustly , requirements. , ' systems/subsystems , , , requirements management"
scope,asaniczka_6e8855f5dfdb4e9d,kaggle_asaniczka,2024-01,KQED,"cross_functional, roadmap","back-end applications. generally constructing microservices, delivering mission. : | architectures , cloud-based , maintain high-quality (including microservices) javascript/node.js, php/wordpress, boot. cross-functional , , functionality a"
scope,arshkon_3903840737,kaggle_arshkon,2024-04,Viasat,autonomous,"' providing users in-flight in-flight day. maintaining existing , , , installers. day-to-day , , venue-side gem. ( ) encompasses services. , : recognized ( ) arearoutinely resolves needswork instructioncontribute productsdevelop briefingsty"
scope,arshkon_3904950473,kaggle_arshkon,2024-04,ICE,cross_functional,"| (ui) ui functionality applications. (ui) , , modules ’ tier. effectively cross-functional , qa, , facilitate process. maintain consistent ui/ux applications. , exercising estimation, , deployment.collaborate cross-functional , qa, , facil"
scope,asaniczka_2337f6bebbabb68f,kaggle_asaniczka,2024-01,ScaleneWorks INC,cross_functional,"takes providing contributing team. , increase , , efficiencies , , high-quality engineering. project-related , , , data-oriented organization. | cross-functional closely , , industry-standard continuously improve , , query tuning user , , m"
scope,arshkon_3884836571,kaggle_arshkon,2024-04,Cloudbeds,cross_functional,"reservation manages guests, , arrivals departures, identifying overbookings, reservations. flows, you. , architectures, , platform. contribute service-oriented architectures, leveraging , , , , mind. alongside , , (aws) layers stack. cross-"
scope,arshkon_3904953091,kaggle_arshkon,2024-04,The Depository Trust & Clearing Corporation,"end_to_end, cross_functional","- - : ui / ux specializes , designing, , user user , , , firm. provides user , usability, , expertise , including , , user , , elements. performs proposed feasibility, existing architectures , desired user standards. : needed considering , "
scope,arshkon_3905365406,kaggle_arshkon,2024-04,NextEra Energy Resources,cross_functional,", operationalize program.you applying expertise industry-leading , , , facilitating , , homeowners.in expertise, effectively team.you comfortable methodologies. , , improve , , , , projectscollaborate cross-functional , including , , , requ"
scope,asaniczka_2a2f935ab876000c,kaggle_asaniczka,2024-01,CACI International Inc,cross_functional,"minimum : ts/sci polygraph percentage : % : currently team. , contributing , , java-based applications. | robust roadmaps cross-functional , including , , mid-level , fostering maintain , , maintainability investigate , identifying understa"
scope,arshkon_3906253333,kaggle_arshkon,2024-04,Madhive,cross_functional,", contribute implementing algorithms improve services. , ’ affinities, , goals. ’ : , , algorithms , including bidding , & retrieval functionalities, user enhancements.work closely preprocess , ensuring training.identify accuracy.develop ro"
scope,arshkon_3904724182,kaggle_arshkon,2024-04,Google,cross_functional,"minimum qualifications: bachelor' experience.8 , structures/algorithms.7 security.5 ; testing/launching products. qualifications: ’ , , field.5 setting direction.3 , matrixed involving cross-functional, and/or cross-business projects. (gcp)"
scope,asaniczka_36f6d9c1b429a903,kaggle_asaniczka,2024-01,Penske Truck Leasing,cross_functional,": | – tririga team. , business-critical application. contribute customers. , , fast-paced collaborating topics maintaining modernizing existing ensuring requirements : | , addressing promptly entire , including , , , ongoing well-documented"
scope,asaniczka_0fb7e9a947d82a4e,kaggle_asaniczka,2024-01,RevStar,cross_functional,"seniority: mid-sr. us-based full-stack js ! experince , documenting , identifing followed. haves | team-focused desire fast-moving start-up self-driven self-motivated voracious learner; constantly challenging solver desire adaptable , disci"
scope,asaniczka_06c367b9941226c8,kaggle_asaniczka,2024-01,Pietra,end_to_end,", closely , ux , high-quality pace. domains: , , first-party showcases , used together. embody product-minded experimentative , week. 4+ high-quality quickly. encourage opinionated ui & products. ’ : | producing consistent high-quality | id"
scope,asaniczka_0190eea8624b5c38,kaggle_asaniczka,2024-01,Public Storage,cross_functional,"engages , , , , , including specialization consumer-facing , front-end development. | participates , , , , tools. problems; go-to ui participate brainstorming determine develops/designs establishes cross-functional expected qualifications |"
scope,asaniczka_82987b104892961e,kaggle_asaniczka,2024-01,ExLabs,"end_to_end, cross_functional",", overseeing end-to-end , requirements , , maintenance. expertise ensuring , , : | provides expertise teams. / requirements , requirements decomposition assignment requirements manages traceability requirements specifications derived requir"
scope,asaniczka_12e76ac3f7298951,kaggle_asaniczka,2024-01,Sierra Nevada Corporation,cross_functional,"! , expertise , , , simulate, , certify improve services. ' architectures , ushering preliminary detailed , , tools. cross-functional , system-level lifecycle. must-haves: | programs. bachelor' discipline typically demonstrated tcp/ip | mul"
scope,asaniczka_665b41a713921af9,kaggle_asaniczka,2024-01,PAR Government,cross_functional,", enjoys paced real-time nation. specializes c++, c#, possesses ( ) lifecycle. , real-time , systems. additionally, familiarity xplane bonus. duties: | , , maintain c++, c#, language. cross-functional , , models. software. adherence systems"
scope,asaniczka_46800bb949e74b2b,kaggle_asaniczka,2024-01,Danbury Mission Technologies,cross_functional,"team-based electro-optical ( ) operate environments. depending complexity expected requirements, subcontracted , subassemblies. smaller expected possess requirements , , requirements , , qualification , , documents. establish robust executa"
scope,asaniczka_2667a277c4f57810,kaggle_asaniczka,2024-01,Freeform,autonomous,", architecting implementing factories operate autonomously speeds precision. entails , , systems. effectively nervous factories. , maximizing , maintaining entire team. - , motivated, problems ! : | state-of-the-art production-scale , , , ,"
scope,arshkon_3903824682,kaggle_arshkon,2024-04,Adobe,cross_functional,"' app. cross-functional , ' platform. ’ ; obsess , , , , ’ , next.js, , typescript, graphql codegen, jest, storybook, styled , framer , maintaining iterating best-in-class enables ' scaleshape, , , , user , qa, backend engineersreceive feed"
scope,linkedin_li-4392842232,scraped,2026-04,BEUMER Group,cross_functional,"** ** , , , multifaceted requiring in-depth applications. analyzing requirements, , costs, overseeing layouts 2d delivering proposals. additionally, , collaborates , , software/controls address requirements. participating , expert. ** ** **"
scope,linkedin_li-4390714760,scraped,2026-03,"Trilyon, Inc.",end_to_end,"| ** full-stack ** enjoys | **entire ** — — closely problems. ** :** | * **full-stack ** (backend, , ) * ** , , , ** understand workflows | * identify requests ** / reusable ** * stakeholder , , ** prioritization ** * iterate quickly feedba"
scope,linkedin_li-4383785413,scraped,2026-04,Parsons Corporation,end_to_end,"** , , mission-critical ** ** ' ** * , , written c/c\ \ * maintain documentation (schemas, , versioning ) * participate on-call rotation escalations required. * , , diagnose end-to-end failures environments. * maintain build/deployment ci/c"
scope,linkedin_li-4386502207,scraped,2026-03,OnMed,"cross_functional, roadmap","** ** senior-level designing cloud-first environments. bring expertise , , governance ecosystems. - , , interoperability, systems. comfortable hands-on level. high-growth motivated leveraging healthcare. * , , enterprise-grade services. * ,"
scope,linkedin_li-4339134631,scraped,2026-04,Cisco,end_to_end,"motivated sustaining products. ’ eol. positon, ai solution. provides ongoing (including ) pre-concept life. , ( , ), , problems avoidance fcs. sustaining , improvements. * / sustaining engineering. * manufacturing. * bom structuring bom man"
scope,linkedin_li-4355383085,scraped,2026-03,CoreWeave,roadmap,"** ’ ** coreweave. thousands gpus waiting. ? spent setup research. , , orchestration. came models. , ' operations. problem. ' ' , kubernetes-native , sandbox , possibly altogether. : currently exists labs. ** ** * contribute roadmap trainin"
scope,linkedin_li-4391253123,scraped,2026-03,Gainwell Technologies,cross_functional,"**summary** designing, , maintaining ? organization. ? ? , requiring expertise , , , aws, emphasizes , , governance, independently ? ? * : , , maintain etl/elt workflows , , python. * \& : , , , , governed analytics. * workflows: improve , "
scope,linkedin_li-4367675862,scraped,2026-04,Groundworks,cross_functional,"| ** ** designing, , maintaining high-quality ’ goals. requires , collaborating cross-functional translate requirements , , products. contribute ’ capabilities. **duties ** * , , , maintain user existing * contribute , ensuring , , performa"
scope,linkedin_li-4387772292,scraped,2026-03,Tradeweb,roadmap,", , self-motivated ' next-generation 24/7 platform. cloud-based c\ \ microservices orchestrate counterparties, , ledgers. remote. used efforts. occasional off-sites. | * c\ \ cloud-based microservices * participate ; contribute roadmap * to"
scope,linkedin_li-4338713203,scraped,2026-04,Roku,end_to_end,"’ , , actionable everyone. operate data-driven , self-service dashboards governed, high-scale platforms. end-to-end : , tableau , thoughtfully quickly understand ’ happening next. , tableau capabilities. ’ tableau aws gcp, migrations, , gov"
scope,linkedin_li-4345215691,scraped,2026-04,Form Energy,"cross_functional, roadmap","improve iron-air packs systems.this , ca. , * * subsystems. exciting fast-moving ! * : (dfr) subsystems iron-air , cross-functional failure (dfmeas) * translate high-level rigorous requirements. roadmap validate lifetimes. * experiments fai"
scope,linkedin_li-4392807096,scraped,2026-04,B4Corp,end_to_end,": : – : 9am ** ** | requires (ts/sci) polygraph. ** ** – \& flows application. , familiarity , , , governance demonstrated etl workflows scale. : * end-to-end leveraging , including configuring updating * containerizing aws. * mysql postgre"
scope,linkedin_li-4391916807,scraped,2026-03,Fourways Consulting Services,end_to_end,** :** | ** ( )** ** \& ’ :** ** (must-have):** | * backend / ( ) * end-to-end * sql / ** / :** | * (current/future ) * edw ( ) * datastage (etl) * sql-based ** :** | * lead-level / * end-to-end * full-stack capability ( \ ) * backend \> ( 
scope,linkedin_li-4391643107,scraped,2026-03,ImpetusIT,cross_functional,", , maintain high-performance applications. ** :** | * , , maintain applications. * cross-functional , , features. * well-designed, , reusable code. * troubleshoot debug optimization. * , , automation. * 2-5 , c\ \ , frameworks. * databases"
scope,linkedin_li-4387994445,scraped,2026-03,Apple,"cross_functional, roadmap",", revolution. , important foundational ’ , , dictation, captioning accessibility third-party apps. next-generation speech-to-text apis. , , , design. cutting-edge ml generative ai capabilities , , developer-friendly apis. requiring effectiv"
scope,linkedin_li-4390060002,scraped,2026-03,"MWResource, Inc.",cross_functional,"**duration:** | motivated expertise contractual basis. , designing, , maintaining applications. cross-functional high-quality ' needs. ( ), particularly integrating ecosystems. ** ** * maintain * , , functionality user * , maintainable, * f"
scope,linkedin_li-4261009009,scraped,2026-03,Masimo,cross_functional,", ai \& ml r\& next-generation , non-invasive , , facilitate next-generation devices. analyzing conditions diagnosis, prediction events. include streams non-invasive , speech/audio image/video. , ai \& ml closely , products. **duties \& ** "
scope,linkedin_li-4392669684,scraped,2026-03,MARVEL Infotech Inc.,end_to_end,"** : ai/ml ** ** ** ** ** | * (ai/ml, , aws, genai) * end-to-end ai/ml generative ai , including , , , deployment. * maintain ‑ aws , ecs/fargate, , api , dynamodb, rds/aurora, sagemaker, bedrock. * ‑ microservices (fastapi/flask) enabling "
scope,linkedin_li-4356497128,scraped,2026-04,Safran,cross_functional,", , robust electro-mechanical systems. possess , proficiency , electro-mechanical principles. existing developed next aircraft. duties entire , requirements , manufacture originate specifications, documents, verification/validation procedur"
scope,linkedin_li-4305681873,scraped,2026-04,Versa Networks,cross_functional,"** summary** full-stack ' team. customer-driven , data-rich, portals , , platform. requires cross-functional including , , geographies troubleshoot , proof-of-concepts, needed. ** ** | * sd-wan, sse, sase * combining (e.g., backbone.js) (e."
scope,linkedin_li-4365536687,scraped,2026-04,Talent Stack,end_to_end,"** :** | \& transferable ts/sci ( polygraph ) ( accept ts) | ** ** mission-critical customer. , evaluate , , baselines. * troubleshooting, , documentation applications. * troubleshoot isolate errors unexpected performance. * execute , , bas"
scope,linkedin_li-4288469747,scraped,2026-03,Spotify,cross_functional,"recommender generative recommenders foundational personalization formats. closely cross-functional execute , next user representations , paradigms, , filtering storage. ' | * contribute defining generative recommenders foundational user * s"
scope,linkedin_li-4386496705,scraped,2026-03,Waters Corporation,"end_to_end, cross_functional","| ** ( )** broader excellence. designing delivering ** , , ai-enabled ** measurable improvements. hands-on, , maintain ** , , ** scorecards, kpis, okrs, (e.g., ) closely , , , translate robust, future-ready ** ** | * cross-functional transl"
scope,linkedin_li-4390854599,scraped,2026-03,Nexus Spark Group,cross_functional,"designing, implementing, maintaining robust etl processes. additional include optimizing , orchestrating large-scale , collaborating cross-functional data-driven decision-making. involves identifying improve , ensuring systems. **qualificat"
scope,linkedin_li-4374145287,scraped,2026-04,Saronic Technologies,"end_to_end, cross_functional","** ** \& , , systems. sits , , , , friction-heavy , , experiences. throughput, , , — queuing circulation wayfinding, , rhythms. , users indispensable business. ** ** * ’ | * end-to-end ( , , campuses, , nodes, ) * queuing ( ) perceived wait"
management_strong,asaniczka_dc0908d9abe4b798,kaggle_asaniczka,2024-01,Camaco-Amvian,supervise,", improve existing products. generally, following duties independently minimal management. generally , sub-assemblies systems. assignments include , introduction procedures (caapd) coordinate designated including, , , procedures (caapd) ( )"
management_strong,asaniczka_d7a777eeda4836d5,kaggle_asaniczka,2024-01,recruitAbility,supervise,"continue exponentially , ( ) positions – developmen , completing assignments improved and/or processes. assess feasibility soundness proposed implementations, minimum , coordinate objectives. go : | documentation, including diagrams, descri"
management_strong,asaniczka_376bd7419ba2b6ac,kaggle_asaniczka,2024-01,"American Energy Storage Innovations, Inc.",supervise,", % % management. , , , coordinate, firmware , , innovation. objectives attainment. measured efficiently implementing delivering cost-effective | attract, , retain talent. team. , , ’ establish firmware / team. supervise overseeing needs. c"
management_strong,arshkon_3901990442,kaggle_arshkon,2024-04,Microsoft,hire,"(cxp) , designing increasing reliability. | , , , high-performance include: : , , , maintain customers. : swes demonstrate , ‘go ,’ quickly , estimate past innovation. : , co-create competent written & skills. : understands result value. : "
management_strong,arshkon_3904423079,kaggle_arshkon,2024-04,Equifax,supervise,"’ demonstrate , architectures problems including , demonstrate problems deeper needed include , , , scrum troubleshooting gcp aws , , data/metrics maniacal optimizing efx maintaining , devsec, kpis , maintain , slo, slis efx , , , , up-to-d"
