uid,source,period,title,company_name_canonical,matched_terms,excerpt
asaniczka_0f2726ffb654d924,kaggle_asaniczka,2024-01,Senior Data Engineer,Analog Devices,llm,", ( : ) breakthroughs edge. combines , , digitized factories, , , , reliably world. $ fy22 approximately , alongside 125, , ensures ’ ’ possible. ’ ai develops next-generation ai transforms world. layers, ai-enabled deeply ai algorithms. , "
asaniczka_88b0bc6391a3522d,kaggle_asaniczka,2024-01,Founding Full Stack Engineer,Zoltar Labs,"llm, fine_tuning, pinecone","full-stack , front-end back-end proficiency next.js, , , node.js, desire ' success. problem-solving creatively effectively environment. , prototyping, discovery/research ' ambitious full-stack , you. reshape ai. ' together. 👍 qualifications"
asaniczka_f761a67a3b27eda9,kaggle_asaniczka,2024-01,Full Stack Engineer (ML),micro1,llm,": | experts. expertise ai models. ai , including , , ' securely efficiently. tackling unsolved problems. ai | including llms. proficiency | , node.js, express.js, postgresql 3+ role. ai , including , , expertise , including ai , , api integ"
arshkon_3904411087,kaggle_arshkon,2024-04,Application Developer - AI – Information Services,RAND,llm,", , ai-enhanced .net/sql cloud-based platform. closely , researchers, (qa, , , ) analyze requirements constraints. minimum qualifications 5+ .net-based c#, asp.net, sql , , javascript, json, xml, html, … tiers. web-based apis. sql – , queri"
asaniczka_29755eb9bb0a1355,kaggle_asaniczka,2024-01,Principal Software Architect.,Crown Castle,mcp,"| architect., emphasizes , , empowerment. , , , capabilities. long-term next , end-to-end network. closely , discussions, , engineers. reports. | domains. diagnose, , troubleshoot problems , improve efficiency. effectively evaluate tradeoff"
arshkon_3905331884,kaggle_arshkon,2024-04,Software Engineer,Ford Motor Company,llm,"& ai/ml platform. , cross-functional teams. continuously , , often. ml practitioners mach1ml ( ’ ai/ml similar ’ michelangelo, facebook’ fblearner, ) gcp ml / mlops tasks, mach1ml ai/ml democratization. closely , methodology. ml challenging"
asaniczka_54b876f5d3002197,kaggle_asaniczka,2024-01,Python Developer IV,WinMax,llm,": , req# 27705922 :10+ ' ( ) hardworking crafting, implementing, measurable customers. , statistical end-toend , , , services. ' dedication , adversarial , exciting techniques. , existing delivering tangible ! qualifications | theoretical a"
asaniczka_158b008c35ccb7e2,kaggle_asaniczka,2024-01,Machine Learning Lead Software Engineer,ClickJobs.io,llm,"& , , , market-leading , , way. , conducting ’ objectives. executes , , , troubleshooting routine approaches problems develops high-quality , debugs written identifies eliminate automate improve , , outcomes-oriented probing , , applicabili"
arshkon_3904060936,kaggle_arshkon,2024-04,Lead Machine Learning Engineer,QBE Insurance,fine_tuning,"expertise ' , including , , leveraging ai , , leadership. additionally, demands problem-solving, mentorship, organization. , , , ensuring ' tech-driven closely specifications, actionable , , performance. , , , adherence practices. deploymen"
arshkon_3887871221,kaggle_arshkon,2024-04,Software Engineer - Senior,HTC Global Services,agent,"algorithms.looking , area.this 7+ , , rally.this interactions ' ( written ) comfortable waiting do. backlog, employing practices.work agent.help pdo contribute ' knowledge.advocate test-driven (tdd) , producing well-crafted code. bachelor’ "
asaniczka_fc085c85c5af2773,kaggle_asaniczka,2024-01,Senior Robotics Software Engineer,Anduril Industries,agent,"develops ground-based systems. taking , , sketches systems. , , hardest problems facing customers. roboticists excited , , , , estimation, communications. ’ | maintain ( , , ) - recent examples include software-in-the-loop simulator charact"
asaniczka_f6ada7dfff9700a5,kaggle_asaniczka,2024-01,Senior Machine Learning Engineer,Govini,llm,"cutting-edge , time-consuming, manual helps end-users decisions. ' world-class useful classification algorithms, improve user functionality. , eager solver well-designed problems ambiguous space. knowing , dialogue forward. require % | soft"
asaniczka_eb165b2f9297184e,kaggle_asaniczka,2024-01,Founding ML Engineer/Scientist,Spine AI,"llm, agent",": joining , expected ambiguity explicit direction. expected bring feedback product. : ambiguity interacting team. founding closely team. include | llms: llms tuning experimenting foundational llms techniques. ai : ai agents. : llms. ai : im"
asaniczka_0b05055029ed5351,kaggle_asaniczka,2024-01,"PEPI - Manager, Generative AI – AI Engineer (Open to All US locations)",Alvarez & Marsal,pinecone,"' cutting-edge generative ai automating portions , identifying , facilitating decision-making ai , scenarios streamlined, processes. diligence ( ), merger / carveout execution, agreement & governance, implementations, & , pre-deal , , 'day1"
asaniczka_06950c915eee4f66,kaggle_asaniczka,2024-01,"Software Engineer, High Performance Computing",Adept,agent,"summary multimodal ai specifically agents. iteration depends largest gpu clusters around. iterate faster. include: - gpu clusters - utilization clusters - researchers problems startup. backgrounds. , : 8+ gpu , , , , e.g., torch.distributed"
linkedin_li-4369742304,scraped,2026-03,Senior Data Engineer,Honeywell,"llm, fine_tuning, langgraph","** ** , high-performing delivering ai ’ , real-time processing. , architectures next-generation ai capabilities, including large-scale , , real-time analytics. closely cross-functional high-volume , actionable ’ ’ , schedule. ** ** ** ** **"
linkedin_li-4399471525,scraped,2026-04,Senior Software Engineer - Agentic AI - Python Expert,Munters,"llm, agent, langgraph",", ai-first, ai production. , , operate combine (llms), tools/functions, , , , multi-agent communication. primarily ai (typescript/angular, .net/c#, sql , ), delivering , cost-efficient, low-latency workflows. ' ! * ai ai : , , tools/functio"
linkedin_li-4397283706,scraped,2026-04,Generative AI Engineer,Coforge,"llm, agent, langgraph","** : generative ai ** ** : ai \& genai, \& , llm‑ workflows, , api, ** ** : \ yrs** ** : , ( )** ** : generative ai ( \ yrs)** langgraph-based , llm layers, agents. include implementing multi-turn conversational workflows, hallucination , g"
linkedin_li-4372987898,scraped,2026-03,"AI Data Engineer, Manager - Tax Transformation",Deloitte,"llm, agent, milvus","energized , team. , ' "" "" "" "" genai-enabled operations. enterprise-grade , cross-functional , , high-performing ai measurable value. , \ ** ' ** ai , , genai products. : * , , , terabytes scale. * ingestion, real-time , , extract-transform-"
linkedin_li-4394660150,scraped,2026-04,Software Engineer III,JPMorgan Chase & Co.,"llm, claude","** ** ’ exciting applying skillsets ' mission-critical systems. , problems straightforward , , maintain, , independently decompose iteratively improve existing end-to-end , , , platform. ** ** * , * ci/cd approaches * improve , , , hands-on"
linkedin_li-4391772965,scraped,2026-03,Product Engineer – AI Operations,FieldPulse,"llm, claude","high-growth specifically trades. , , technicians, , , estimates, , - efficiently. thousands , pairs cutting-edge customer-first running. ’ ai automation. ’ ai ai , – , , , , , – high-impact ’ requirements non-technical , ai-powered workflow"
linkedin_li-4392916709,scraped,2026-03,Software Engineer - CRS,Agilysys,llm,"exclusively state-of-the-art go accomplish ( ), point-of-sale ( ) \& systems. , state-of-the-art standalone best-in-class capabilities unifies workflows , equipping guests, improve , margins. % ; multi-amenity ; ; , ; ; ; ; ; ; ; ; stadiums"
linkedin_li-4396567728,scraped,2026-04,"Delivery Platform Software Engineer 1 - Developer Tools Team (Hybrid - Seattle, WA)",Nordstrom,claude,", revolutionizing ' applications. world-class nordstrom. ' , services. ambitious journey. ** …** * , , maintain github-based * cross-functional * ci/cd actions, integrating artifactory, , certificate , * workflows * backend capabilities, in"
linkedin_li-4392273883,scraped,2026-03,Full Stack Engineer,SysCloud,claude,"backup-as-a-service (baas) providing capability pane backup , , quickbooks , , , salesforce. backup, , ransomware , , , ** : ** ** openings:** ** :** 2-3 ** qualifications:** , b.tech., m.sc. ( ), , consistent ** :** , (on-site) \[ ://share"
linkedin_li-4399223215,scraped,2026-04,Ai Engineer,Actalent,langchain,"** : ai/ml ** ** ** ai/ml eager challenging problems. ai/ml algorithms disciplines, including detection/classification, , reinforcement , models. positions available, levels. comprises researchers excited mastering craft. ** ** * ai/ml algo"
linkedin_li-4389223343,scraped,2026-03,Backend Engineer at Edison Scientific,Jack & Jill,agent,", ai , customers. ' next jack. backend ** :** $175, \ ** :** vc-backed ai ** :** , , research. backend , ai , ’ scale. ** :** , ** :** * ai , discoveries development. * well-funded researchers top-tier mission-driven * high-energy, on-site "
linkedin_li-4334940541,scraped,2026-04,Senior Machine Learning Engineer,Spotify,fine_tuning,"personalization makes deciding next enjoyable listener. , ’ ’ most-loved features. , podcasts, audiobooks else. ’ millions users listening recommendations them. personalization - hardworking user satisfaction - recommendation goal. , , pzn "
linkedin_li-4370732958,scraped,2026-04,Full Stack Software Engineer - Applied AI,Perplexity,llm,"ai revolutionize next ai models. , ' e2e ’ ai , including , , eval , monetization llms. , go, , typescript, , fastapi, postgresql, , , vllm, aws. * fluid. applying , eligible engineering. , figuring ’ most.* ** ** * , end-to-end ai user , ,"
linkedin_li-4396392216,scraped,2026-04,"Lead Software Engineer, Back End (Enterprise Platform Technology)",Jobs via Dice,claude,"? enjoy problems fast-paced, , , ? , ' , , doers disruptors, problems needs. marrying , ' one. ' ai-powered automates - , , , , multi-channel dispatch. event-sourced, phase-specific , projection , causation/correlation tracing auditability "
linkedin_li-4266777242,scraped,2026-03,Senior Frontend Engineer,Boson AI,llm,"ai: ai, ai ; ai. cutting-edge ai , particularly , real-world problems value. researchers pushing boundaries ' , delivering high-quality, seamlessly workflows standards. : team. , next-generation llm-powered , crafting user , , efficiency. e"
linkedin_li-4305178670,scraped,2026-04,"Staff Software Engineer, Data & AI",SoFi,llm,"** applicant notice** ** :** brighter us. , ’ finance. ’ next-generation , mobile-first millions goals. going unprecedented , ’ forefront. ’ knowing ’ , way. ** , , world.** motivated enablement division. enablement , enabling customers. , "
linkedin_li-4400203838,scraped,2026-04,Artificial Intelligence Software Engineer,VLink Inc,llm,"** : ai ** ** : , tx/hybrid ** **duration: ** ** ** -vlink, 2006, next-gen best-in-class talent. , \ countries america-europe , east. , , helped smbs, , gained fortune-250 companies. **‘ ? ™'** consistent as- ** ** ** , ** , ** ** ’ culture"
linkedin_li-4349683046,scraped,2026-03,Senior AI/ML Engineer (AI Platform),WHOOP,"llm, fine_tuning",", ’ healthspan. ai physiological actionable recommendations. ai , physiological , day. ai/ml ’ ai-powered , including , ai-powered , product. , ai ai : , fine-tuning workflows, llm observability, experimentation tooling. closely translate ,"
linkedin_li-4379190907,scraped,2026-03,#Software Engineer,Qualcomm,llm,"** ** , ** ** , \> ** summary** * eligible sponsorship. ** , pushes boundaries ' next-generation , all. beings , ' , edge. motivated expertise on-device ai ai , tflite pytorch edge. , , cases. adding ( , ), integrating on-device llms, on-de"
linkedin_li-4310260811,scraped,2026-03,"Machine Learning Engineer, End-to-end Autonomy",Woven by Toyota,fine_tuning,"** ** , driving. tackles groundbreaking designing state-of-the-art , end-to-end architectures, ml , prediction, planning. ' pushing boundaries , particularly geometric scenarios. ( ) end-to-end learned / adas stack. cross-org ’ ’ diffusion "
linkedin_li-4392012856,scraped,2026-03,Software AI Engineer,Akkodis Group Nordics,llm,"** ai ** ** ** ** , ny.** expertise ‑ ai architectures ‑ ‑ , ‑ ai systems. ** :** $45/hour $53/hour; negotiable , , , factors. ** ai include** * ai , ensuring , , design. * ‑ ai capabilities, including , ‑ , , , layers. * operate backend , "
linkedin_li-4390371068,scraped,2026-03,Senior Full Stack Developer,Cliff Services Inc,claude,"** ** : - ** ** ’ hands-on , cloud-native applications. ’ , , \ , \.x, angular , aws \.0, emphasis (postgresql/aurora) ’ closely , , , qa high-quality environment. genai ( , claude sonnet) graph ( neptune/graph ) plus. ’ * \& : microservice"
linkedin_li-4387495663,scraped,2026-04,Lead Software Engineer (AI Platforms & SaaS Solutions),Honeywell,"llm, agent","** ** – ai \& next ’ platforms. bring , cloud-native , , introduction ( ), \ hands-on ai / ai , , ai-enabled capabilities workflows, , next-generation products. ** , ** ’ ** , ** ** ** schedule. , deriving actionable , reduce costs, identif"
linkedin_li-4389796865,scraped,2026-03,Summer Internship Program 2026 - Corporate System AI Engineer Intern,ICE,"llm, fine_tuning","** ** ** ** combine hands-on, , alongside development. ' , interpersonal , contribute difference. day-to-day , ’ participate , interns, deepen , , industries. ai ai-powered systems. ** ** * cross-functional ai-driven , generative ai (e.g., "
linkedin_li-4378554059,scraped,2026-03,AI & Software Engineering Senior Lead,PMG,llm,"** ** * * * * , seeks possible. , , , , — proprietary , — cutting-edge strategies. comprises , ambitious , , , , , \& , , , , , , spans 85\ countries. ** ** ’ alongside , , maintain ai-powered used pmg. , ’ , next, forward. , ’ spend influe"
