uid,year,title,snippet
linkedin_li-4365599650,2026,Motor Control Software Engineer,"Imagine piloted air taxi takes vertically, quietly carries fellow passengers congested city streets below, enabling spend time people places matter most. Since 2009, team worked steadily make dream reality. We’ve designed tested many generations prototype aircraft capable serving"
linkedin_li-4393873080,2026,AI Engineer,"**RAG - Vector Databases - Cloud - AI/ML** Jobot Job hosted by: Chuck Wirtz fit? Easy Apply clicking ""Apply Now"" button sending us resume. Salary: $175,000 - $200,000 per year **A bit us:** rapidly-growing well-funded women-lead AI start-up innovates client's projects concept del"
linkedin_li-4381322906,2026,Artificial Intelligence and Machine Learning (AI/ML) High Performance Computing (HPC) Systems Engineer Advisor,"Technical SETA support MPO intel analysis data processing, tool modernization, high performance computing (HPC) analytic systems engineering. ** seeking Artificial Intelligence Machine Learning (AI/ML) knowledgeable Mid-Career Systems Engineer** support mission-critical | **High "
asaniczka_b30b4525673f3b11,2024,Senior Software Engineer - C/C++ with Security Clearance,"seeking Sr. Software Engineer Java C/C++ join Physical Sciences & Systems business unit located stone's throw seaside Newport, Rhode Island. Responsibilities include but, limited to, Linux software development real-time multi-threaded platforms, integrating custom hardware, integ"
asaniczka_44f30506821138cb,2024,Sr Software Engineer (Systems),"oil gas engineering team Houston, Texas looking SW development individual contributor. Challenges always new require flexible inquisitive mindset adapt. SW/FW developer must capable coding testing well contributing coordinating small team developers multiple varied projects. SW/F"
asaniczka_0297fd29cf5d301b,2024,Lead Software Developer (.NET) (22104),Job Responsibilities: | Perform technical analysis enhancement maintenance requests Identify scope change impacted system provide estimation change Define high-level functional requirements discussion business users prepare detailed technical specifications low-level design (LLD)
asaniczka_6d5df5bd502eb072,2024,"Systems Engineer III, Communications - Orbital Reef Program (R38154)","opportunity reports Lead Systems Engineer Orbital Reef Program. part growing, hardworking, curious team engineers you’ll deployed activities shape future ’s Human Spaceflight efforts. part team systems engineers contribute definition, development, execution integrated space stati"
asaniczka_17681d402a68da0e,2024,Software Engineer IV,"Job Title- Software Engineer IV Duration- 10+ Months Responsibilities Job Description: | Works within Agile team clarify story objectives groom product backlog Facilitates technical design planning, solution approach, implementation Diagrams documents technical approach required "
linkedin_li-4393961627,2026,Principal Engineer Software - Embedded (Multiple Locations CA) - R10227763,"CLEARANCE REQUIRED START: Yes CLEARANCE TYPE: SCI TRAVEL: Yes, 10% Time **Description** , employees incredible opportunities work revolutionary systems impact people's lives around world today, generations come. pioneering inventive spirit enabled us forefront many technological "
asaniczka_a08abbb64d114d5d,2024,Lead Systems Engineer,"Description Job Title: Lead Systems Engineer Job Code :IMS20231311-108031 Job Location: Phoenix, AZ St. Pete, FL Grand Rapids, MI-relocation may provided qualify Schedule: 9/80 every Friday currently seeking Systems Avionics Engineer work fast paced demanding environment. looking"
linkedin_li-4390694740,2026,Junior Data Engineer (5148),"cBEYONData \+ SMX seeking skilled Junior Data Engineer join team support Enterprise Data Analytics Platform effort Federal customer. focus across broader program includes analyzing current data system interfaces, building maintaining data pipelines, developing maintaining CI/CD p"
linkedin_li-4385755032,2026,Test Automation Engineer,"**Job Title:** Test Automation Engineer **Location:** Pittsburgh, Pennsylvania (On-site) **Job Summary:** seeking detail-oriented automation professional join client’s quality assurance team. team committed ensuring robust reliable software solutions support strategic revenue cos"
linkedin_li-4330573610,2026,Applied AI Engineer,"**About ** Making family care possible. , tackling one important unsolved challenges time: family caregiving. 50 million Americans family caregivers loved ones without pay, tools, support. mission clear ambitious: train employ family caregivers get paid care already provide home."
linkedin_li-4391667782,2026,System Engineer Senior,"System Engineer Lockheed Martin's Missiles Fire Control business Chelmsford, MA. team experiencing growth looking strong engineer experience. **What Doing** System Engineer, responsible for: | Support program's requirement traceabilities verification working DOORS CAMEO Collabora"
asaniczka_6b70f3393d447586,2024,Systems Engineer/ Principal Systems Engineer (Oklahoma City or Rancho Bernardo),"Aeronautics Systems opening Systems Engineer / Principal Systems Engineer join team qualified, diverse individuals. position Systems Engineer responsible coordination collaboration diverse engineering design teams provide imaginative, technical solutions wide range difficult prob"
linkedin_li-4392926419,2026,Associate Data Engineer ($55/hr),"**Associate Data Engineer (Snowflake \| SQL \| Python \| Azure)** **Role Overview** seeking motivated detail-oriented **Associate Data Engineer** support design, development, optimization cloud-based data solutions using Snowflake Microsoft Azure. role, contribute building scalab"
asaniczka_8fc819ffa90c186d,2024,Application Engineer - Gas Engine Engineering,looking energetic experienced Gas Engine Engineer responsible leading development execution systems power generation compressor control systems driven gas engines. Act Consultant Engineer specialist applications. expected take project conception design testing onsite commissionin
linkedin_li-3986117171,2026,Software Engineer,"**Code saves lives.** software developer , you’ll write software impacts lives 325 million patients around world. Working office, surrounded thousands high-caliber developers, you’ll use modern development methodologies employ user-centered design, analytics, machine learning too"
linkedin_li-4389280162,2026,Test Automation Consultant,"Greetings Smart Work Services, seeking experienced Test Automation Consultant strong expertise OPKEY Oracle E-Business Suite (EBS) upgrade testing. ideal candidate responsible designing, developing, executing automated test scripts ensure quality stability EBS upgrades (non-Fusio"
linkedin_li-4388707026,2026,Test Engineer,"**Career Area:** Engineering **Job Description:** **Your Work Shapes World Caterpillar Inc.** join Caterpillar, joining global team cares work – also other. makers, problem solvers, future world builders creating stronger, sustainable communities. talk progress innovation – make "
linkedin_li-4378430086,2026,Senior Modem Software Engineer,"**General Summary** individual independently plans, performs moderately-defined responsibility designing, implementing, verifying, validating commercializing Wireless WAN (or cellular) modem software product component within product. Work involves implementation multi-RAT (Radio "
asaniczka_f16eebd7036d5b5d,2024,Senior Software Engineer,"primary tech stack web development Spring Boot (utilizing Java Kotlin), Ruby Rails, JavaScript frontends (using either React VueJS) backed RESTful microservices written Java Kotlin. mobile development using C# Xamarin React Native. follow Agile methodologies, specifically Kanban."
asaniczka_bb48efa5f27daa05,2024,Senior Machine Learning Engineer - AI,"seeking highly skilled experienced Senior Machine Learning Engineer join dynamic team. Senior Machine Learning Engineer, play crucial role developing deploying cutting-edge machine learning models solutions solve complex business problems. collaborate cross-functional teams drive"
asaniczka_f0cd1b7f38f8378e,2024,"Senior Backend Engineer, Distributed Systems",role: seeking Senior Software Engineer - Backend join team. solve unique challenges related scalability. able experience aspects engineering product development. You’ll get to: | Engineer highly available scalable software systems. Estimate Engineering efforts building new featur
linkedin_li-4380825516,2026,UI/UX Developer,"**Job Requirements** **UI/UX Developer (Product Design \& UI Systems** **Location: Elmhurst, IL** **Reports To: Director Technology** **Build solutions. Elevate performance. Thrive Corporate !** largest privately owned seller new homes America. member Technology team, you’ll supp"
linkedin_li-4389711737,2026,Senior Software Development Engineer in Test (SDET),"**Senior SDET / Digital QA - (Full Stack)** ***📍 Tysons Corner, VA (Hybrid) \| 💼 8\+ Month Contract*** We’re partnering leading enterprise organization driving large-scale **digital transformation** across web mobile platforms. seeking **high-caliber SDET** brings deep expertise "
asaniczka_12639b45afbbf998,2024,Senior Software Engineer,"Permanent Senior Software Engineer Desired skills: | JavaScript, TypeScript, Node, AWS, GCP, Azure, Databases, React, Software Engineering, Back-End Senior Software Engineer help lead development technology platforms. work diverse team includes backend developers mobile developer"
linkedin_li-4388260570,2026,Android Software Engineer,"Android Developer, AI Apps, Android client experience, AI feels, behaves, performs mobile devices. build production Android application AI interactions core product, performance, reliability, clarity matter. * Build maintain production Android apps using Kotlin. * Integrate AI-po"
linkedin_li-4387766006,2026,"Forward Deployed AI Engineer, United States - BCG X","**Locations** : Boston \| New York \| Brooklyn \| Chicago \| Miami \| Dallas \| San Francisco \| Seattle \| Manhattan Beach \| Pittsburgh \| Los Angeles \| Washington teams full analytics value-chain end end: framing new business challenges, designing innovative algorithms, imple"
asaniczka_47af42e695651a57,2024,"Experienced Associate, Software Engineer (Python/SQL)","Travel Requirements: | 60% Responsibilities Associate, work part team problem solvers, helping solve complex business issues strategy execution. PwC Professional skills responsibilities management level include limited to: Invite give moment feedback constructive manner. Share co"
linkedin_li-4306232630,2026,"Vice President, Full-Stack Engineer","**Job Description** **Vice President, Full-Stack Engineer** BNY, culture allows us run company better enables employees’ growth success. leading global financial services company heart global financial system, influence nearly 20% world’s investible assets. Every day, teams harne"
asaniczka_2871661fdc74b31f,2024,"C++ Software Engineer, Tesla Bot","Expect | Software Engineer within robotics teams, contribute one advanced Robotics/AI Platforms world. role work across multiple functions ensure seamless integration various subsystems robots including main computer, sensors, motor controllers, telemetry systems, etc. enable fun"
linkedin_li-4393885192,2026,Data Engineer (Model Pipeline) SME,"**About ** next-generation national security company drives missions consequence spanning globe extending farthest reaches galaxy. world's leading mission capability integrator transformative enterprise provider, deliver trusted, highly differentiated solutions technologies prote"
asaniczka_0e3258921e810c2d,2024,Senior PHP Developer,"Senior PHP Developer Responsibilities | Creation, development maintenance advanced web applications PHP language Design implementation back-end solutions, including integration databases, external services system components Optimising monitoring application performance troublesho"
arshkon_3901362020,2024,Data Platform Engineer,"seeking highly skilled Modern Platform Engineer expertise Cloud Computing AWS, running workloads Kubernetes, focus ML Ops Data Engineering workloads. challenging exciting opportunity highly motivated skilled Modern Platform Engineer join team work cutting-edge technologies build "
linkedin_li-4389321773,2026,Systems Software Engineer,"**Job Summary:** | Responsible design, architecture, development, integration complex military combat vehicle software systems. **Essential Functions:** | * Vehicle software development. * Software requirements analysis, derivation, decomposition, requirements management. * Devel"
asaniczka_a8ff14b0f2fbd52f,2024,Senior Software Engineer,"do: | participate actively aspects designing, building, delivering products clients. Develop variety platforms technologies, Docker, Kubernetes, Gitlab, AWS, Azure, Aliyun, .NET Core, Java, Scala, SQL Server, GraphQL. Participate design reviews proof concepts. Contribute solution"
linkedin_li-4392463619,2026,Lead Software Development Engineer in Test (Kafka/JAVA),"**Are ready make impact DTCC?** want work innovative projects, collaborate dynamic supportive team, receive investment professional development? DTCC, forefront innovation financial markets. We're committed helping employees grow succeed. believe skills drive make real impact. fo"
linkedin_li-4286227066,2026,"Software Engineer, Frontend",", we’re redefining modern machines built, tested, operated. platform gives engineers real-time observability high-frequency telemetry—eliminating bottlenecks enabling faster, reliable development. born work SpaceX Dragon, Falcon, Starlink, Starship—where scaling telemetry, debugg"
