source,period,seniority_final,section_label,n,median_share,mean_share,median_chars,mean_chars
scraped,2026-03,mid-senior,benefits,53,0.15369458128078817,0.16706565149801011,300.0,453.47169811320754
scraped,2026-03,mid-senior,legal,2,0.05835914433337273,0.05835914433337273,186.0,186.0
scraped,2026-03,mid-senior,preferred,485,0.17893359502780504,0.2166631763289129,508.0,702.6865979381444
scraped,2026-03,mid-senior,requirements,641,0.30103456977037596,0.3242683894309408,805.0,935.8143525741029
scraped,2026-03,mid-senior,responsibilities,320,0.40772116557861865,0.46896263225891427,1175.0,1358.740625
scraped,2026-03,mid-senior,role_summary,243,0.723391812865497,0.6713718260990789,1816.0,1990.835390946502
scraped,2026-03,mid-senior,unclassified,1471,0.7936393205637875,0.6927922184791196,1802.0,1944.1080897348743
scraped,2026-03,unknown,about_company,2,0.23195773143760534,0.23195773143760534,703.0,703.0
scraped,2026-03,unknown,benefits,38,0.13322292835243976,0.16753540755215077,279.0,390.2368421052632
scraped,2026-03,unknown,legal,10,0.28105896366561844,0.3229253566890268,1118.0,854.3
scraped,2026-03,unknown,preferred,452,0.17301193185736946,0.20318906131586303,442.5,572.9911504424779
scraped,2026-03,unknown,requirements,634,0.3096587622903413,0.3292079731452154,687.5,827.9605678233438
scraped,2026-03,unknown,responsibilities,362,0.43834567279597575,0.5031230357772064,996.5,1239.4917127071824
scraped,2026-03,unknown,role_summary,197,0.6504539559014267,0.6242920839670458,1543.0,1630.9593908629442
scraped,2026-03,unknown,unclassified,1473,0.8107403545359749,0.6852183069391206,1378.0,1595.3530210454853
scraped,2026-04,associate,preferred,4,0.24511092323258032,0.21307519792355079,785.5,750.25
scraped,2026-04,associate,requirements,7,0.23129251700680273,0.3124188082470277,850.0,901.5714285714286
scraped,2026-04,associate,responsibilities,7,0.31958365458750965,0.46316092124441866,829.0,1045.857142857143
scraped,2026-04,associate,unclassified,12,0.5096812142042548,0.54231175496626,1953.0,1664.5
scraped,2026-04,director,preferred,2,0.14575102459211753,0.14575102459211753,963.0,963.0
scraped,2026-04,director,requirements,6,0.2960924944255122,0.3199415312391964,1207.0,1676.5
scraped,2026-04,director,responsibilities,5,0.4840287769784173,0.46127634333583767,1682.0,1866.6
scraped,2026-04,director,unclassified,16,0.9901955024170552,0.7091915565081435,2775.5,2841.0625
scraped,2026-04,entry,benefits,4,0.18251688391697587,0.1580634433588617,354.5,372.75
scraped,2026-04,entry,preferred,19,0.1992928318868531,0.23570477622452793,533.0,556.7894736842105
scraped,2026-04,entry,requirements,24,0.3442473669727066,0.3636608781459167,741.5,875.6666666666666
scraped,2026-04,entry,responsibilities,16,0.5819545915188234,0.5120983219654396,1578.0,1374.1875
scraped,2026-04,entry,role_summary,8,0.5626491725122098,0.6116440203619182,1433.0,1458.625
scraped,2026-04,entry,unclassified,49,0.7034813925570228,0.6740635434438739,1416.0,1463.5102040816328
scraped,2026-04,mid-senior,about_company,2,0.4451245773844133,0.4451245773844133,1482.5,1482.5
scraped,2026-04,mid-senior,benefits,31,0.11097659402744149,0.11903571447708126,253.0,343.7741935483871
scraped,2026-04,mid-senior,legal,5,0.16439246263807666,0.12546266979380877,506.0,577.6
scraped,2026-04,mid-senior,preferred,297,0.16853932584269662,0.2102173440882873,495.0,673.1178451178451
scraped,2026-04,mid-senior,requirements,385,0.31557035803497085,0.32988417678692167,799.0,950.6831168831169
scraped,2026-04,mid-senior,responsibilities,198,0.3974201272391037,0.4573043882429487,1083.0,1304.8686868686868
scraped,2026-04,mid-senior,role_summary,108,0.6996642517167009,0.6630264503952631,1750.0,2080.324074074074
scraped,2026-04,mid-senior,unclassified,850,0.7951218071032046,0.6914784424385969,1826.0,1960.290588235294
scraped,2026-04,unknown,benefits,19,0.1175649259983245,0.13411262530446075,376.0,403.94736842105266
scraped,2026-04,unknown,legal,3,0.22522159548751008,0.42193107244589023,1118.0,1372.3333333333333
scraped,2026-04,unknown,preferred,261,0.1683046683046683,0.21529164169340462,412.0,608.1877394636016
scraped,2026-04,unknown,requirements,349,0.3050514958312898,0.3189219495680034,641.0,799.1547277936962
scraped,2026-04,unknown,responsibilities,172,0.4369463948788336,0.49916686722935605,1112.0,1342.8720930232557
scraped,2026-04,unknown,role_summary,103,0.6430769230769231,0.6299422522474007,1259.0,1500.514563106796
scraped,2026-04,unknown,unclassified,742,0.7491158573901349,0.678219936225411,1412.5,1629.745283018868
