metric,n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,panel,robustness
credential_stack_depth_delta,238,-0.06677216138426446,0.30497045861561123,-0.192303437378686,0.06090914869153695,-0.062416278844726426,0.3376710655099192,arshkon_min3_no_giants,no_tech_giants
mgmt_rebuilt_delta,238,-0.004371749055607721,0.9465106138701496,-0.13146279403692276,0.1228606818894818,0.16809637919651235,0.009373435405284545,arshkon_min3_no_giants,no_tech_giants
breadth_resid_delta,147,0.017222758117222216,0.835972701906454,-0.14507797298586994,0.17862091983375308,0.07868230648732188,0.3434869679325293,arshkon_min3_no_aggregators,no_aggregators
ai_strict_delta,147,-0.04941754023625919,0.5522417553931764,-0.20963655069175136,0.11338581468684569,0.139530920297685,0.0918851772968079,arshkon_min3_no_aggregators,no_aggregators
mentor_on_S1_delta,130,-0.07409441975246014,0.40214332771408856,-0.2431810468110708,0.09936246595323144,0.11586038794309328,0.1892913079901074,arshkon_min3_no_aggregators,no_aggregators
desc_len_median_delta,147,0.2760840141905984,0.0007123072857675091,0.11953045116475268,0.41924140979922625,0.29082679265891115,0.00035217862880413916,arshkon_min3_no_aggregators,no_aggregators
yoe_min_years_llm_delta,136,-0.007328058940264602,0.9325226023071692,-0.17544754753017375,0.1612067181094523,0.03656141416648313,0.6726006500697363,arshkon_min3_no_aggregators,no_aggregators
yoe_extracted_delta,140,-0.08213577805212943,0.3346640860426533,-0.24470746145008435,0.08492779247925623,-0.12394487298501161,0.14455974650830192,arshkon_min3_no_aggregators,no_aggregators
tech_count_delta,147,0.09352696122090949,0.25985013173135135,-0.06942038904440574,0.25161332790866264,0.11283198499187097,0.17361295697102408,arshkon_min3_no_aggregators,no_aggregators
scope_v1_delta,147,-0.09953641004206736,0.23033602368546477,-0.2572865587032973,0.06338116024442363,-0.10604054062450928,0.20114190288163492,arshkon_min3_no_aggregators,no_aggregators
credential_stack_depth_delta,147,-0.060032719081717506,0.47011237416592416,-0.2197927483351207,0.10286322608039426,-0.09068916710094493,0.2746512403226511,arshkon_min3_no_aggregators,no_aggregators
mgmt_rebuilt_delta,147,-0.002596727418280453,0.9750981359219462,-0.16442381388987526,0.15936648059938355,0.12243469316401864,0.13958633117254396,arshkon_min3_no_aggregators,no_aggregators
breadth_resid_delta,144,0.015109272484688047,0.8573556512355174,-0.14883746572101902,0.17824760103015935,0.07382389236644028,0.37920256955502074,arshkon_min3_no_giants_no_aggregators,no_giants_no_aggregators
ai_strict_delta,144,-0.051306684510933655,0.5413871298553339,-0.21309710440102766,0.1132224340659864,0.1366831821038802,0.10234720621953276,arshkon_min3_no_giants_no_aggregators,no_giants_no_aggregators
mentor_on_S1_delta,127,-0.0784030865610774,0.3809367688487573,-0.24921675680776076,0.09714156517749992,0.11707721839980326,0.1899047498516829,arshkon_min3_no_giants_no_aggregators,no_giants_no_aggregators
desc_len_median_delta,144,0.2915843109846087,0.00039128965038263345,0.13441671170247996,0.4344416122709142,0.2981454627298255,0.0002840083458018536,arshkon_min3_no_giants_no_aggregators,no_giants_no_aggregators
yoe_min_years_llm_delta,133,-0.018643698900301233,0.8313280739951677,-0.1882760227699908,0.1520687821161483,0.02232098200405671,0.7987076314076713,arshkon_min3_no_giants_no_aggregators,no_giants_no_aggregators
yoe_extracted_delta,137,-0.08672208068432702,0.31362000663236905,-0.250792835913258,0.0821919037139983,-0.13049017136716037,0.12854614462983271,arshkon_min3_no_giants_no_aggregators,no_giants_no_aggregators
tech_count_delta,144,0.09448420176332264,0.25997474401215825,-0.07017934124617906,0.2541352616097592,0.11050281303311235,0.18733009455751207,arshkon_min3_no_giants_no_aggregators,no_giants_no_aggregators
scope_v1_delta,144,-0.10280343822810155,0.22014558679861784,-0.26197679090638626,0.061814948871435085,-0.11265578904101094,0.1788283903517449,arshkon_min3_no_giants_no_aggregators,no_giants_no_aggregators
credential_stack_depth_delta,144,-0.060752973043506124,0.46946466000478704,-0.22212440006839373,0.10385803585937992,-0.0923169693706217,0.2711140783529487,arshkon_min3_no_giants_no_aggregators,no_giants_no_aggregators
mgmt_rebuilt_delta,144,-0.0016787704959900576,0.9840675557794044,-0.165212279122545,0.1619445791314075,0.12819745374771863,0.12569835313132605,arshkon_min3_no_giants_no_aggregators,no_giants_no_aggregators
