a,b,phi
selenium,junit,0.2745077140541813
angular,spring,0.2737679244095557
kubernetes,cicd,0.27251079160659286
bash,linux,0.26890510409558593
aws,cicd,0.268116033079896
java,microservices,0.26667805404986206
langchain,mcp,0.2665681301892894
kubernetes,helm,0.26524170783743845
openai_api,agents_framework,0.263152076031708
snowflake,databricks,0.26219444617111526
kotlin,swift,0.2591554825099093
llm,langgraph,0.25887108062655395
typescript,nextjs,0.25860831771310155
postgres,redis,0.2580583107151892
spring,junit,0.25799901700623873
tensorflow,nlp,0.2557556866902949
kafka,spark,0.2555381731678695
react,angular,0.2536133839065531
docker,jenkins,0.25360106820524
docker,terraform,0.2523687380932941
javascript,angular,0.25223144156072386
angular,rest_api,0.249605844379586
pytorch,nlp,0.24757037340672167
azure,cicd,0.2430389582854787
llm,mcp,0.24229170681033518
snowflake,redshift,0.2417039719023582
scikit_learn,machine_learning,0.24164099073463682
ansible,jenkins,0.2405935611781058
terraform,helm,0.23932403358404136
langchain,embedding,0.237960846294231
mysql,mongodb,0.23764142378826913
docker,microservices,0.2330722275082513
pytorch,fine_tuning,0.23122010176424834
html_css,rest_api,0.23092484565176724
scikit_learn,nlp,0.22965063729481366
argocd,helm,0.22862366886440735
lambda,redshift,0.22847321724573846
postgres,mongodb,0.2284116397460344
nlp,llm,0.22717437111100294
graphql,rest_api,0.22650090796728395
pytorch,llm,0.22634232255664682
spring,kafka,0.22563012385526743
bigquery,redshift,0.2254913251959263
machine_learning,fine_tuning,0.22495322560501255
langgraph,openai_api,0.22489260994376464
kubernetes,ansible,0.2245036572037869
ansible,linux,0.2239168373777449
javascript,typescript,0.223825316603989
gcp,kubernetes,0.22309757350881196
sql_lang,snowflake,0.22258207936586588
kafka,microservices,0.22187049787003385
angular,dotnet,0.2184160566164304
openai_api,mcp,0.218195892024745
llm,claude_api,0.2170570982578347
cicd,microservices,0.214809820945446
kubernetes,microservices,0.2146488374218995
react,rest_api,0.21463828940757895
claude_api,claude_tool,0.21439129355892178
kubernetes,jenkins,0.2097517266833533
python,bash,0.20834955606700825
machine_learning,nlp,0.20813708071868503
serverless,dynamodb,0.20794544860176142
airflow,bigquery,0.20748756454687686
cicd,git,0.20739669041442657
sql_lang,dotnet,0.20700835197132902
machine_learning,rag,0.2064601336112985
aws,dynamodb,0.2061276474243214
airflow,redshift,0.2059968013951187
java,rest_api,0.20588355311788387
react,graphql,0.20396073148513633
agents_framework,embedding,0.20342046495485702
redis,kafka,0.20302821097077206
sql_lang,azure,0.20245925773744522
java,angular,0.20153071695630692
rest_api,cicd,0.2010241026517636
terraform,jenkins,0.2000092986086573
git,agile,0.1998108109005427
python,aws,0.19976864850195178
agents_framework,claude_tool,0.1995220636367275
java,junit,0.19911546978805678
kubernetes,kafka,0.19874237354082944
jenkins,git,0.19836000340010415
spark,snowflake,0.19815495626852264
bash,jenkins,0.19782311650111314
dbt,redshift,0.1966364773402114
rag,claude_api,0.1966060658777254
gcp,docker,0.196010100362951
kafka,cassandra,0.19578678928415102
java,kafka,0.19364989761725349
azure,docker,0.19350872768545482
sql_lang,spark,0.19285647841773673
terraform,argocd,0.19150775133119138
python,llm,0.19108260684013462
bash,docker,0.19004082024374058
bash,kubernetes,0.18976718687265504
kubernetes,argocd,0.18929643228761767
shell,linux,0.18919616063161548
sql_lang,databricks,0.18894169449680898
snowflake,bigquery,0.18821853458308704
python,machine_learning,0.18800686975384165
javascript,rest_api,0.18751935282085821
react,jest,0.18611653440354584
react,postgres,0.18598302658104646
dbt,bigquery,0.18491120094726882
angular,agile,0.18456854245400406
tensorflow,fine_tuning,0.1841595909487961
typescript,html_css,0.18410390405561064
azure,databricks,0.18385296296807946
typescript,graphql,0.1831066927638659
html_css,jest,0.1830762776249263
azure,kubernetes,0.18306989868828938
spring,mongodb,0.18279781147385682
javascript,nodejs,0.18211432602981886
rest_api,agile,0.1818964554084621
angular,microservices,0.18148988029998894
sql_lang,airflow,0.1813653961612963
fine_tuning,agents_framework,0.18127502993298764
tensorflow,llm,0.18100338205934047
scala,hadoop,0.1809520836604445
docker,ansible,0.18029466651608186
gcp,bigquery,0.1802324536624653
nlp,rag,0.1800824408343398
nextjs,nodejs,0.1796345641010115
rest_api,git,0.17952305780189678
java,agile,0.17927106429211936
openai_api,claude_tool,0.1792636384860658
databricks,airflow,0.17677415371847507
jenkins,junit,0.17615682975505398
openai_api,embedding,0.1761134938890571
llm,claude_tool,0.17509321014509896
dotnet,azure,0.1745207586443468
aws,microservices,0.17444243622999217
sql_lang,dbt,0.17394610630576005
typescript,jest,0.1737322831813365
fine_tuning,embedding,0.1735949254693002
docker,postgres,0.17200891487083844
gcp,terraform,0.17193702292899044
terraform,lambda,0.1716521827896845
spring,jenkins,0.17140687926213585
langchain,claude_api,0.1713062961118027
machine_learning,agents_framework,0.17089223149958274
jest,playwright,0.1707945096572852
redis,elasticsearch,0.1705860325119555
mongodb,microservices,0.17034151621885738
langchain,fine_tuning,0.16973468163732655
php,mysql,0.1693749749448757
javascript,vue,0.16926260166427934
claude_api,agents_framework,0.16849161446180863
pytorch,pandas,0.16805338914369025
mongodb,redis,0.1678043362402166
angular,nodejs,0.16761822960521194
cicd,agile,0.16728718821618163
aws,serverless,0.16728541318851695
aws,postgres,0.16630678364990695
python,pytorch,0.16601935416536984
bash,cicd,0.165178060480748
mongodb,cassandra,0.16403170483715565
aws,jenkins,0.1639448876111705
pytorch,numpy,0.16327809901343565
typescript,postgres,0.16244182992826098
tensorflow,pandas,0.1623478764856047
postgres,kafka,0.16223228061160022
python,rag,0.16222737122214714
rest_api,docker,0.161529718283919
fastapi,langchain,0.16073024951162784
azure,terraform,0.16061163597492423
java,scala,0.1604293780098096
c_sharp,sql_lang,0.15987420169074862
java,jenkins,0.159625288928616
mongodb,kafka,0.1594927533277631
python,terraform,0.15911307086970916
java,javascript,0.15805500611047285
javascript,c_sharp,0.15748851373144712
vue,html_css,0.15722864479359935
python,docker,0.15649300805285365
machine_learning,embedding,0.155231310528314
spark,redshift,0.15478463471390128
nodejs,graphql,0.15366366051154684
sql_lang,rest_api,0.15329921358099202
python,airflow,0.15270242988438337
ansible,helm,0.15197516786202736
docker,git,0.15175717622837642
bash,helm,0.15106046074561855
python,fastapi,0.15067866918860837
rest_api,postgres,0.15036590508439418
