tech,2024,2026,delta_pp,mult,trajectory
tensorflow,0.014154250657318143,0.03373205156429637,1.9577800906978229,2.3831746646973473,stable
spark,0.04596844872918492,0.06548274259435924,1.9514293865174317,1.4245149532919714,stable
mcp,0.0008326029798422437,0.0198869890658252,1.9054386085982957,23.88532055169111,stable
cursor_tool,4.3821209465381244e-05,0.01907976810743377,1.9035946897968388,435.4003082116387,stable
airflow,0.015293602103418054,0.03343851667033585,1.8144914566917796,2.1864382533440234,stable
snowflake,0.02607361963190184,0.04407915657640469,1.800553694450285,1.6905652992832858,stable
langgraph,0.0,0.017807783566938188,1.780778356693819,inf,stable
lambda,0.031244522348816826,0.048971404809080014,1.772688246026319,1.5673596882793912,stable
fastapi,0.0018843120070113936,0.01929991927790416,1.7415607270892766,10.242422277250533,stable
fine_tuning,0.0033304119193689747,0.018517159560676108,1.5186747641307132,5.560020804929326,stable
graphql,0.017747589833479405,0.03282698564125144,1.5079395807772031,1.849658795884834,stable
nextjs,0.006748466257668712,0.021819427117731955,1.5070960860063245,3.2332423819911895,stable
bash,0.0392638036809816,0.053692424353611705,1.4428620672630108,1.367478932756048,stable
claude_api,0.00026292725679228745,0.012622000440302341,1.2359073183510054,48.005675007949904,stable
playwright,0.001971954425942156,0.013942907463124678,1.1970953037182521,7.07060329574456,stable
spring,0.07440841367221736,0.08585895648345197,1.1450542811234614,1.1538877426103498,stable
redis,0.01866783523225241,0.030013942907463124,1.1346107675210715,1.607789148235466,stable
dbt,0.004688869412795793,0.015728578068051172,1.103970865525538,3.3544500141395117,stable
helm,0.009333917616126204,0.020351752647929357,1.1017835031803151,2.1804084292288635,stable
nlp,0.0075810692375109555,0.018248085907878967,1.0667016670368012,2.407059655594208,stable
bigquery,0.005477651183172656,0.016046574203175068,1.0568923020002412,2.92946258653164,stable
gemini_tool,4.3821209465381244e-05,0.010249260047454807,1.0205438837989425,233.8881142829187,stable
jenkins,0.08076248904469763,0.09057997602798366,0.9817486983286037,1.1215599853275027,stable
serverless,0.017090271691498685,0.026809520315060786,0.9719248623562101,1.568700650229967,stable
mongodb,0.029447852760736196,0.03835522614417455,0.8907373383438357,1.302479554479261,stable
kotlin,0.016038562664329535,0.024754776057337148,0.8716213393007612,1.5434535235749556,stable
dynamodb,0.01411042944785276,0.022748954281940265,0.8638524834087504,1.6122084991114187,stable
swift,0.012269938650306749,0.020865438712360265,0.8595500062053516,1.7005332550573615,stable
express,0.00915863277826468,0.016927178885056626,0.7768546106791946,1.8482211586458959,stable
scikit_learn,0.005127081507449605,0.012817690369609353,0.7690608862159748,2.4999973866195337,stable
pandas,0.006792287467134093,0.014407671045228835,0.7615383578094742,2.121180988723368,stable
grpc,0.0052585451358457495,0.012866612851936108,0.7608067716090359,2.446800877343183,stable
pinecone,0.00035056967572304995,0.007925442136934028,0.7574872461210979,22.607323695604315,stable
argocd,0.0024101665205959683,0.00944203908906338,0.7031872568467411,3.9175878547713876,stable
git,0.12633654688869414,0.13294684572295198,0.6610298834257844,1.052322934234396,stable
gpt,0.0011393514460999123,0.007142682419705976,0.6003330973606064,6.269077416065015,stable
cypress,0.005828220858895706,0.01169247327609403,0.5864252417198323,2.006182256845607,stable
chatgpt,0.00030674846625766873,0.0061153102908441575,0.5808561824586489,19.935911548151953,stable
codex_tool,4.3821209465381244e-05,0.005185783126635845,0.5141961917170464,118.33957094982999,stable
numpy,0.005346187554776512,0.010102492600474548,0.4756305045698036,1.8896629601871244,stable
tailwind,0.0017528483786152498,0.0065066901494581835,0.47538417708429337,3.7120667302658936,stable
jest,0.007975460122699387,0.012475232993322082,0.44997728706226947,1.5642022907011532,stable
pytest,0.002322524101665206,0.00660453511411169,0.4282011012446484,2.8436885151703537,stable
elasticsearch,0.01336546888694128,0.017538709914141044,0.41732410271997644,1.3122405253793397,stable
vue,0.01866783523225241,0.022602186834960007,0.3934351602707598,1.2107556421919892,stable
transformer_arch,0.0008764241893076249,0.004745480785695066,0.3869056596387441,5.414593576478071,stable
go_lang,0.02156003505696757,0.025366307086421565,0.3806272029453994,1.1765429425043499,stable
django,0.011831726555652936,0.014603360974535847,0.2771634418882911,1.2342544349589186,stable
huggingface,0.00043821209465381246,0.003033193904258702,0.259498180960489,6.921748489518358,stable
junit,0.01901840490797546,0.021501430982608056,0.24830260746325944,1.130559112956488,stable
chromadb,4.3821209465381244e-05,0.002519507839827793,0.2475686630362412,57.49516890487024,stable
flask,0.008194566170026292,0.010640639906068833,0.2446073736042541,1.2984994794464748,stable
objective_c,0.003067484662576687,0.005161321885472469,0.20938372228957816,1.6825909346640249,stable
jupyter,0.0020595968448729185,0.003522418727526235,0.14628218826533163,1.7102467098329506,stable
rails,0.007493426818580192,0.008806046818815586,0.13126200002353938,1.175169522838431,stable
ansible,0.044522348816827345,0.04581590469900443,0.12935558821770832,1.0290540799520482,stable
xgboost,0.0005696757230499561,0.0016878256402729874,0.11181499172230312,2.9627831623868905,stable
svelte,0.0010078878177037687,0.0018835155695800005,0.08756277518762318,1.8687750129485046,stable
keras,0.001796669588080631,0.002568430322154546,0.07717607340739152,1.4295507305260182,stable
elixir,0.0008326029798422437,0.0013942907463124678,0.05616877664702242,1.674616570044764,stable
deep_learning,0.00013146362839614373,0.0004892248232675326,0.03577611948713889,3.721370155655032,stable
dart,0.0009202453987730061,0.0012719845404955848,0.03517391417225787,1.3822232006718689,stable
selenium,0.020201577563540754,0.02052298133607299,0.032140377253223745,1.015909835334459,stable
haskell,0.00030674846625766873,0.0005870697879210391,0.02803213216633704,1.9138475086225875,stable
prompt_engineering,0.0,0.0002446124116337663,0.02446124116337663,inf,stable
tdd,0.01621384750219106,0.016266725373645458,0.005287787145439801,1.0032612784502415,stable
computer_vision,4.3821209465381244e-05,7.338372349012989e-05,0.0029562514024748647,1.6746165700447642,stable
c_lang,0.0,0.0,0.0,inf,stable
r_lang,0.0,0.0,0.0,inf,stable
vector_db,0.00013146362839614373,0.0,-0.013146362839614373,0.0,declining
solidity,0.0005258545135845749,0.0003913798586140261,-0.013447465497054882,0.7442740311310063,declining
github_actions,0.00017528483786152498,0.0,-0.017528483786152498,0.0,declining
redshift,0.01726555652936021,0.017073946332036887,-0.019161019732332266,0.988902170804776,stable
mysql,0.04268185801928133,0.042415792177295075,-0.026606584198625438,0.9937663013201988,stable
cassandra,0.015293602103418054,0.013722756292654289,-0.15708458107637646,0.897287388534014,stable
webpack,0.007887817703768623,0.0062131552554976635,-0.167466244827096,0.787690016280315,declining
kanban,0.010385626643295355,0.008439128201364937,-0.1946498441930417,0.8125776605702442,stable
shell,0.03624014022787029,0.03226437709449378,-0.39757631333765114,0.8902939362712793,stable
hadoop,0.02427695004382121,0.02003375651280546,-0.4243193531015748,0.8252171906538278,stable
nodejs,0.07808939526730937,0.07318803356082287,-0.4901361706486501,0.9372339651279338,stable
ruby,0.02497808939526731,0.01952007044837455,-0.5458018946892761,0.7814877326875566,declining
perl,0.019281332164767746,0.01364937256916416,-0.5631959595603586,0.707906095518923,declining
c_sharp,0.10521472392638037,0.09821188327095717,-0.7002840655423198,0.9334423891058903,stable
matlab,0.022042068361086766,0.014236442357085198,-0.7805626004001568,0.6458759733373444,declining
php,0.019456617002629274,0.010004647635821042,-0.9451969366808233,0.5142028356969283,declining
scala,0.038080631025416305,0.02693182652087767,-1.1148804504538634,0.7072316239429556,declining
angular,0.09163014899211218,0.07918103764585015,-1.2449111346262032,0.8641373883683885,stable
linux,0.14263803680981596,0.1267581517086177,-1.5879885101198254,0.8886700528389112,stable
jquery,0.026555652936021034,0.00870820185416208,-1.7847451081858954,0.32792271668643347,declining
scrum,0.06875547765118317,0.04850664122697586,-2.0248836424207313,0.7054949348627082,declining
sql_lang,0.2563102541630149,0.22783200019568992,-2.847825396732498,0.88889147622938,declining
html_css,0.09925503943908852,0.07042391330936132,-2.88311261297272,0.7095248131212474,declining
dotnet,0.08751095530236634,0.05858467258628703,-2.892628271607931,0.669455297155268,declining
javascript,0.17208588957055215,0.13837724126122158,-3.3708648309330567,0.8041173021596834,declining
agile,0.2985977212971078,0.2481837528436193,-5.041396845348853,0.8311642559277065,declining
c_plus_plus,0.10390008764241893,0.0,-10.390008764241893,0.0,declining
