skill,count,share_of_uids
object oriented design,61,0.0033675610025394724
ci/cd tools,61,0.0033675610025394724
infrastructure management,61,0.0033675610025394724
visualization,61,0.0033675610025394724
earned value management,60,0.0033123550844650546
model based systems engineering,60,0.0033123550844650546
parental leave,60,0.0033123550844650546
benefits,60,0.0033123550844650546
engineering management,60,0.0033123550844650546
data loading,60,0.0033123550844650546
routers,60,0.0033123550844650546
clearcase,59,0.003257149166390637
mlops,59,0.003257149166390637
enterprise environments,59,0.003257149166390637
penetration testing,59,0.003257149166390637
budgeting,59,0.003257149166390637
software verification,59,0.003257149166390637
metrics,59,0.003257149166390637
alerting,59,0.003257149166390637
cloud engineering,59,0.003257149166390637
accessibility,59,0.003257149166390637
atlassian tool suite,59,0.003257149166390637
teamcity,59,0.003257149166390637
test reports,59,0.003257149166390637
full stack,59,0.003257149166390637
dodaf,59,0.003257149166390637
data,59,0.003257149166390637
chemistry,59,0.003257149166390637
data privacy,59,0.003257149166390637
conflict resolution,58,0.0032019432483162196
appium,58,0.0032019432483162196
systems engineer,58,0.0032019432483162196
unit tests,58,0.0032019432483162196
computer information systems,58,0.0032019432483162196
load testing,58,0.0032019432483162196
equal employment opportunity,58,0.0032019432483162196
gurobi,58,0.0032019432483162196
application design,58,0.0032019432483162196
fmea,58,0.0032019432483162196
automation engineering,58,0.0032019432483162196
agile engineering practices,58,0.0032019432483162196
tcp,58,0.0032019432483162196
interface control documents,57,0.003146737330241802
firewall,57,0.003146737330241802
microsoft windows,57,0.003146737330241802
curiosity,57,0.003146737330241802
database development,57,0.003146737330241802
gitops,57,0.003146737330241802
software installation,57,0.003146737330241802
user acceptance testing,57,0.003146737330241802
efficiency,57,0.003146737330241802
iac,57,0.003146737330241802
chemical engineering,57,0.003146737330241802
multithreaded programming,57,0.003146737330241802
strategic planning,57,0.003146737330241802
system performance,57,0.003146737330241802
embedded c,56,0.0030915314121673842
pig,56,0.0030915314121673842
engineering principles,56,0.0030915314121673842
architecture design,56,0.0030915314121673842
es6,56,0.0030915314121673842
model based systems engineering (mbse),56,0.0030915314121673842
excellent communication skills,56,0.0030915314121673842
itsm,56,0.0030915314121673842
code optimization,56,0.0030915314121673842
ssl,56,0.0030915314121673842
new technologies,56,0.0030915314121673842
cloud environments,56,0.0030915314121673842
cryptography,56,0.0030915314121673842
profiling,56,0.0030915314121673842
sales,56,0.0030915314121673842
certification,55,0.003036325494092967
configuration management tools,55,0.003036325494092967
engineering degree,55,0.003036325494092967
embedded software engineering,55,0.003036325494092967
applications,55,0.003036325494092967
microsoft 365,55,0.003036325494092967
radar systems,55,0.003036325494092967
test equipment,55,0.003036325494092967
vpc,55,0.003036325494092967
application architecture,55,0.003036325494092967
karma,55,0.003036325494092967
open source,55,0.003036325494092967
professional development,54,0.0029811195760185492
database technologies,54,0.0029811195760185492
ada,54,0.0029811195760185492
sns,54,0.0029811195760185492
cloud migration,54,0.0029811195760185492
sql databases,54,0.0029811195760185492
lan,54,0.0029811195760185492
clean code,54,0.0029811195760185492
team building,54,0.0029811195760185492
ios development,54,0.0029811195760185492
wordpress,54,0.0029811195760185492
atlassian tools,54,0.0029811195760185492
interface definition studies,54,0.0029811195760185492
ant,54,0.0029811195760185492
industry standards,54,0.0029811195760185492
telemetry,54,0.0029811195760185492
virtualization technologies,54,0.0029811195760185492
english,54,0.0029811195760185492
controls,53,0.0029259136579441315
agile development practices,53,0.0029259136579441315
logstash,53,0.0029259136579441315
quality engineering,53,0.0029259136579441315
medical devices,53,0.0029259136579441315
linux/unix,53,0.0029259136579441315
switches,53,0.0029259136579441315
computer architecture,53,0.0029259136579441315
strategic thinking,53,0.0029259136579441315
vendor management,53,0.0029259136579441315
dashboards,53,0.0029259136579441315
python scripting,53,0.0029259136579441315
system documentation,53,0.0029259136579441315
vbscript,53,0.0029259136579441315
employee assistance program,52,0.0028707077398697142
backend,52,0.0028707077398697142
interfaces,52,0.0028707077398697142
effective communication,52,0.0028707077398697142
knowledge sharing,52,0.0028707077398697142
algorithm design,52,0.0028707077398697142
dod top secret clearance,52,0.0028707077398697142
