uid,source,period,title,company_name,swe_confidence,swe_classification_tier,desc_excerpt,rn,review_family
linkedin_li-4389205527,scraped,2026-03,Quality Assurance Engineer,SIMARN Solutions,0.9,title_lookup_llm,"**Job Title:** 
 API Quality Assurance Engineer
 

**Job Type:** 
 Full-time
 

**Seniority Level:** 
 Mid-Senior level
 

**Experience:** 
 5\+ years in QA, 3\+ years in API testing \& automation
 

**Education:** 
 B.T",4,boundary_family
linkedin_li-4389415310,scraped,2026-03,Senior Developer,ICE,0.9,title_lookup_llm,"**Overview**
**Job Purpose**
 As a Senior Developer at Intercontinental Exchange, you will work at the forefront of global finance with state-of-the-art technology that directly influences essential markets worldwide.
  ",10,other_llm_routed
linkedin_li-4389811065,scraped,2026-03,Test Engineer,Acuity,0.9,title_lookup_llm,"QSC is creating exceptional, people-centric experiences with the perfect balance of technology and creativity. Q-SYS, our innovative full stack audio, video and control platform, unifies data, devices and a cloud-first a",11,boundary_family
linkedin_li-4391206999,scraped,2026-03,QA Automation Engineer,Cognizant,0.9,title_lookup_llm,"**About The Role**
 As a
 **QA Automation Engineer** 
 , you will make an impact by designing, executing, and leading automated and integration testing strategies for complex, multi‑vendor applications. You will be a val",6,boundary_family
linkedin_li-4391605248,scraped,2026-03,Senior DevSecOps Engineer,Jobs via Dice,0.9,title_lookup_llm,"Job ID: 2610699-OTHLOC-969
   

  

**Location:** 
 San Diego, CA, US
   

  

**Date Posted:** 
 2026-03-26
   

  

**Category:** 
 Software
   

  

**Subcategory:** 
 DevSecOps
   

  

**Schedule:** 
 Full-Time
   
",13,other_llm_routed
linkedin_li-4391672729,scraped,2026-03,Senior Reliability Engineer,Jobs via Dice,0.9,title_lookup_llm,"**Job Description**
 ""Ahead of Ready""
   

  

 About Lockheed Martin Space:
   

  

 Space is a critical domain, connecting our technologies, our security, and our humanity. While others view space as a destination, we",8,other_llm_routed
linkedin_li-4392117149,scraped,2026-03,Lead QA Engineer,Jobs via Dice,0.9,title_lookup_llm,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Merican Inc, is seeking the following. Apply via Dice today!
   

  

**Job Title: Lead QA Engineer
   

  

 Location:",1,boundary_family
linkedin_li-4373488084,scraped,2026-04,Senior Systems Test Engineer,"BAE Systems, Inc.",0.9,title_lookup_llm,"**Job Description**
 See what you’re missing. Our employees work on the world’s most advanced electronics – from detecting threats for F-35 pilots to illuminating the night for soldiers. Spanning air, land, sea, and spac",3,boundary_family
linkedin_li-4394246093,scraped,2026-04,QA Automation Engineer,Jobs via Dice,0.9,title_lookup_llm,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Envision Technology Solutions, is seeking the following. Apply via Dice today!
   

  

**Job Title: QA Automation Engi",2,boundary_family
linkedin_li-4394708795,scraped,2026-04,Quality Assurance Engineer,MSR Technology Group,0.9,title_lookup_llm,"**Selenium Automation Engineer/Tester** 

**Jersey City NJ//Dallas TX//Tampa FL** 

**Full-time** 

**Roles \& Responsibilities** 

* Core Java, Selenium Automation, experience in designing and building Selenium framewor",4,boundary_family
linkedin_li-4394729820,scraped,2026-04,Mobile QA Engineer,Jobs via Dice,0.9,title_lookup_llm,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Laiba Technologies LLC, is seeking the following. Apply via Dice today!
   

  

**Job Title: Mobile QA Engineer**
**Lo",12,boundary_family
linkedin_li-4394979151,scraped,2026-04,"DevSecOps Engineer, Senior",Chenega MIOS SBU,0.9,title_lookup_llm,"**Summary**
**DevSecOps Engineer, Senior**
**Stafford, VA**
 Are you ready to enhance your skills and build your career in a rapidly evolving business climate? Are you looking for a career where professional development ",1,other_llm_routed
linkedin_li-4395274979,scraped,2026-04,AI Engineering Intern,BillionToOne,0.9,title_lookup_llm,"**Ready to redefine what's possible in molecular diagnostics?**
 Join a team of brilliant, passionate innovators determined to transform healthcare. At BillionToOne, we've built a category-defining, publicly traded compa",9,other_llm_routed
linkedin_li-4397196108,scraped,2026-04,Test Engineer,Ultra Electronics Group,0.9,title_lookup_llm,"Company: Ultra Intelligence \& Communications
   

  

 Mission Solutions
   

  

**Powering Decision**
 Join the team redefining defense technology. From engineering systems that save lives to leading programs that cha",10,boundary_family
linkedin_li-4397328220,scraped,2026-04,Principal Software Test Engineer,EPITEC,0.9,title_lookup_llm,"Principal Software Test Engineer (Medical Devices)
   

  

**Location:** 
 Plymouth, MN (Onsite)
   

  

**Contract Duration:** 
 6 months, possible extension
   

  

**Pay Rate:** 
 $75/hr
   

  

 **Must be able to",6,boundary_family
linkedin_li-4397676316,scraped,2026-04,DevSecOps Engineer,Jobs via Dice,0.9,title_lookup_llm,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Apex Systems, is seeking the following. Apply via Dice today!
   

  

**Job#: 3029760**
**Job Description:**
**DevSecO",5,other_llm_routed
linkedin_li-4398201940,scraped,2026-04,QA Engineer,Deckers Brands,0.9,title_lookup_llm,"At Deckers Brands, Together, Every Step is a promise kept that every employee can bring their authentic self, is valued and supported, as a whole person, at work and beyond. Together, Every Step is how we continue to del",8,boundary_family
linkedin_li-4398830346,scraped,2026-04,Angular Developer,Mastech Digital,0.9,title_lookup_llm,"* Strong problem-solving skills within complex, distributed deployments
* 6\+ years of hands-on development experience with Angular, NodeJS, and Java microservices
* Good understanding of cloud-computing and software dev",7,other_llm_routed
linkedin_li-4398951692,scraped,2026-04,Developer,Akkodis Group Nordics,0.9,title_lookup_llm,"Akkodis is seeking a
 **Developer** 
 for a
 **Contract** 
 with a client in
 **Raleigh, NC.** 
 The ideal candidate is highly skilled in AWS, Terraform, GitLab, and automation engineering, with strong expertise in build",11,other_llm_routed
