uid,cluster_id,cluster_name,mgmt_density_v1_rebuilt,mgmt_density_t11_original,orch_density,strat_density,mentor_binary,ai_binary,period,seniority_final
arshkon_3886824450,1,Tech-orchestration (non-AI),0.0,0.0,4.9079754601226995,0.0,0,0,2024,mid-senior
arshkon_3886824500,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886824506,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886824626,1,Tech-orchestration (non-AI),0.0,0.0,1.1890606420927468,0.0,0,0,2024,mid-senior
arshkon_3886825021,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886825474,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886826295,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886826307,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886826313,4,Strategic-language (stakeholder/roadmap),0.0,0.0,2.202643171806167,1.1013215859030836,0,0,2024,mid-senior
arshkon_3886826322,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886826327,1,Tech-orchestration (non-AI),0.0,0.0,2.6246719160104988,0.0,0,0,2024,mid-senior
arshkon_3886826340,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886826346,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,3.189792663476874,0,0,2024,mid-senior
arshkon_3886827120,4,Strategic-language (stakeholder/roadmap),0.0,0.0,1.2987012987012987,2.5974025974025974,0,0,2024,mid-senior
arshkon_3886837532,2,People-management (mentor-binary + mgmt density),0.7037297677691766,0.7037297677691766,0.0,0.7037297677691766,1,0,2024,mid-senior
arshkon_3886845515,3,Low-profile generic,0.0,0.731528895391368,0.731528895391368,0.0,0,0,2024,mid-senior
arshkon_3886847226,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886848110,3,Low-profile generic,0.0,0.49529470034670625,0.49529470034670625,0.0,0,0,2024,mid-senior
arshkon_3886852887,3,Low-profile generic,0.0,0.552791597567717,0.0,0.0,0,0,2024,mid-senior
arshkon_3886854491,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886858353,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886866123,1,Tech-orchestration (non-AI),0.0,0.0,2.2075055187637966,0.0,0,0,2024,mid-senior
arshkon_3886872406,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,1.597444089456869,0,0,2024,mid-senior
arshkon_3886880699,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886880758,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886881050,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886881338,1,Tech-orchestration (non-AI),0.0,0.0,4.6082949308755765,0.9216589861751152,0,0,2024,mid-senior
arshkon_3886882363,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886882430,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886882436,3,Low-profile generic,0.0,0.5941770647653001,0.5941770647653001,0.0,0,0,2024,mid-senior
arshkon_3886883057,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886883337,0,AI-oriented (low-orch),0.0,0.0,0.7757951900698216,1.5515903801396431,0,1,2024,mid-senior
arshkon_3886884056,1,Tech-orchestration (non-AI),0.0,0.0,1.3736263736263736,0.0,0,0,2024,mid-senior
arshkon_3886885021,1,Tech-orchestration (non-AI),0.0,0.0,1.06951871657754,0.53475935828877,0,0,2024,mid-senior
arshkon_3886892330,1,Tech-orchestration (non-AI),0.0,0.0,3.089598352214212,0.0,0,0,2024,mid-senior
arshkon_3886892712,3,Low-profile generic,0.0,1.0389610389610389,0.0,0.0,0,0,2024,mid-senior
arshkon_3886894401,4,Strategic-language (stakeholder/roadmap),0.0,0.8688097306689835,0.0,0.8688097306689835,0,0,2024,mid-senior
arshkon_3886896689,4,Strategic-language (stakeholder/roadmap),0.0,0.44662795891022783,0.44662795891022783,0.44662795891022783,0,0,2024,mid-senior
arshkon_3886897818,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3886897827,4,Strategic-language (stakeholder/roadmap),0.0,0.6734006734006733,0.6734006734006733,0.6734006734006733,0,0,2024,mid-senior
arshkon_3886898093,2,People-management (mentor-binary + mgmt density),1.321003963011889,1.321003963011889,1.321003963011889,0.0,1,0,2024,mid-senior
arshkon_3886898526,4,Strategic-language (stakeholder/roadmap),0.0,1.154068090017311,1.7311021350259663,0.5770340450086555,0,0,2024,mid-senior
arshkon_3887100114,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3887101348,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3887101757,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3887101881,1,Tech-orchestration (non-AI),0.0,0.0,1.4836795252225519,0.0,0,0,2024,mid-senior
arshkon_3887102462,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3887102746,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3887104313,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3887106363,1,Tech-orchestration (non-AI),0.0,0.0,1.0877447425670776,0.36258158085569253,0,0,2024,mid-senior
arshkon_3887433387,3,Low-profile generic,0.0,0.0,0.7861635220125786,0.0,0,0,2024,mid-senior
arshkon_3887473383,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3887475434,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901165765,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901166848,3,Low-profile generic,0.0,1.497005988023952,0.0,0.0,0,0,2024,mid-senior
arshkon_3901167352,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901168215,3,Low-profile generic,0.0,0.7524454477050414,0.7524454477050414,0.0,0,0,2024,mid-senior
arshkon_3901169582,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901170140,1,Tech-orchestration (non-AI),0.0,0.0,3.03951367781155,0.0,0,0,2024,mid-senior
arshkon_3901171073,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.8051529790660226,2.4154589371980677,0,0,2024,mid-senior
arshkon_3901174559,3,Low-profile generic,0.0,0.0,0.0,0.37664783427495296,0,0,2024,mid-senior
arshkon_3901180393,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901340836,1,Tech-orchestration (non-AI),0.0,0.0,4.316546762589929,0.0,0,0,2024,mid-senior
arshkon_3901340855,1,Tech-orchestration (non-AI),0.0,0.9514747859181732,0.9514747859181732,0.0,0,0,2024,mid-senior
arshkon_3901341734,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901341741,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.7722007722007722,0.7722007722007722,0,0,2024,mid-senior
arshkon_3901341760,1,Tech-orchestration (non-AI),0.0,0.0,2.05620287868403,0.0,0,0,2024,mid-senior
arshkon_3901341778,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901342950,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901343672,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901344691,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901345457,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901345527,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901345847,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,1.2626262626262625,0,0,2024,mid-senior
arshkon_3901346484,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901346524,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901346537,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,0.8116883116883117,0,0,2024,mid-senior
arshkon_3901347326,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901347836,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901347912,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901348547,1,Tech-orchestration (non-AI),0.0,0.0,4.106776180698152,0.0,0,0,2024,mid-senior
arshkon_3901349132,3,Low-profile generic,0.0,1.8656716417910446,0.0,0.0,0,0,2024,mid-senior
arshkon_3901349252,1,Tech-orchestration (non-AI),0.0,0.0,0.9337068160597572,0.0,0,0,2024,mid-senior
arshkon_3901349539,1,Tech-orchestration (non-AI),0.0,1.3774104683195594,1.3774104683195594,0.0,0,0,2024,mid-senior
arshkon_3901350013,3,Low-profile generic,0.0,1.2578616352201257,0.0,0.0,0,0,2024,mid-senior
arshkon_3901350019,4,Strategic-language (stakeholder/roadmap),0.0,0.7320644216691068,0.0,0.7320644216691068,0,0,2024,mid-senior
arshkon_3901350061,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901350104,1,Tech-orchestration (non-AI),0.0,0.0,2.074688796680498,0.0,0,0,2024,mid-senior
arshkon_3901350551,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901350569,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901350579,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,1.1389521640091116,0,0,2024,mid-senior
arshkon_3901350598,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901351244,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901351524,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.724112961622013,0.724112961622013,0,0,2024,mid-senior
arshkon_3901351622,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901351998,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901352240,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901352383,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901352622,1,Tech-orchestration (non-AI),0.0,0.0,4.492362982929021,0.0,0,0,2024,mid-senior
arshkon_3901352664,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901352858,4,Strategic-language (stakeholder/roadmap),0.0,0.0,2.074688796680498,2.074688796680498,0,0,2024,mid-senior
arshkon_3901353172,1,Tech-orchestration (non-AI),0.0,0.0,1.76678445229682,0.0,0,0,2024,mid-senior
arshkon_3901353392,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901353652,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901353829,1,Tech-orchestration (non-AI),0.0,0.0,2.08768267223382,0.0,0,0,2024,mid-senior
arshkon_3901353889,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901353948,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901354435,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.7363770250368188,0.7363770250368188,0,0,2024,mid-senior
arshkon_3901354689,2,People-management (mentor-binary + mgmt density),0.7716049382716049,0.7716049382716049,0.0,0.7716049382716049,1,0,2024,mid-senior
arshkon_3901354868,2,People-management (mentor-binary + mgmt density),1.0660980810234542,1.0660980810234542,0.0,0.0,1,0,2024,mid-senior
arshkon_3901354933,1,Tech-orchestration (non-AI),0.0,0.0,0.8733624454148472,0.0,0,0,2024,mid-senior
arshkon_3901355186,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901355642,1,Tech-orchestration (non-AI),0.0,0.0,2.0833333333333335,0.0,0,0,2024,mid-senior
arshkon_3901355650,1,Tech-orchestration (non-AI),0.0,0.0,3.243243243243243,0.0,0,0,2024,mid-senior
arshkon_3901355861,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901356749,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901357055,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901357142,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
arshkon_3901358612,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,4.142502071251036,0,0,2024,mid-senior
arshkon_3901360081,1,Tech-orchestration (non-AI),0.0,0.0,0.9057971014492753,0.0,0,0,2024,mid-senior
asaniczka_c01f6ca12e15eee7,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,1.0559662090813096,0,0,2024,mid-senior
asaniczka_463df19682d4c084,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_c2696707f7792ade,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_8c4ab52353a302b8,2,People-management (mentor-binary + mgmt density),0.4458314757021846,0.4458314757021846,0.4458314757021846,0.0,1,0,2024,mid-senior
asaniczka_c4745f439e247637,3,Low-profile generic,0.0,1.547987616099071,0.0,0.0,0,0,2024,mid-senior
asaniczka_221f899c66538600,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,1.4858841010401187,0,0,2024,mid-senior
asaniczka_5ff07ad7f388c88c,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_d3f951644db2111c,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_22fb9c44429550ae,1,Tech-orchestration (non-AI),0.0,0.0,1.6233766233766234,0.0,0,0,2024,mid-senior
asaniczka_28c822f9c46fbdd9,3,Low-profile generic,0.0,0.0,0.75642965204236,0.0,0,0,2024,mid-senior
asaniczka_d628ca378e2007a1,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_aae9a1ed99d5749e,1,Tech-orchestration (non-AI),0.0,0.0,2.2539444027047333,0.0,0,0,2024,mid-senior
asaniczka_28d2b56d4b942cd2,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_7cdce77e071ae1dc,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_bf04c5dbee15ec22,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_ce6f0031c461eab0,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_b210a1673831398a,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_52eb6bb751630c01,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_f99da09c15a8d655,3,Low-profile generic,0.0,0.526592943654555,0.0,0.0,0,0,2024,mid-senior
asaniczka_e8b81d60d02e9df9,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_31cc147b701b43d6,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_135ac6329e00de98,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_506856092f862108,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_92c2724665667768,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_05ecbf822fbb55cf,0,AI-oriented (low-orch),0.0,0.0,0.5844535359438925,0.0,0,1,2024,mid-senior
asaniczka_510a781f024019f3,1,Tech-orchestration (non-AI),0.0,0.0,2.5773195876288657,0.0,0,0,2024,mid-senior
asaniczka_1b74f826f577766a,2,People-management (mentor-binary + mgmt density),0.4930966469428008,0.4930966469428008,0.0,0.0,1,0,2024,mid-senior
asaniczka_161428b938722d2c,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_4d130ffe8d5089db,3,Low-profile generic,0.0,0.0,0.7479431563201197,0.0,0,0,2024,mid-senior
asaniczka_5bf2636290b16c27,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.8532423208191127,0.8532423208191127,0,0,2024,mid-senior
asaniczka_c9a2aa58ca69f167,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_d5f71d9e539b8f4e,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_348d5b5041a036bf,1,Tech-orchestration (non-AI),0.0,0.0,1.923076923076923,0.0,0,0,2024,mid-senior
asaniczka_90c2deb654b35702,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,0.7423904974016333,0,0,2024,mid-senior
asaniczka_fcedf407cb43407b,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.6357279084551812,1.2714558169103625,0,0,2024,mid-senior
asaniczka_356c1e8fcfbd7008,2,People-management (mentor-binary + mgmt density),0.35174111853675694,0.35174111853675694,0.0,0.0,1,0,2024,mid-senior
asaniczka_e94ea4768319568f,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_029346e8ddb98c66,4,Strategic-language (stakeholder/roadmap),0.0,1.4598540145985401,0.0,1.4598540145985401,0,0,2024,mid-senior
asaniczka_176431ad1a6122f2,1,Tech-orchestration (non-AI),0.0,0.0,1.5625,0.0,0,0,2024,mid-senior
asaniczka_dd2171ef2f4c14b3,1,Tech-orchestration (non-AI),0.0,0.0,2.3510971786833856,0.7836990595611285,0,0,2024,mid-senior
asaniczka_af3e7742b00a0113,3,Low-profile generic,0.0,0.0,0.6119951040391677,0.0,0,0,2024,mid-senior
asaniczka_ee4d6fc835a0ada7,4,Strategic-language (stakeholder/roadmap),0.0,0.0,2.2075055187637966,2.2075055187637966,0,0,2024,mid-senior
asaniczka_15e881badfe95345,3,Low-profile generic,0.0,0.0,0.5422993492407809,0.0,0,0,2024,mid-senior
asaniczka_3f8f91d87691a645,4,Strategic-language (stakeholder/roadmap),0.0,0.8756567425569177,0.0,0.8756567425569177,0,0,2024,mid-senior
asaniczka_226276999a063afc,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_a918fa0ca7290c49,2,People-management (mentor-binary + mgmt density),0.9970089730807579,0.9970089730807579,0.0,0.9970089730807579,1,0,2024,mid-senior
asaniczka_e0fec4a85e8f0a7a,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_2b5b89eb9d330540,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_e6db53199aa3abb0,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_c65643547a1497a5,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,1.1383039271485487,0,0,2024,mid-senior
asaniczka_b68b59d37c7f7f5a,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.5924170616113744,0.5924170616113744,0,0,2024,mid-senior
asaniczka_835bee3e45c5f408,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_76b8968c79354088,3,Low-profile generic,0.0,0.0,0.5178663904712584,0.0,0,0,2024,mid-senior
asaniczka_8c607aa2430ec668,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_d32e406dc9d71ff8,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_1347c626c9573049,3,Low-profile generic,0.0,1.3623978201634879,0.0,0.0,0,0,2024,mid-senior
asaniczka_631c5b8e2af28bdd,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,0.5865102639296187,0,0,2024,director
asaniczka_c2a6d69fdee6c9a0,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_a43f9bbecd155d68,3,Low-profile generic,0.0,0.0,0.0,0.5807200929152149,0,0,2024,mid-senior
asaniczka_8e1d65fa4531f5f6,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_c9865e754e2cd8eb,1,Tech-orchestration (non-AI),0.0,0.0,1.6025641025641026,0.0,0,0,2024,mid-senior
asaniczka_8d8a4b0330d965a8,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,0.7704160246533127,0,0,2024,director
asaniczka_c9f0d066a901ec3c,4,Strategic-language (stakeholder/roadmap),0.0,0.0,1.6233766233766234,1.6233766233766234,0,0,2024,mid-senior
asaniczka_de697f816a970fe7,4,Strategic-language (stakeholder/roadmap),0.0,0.0,1.002004008016032,2.004008016032064,0,0,2024,mid-senior
asaniczka_1fe0309a8d1ee44a,1,Tech-orchestration (non-AI),0.0,0.0,1.2121212121212122,0.0,0,0,2024,mid-senior
asaniczka_093065c2d00bf442,2,People-management (mentor-binary + mgmt density),0.8688097306689835,1.737619461337967,0.0,1.737619461337967,1,0,2024,mid-senior
asaniczka_4564352f70cce420,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_7bd224fa4ca5eabc,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,1.0427528675703859,0,0,2024,mid-senior
asaniczka_fbf8d924fe847206,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_c88cd5af1b001f17,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_2419581d48fa150a,4,Strategic-language (stakeholder/roadmap),0.0,0.0,1.7985611510791366,1.7985611510791366,0,0,2024,mid-senior
asaniczka_9ba243d4f958d550,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.6747638326585695,1.349527665317139,0,0,2024,mid-senior
asaniczka_5e07302d370f5d2f,4,Strategic-language (stakeholder/roadmap),0.0,0.0,1.0626992561105209,1.0626992561105209,0,0,2024,mid-senior
asaniczka_83d85d1871a55b5a,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_f0d284e9d2dd2b66,3,Low-profile generic,0.0,0.7674597083653109,0.0,0.0,0,0,2024,mid-senior
asaniczka_290b9ba724adef3b,1,Tech-orchestration (non-AI),0.0,0.0,1.053740779768177,0.0,0,0,2024,mid-senior
asaniczka_fbd99997dfee12b7,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,1.2150668286755772,0,0,2024,mid-senior
asaniczka_dfbfbe5c8411f8b7,3,Low-profile generic,0.0,0.0,0.43252595155709345,0.43252595155709345,0,0,2024,mid-senior
asaniczka_1af847838890edb3,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_3b3a79fa73935073,3,Low-profile generic,0.0,0.6329113924050632,0.6329113924050632,0.0,0,0,2024,mid-senior
asaniczka_3c75cf271948d4bf,3,Low-profile generic,0.0,0.0,0.0,0.4782400765184122,0,0,2024,mid-senior
asaniczka_2a2f4db0a1eaaa05,4,Strategic-language (stakeholder/roadmap),0.0,0.0,0.0,0.6997900629811057,0,0,2024,mid-senior
asaniczka_47125f55cea1ec7c,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_e19b8b65e381894b,1,Tech-orchestration (non-AI),0.0,0.0,3.329633740288568,0.0,0,0,2024,mid-senior
asaniczka_02f0f2da21842772,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_8412ce67595452e4,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_77cecc5d416710a4,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_46a4df7c073f6ae1,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_b63f63c7e301b37e,3,Low-profile generic,0.0,0.0,0.6273525721455457,0.0,0,0,2024,mid-senior
asaniczka_04c79646574bd2ab,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_c3dc97ba0ddd37b4,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_5514cc1fd278e15d,3,Low-profile generic,0.0,0.0,0.0,0.4568296025582458,0,0,2024,mid-senior
asaniczka_272f4ab64b470927,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
asaniczka_e73983dd9bfcaaa8,1,Tech-orchestration (non-AI),0.0,0.0,3.3936651583710407,0.0,0,0,2024,mid-senior
asaniczka_452773c33aa93559,3,Low-profile generic,0.0,0.0,0.731528895391368,0.0,0,0,2024,mid-senior
asaniczka_d16edaedb992c5bc,3,Low-profile generic,0.0,0.0,0.0,0.0,0,0,2024,mid-senior
