title_key,definition,side,definition_label,arshkon_n,arshkon_denominator,arshkon_share,scraped_2026_n,scraped_2026_denominator,scraped_2026_share,delta_scraped_minus_arshkon,title_display
software engineer,S4,senior,yoe_extracted >= 5,33,98,0.336734693877551,351,888,0.3952702702702703,0.05853557639271928,Software Engineer
data engineer,J1,junior,seniority_final = entry,0,9,0.0,4,22,0.18181818181818182,0.18181818181818182,Data Engineer
data engineer,J2,junior,seniority_final in entry/associate,0,9,0.0,4,22,0.18181818181818182,0.18181818181818182,Data Engineer
data engineer,J3,junior,yoe_extracted <= 2,8,57,0.14035087719298245,76,417,0.18225419664268586,0.04190331944970341,Data Engineer
data engineer,J4,junior,yoe_extracted <= 3,28,57,0.49122807017543857,169,417,0.4052757793764988,-0.08595229079893979,Data Engineer
data engineer,S1,senior,seniority_final in mid-senior/director,9,9,1.0,18,22,0.8181818181818182,-0.18181818181818177,Data Engineer
data engineer,S2,senior,seniority_final = director,0,9,0.0,1,22,0.045454545454545456,0.045454545454545456,Data Engineer
data engineer,S3,senior,raw title senior regex,0,89,0.0,0,693,0.0,0.0,Data Engineer
data engineer,S4,senior,yoe_extracted >= 5,24,57,0.42105263157894735,206,417,0.4940047961630695,0.07295216458412218,Data Engineer
full stack engineer,J1,junior,seniority_final = entry,0,7,0.0,1,19,0.05263157894736842,0.05263157894736842,Full Stack Engineer
full stack engineer,J2,junior,seniority_final in entry/associate,0,7,0.0,1,19,0.05263157894736842,0.05263157894736842,Full Stack Engineer
full stack engineer,J3,junior,yoe_extracted <= 2,2,33,0.06060606060606061,29,191,0.1518324607329843,0.09122640012692368,Full Stack Engineer
full stack engineer,J4,junior,yoe_extracted <= 3,12,33,0.36363636363636365,62,191,0.32460732984293195,-0.0390290337934317,Full Stack Engineer
full stack engineer,S1,senior,seniority_final in mid-senior/director,7,7,1.0,18,19,0.9473684210526315,-0.052631578947368474,Full Stack Engineer
full stack engineer,S2,senior,seniority_final = director,0,7,0.0,3,19,0.15789473684210525,0.15789473684210525,Full Stack Engineer
full stack engineer,S3,senior,raw title senior regex,0,59,0.0,0,326,0.0,0.0,Full Stack Engineer
full stack engineer,S4,senior,yoe_extracted >= 5,17,33,0.5151515151515151,107,191,0.5602094240837696,0.045057908932254476,Full Stack Engineer
devops engineer,J1,junior,seniority_final = entry,0,5,0.0,1,12,0.08333333333333333,0.08333333333333333,DevOps Engineer
devops engineer,J2,junior,seniority_final in entry/associate,0,5,0.0,1,12,0.08333333333333333,0.08333333333333333,DevOps Engineer
devops engineer,J3,junior,yoe_extracted <= 2,0,24,0.0,39,280,0.1392857142857143,0.1392857142857143,DevOps Engineer
devops engineer,J4,junior,yoe_extracted <= 3,5,24,0.20833333333333334,107,280,0.3821428571428571,0.17380952380952377,DevOps Engineer
devops engineer,S1,senior,seniority_final in mid-senior/director,5,5,1.0,11,12,0.9166666666666666,-0.08333333333333337,DevOps Engineer
devops engineer,S2,senior,seniority_final = director,0,5,0.0,0,12,0.0,0.0,DevOps Engineer
devops engineer,S3,senior,raw title senior regex,0,58,0.0,0,434,0.0,0.0,DevOps Engineer
devops engineer,S4,senior,yoe_extracted >= 5,17,24,0.7083333333333334,144,280,0.5142857142857142,-0.19404761904761914,DevOps Engineer
system engineer,J1,junior,seniority_final = entry,0,4,0.0,0,3,0.0,0.0,System Engineer
system engineer,J2,junior,seniority_final in entry/associate,1,4,0.25,0,3,0.0,-0.25,System Engineer
system engineer,J3,junior,yoe_extracted <= 2,6,28,0.21428571428571427,12,71,0.16901408450704225,-0.04527162977867202,System Engineer
system engineer,J4,junior,yoe_extracted <= 3,11,28,0.39285714285714285,25,71,0.352112676056338,-0.040744466800804846,System Engineer
system engineer,S1,senior,seniority_final in mid-senior/director,3,4,0.75,3,3,1.0,0.25,System Engineer
system engineer,S2,senior,seniority_final = director,1,4,0.25,0,3,0.0,-0.25,System Engineer
system engineer,S3,senior,raw title senior regex,0,43,0.0,0,102,0.0,0.0,System Engineer
system engineer,S4,senior,yoe_extracted >= 5,14,28,0.5,41,71,0.5774647887323944,0.07746478873239437,System Engineer
senior data engineer,J1,junior,seniority_final = entry,0,42,0.0,0,392,0.0,0.0,Senior Data Engineer
senior data engineer,J2,junior,seniority_final in entry/associate,0,42,0.0,0,392,0.0,0.0,Senior Data Engineer
senior data engineer,J3,junior,yoe_extracted <= 2,3,26,0.11538461538461539,4,282,0.014184397163120567,-0.10120021822149483,Senior Data Engineer
senior data engineer,J4,junior,yoe_extracted <= 3,6,26,0.23076923076923078,37,282,0.13120567375886524,-0.09956355701036554,Senior Data Engineer
senior data engineer,S1,senior,seniority_final in mid-senior/director,42,42,1.0,392,392,1.0,0.0,Senior Data Engineer
senior data engineer,S2,senior,seniority_final = director,0,42,0.0,0,392,0.0,0.0,Senior Data Engineer
senior data engineer,S3,senior,raw title senior regex,42,42,1.0,392,392,1.0,0.0,Senior Data Engineer
senior data engineer,S4,senior,yoe_extracted >= 5,14,26,0.5384615384615384,221,282,0.7836879432624113,0.24522640480087288,Senior Data Engineer
java developer,J1,junior,seniority_final = entry,1,5,0.2,0,5,0.0,-0.2,Java Developer
java developer,J2,junior,seniority_final in entry/associate,1,5,0.2,0,5,0.0,-0.2,Java Developer
java developer,J3,junior,yoe_extracted <= 2,3,24,0.125,14,92,0.15217391304347827,0.02717391304347827,Java Developer
java developer,J4,junior,yoe_extracted <= 3,3,24,0.125,21,92,0.22826086956521738,0.10326086956521738,Java Developer
java developer,S1,senior,seniority_final in mid-senior/director,4,5,0.8,5,5,1.0,0.19999999999999996,Java Developer
java developer,S2,senior,seniority_final = director,0,5,0.0,0,5,0.0,0.0,Java Developer
java developer,S3,senior,raw title senior regex,0,41,0.0,0,160,0.0,0.0,Java Developer
java developer,S4,senior,yoe_extracted >= 5,19,24,0.7916666666666666,63,92,0.6847826086956522,-0.10688405797101441,Java Developer
python developer,J1,junior,seniority_final = entry,0,5,0.0,0,4,0.0,0.0,Python Developer
python developer,J2,junior,seniority_final in entry/associate,0,5,0.0,0,4,0.0,0.0,Python Developer
python developer,J3,junior,yoe_extracted <= 2,2,22,0.09090909090909091,1,15,0.06666666666666667,-0.024242424242424246,Python Developer
python developer,J4,junior,yoe_extracted <= 3,5,22,0.22727272727272727,1,15,0.06666666666666667,-0.16060606060606059,Python Developer
python developer,S1,senior,seniority_final in mid-senior/director,5,5,1.0,4,4,1.0,0.0,Python Developer
python developer,S2,senior,seniority_final = director,0,5,0.0,0,4,0.0,0.0,Python Developer
python developer,S3,senior,raw title senior regex,0,40,0.0,0,33,0.0,0.0,Python Developer
python developer,S4,senior,yoe_extracted >= 5,17,22,0.7727272727272727,14,15,0.9333333333333333,0.16060606060606064,Python Developer
embedded software engineer,J1,junior,seniority_final = entry,1,4,0.25,0,3,0.0,-0.25,Embedded Software Engineer
embedded software engineer,J2,junior,seniority_final in entry/associate,1,4,0.25,0,3,0.0,-0.25,Embedded Software Engineer
embedded software engineer,J3,junior,yoe_extracted <= 2,1,19,0.05263157894736842,29,115,0.25217391304347825,0.19954233409610983,Embedded Software Engineer
embedded software engineer,J4,junior,yoe_extracted <= 3,3,19,0.15789473684210525,52,115,0.45217391304347826,0.294279176201373,Embedded Software Engineer
embedded software engineer,S1,senior,seniority_final in mid-senior/director,3,4,0.75,3,3,1.0,0.25,Embedded Software Engineer
embedded software engineer,S2,senior,seniority_final = director,0,4,0.0,0,3,0.0,0.0,Embedded Software Engineer
embedded software engineer,S3,senior,raw title senior regex,0,32,0.0,0,181,0.0,0.0,Embedded Software Engineer
embedded software engineer,S4,senior,yoe_extracted >= 5,14,19,0.7368421052631579,53,115,0.4608695652173913,-0.27597254004576655,Embedded Software Engineer
automation engineer,J1,junior,seniority_final = entry,2,5,0.4,2,2,1.0,0.6,Automation Engineer
automation engineer,J2,junior,seniority_final in entry/associate,2,5,0.4,2,2,1.0,0.6,Automation Engineer
automation engineer,J3,junior,yoe_extracted <= 2,2,16,0.125,17,32,0.53125,0.40625,Automation Engineer
automation engineer,J4,junior,yoe_extracted <= 3,10,16,0.625,22,32,0.6875,0.0625,Automation Engineer
automation engineer,S1,senior,seniority_final in mid-senior/director,3,5,0.6,0,2,0.0,-0.6,Automation Engineer
automation engineer,S2,senior,seniority_final = director,0,5,0.0,0,2,0.0,0.0,Automation Engineer
automation engineer,S3,senior,raw title senior regex,0,31,0.0,0,49,0.0,0.0,Automation Engineer
automation engineer,S4,senior,yoe_extracted >= 5,4,16,0.25,8,32,0.25,0.0,Automation Engineer
cloud engineer,J1,junior,seniority_final = entry,0,5,0.0,1,8,0.125,0.125,Cloud Engineer
cloud engineer,J2,junior,seniority_final in entry/associate,0,5,0.0,1,8,0.125,0.125,Cloud Engineer
cloud engineer,J3,junior,yoe_extracted <= 2,3,17,0.17647058823529413,17,115,0.14782608695652175,-0.028644501278772383,Cloud Engineer
cloud engineer,J4,junior,yoe_extracted <= 3,7,17,0.4117647058823529,36,115,0.3130434782608696,-0.09872122762148333,Cloud Engineer
cloud engineer,S1,senior,seniority_final in mid-senior/director,5,5,1.0,7,8,0.875,-0.125,Cloud Engineer
cloud engineer,S2,senior,seniority_final = director,0,5,0.0,1,8,0.125,0.125,Cloud Engineer
cloud engineer,S3,senior,raw title senior regex,0,30,0.0,0,175,0.0,0.0,Cloud Engineer
cloud engineer,S4,senior,yoe_extracted >= 5,10,17,0.5882352941176471,67,115,0.5826086956521739,-0.005626598465473198,Cloud Engineer
site reliability engineer,J1,junior,seniority_final = entry,0,3,0.0,0,7,0.0,0.0,Site Reliability Engineer
site reliability engineer,J2,junior,seniority_final in entry/associate,0,3,0.0,0,7,0.0,0.0,Site Reliability Engineer
site reliability engineer,J3,junior,yoe_extracted <= 2,1,13,0.07692307692307693,23,111,0.2072072072072072,0.13028413028413027,Site Reliability Engineer
site reliability engineer,J4,junior,yoe_extracted <= 3,4,13,0.3076923076923077,44,111,0.3963963963963964,0.08870408870408869,Site Reliability Engineer
site reliability engineer,S1,senior,seniority_final in mid-senior/director,3,3,1.0,7,7,1.0,0.0,Site Reliability Engineer
site reliability engineer,S2,senior,seniority_final = director,0,3,0.0,1,7,0.14285714285714285,0.14285714285714285,Site Reliability Engineer
site reliability engineer,S3,senior,raw title senior regex,0,29,0.0,0,165,0.0,0.0,Site Reliability Engineer
site reliability engineer,S4,senior,yoe_extracted >= 5,9,13,0.6923076923076923,63,111,0.5675675675675675,-0.12474012474012475,Site Reliability Engineer
developer,J1,junior,seniority_final = entry,0,4,0.0,1,1,1.0,1.0,Developer
developer,J2,junior,seniority_final in entry/associate,1,4,0.25,1,1,1.0,0.75,Developer
developer,J3,junior,yoe_extracted <= 2,1,21,0.047619047619047616,2,42,0.047619047619047616,0.0,Developer
developer,J4,junior,yoe_extracted <= 3,6,21,0.2857142857142857,4,42,0.09523809523809523,-0.19047619047619047,Developer
developer,S1,senior,seniority_final in mid-senior/director,3,4,0.75,0,1,0.0,-0.75,Developer
developer,S2,senior,seniority_final = director,0,4,0.0,0,1,0.0,0.0,Developer
developer,S3,senior,raw title senior regex,0,28,0.0,0,74,0.0,0.0,Developer
developer,S4,senior,yoe_extracted >= 5,15,21,0.7142857142857143,35,42,0.8333333333333334,0.11904761904761907,Developer
systems engineer,J1,junior,seniority_final = entry,0,1,0.0,0,5,0.0,0.0,Systems Engineer
systems engineer,J2,junior,seniority_final in entry/associate,0,1,0.0,0,5,0.0,0.0,Systems Engineer
systems engineer,J3,junior,yoe_extracted <= 2,3,16,0.1875,18,73,0.2465753424657534,0.05907534246575341,Systems Engineer
systems engineer,J4,junior,yoe_extracted <= 3,8,16,0.5,30,73,0.410958904109589,-0.08904109589041098,Systems Engineer
systems engineer,S1,senior,seniority_final in mid-senior/director,1,1,1.0,5,5,1.0,0.0,Systems Engineer
systems engineer,S2,senior,seniority_final = director,0,1,0.0,0,5,0.0,0.0,Systems Engineer
systems engineer,S3,senior,raw title senior regex,0,25,0.0,0,116,0.0,0.0,Systems Engineer
systems engineer,S4,senior,yoe_extracted >= 5,8,16,0.5,41,73,0.5616438356164384,0.06164383561643838,Systems Engineer
machine learning engineer,J1,junior,seniority_final = entry,0,0,,1,11,0.09090909090909091,,Machine Learning Engineer
machine learning engineer,J2,junior,seniority_final in entry/associate,0,0,,1,11,0.09090909090909091,,Machine Learning Engineer
machine learning engineer,J3,junior,yoe_extracted <= 2,2,8,0.25,31,123,0.25203252032520324,0.0020325203252032353,Machine Learning Engineer
machine learning engineer,J4,junior,yoe_extracted <= 3,3,8,0.375,73,123,0.5934959349593496,0.2184959349593496,Machine Learning Engineer
machine learning engineer,S1,senior,seniority_final in mid-senior/director,0,0,,10,11,0.9090909090909091,,Machine Learning Engineer
machine learning engineer,S2,senior,seniority_final = director,0,0,,0,11,0.0,,Machine Learning Engineer
machine learning engineer,S3,senior,raw title senior regex,0,23,0.0,0,219,0.0,0.0,Machine Learning Engineer
machine learning engineer,S4,senior,yoe_extracted >= 5,4,8,0.5,34,123,0.2764227642276423,-0.22357723577235772,Machine Learning Engineer
frontend developer,J1,junior,seniority_final = entry,0,2,0.0,0,4,0.0,0.0,Frontend Developer
frontend developer,J2,junior,seniority_final in entry/associate,0,2,0.0,0,4,0.0,0.0,Frontend Developer
frontend developer,J3,junior,yoe_extracted <= 2,3,9,0.3333333333333333,3,30,0.1,-0.2333333333333333,Frontend Developer
frontend developer,J4,junior,yoe_extracted <= 3,6,9,0.6666666666666666,9,30,0.3,-0.36666666666666664,Frontend Developer
frontend developer,S1,senior,seniority_final in mid-senior/director,2,2,1.0,4,4,1.0,0.0,Frontend Developer
frontend developer,S2,senior,seniority_final = director,0,2,0.0,1,4,0.25,0.25,Frontend Developer
frontend developer,S3,senior,raw title senior regex,0,23,0.0,0,66,0.0,0.0,Frontend Developer
frontend developer,S4,senior,yoe_extracted >= 5,2,9,0.2222222222222222,20,30,0.6666666666666666,0.4444444444444444,Frontend Developer
software developer,J1,junior,seniority_final = entry,3,4,0.75,5,6,0.8333333333333334,0.08333333333333337,Software Developer
software developer,J2,junior,seniority_final in entry/associate,3,4,0.75,5,6,0.8333333333333334,0.08333333333333337,Software Developer
software developer,J3,junior,yoe_extracted <= 2,3,11,0.2727272727272727,31,104,0.2980769230769231,0.025349650349650366,Software Developer
software developer,J4,junior,yoe_extracted <= 3,7,11,0.6363636363636364,49,104,0.47115384615384615,-0.1652097902097902,Software Developer
software developer,S1,senior,seniority_final in mid-senior/director,1,4,0.25,1,6,0.16666666666666666,-0.08333333333333334,Software Developer
software developer,S2,senior,seniority_final = director,0,4,0.0,0,6,0.0,0.0,Software Developer
software developer,S3,senior,raw title senior regex,0,23,0.0,0,175,0.0,0.0,Software Developer
software developer,S4,senior,yoe_extracted >= 5,3,11,0.2727272727272727,45,104,0.4326923076923077,0.159965034965035,Software Developer
principal software engineer,J1,junior,seniority_final = entry,0,22,0.0,0,312,0.0,0.0,Principal Software Engineer
principal software engineer,J2,junior,seniority_final in entry/associate,0,22,0.0,0,312,0.0,0.0,Principal Software Engineer
principal software engineer,J3,junior,yoe_extracted <= 2,0,18,0.0,3,253,0.011857707509881422,0.011857707509881422,Principal Software Engineer
principal software engineer,J4,junior,yoe_extracted <= 3,1,18,0.05555555555555555,17,253,0.06719367588932806,0.011638120333772511,Principal Software Engineer
principal software engineer,S1,senior,seniority_final in mid-senior/director,22,22,1.0,312,312,1.0,0.0,Principal Software Engineer
principal software engineer,S2,senior,seniority_final = director,0,22,0.0,0,312,0.0,0.0,Principal Software Engineer
principal software engineer,S3,senior,raw title senior regex,22,22,1.0,312,312,1.0,0.0,Principal Software Engineer
principal software engineer,S4,senior,yoe_extracted >= 5,16,18,0.8888888888888888,232,253,0.9169960474308301,0.028107158541941235,Principal Software Engineer
application engineer,J1,junior,seniority_final = entry,1,1,1.0,4,4,1.0,0.0,Application Engineer
application engineer,J2,junior,seniority_final in entry/associate,1,1,1.0,4,4,1.0,0.0,Application Engineer
application engineer,J3,junior,yoe_extracted <= 2,10,13,0.7692307692307693,13,63,0.20634920634920634,-0.5628815628815629,Application Engineer
application engineer,J4,junior,yoe_extracted <= 3,12,13,0.9230769230769231,34,63,0.5396825396825397,-0.3833943833943835,Application Engineer
application engineer,S1,senior,seniority_final in mid-senior/director,0,1,0.0,0,4,0.0,0.0,Application Engineer
application engineer,S2,senior,seniority_final = director,0,1,0.0,0,4,0.0,0.0,Application Engineer
application engineer,S3,senior,raw title senior regex,0,22,0.0,0,108,0.0,0.0,Application Engineer
application engineer,S4,senior,yoe_extracted >= 5,1,13,0.07692307692307693,25,63,0.3968253968253968,0.3199023199023199,Application Engineer
senior salesforce developer,J1,junior,seniority_final = entry,0,22,0.0,0,45,0.0,0.0,Senior Salesforce Developer
senior salesforce developer,J2,junior,seniority_final in entry/associate,0,22,0.0,0,45,0.0,0.0,Senior Salesforce Developer
senior salesforce developer,J3,junior,yoe_extracted <= 2,0,11,0.0,3,34,0.08823529411764706,0.08823529411764706,Senior Salesforce Developer
senior salesforce developer,J4,junior,yoe_extracted <= 3,0,11,0.0,5,34,0.14705882352941177,0.14705882352941177,Senior Salesforce Developer
senior salesforce developer,S1,senior,seniority_final in mid-senior/director,22,22,1.0,45,45,1.0,0.0,Senior Salesforce Developer
senior salesforce developer,S2,senior,seniority_final = director,0,22,0.0,0,45,0.0,0.0,Senior Salesforce Developer
senior salesforce developer,S3,senior,raw title senior regex,22,22,1.0,45,45,1.0,0.0,Senior Salesforce Developer
senior salesforce developer,S4,senior,yoe_extracted >= 5,10,11,0.9090909090909091,28,34,0.8235294117647058,-0.08556149732620322,Senior Salesforce Developer
senior devops engineer,J1,junior,seniority_final = entry,0,21,0.0,0,150,0.0,0.0,Senior DevOps Engineer
senior devops engineer,J2,junior,seniority_final in entry/associate,0,21,0.0,0,150,0.0,0.0,Senior DevOps Engineer
senior devops engineer,J3,junior,yoe_extracted <= 2,0,16,0.0,2,102,0.0196078431372549,0.0196078431372549,Senior DevOps Engineer
senior devops engineer,J4,junior,yoe_extracted <= 3,2,16,0.125,19,102,0.18627450980392157,0.06127450980392157,Senior DevOps Engineer
senior devops engineer,S1,senior,seniority_final in mid-senior/director,21,21,1.0,150,150,1.0,0.0,Senior DevOps Engineer
senior devops engineer,S2,senior,seniority_final = director,0,21,0.0,0,150,0.0,0.0,Senior DevOps Engineer
senior devops engineer,S3,senior,raw title senior regex,21,21,1.0,150,150,1.0,0.0,Senior DevOps Engineer
senior devops engineer,S4,senior,yoe_extracted >= 5,11,16,0.6875,74,102,0.7254901960784313,0.03799019607843135,Senior DevOps Engineer
test engineer,J1,junior,seniority_final = entry,1,2,0.5,4,5,0.8,0.30000000000000004,Test Engineer
test engineer,J2,junior,seniority_final in entry/associate,1,2,0.5,4,5,0.8,0.30000000000000004,Test Engineer
test engineer,J3,junior,yoe_extracted <= 2,6,16,0.375,36,123,0.2926829268292683,-0.08231707317073172,Test Engineer
test engineer,J4,junior,yoe_extracted <= 3,10,16,0.625,76,123,0.6178861788617886,-0.007113821138211351,Test Engineer
test engineer,S1,senior,seniority_final in mid-senior/director,1,2,0.5,1,5,0.2,-0.3,Test Engineer
test engineer,S2,senior,seniority_final = director,0,2,0.0,0,5,0.0,0.0,Test Engineer
test engineer,S3,senior,raw title senior regex,0,20,0.0,0,199,0.0,0.0,Test Engineer
test engineer,S4,senior,yoe_extracted >= 5,6,16,0.375,40,123,0.3252032520325203,-0.04979674796747968,Test Engineer
software engineer in test,J1,junior,seniority_final = entry,0,2,0.0,0,3,0.0,0.0,Software Engineer in Test
software engineer in test,J2,junior,seniority_final in entry/associate,0,2,0.0,1,3,0.3333333333333333,0.3333333333333333,Software Engineer in Test
software engineer in test,J3,junior,yoe_extracted <= 2,0,15,0.0,2,33,0.06060606060606061,0.06060606060606061,Software Engineer in Test
software engineer in test,J4,junior,yoe_extracted <= 3,0,15,0.0,6,33,0.18181818181818182,0.18181818181818182,Software Engineer in Test
software engineer in test,S1,senior,seniority_final in mid-senior/director,2,2,1.0,2,3,0.6666666666666666,-0.33333333333333337,Software Engineer in Test
software engineer in test,S2,senior,seniority_final = director,0,2,0.0,0,3,0.0,0.0,Software Engineer in Test
software engineer in test,S3,senior,raw title senior regex,0,19,0.0,0,60,0.0,0.0,Software Engineer in Test
software engineer in test,S4,senior,yoe_extracted >= 5,13,15,0.8666666666666667,25,33,0.7575757575757576,-0.10909090909090913,Software Engineer in Test
quality assurance engineer,J1,junior,seniority_final = entry,0,0,,0,1,0.0,,Quality Assurance Engineer
quality assurance engineer,J2,junior,seniority_final in entry/associate,0,0,,0,1,0.0,,Quality Assurance Engineer
quality assurance engineer,J3,junior,yoe_extracted <= 2,2,10,0.2,19,61,0.3114754098360656,0.11147540983606558,Quality Assurance Engineer
quality assurance engineer,J4,junior,yoe_extracted <= 3,6,10,0.6,37,61,0.6065573770491803,0.006557377049180357,Quality Assurance Engineer
quality assurance engineer,S1,senior,seniority_final in mid-senior/director,0,0,,1,1,1.0,,Quality Assurance Engineer
quality assurance engineer,S2,senior,seniority_final = director,0,0,,0,1,0.0,,Quality Assurance Engineer
quality assurance engineer,S3,senior,raw title senior regex,0,19,0.0,0,96,0.0,0.0,Quality Assurance Engineer
quality assurance engineer,S4,senior,yoe_extracted >= 5,3,10,0.3,23,61,0.3770491803278688,0.07704918032786884,Quality Assurance Engineer
senior machine learning engineer,J1,junior,seniority_final = entry,0,18,0.0,0,123,0.0,0.0,Senior Machine Learning Engineer
senior machine learning engineer,J2,junior,seniority_final in entry/associate,0,18,0.0,0,123,0.0,0.0,Senior Machine Learning Engineer
senior machine learning engineer,J3,junior,yoe_extracted <= 2,1,6,0.16666666666666666,2,87,0.022988505747126436,-0.14367816091954022,Senior Machine Learning Engineer
senior machine learning engineer,J4,junior,yoe_extracted <= 3,3,6,0.5,33,87,0.3793103448275862,-0.12068965517241381,Senior Machine Learning Engineer
senior machine learning engineer,S1,senior,seniority_final in mid-senior/director,18,18,1.0,123,123,1.0,0.0,Senior Machine Learning Engineer
senior machine learning engineer,S2,senior,seniority_final = director,0,18,0.0,0,123,0.0,0.0,Senior Machine Learning Engineer
senior machine learning engineer,S3,senior,raw title senior regex,18,18,1.0,123,123,1.0,0.0,Senior Machine Learning Engineer
senior machine learning engineer,S4,senior,yoe_extracted >= 5,3,6,0.5,50,87,0.5747126436781609,0.07471264367816088,Senior Machine Learning Engineer
staff software engineer,J1,junior,seniority_final = entry,0,18,0.0,0,252,0.0,0.0,Staff Software Engineer
staff software engineer,J2,junior,seniority_final in entry/associate,0,18,0.0,0,252,0.0,0.0,Staff Software Engineer
staff software engineer,J3,junior,yoe_extracted <= 2,0,17,0.0,38,194,0.1958762886597938,0.1958762886597938,Staff Software Engineer
staff software engineer,J4,junior,yoe_extracted <= 3,2,17,0.11764705882352941,50,194,0.25773195876288657,0.14008489993935716,Staff Software Engineer
staff software engineer,S1,senior,seniority_final in mid-senior/director,18,18,1.0,252,252,1.0,0.0,Staff Software Engineer
staff software engineer,S2,senior,seniority_final = director,0,18,0.0,0,252,0.0,0.0,Staff Software Engineer
staff software engineer,S3,senior,raw title senior regex,18,18,1.0,252,252,1.0,0.0,Staff Software Engineer
staff software engineer,S4,senior,yoe_extracted >= 5,15,17,0.8823529411764706,138,194,0.711340206185567,-0.17101273499090353,Staff Software Engineer
lead software engineer,J1,junior,seniority_final = entry,0,18,0.0,0,208,0.0,0.0,Lead Software Engineer
lead software engineer,J2,junior,seniority_final in entry/associate,0,18,0.0,0,208,0.0,0.0,Lead Software Engineer
lead software engineer,J3,junior,yoe_extracted <= 2,1,13,0.07692307692307693,10,157,0.06369426751592357,-0.01322880940715336,Lead Software Engineer
lead software engineer,J4,junior,yoe_extracted <= 3,3,13,0.23076923076923078,27,157,0.17197452229299362,-0.05879470847623716,Lead Software Engineer
lead software engineer,S1,senior,seniority_final in mid-senior/director,18,18,1.0,208,208,1.0,0.0,Lead Software Engineer
lead software engineer,S2,senior,seniority_final = director,0,18,0.0,0,208,0.0,0.0,Lead Software Engineer
lead software engineer,S3,senior,raw title senior regex,18,18,1.0,209,209,1.0,0.0,Lead Software Engineer
lead software engineer,S4,senior,yoe_extracted >= 5,8,13,0.6153846153846154,114,157,0.7261146496815286,0.1107300342969132,Lead Software Engineer
android developer,J1,junior,seniority_final = entry,0,6,0.0,0,7,0.0,0.0,Android Developer
android developer,J2,junior,seniority_final in entry/associate,0,6,0.0,0,7,0.0,0.0,Android Developer
android developer,J3,junior,yoe_extracted <= 2,1,9,0.1111111111111111,2,67,0.029850746268656716,-0.08126036484245439,Android Developer
android developer,J4,junior,yoe_extracted <= 3,3,9,0.3333333333333333,10,67,0.14925373134328357,-0.18407960199004975,Android Developer
android developer,S1,senior,seniority_final in mid-senior/director,6,6,1.0,7,7,1.0,0.0,Android Developer
android developer,S2,senior,seniority_final = director,0,6,0.0,0,7,0.0,0.0,Android Developer
android developer,S3,senior,raw title senior regex,0,18,0.0,0,119,0.0,0.0,Android Developer
android developer,S4,senior,yoe_extracted >= 5,6,9,0.6666666666666666,54,67,0.8059701492537313,0.1393034825870647,Android Developer
ios developer,J1,junior,seniority_final = entry,0,3,0.0,0,1,0.0,0.0,iOS Developer
ios developer,J2,junior,seniority_final in entry/associate,0,3,0.0,0,1,0.0,0.0,iOS Developer
ios developer,J3,junior,yoe_extracted <= 2,1,9,0.1111111111111111,1,32,0.03125,-0.0798611111111111,iOS Developer
ios developer,J4,junior,yoe_extracted <= 3,1,9,0.1111111111111111,7,32,0.21875,0.1076388888888889,iOS Developer
ios developer,S1,senior,seniority_final in mid-senior/director,3,3,1.0,1,1,1.0,0.0,iOS Developer
ios developer,S2,senior,seniority_final = director,0,3,0.0,0,1,0.0,0.0,iOS Developer
ios developer,S3,senior,raw title senior regex,0,18,0.0,0,65,0.0,0.0,iOS Developer
