uid,title,company,period,seniority,yoe,tech_count,org_scope_count,kitchen_sink,aspiration_ratio,ghost_composite,is_aggregator,text_snippet
linkedin_li-4390122169,Software Development Engineer II - ML Platform,Expedia Group,2026-03,entry,2.0,12,4,48,0.5,9.277181187619579,False,"Expedia Group brands power global travel for everyone, everywhere. We design cutting-edge tech to make travel smoother and more memorable, and we create groundbreaking solutions for our partners. Our diverse, vibrant, and welcoming community is essential in driving our success.

**Why Join Us?**
 To shape the future of travel, people must come first. Guided by our Values and Leadership Agreements, we foster an open culture where everyone belongs, differences are celebrated and know that when one of us wins, we all win.

 We provide a full benefits package, including exciting travel perks, generous time-off, parental leave, a flexible work model (with some pretty cool offices), and career development resources, all to fuel our employees' passion for travel and ensure a rewarding career journey. We’re building a more open world. Join us.

**Introduction to Team**
 Expedia Technology teams collaborate with our Product teams to create innovative products, services, and tools that deliver high-quality experiences for travellers, partners, and employees. Our unified technology platform, powered by data and machine learning, provides secure, differentiated, and personalized experiences that drive loyalty and traveller satisfaction.

 Join the ML Platform team, that provides the core tools and services that power the end-to-end ML lifecycle and accelerate getting models into production. As a Software Development Engineer II, you will help evolve the platform, define best practices, a"
linkedin_li-4389947691,Frontend Engineer,Apex Systems,2026-03,entry,,13,3,39,1.5,9.133093277214563,True,"**Job#: 3027470**
**Job Description:**
 Frontend Engineer

**Location:** 
 Charlotte, North Carolina (Hybrid)

**Employment Type:** 
 Contract

**Contract Duration:** 
 12 Months

We are seeking a Frontend Engineer to design, build, and maintain responsive, scalable, and high-performance web applications. This role involves collaborating with cross-functional teams including UX/UI designers, backend developers, and product owners to translate business requirements into technical solutions. The position requires a candidate who can contribute to the entire development lifecycle, from design and implementation to deployment and maintenance.

* Design and build responsive web applications using Angular, TypeScript, HTML5, and CSS.
* Develop reusable UI components, shared modules, and standardized frontend libraries.
* Implement and consume RESTful APIs, integrating frontend applications with backend microservices.
* Manage application state and handle asynchronous data flows effectively.
* Ensure code quality through comprehensive unit, component, and end-to-end testing.
* Optimize applications for performance, accessibility, security, and cross-browser compatibility.
* Collaborate with UX/UI designers to translate wireframes into high-quality user interfaces.
* Participate in design discussions and architectural reviews to influence frontend standards.
* Support the deployment of applications in CI/CD pipelines.
* Troubleshoot, debug, and resolve frontend issues across all envi"
linkedin_li-4345175517,Lead Java Back-End Engineer,CGI,2026-03,entry,14.0,12,4,48,0.0,8.604505838788473,False,"Position Description

 CGI is seeking to hire a seasoned Lead Java Back-End Engineer to lead the design and delivery of scalable, cloud-native solutions within a high-impact investment operations domain. This is a hands-on leadership role where you'll collaborate with product owners, architects, and developers to shape technical strategy, drive innovation, and deliver enterprise-grade systems that power critical financial workflows

 This position can be performed from Dallas, TX, Merrimack, NH or Lafayette, LA.

 Your future duties and responsibilities

 Design and build robust, scalable solutions aligned with enterprise technology standards and cloud-first strategies.

* Lead technical design discussions and contribute to architectural and design decisions that drive performance, resiliency, and maintainability.
* Collaborate with cross-functional teams to translate complex business needs into elegant, high-performing software solutions.
* Guide and mentor developers, ensuring engineering excellence through code reviews, testing best practices, and continuous improvement.
* Partner with DevOps teams to implement CI/CD pipelines, observability, and deployment automation.
* Contribute to process optimization and delivery velocity through agile practices and engineering leadership

**Required Qualifications To Be Successful In This Role**
* 14\+ years of hands-on experience in Java/J2EE development with deep expertise in Spring Boot and microservices architecture.
* Proven exp"
linkedin_li-4380627846,Backend Engineer - AI precision medicine company,Andiamo,2026-03,entry,,16,3,48,,8.604505838788473,False,"Backend Engineer

**About The Role**
 We’re looking for a Backend Engineer to design, build, and scale services that power customer-facing products. You’ll work across APIs, data pipelines, storage, and infrastructure to deliver reliable, secure, and high-performance systems. This role blends hands-on coding with system design and a strong focus on operational excellence.

* Design and implement backend services and APIs (REST and/or gRPC) used in production.
* Model data and build robust storage layers across relational and NoSQL databases.
* Build messaging and streaming integrations (e.g., Kafka, RabbitMQ) to support asynchronous workflows.
* Own service reliability: monitoring, alerting, logging, and on-call participation for critical systems.
* Improve performance and scalability through profiling, caching, and query optimization.
* Ship code through CI/CD, automate testing, and participate in code reviews and design docs.
* Collaborate with product, frontend, data, and infra engineers to deliver end-to-end features.

 Tech You May Use

* Languages: Python, Go, Java, or similar
* Storage: Postgres/MySQL, Redis, Elasticsearch, or a document store
* Messaging/Streams: Kafka, RabbitMQ
* Infra: Docker, Kubernetes, AWS/GCP/Azure, Terraform
* APIs \& Auth: REST/gRPC, OAuth/OIDC
* Observability: Prometheus/Grafana, OpenTelemetry, ELK

* Strong backend development skills with proficiency in Python (or comparable language).
* Solid understanding of databases, operating systems, n"
arshkon_3894543925,"Manager, Software Engineer",Capital One,2024-04,entry,6.0,15,2,30,2.0,8.316330017978437,False,"We are seeking Full Stack Software Engineers who are passionate about marrying data with emerging technologies.
What You’ll Do:
Lead a portfolio of diverse technology projects and a team of developers with deep experience in distributed microservices, and full stack systems to create solutions that help meet regulatory needs for the company Share your passion for staying on top of tech trends, experimenting with and learning new technologies, participating in internal & external technology communities, mentoring other members of the engineering community Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve financial empowerment Utilize programming languages like JavaScript, Java, HTML/CSS, TypeScript, SQL, Python, and
Go, Open Source RDBMS and NoSQL databases, Container Orchestration services including Docker and Kubernetes, and a variety of AWS tools and services
Basic Qualifications:
Bachelor’s Degree At least 6 years of experience in software engineering (Internship experience does not apply) At least 1 year experience with cloud computing (AWS, Microsoft Azure, Google Cloud) At least 2 years of people management experience
Preferred Qualifications:
Master's Degree 7+ years of experience in at least one of the following: JavaScript, Java, TypeScript, SQL, Python, or Go 3+ years of experience with AWS, GCP, Microsoft Azure, or another cloud service 4+ years of experience in "
linkedin_li-4392318539,Machine Learning Engineer II (Remote),Home Depot,2026-03,entry,1.0,13,3,39,0.6666666666666666,8.011967695829382,True,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmployers to promote this job for Home Depot. Clicking ""Apply Now"" or ""Read more"" on Lensa redirects you to the job board/employer site. Any information collected there is subject to their terms and privacy notice.

**Position Purpose**
 The Machine Learning Engineer II is responsible for joining a product team and contributing to the software design, algorithm design, and overall product lifecycle for a product that our users love. The engineering process is highly collaborative. ML Engineers are expected to pair daily as they work through user stories and support products as they evolve.

 ML Engineers may be involved in designing and implementing AI/ML algorithms to embed directly into software products. Activities may include using specific HD process techniques, integration, design, and development. The role could interface with Business Stakeholders, Technology Infrastructure teams, and Development teams to ensure that business requirements are properly met within a machine learning solution. The role may also be involved in performance tuning, testing, and product monitoring. Other responsibilities may include performing customer outreach, designing ML educational material, and da"
linkedin_li-4372122613,"Software Engineer, Applied AI - Polygraph Required",BTI360,2026-03,entry,,9,3,27,2.0,7.819850481956027,False,"**About The Team**
 Here at BTI360, we’ve built a culture that’s passionate about developing software engineers. Software doesn't build itself. People do.  In fact, teams of people do.  That's why our primary focus is on developing better craftsmen, better teammates, and better technical leaders.  By putting people first, we're not just giving our teammates more opportunities to grow, we're also raising the bar of the software we ship. BTI360 previously has been voted 10 years in a row as a TOP Place to Work by the Washington Business Journal.

 BTI360 is a data discovery company, using AI to transform proprietary data into actionable insights that directly support our customer's mission. We are seeking a Software Engineer with the expertise, creativity, and leadership to drive innovative solutions that apply advanced AI techniques to solve complex problems. This is an opportunity to make a tangible impact by leveraging cutting-edge technology, data, and a deep understanding of mission-driven challenges.

**In This Role, You Will**
* Work closely with teammates and stakeholders in a Lean Agile environment to build mission-critical applications focused on data discovery and analysis
* Develop and maintain context-aware data systems to provide GenAI applications with domain-specific knowledge and situational awareness
* Participate in system architecture discussions, design reviews, and code reviews to promote technical excellence
* Leverage modern build tools, testing framewor"
linkedin_li-4380224014,Full Stack Engineer,Horizontal Talent,2026-03,entry,,9,3,27,2.0,7.819850481956027,False,"Seeking a talented Full Stack Engineer to join our innovative tech team on a journey to drive digital transformation. This role offers the opportunity to work on cutting-edge projects while collaborating with same-minded professionals.

**Responsibilities**
* Design, develop, and tweak software applications to meet business needs.
* Work with cross-functional teams to understand requirements and create effective solutions.
* Engage in the testing process, ensuring software functionality via analysis and certification.
* Utilize cloud services and modern tech to enhance application performance.
* Lead initiatives that automate business processes and bolster system architecture.
* Mentor junior colleagues and help cultivate a culture of continuous learning and improvement.

**Skills**
* Strong proficiency in full stack development using Python, React, and Node.js.
* Solid grasp of API development and integration techniques.
* Expertise in utilizing cloud services, especially AWS, along with containerization tools like Docker and Kubernetes.
* Problem-solving aptitude within a fast-paced and collaborative setting.
* Exceptional communication skills with a commitment to effective teamwork.

**Preferred Skills**
* Experience with TypeScript and Express.js is a valuable plus.
* Familiar with Infrastructure as Code practices, particularly Terraform.
* Knowledge of end-to-end testing frameworks, like Playwright, is beneficial.
* Understanding of Agile and SAFe methodologies is advant"
linkedin_li-4389093925,Cloud Engineer,Leidos,2026-03,entry,,10,3,30,1.5,7.643654669147329,False,"**Description**
 Leidos was awarded the U.S. Air Force Cloud One Architecture and Common Shared Services contract. Leidos is seeking a Cloud Engineers across AWS, Azure, Google, and Oracle clouds. is an exciting opportunity to use your experience to modernize a leading, global-scale multi-cloud environment in support of a critical mission, supporting USAF system resiliency, security, and cost effectiveness.

**Location:**
 These positions will be hybrid remote. Candidates will be required to work onsite as needed. Preferred candidates will be located near Hanscom AFB (Boston, MA) or work in Huntsville, AL.

**Primary Responsibilities Could Include**
 We are seeking Cloud Engineers with expertise in multiple cloud platforms. A successful individual will be responsible for developing in a scalable cloud-native solutions, and ensuring best practices across architecture, development, deployment, and security. This is a hands-on technical role that requires rolling up your sleeves to architect, code, debug, and mentor.

* Design and implement scalable, resilient, and secure cloud architectures in AWS, Azure, Google Cloud Platform, and/or Oracle Cloud Infrastructure.
* Conduct technical trade studies and evaluate alternatives considering cost, risk, performance, security, and lifecycle supportability.
* Lead the development and maintenance of Infrastructure as Code (IaC) and automation frameworks using tools such as Terraform, Ansible, or CloudFormation.
* Architect, deploy, and in"
linkedin_li-4391907763,Cloud Engineer,Leidos,2026-03,entry,,10,3,30,1.5,7.643654669147329,False,"**Description**
 Leidos was awarded the U.S. Air Force Cloud One Architecture and Common Shared Services contract. Leidos is seeking a Cloud Engineer across AWS, Azure, Google, and Oracle clouds. This an exciting opportunity to use your experience to modernize a leading, global-scale multi-cloud environment in support of a critical mission, supporting USAF system resiliency, security, and cost effectiveness.

**Location:**
 This position will be hybrid remote. Candidates will be required to work onsite as needed. Preferred candidates will be located near Hanscom AFB (Boston, MA) or work in Huntsville, AL.

 We are seeking Cloud Engineers with expertise in multiple cloud platforms. A successful individual will be responsible for developing in a scalable cloud-native solutions, and ensuring best practices across architecture, development, deployment, and security. This is a hands-on technical role that requires rolling up your sleeves to architect, code, debug, and mentor.

**Primary Responsibilities Could Include**
* Design and implement scalable, resilient, and secure cloud architectures in AWS, Azure, Google Cloud Platform, and/or Oracle Cloud Infrastructure.
* Conduct technical trade studies and evaluate alternatives considering cost, risk, performance, security, and lifecycle supportability.
* Lead the development and maintenance of Infrastructure as Code (IaC) and automation frameworks using tools such as Terraform, Ansible, or CloudFormation.
* Architect, deploy, and int"
