uid,title,company,seniority,yoe,mgmt_terms,is_aggregator,text_snippet
linkedin_li-4387530628,Data Engineer,P2PSoftTek Inc,entry,,['leading'],True,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, P2PSoftTek Inc, is seeking the following. Apply via Dice today!

 Job Title: Data Engineer with AI Kubernetes

 Location: Columbus, OH 5 days Onsite Role

 Description:

 Strong proficiency in Python for data processing and pipeline development

**Hands-on Experience With Apache Spark (PySpark Preferred)**
 Solid experience with AWS services such as S3, Glue, EMR, Redshift, Athena, Lambda

 Experience with SQL and relational/non-relational databases

 Knowledge of data modeling, data warehousing concepts, and ETL frameworks

 Experience working with large-scale, distributed data systems

 Familiarity with CI/CD pipelines and version control tools (Git)

 Strong problem-solving and communication skills

 Preferred / Nice to Have:

**Experience With Airflow Or Other Workflow Orchestration Tools**
 Knowledge of Kafka, Kinesis, or streaming data platforms

 Experience with Docker/Kubernetes

 Exposure to Delta Lake, Iceberg, or HuD"
linkedin_li-4390398668,Software Engineer,Supermicro,entry,1.0,"['coaching', 'leadership']",False,"****Job Req ID: 28580****
**About Supermicro**
 Supermicro® is a Top Tier provider of advanced server, storage, and networking solutions for Data Center, Cloud Computing, Enterprise IT, Hadoop/ Big Data, Hyperscale, HPC and IoT/Embedded customers worldwide. We are the #5 fastest growing company among the Silicon Valley Top 50 technology firms. Our unprecedented global expansion has provided us with the opportunity to offer a large number of new positions to the technology community. We seek talented, passionate, and committed engineers, technologists, and business leaders to join us.

**Job Summary**
 As a Software Engineer, you’ll be the go-to person to roll out and maintain business critical applications and services for Supermicro. You are also responsible for resolving escalated service issues, coaching other engineers to resolutions, engineering and implementing complex projects. You will be a person who is independent with leadership to drive the technical development and with excellent communication skills.

**Essential Duties And Responsibilities**
**Includes the following essential duties and responsibilities (other duties may also be assigned):**
* Design, develop, and maintain automation test script for firmware and software
* Perform software UI, Functional, stress testing, and more
* Test suite containerization
* Work closely with RD and PM to new features and bug fixes
* Prepare evaluation reports on software test findings
* Enforce software quality control
* Ut"
linkedin_li-4380224014,Full Stack Engineer,Horizontal Talent,entry,,"['cross-functional', 'mentor']",False,"Seeking a talented Full Stack Engineer to join our innovative tech team on a journey to drive digital transformation. This role offers the opportunity to work on cutting-edge projects while collaborating with same-minded professionals.

**Responsibilities**
* Design, develop, and tweak software applications to meet business needs.
* Work with cross-functional teams to understand requirements and create effective solutions.
* Engage in the testing process, ensuring software functionality via analysis and certification.
* Utilize cloud services and modern tech to enhance application performance.
* Lead initiatives that automate business processes and bolster system architecture.
* Mentor junior colleagues and help cultivate a culture of continuous learning and improvement.

**Skills**
* Strong proficiency in full stack development using Python, React, and Node.js.
* Solid grasp of API development and integration techniques.
* Expertise in utilizing cloud services, especially AWS, along with containerization tools like Docker and Kubernetes.
* Problem-solving aptitude within a fast-paced and collaborative setting.
* Exceptional communication skills with a commitment to effective teamwork.

**Preferred Skills**
* Experience with TypeScript and Express.js is a valuable plus.
* Familiar with Infrastructure as Code practices, particularly Terraform.
* Knowledge of end-to-end testing frameworks, like Playwright, is beneficial.
* Understanding of Agile and SAFe methodologies is advant"
linkedin_li-4371817883,Software Development Engineer Internship - Military Veteran,Amazon,entry,,['mentor'],False,"**Description**
 Application deadline: Applications will be accepted on an ongoing basis

 This opportunity is for U.S. citizens who have served in the U.S. Armed Forces including Reserves, National Guard, and service member spouses.

* Please list your service in your resume to be considered for this position.

 Do you want to solve real customer problems through innovative technology? Do you enjoy working on scalable services in a collaborative team environment? Do you want to see your code directly impact millions of customers worldwide?

 At Amazon, we hire the best minds in technology to innovate and build on behalf of our customers. Customer obsession is part of our company DNA, which has made us one of the world's most beloved brands.

 Our SDE interns use modern technology to solve complex problems while seeing their work's impact first-hand. The challenges SDE interns solve at Amazon are meaningful and influence millions of customers, sellers, and products globally. We seek individuals passionate about creating new products, features, and services while managing ambiguity in an environment where development cycles are measured in weeks, not years.

 At Amazon, we believe in ownership at every level. As a SDE intern, you'll own the entire lifecycle of your code - from design through deployment and ongoing operations. This ownership mindset, combined with our commitment to operational excellence, ensures we deliver the highest quality solutions for our customers.

 We'"
linkedin_li-4391557265,Quality Assurance Engineer,Sumitomo Electric,entry,1.0,['leadership'],False,"At Sumitomo Electric Interconnect Products (SEIP), we’ve been producing superior heat shrink tubing since 1996\. Our products, designed to perform in the harshest environments and the most extreme conditions, are qualified, certified and approved to national and international standards.

 We are looking for a Quality Assurance Engineer for our San Marcos, California office. Must be trustworthy with company sensitive information, detail oriented, and a self-starter and have the ability to work under strict deadlines with varied conflicting priorities. This individual must practice high standards of professional ethics and personal integrity in the best interest of the company. This person reports to the QA Manager.

**Job Summary**
 Works with engineering, manufacturing, product management and sales functions in providing professional quality guidance to assess, correct, and maintain the product and process quality using statistical tools, documented methods, and audits. Provides technical advice to leadership team on quality, reliability, safety and performance issues encountered during product life cycle.

**Essential Duties And Responsibilities**
 Duties include the following (other duties may be assigned):

* Develops and implements methods for sampling, inspection, testing and evaluation of products.
* Develops and implements statistical methods and design experiments to support process control, process/product improvement.
* Initiates process improvement projects to incr"
linkedin_li-4391207748,ML Engineer,IT America,entry,,['leading'],True,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, IT America, is seeking the following. Apply via Dice today!

**Position: ML Engineer**
**Location: Plano, TX / Reston, VA (Hybrid)**
**Duration: Long term contract**
**Interview: Onsite**
**Top Skills' Details:**
* Strong Python and AWS skills
* Machine Learning, LLM, GenAi experience
* Needs to be a hands on engineer (this means the person has to be a coder/programmer)

**Job Description:**
* Develop and optimize machine learning and deep learning models using frameworks like TensorFlow or PyTorch.
* Strong skills in programming languages such as Python, R, or Java, essential for developing AI applications.
* Build and maintain AI pipelines, from data processing to model deployment.
* Analyze complex datasets to uncover insights and improve model performance.
* Ability to analyze complex problems and develop effective AI-driven solutions.
* Deploy AI solutions on cloud platforms such as AWS.
* Collaborate with technical and business teams to identify AI opportunities and deliver impactful solutions.
* Deep understanding of deploying AI applications within a CICD environment, specifically AWS.

**Required qualifications:**
* Strong programming skills in Python, R, or Java.
* Hands-on experience with machine learning algorithms and frameworks.
* Familiarity with major cloud platforms for AI deployment.
* Strong analytical and problem solving skills.
* Solid foundation in mathem"
linkedin_li-4388817329,"2026 Fall Co-Op - Software Engineer (Sea Systems) - Hunt Valley, MD",Textron,entry,,['leadership'],False,"**Description**
***Who We Are***
 Textron Systems serves defense and commercial customers with the combined expertise of its family of brands: Textron Systems, Howe \& Howe, Lycoming and ATAC.

 The segment offers specialized products and services that fall into several capability areas: Air; Land; Sea; Propulsion; Weapon Systems; Electronic Systems; and Test, Training \& Simulation.

 We tap into these capabilities to deliver exceptional solutions, including product development and manufacturing, training, operations and support All efforts are backed by the strength of our parent company — Textron Inc — which includes prominent brands such as Bell, Cessna and Beechcraft.

 Drawing from our diverse teams of experts and harnessing the unlimited power of teamwork, we put tomorrow’s technology in the world’s hands today.

 Start your career in a big way by joining Textron Systems. We are here to provide necessary and life-changing services and products to our customers. We are right where the real work happens. By joining our team, you will gain exciting and versatile experiences from day one to fuel your growth. Talent development is a big part of who we are. Don't just start your career - go big.

 Visit TextronSystems.com to read more about who we are and the products we make\\!

**About This Role**
 In this role, you will be responsible for:

* Providing engineering support on both next generation technologies and proven platforms that support and protect our deployed warfi"
linkedin_li-3986117177,Software Engineer,Epic,entry,,"['leading', 'leading']",False,"**Code that saves lives.**
 As a software developer at Epic, you’ll write software that impacts the lives of 325 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you’ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you’ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves. Learn more about our team at https://careers.epic.com/jobs/softwaredevelopment/.

**Write software for the most innovative health systems on the planet.**
 The top-ranked health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.

**Live affordably in a city known for its rising tech talent.**
 Epic is located just outside Madison, Wisconsin, the second fastest growing market for tech talent in the United States and home to the state capital and the University of Wisconsin. Madison, a city surrounded by water, has received accolades for being the greenest city in America (NerdWallet), the "
linkedin_li-4387534576,QA ENGINEER,AaraTechnologies Inc,entry,2.0,['leading'],True,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, AaraTechnologies Inc, is seeking the following. Apply via Dice today!

**Key Responsibilities**
* Create, execute, and maintain test cases and test scenarios
* Perform manual testing of healthcare applications and reports
* Validate healthcare data and reporting outputs
* Identify, log, track, and retest defects
* Support User Acceptance Testing (UAT)
* Collaborate with developers, analysts, and business teams
* Maintain test documentation and QA artifacts Required Qualifications
* 1 2 years of experience in QA or software testing
* Knowledge of manual testing methodologies
* Familiarity with defect tracking tools such as JIRA
* Basic understanding of SQL for data validation
* Understanding of SDLC and STLC
* Strong attention to detail and communication skills"
linkedin_li-4363793117,Machine Learning Engineer Intern (Commerce Ads) - 2026 Summer (BS/MS),TikTok,entry,,"['budget', 'leading']",False,"**Responsibilities**
 The TikTok Commerce Ads team is dedicated to blending advertiser focus with technical expertise. Our mission is to enhance commerce ads—both open-loop and closed-loop—to establish TikTok as an essential growth engine for businesses of all sizes and a top destination for consumers to discover and buy products, content, and services. We are crucial to driving TikTok's ad revenue and are committed to developing the next-generation web ad solutions for the platform.

 We are looking for talented individuals to join us for an internship in 2026\. Internships at our Company aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at our Company.

 Internships at Our Company aims to provide students with hands-on experience in developing fundamental skills and exploring potential career paths. A vibrant blend of social events and enriching development workshops will be available for you to explore. Here, you will utilize your knowledge in real-world scenarios while laying a strong foundation for personal and professional growth.

 Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to Our Company and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early. Please state your availability clearly in your resume (Start date, "
