term,scope,direction,category,rank_in_direction,also_in_other_scope
actions,full_text,scraped_2026_heavy,noise,81,True
retrieval,full_text,scraped_2026_heavy,noise,82,True
structured,full_text,scraped_2026_heavy,noise,83,False
direction,full_text,scraped_2026_heavy,noise,84,False
productivity,full_text,scraped_2026_heavy,org_scope,85,True
contracts,full_text,scraped_2026_heavy,noise,86,True
iteration,full_text,scraped_2026_heavy,noise,87,False
measurable,full_text,scraped_2026_heavy,noise,88,False
fundamentals,full_text,scraped_2026_heavy,noise,89,True
flows,full_text,scraped_2026_heavy,noise,90,True
context,full_text,scraped_2026_heavy,noise,91,False
enable,full_text,scraped_2026_heavy,noise,92,False
maintainability,full_text,scraped_2026_heavy,sys_design,93,False
maintain,full_text,scraped_2026_heavy,noise,94,True
foundational,full_text,scraped_2026_heavy,noise,95,False
clearly,full_text,scraped_2026_heavy,noise,96,True
bring,full_text,scraped_2026_heavy,noise,97,False
owning,full_text,scraped_2026_heavy,noise,98,False
practices,full_text,scraped_2026_heavy,noise,99,False
production-ready,full_text,scraped_2026_heavy,org_scope,100,False
database,section_filtered,arshkon_2024_heavy,tech_stack,1,True
application,section_filtered,arshkon_2024_heavy,tech_stack,2,True
.net,section_filtered,arshkon_2024_heavy,tech_stack,3,True
javascript,section_filtered,arshkon_2024_heavy,tech_stack,4,True
php,section_filtered,arshkon_2024_heavy,tech_stack,5,True
directory,section_filtered,arshkon_2024_heavy,tech_stack,6,True
trends,section_filtered,arshkon_2024_heavy,noise,7,True
sql,section_filtered,arshkon_2024_heavy,tech_stack,8,True
html,section_filtered,arshkon_2024_heavy,tech_stack,9,True
written,section_filtered,arshkon_2024_heavy,soft_skill,10,True
mvc,section_filtered,arshkon_2024_heavy,tech_stack,11,True
attention,section_filtered,arshkon_2024_heavy,soft_skill,12,True
website,section_filtered,arshkon_2024_heavy,noise,13,True
wordpress,section_filtered,arshkon_2024_heavy,noise,14,True
oral,section_filtered,arshkon_2024_heavy,soft_skill,15,True
unix,section_filtered,arshkon_2024_heavy,tech_stack,16,True
laravel,section_filtered,arshkon_2024_heavy,tech_stack,17,True
node.js,section_filtered,arshkon_2024_heavy,tech_stack,18,True
interpersonal,section_filtered,arshkon_2024_heavy,soft_skill,19,True
visualforce,section_filtered,arshkon_2024_heavy,tech_stack,20,True
jquery,section_filtered,arshkon_2024_heavy,tech_stack,21,True
azure,section_filtered,arshkon_2024_heavy,tech_stack,22,True
utilizing,section_filtered,arshkon_2024_heavy,noise,23,True
scala,section_filtered,arshkon_2024_heavy,tech_stack,24,True
competent,section_filtered,arshkon_2024_heavy,noise,25,True
abreast,section_filtered,arshkon_2024_heavy,noise,26,True
skillsstrong,section_filtered,arshkon_2024_heavy,noise,27,True
json,section_filtered,arshkon_2024_heavy,noise,28,True
problem-solving,section_filtered,arshkon_2024_heavy,soft_skill,29,True
etc.experience,section_filtered,arshkon_2024_heavy,credential,30,True
verbal,section_filtered,arshkon_2024_heavy,soft_skill,31,True
communication,section_filtered,arshkon_2024_heavy,soft_skill,32,True
analytical,section_filtered,arshkon_2024_heavy,soft_skill,33,True
experience.experience,section_filtered,arshkon_2024_heavy,credential,34,False
detailed,section_filtered,arshkon_2024_heavy,noise,35,False
j2ee,section_filtered,arshkon_2024_heavy,tech_stack,36,True
according,section_filtered,arshkon_2024_heavy,noise,37,True
visually,section_filtered,arshkon_2024_heavy,noise,38,False
determine,section_filtered,arshkon_2024_heavy,noise,39,False
documenting,section_filtered,arshkon_2024_heavy,noise,40,False
organize,section_filtered,arshkon_2024_heavy,noise,41,False
understand,section_filtered,arshkon_2024_heavy,noise,42,True
principles,section_filtered,arshkon_2024_heavy,noise,43,False
migrate,section_filtered,arshkon_2024_heavy,noise,44,False
tasks,section_filtered,arshkon_2024_heavy,noise,45,True
industry,section_filtered,arshkon_2024_heavy,noise,46,True
following,section_filtered,arshkon_2024_heavy,noise,47,True
prioritize,section_filtered,arshkon_2024_heavy,noise,48,False
maximum,section_filtered,arshkon_2024_heavy,noise,49,True
member,section_filtered,arshkon_2024_heavy,noise,50,True
overall,section_filtered,arshkon_2024_heavy,noise,51,False
angular,section_filtered,arshkon_2024_heavy,tech_stack,52,True
install,section_filtered,arshkon_2024_heavy,noise,53,False
up-to-date,section_filtered,arshkon_2024_heavy,noise,54,True
websites,section_filtered,arshkon_2024_heavy,noise,55,True
properly,section_filtered,arshkon_2024_heavy,noise,56,False
estimates,section_filtered,arshkon_2024_heavy,noise,57,False
education/experience,section_filtered,arshkon_2024_heavy,credential,58,False
integration/continuous,section_filtered,arshkon_2024_heavy,noise,59,True
svn,section_filtered,arshkon_2024_heavy,noise,60,False
methodology,section_filtered,arshkon_2024_heavy,noise,61,True
internship,section_filtered,arshkon_2024_heavy,noise,62,False
shop,section_filtered,arshkon_2024_heavy,noise,63,False
node,section_filtered,arshkon_2024_heavy,tech_stack,64,True
experienceexperience,section_filtered,arshkon_2024_heavy,credential,65,False
word,section_filtered,arshkon_2024_heavy,noise,66,False
functional,section_filtered,arshkon_2024_heavy,noise,67,True
bootstrap,section_filtered,arshkon_2024_heavy,noise,68,False
db,section_filtered,arshkon_2024_heavy,noise,69,True
soap,section_filtered,arshkon_2024_heavy,noise,70,True
xml,section_filtered,arshkon_2024_heavy,noise,71,True
scrum,section_filtered,arshkon_2024_heavy,method,72,True
involved,section_filtered,arshkon_2024_heavy,noise,73,False
jsp,section_filtered,arshkon_2024_heavy,noise,74,False
html5,section_filtered,arshkon_2024_heavy,tech_stack,75,True
assure,section_filtered,arshkon_2024_heavy,noise,76,True
webpack,section_filtered,arshkon_2024_heavy,noise,77,False
collect,section_filtered,arshkon_2024_heavy,noise,78,False
logical,section_filtered,arshkon_2024_heavy,noise,79,False
ssis,section_filtered,arshkon_2024_heavy,noise,80,True
developing,section_filtered,arshkon_2024_heavy,noise,81,True
instructions,section_filtered,arshkon_2024_heavy,noise,82,False
implemented,section_filtered,arshkon_2024_heavy,noise,83,False
continuous,section_filtered,arshkon_2024_heavy,noise,84,False
mainframe,section_filtered,arshkon_2024_heavy,noise,85,True
showcasing,section_filtered,arshkon_2024_heavy,noise,86,False
sheets,section_filtered,arshkon_2024_heavy,noise,87,False
phases,section_filtered,arshkon_2024_heavy,noise,88,False
oo,section_filtered,arshkon_2024_heavy,noise,89,False
git,section_filtered,arshkon_2024_heavy,noise,90,True
added,section_filtered,arshkon_2024_heavy,noise,91,False
single,section_filtered,arshkon_2024_heavy,noise,92,False
skillsability,section_filtered,arshkon_2024_heavy,noise,93,False
angularjs,section_filtered,arshkon_2024_heavy,tech_stack,94,True
iis,section_filtered,arshkon_2024_heavy,noise,95,True
measures,section_filtered,arshkon_2024_heavy,noise,96,False
updating,section_filtered,arshkon_2024_heavy,noise,97,False
waterfall,section_filtered,arshkon_2024_heavy,noise,98,False
ssrs,section_filtered,arshkon_2024_heavy,noise,99,False
escalated,section_filtered,arshkon_2024_heavy,tech_stack,100,False
environments,section_filtered,scraped_2026_heavy,tech_stack,1,True
familiarity,section_filtered,scraped_2026_heavy,credential,2,True
workflows,section_filtered,scraped_2026_heavy,method,3,True
pipelines,section_filtered,scraped_2026_heavy,method,4,True
hands-on,section_filtered,scraped_2026_heavy,credential,5,True
demonstrated,section_filtered,scraped_2026_heavy,credential,6,True
contribute,section_filtered,scraped_2026_heavy,org_scope,7,True
proficiency,section_filtered,scraped_2026_heavy,credential,8,True
tooling,section_filtered,scraped_2026_heavy,tech_stack,9,True
observability,section_filtered,scraped_2026_heavy,method,10,True
distributed,section_filtered,scraped_2026_heavy,sys_design,11,True
exposure,section_filtered,scraped_2026_heavy,credential,12,True
ai/ml,section_filtered,scraped_2026_heavy,ai_domain,13,True
frameworks,section_filtered,scraped_2026_heavy,tech_stack,14,True
optimization,section_filtered,scraped_2026_heavy,sys_design,15,True
models,section_filtered,scraped_2026_heavy,ai_domain,16,True
clearance,section_filtered,scraped_2026_heavy,credential,17,True
governance,section_filtered,scraped_2026_heavy,org_scope,18,True
ci/cd,section_filtered,scraped_2026_heavy,method,19,True
llm,section_filtered,scraped_2026_heavy,ai_tool,20,True
large-scale,section_filtered,scraped_2026_heavy,sys_design,21,True
architectures,section_filtered,scraped_2026_heavy,sys_design,22,True
apis,section_filtered,scraped_2026_heavy,tech_stack,23,True
comfortable,section_filtered,scraped_2026_heavy,noise,24,True
llms,section_filtered,scraped_2026_heavy,ai_tool,25,True
evaluation,section_filtered,scraped_2026_heavy,sys_design,26,True
operational,section_filtered,scraped_2026_heavy,org_scope,27,True
rag,section_filtered,scraped_2026_heavy,ai_tool,28,True
kubernetes,section_filtered,scraped_2026_heavy,tech_stack,29,False
agent,section_filtered,scraped_2026_heavy,ai_tool,30,True
integrating,section_filtered,scraped_2026_heavy,noise,31,True
inference,section_filtered,scraped_2026_heavy,noise,32,True
prompt,section_filtered,scraped_2026_heavy,ai_tool,33,True
backend,section_filtered,scraped_2026_heavy,tech_stack,34,True
eligible,section_filtered,scraped_2026_heavy,noise,35,True
additional,section_filtered,scraped_2026_heavy,noise,36,False
workloads,section_filtered,scraped_2026_heavy,tech_stack,37,True
ts/sci,section_filtered,scraped_2026_heavy,credential,38,True
real-time,section_filtered,scraped_2026_heavy,sys_design,39,True
accessibility,section_filtered,scraped_2026_heavy,noise,40,False
participate,section_filtered,scraped_2026_heavy,noise,41,False
polygraph,section_filtered,scraped_2026_heavy,credential,42,True
embedded,section_filtered,scraped_2026_heavy,noise,43,True
cloud-native,section_filtered,scraped_2026_heavy,tech_stack,44,True
datasets,section_filtered,scraped_2026_heavy,noise,45,True
export,section_filtered,scraped_2026_heavy,noise,46,True
lifecycle,section_filtered,scraped_2026_heavy,noise,47,True
improve,section_filtered,scraped_2026_heavy,noise,48,True
rust,section_filtered,scraped_2026_heavy,tech_stack,49,False
fundamentals,section_filtered,scraped_2026_heavy,noise,50,True
end-to-end,section_filtered,scraped_2026_heavy,org_scope,51,True
c++,section_filtered,scraped_2026_heavy,tech_stack,52,False
genai,section_filtered,scraped_2026_heavy,noise,53,True
ownership,section_filtered,scraped_2026_heavy,org_scope,54,True
regulated,section_filtered,scraped_2026_heavy,noise,55,True
containerized,section_filtered,scraped_2026_heavy,noise,56,False
establish,section_filtered,scraped_2026_heavy,noise,57,False
patterns,section_filtered,scraped_2026_heavy,noise,58,True
terraform,section_filtered,scraped_2026_heavy,tech_stack,59,False
supporting,section_filtered,scraped_2026_heavy,noise,60,False
standards,section_filtered,scraped_2026_heavy,noise,61,True
layers,section_filtered,scraped_2026_heavy,noise,62,True
clearly,section_filtered,scraped_2026_heavy,noise,63,True
real-world,section_filtered,scraped_2026_heavy,noise,64,True
dashboards,section_filtered,scraped_2026_heavy,noise,65,False
mindset,section_filtered,scraped_2026_heavy,noise,66,True
serve,section_filtered,scraped_2026_heavy,noise,67,True
event-driven,section_filtered,scraped_2026_heavy,org_scope,68,True
actions,section_filtered,scraped_2026_heavy,noise,69,True
behavior,section_filtered,scraped_2026_heavy,noise,70,True
scaling,section_filtered,scraped_2026_heavy,noise,71,False
aligned,section_filtered,scraped_2026_heavy,noise,72,True
execution,section_filtered,scraped_2026_heavy,noise,73,True
stakeholder,section_filtered,scraped_2026_heavy,org_scope,74,False
contracts,section_filtered,scraped_2026_heavy,noise,75,True
infrastructure-as-code,section_filtered,scraped_2026_heavy,noise,76,False
retrieval,section_filtered,scraped_2026_heavy,noise,77,True
production-grade,section_filtered,scraped_2026_heavy,org_scope,78,True
productivity,section_filtered,scraped_2026_heavy,org_scope,79,True
microservices,section_filtered,scraped_2026_heavy,tech_stack,80,False
tuning,section_filtered,scraped_2026_heavy,noise,81,False
audiences,section_filtered,scraped_2026_heavy,noise,82,False
schema,section_filtered,scraped_2026_heavy,noise,83,False
u.s.c,section_filtered,scraped_2026_heavy,noise,84,False
operate,section_filtered,scraped_2026_heavy,org_scope,85,True
domains,section_filtered,scraped_2026_heavy,noise,86,False
flows,section_filtered,scraped_2026_heavy,noise,87,True
ai-driven,section_filtered,scraped_2026_heavy,org_scope,88,True
tradeoffs,section_filtered,scraped_2026_heavy,noise,89,False
constraints,section_filtered,scraped_2026_heavy,noise,90,False
considered,section_filtered,scraped_2026_heavy,noise,91,False
influence,section_filtered,scraped_2026_heavy,noise,92,True
high-performance,section_filtered,scraped_2026_heavy,sys_design,93,True
trade-offs,section_filtered,scraped_2026_heavy,noise,94,False
swe,section_filtered,scraped_2026_heavy,noise,95,False
maintain,section_filtered,scraped_2026_heavy,noise,96,True
ai-assisted,section_filtered,scraped_2026_heavy,ai_tool,97,False
claude,section_filtered,scraped_2026_heavy,ai_tool,98,False
logging,section_filtered,scraped_2026_heavy,noise,99,False
write,section_filtered,scraped_2026_heavy,noise,100,False
